"Date","ALLE","BK","CC","DD","GE","IR","LM","MDLZ","NVT","PEP","PG","PNR","PPG","SYY","TIF","WEN"
2016-10-01,0,13.83,0,0,19.2,0,0,17.67,0,0,4.86,7.25,0,21.95,0,5.43
2016-11-01,0,13.83,0,0,19.2,0,0,17.67,0,0,4.86,7.25,0,21.95,0,5.43
2016-12-01,0,13.83,0,0,19.2,0,0,17.67,0,0,4.86,7.25,0,21.95,0,5.43
2017-01-01,0,11.47,0,0,15.42,0,0,14.29,0,0,24.74,6.75,0,17.12,0,4.55
2017-02-01,0,11.47,0,0,15.42,0,0,14.29,0,0,24.74,6.75,0,17.12,0,4.55
2017-03-01,0,11.47,0,0,15.42,0,0,14.29,0,0,24.74,6.75,0,17.12,0,4.55
2017-04-01,0,12.45,0,0,14.42,0,0,13.84,0,0,24.71,7.62,0,16.68,0,4.56
2017-05-01,0,12.45,0,0,14.42,0,0,13.84,0,0,24.71,7.62,0,16.68,0,4.56
2017-06-01,0,12.45,0,0,14.42,0,0,13.84,0,0,24.71,7.62,0,16.68,0,4.56
2017-07-01,0,9.14,0,0,13.19,0,0,13.31,0,0,26.56,7.96,0,18.49,0,4.67
2017-08-01,0,9.14,0,0,13.19,0,0,13.31,0,0,26.56,7.96,0,18.49,0,4.67
2017-09-01,0,9.14,0,0,13.19,0,0,13.31,0,0,26.56,7.96,0,18.49,0,4.67
2017-10-01,0,7.19,0,0,10.46,0,0,15.39,0,0,29.47,9.21,0,22.86,0,5.42
2017-11-01,0,7.19,0,0,10.46,0,0,15.39,0,0,29.47,9.21,0,22.86,0,5.42
2017-12-01,0,7.19,0,0,10.46,0,0,15.39,0,0,29.47,9.21,0,22.86,0,5.42
2018-01-01,0,8.39,0,0,9.63,0,0,7.92,0,0,30.32,10.59,0,27.12,0,6.03
2018-02-01,0,8.39,0,0,9.63,0,0,7.92,0,0,30.32,10.59,0,27.12,0,6.03
2018-03-01,0,8.39,0,0,9.63,0,0,7.92,0,0,30.32,10.59,0,27.12,0,6.03
2018-04-01,0,8.45,0,0,9.36,0,0,7.49,4.28,0,28.72,5.61,2.61,28.21,0,5.27
2018-05-01,0,8.45,0,0,9.36,0,0,7.49,4.28,0,28.72,5.61,2.61,28.21,0,5.27
2018-06-01,0,8.45,0,0,9.36,0,0,7.49,4.28,0,28.72,5.61,2.61,28.21,0,5.27
2018-07-01,0,7.96,0,0,7.74,0,0,7.82,4.61,0,30.52,5.05,4.37,26.68,0,5.24
2018-08-01,0,7.96,0,0,7.74,0,0,7.82,4.61,0,30.52,5.05,4.37,26.68,0,5.24
2018-09-01,0,7.96,0,0,7.74,0,0,7.82,4.61,0,30.52,5.05,4.37,26.68,0,5.24
2018-10-01,0,8.22,0,0,5.81,0,0,8.16,4.27,0,37.73,3.51,7.76,19.2,0,5.35
2018-11-01,0,8.22,0,0,5.81,0,0,8.16,4.27,0,37.73,3.51,7.76,19.2,0,5.35
2018-12-01,0,8.22,0,0,5.81,0,0,8.16,4.27,0,37.73,3.51,7.76,19.2,0,5.35
2019-01-01,0,7.15,0,0,7.58,0,0,10.06,5.07,0,40.87,0,7.23,16.56,0,5.48
2019-02-01,0,7.15,0,0,7.58,0,0,10.06,5.07,0,40.87,0,7.23,16.56,0,5.48
2019-03-01,0,7.15,0,0,7.58,0,0,10.06,5.07,0,40.87,0,7.23,16.56,0,5.48
2019-04-01,0,5.88,0,0,7.12,0,1.57,10.71,3.55,0,42.39,0,5.2,17.67,0,5.92
2019-05-01,0,5.88,0,0,7.12,0,1.57,10.71,3.55,0,42.39,0,5.2,17.67,0,5.92
2019-06-01,0,5.88,0,0,7.12,0,1.57,10.71,3.55,0,42.39,0,5.2,17.67,0,5.92
2019-07-01,0,5.74,0,0,5.99,0,1.55,10.87,3.12,0,47.56,0,0,19.62,0,5.55
2019-08-01,0,5.74,0,0,5.99,0,1.55,10.87,3.12,0,47.56,0,0,19.62,0,5.55
2019-09-01,0,5.74,0,0,5.99,0,1.55,10.87,3.12,0,47.56,0,0,19.62,0,5.55
2019-10-01,0,6.45,0,0,7.56,0,1.47,10.93,3.66,0,42.34,0,0,21.35,0,6.24
2019-11-01,0,6.45,0,0,7.56,0,1.47,10.93,3.66,0,42.34,0,0,21.35,0,6.24
2019-12-01,0,6.45,0,0,7.56,0,1.47,10.93,3.66,0,42.34,0,0,21.35,0,6.24
2020-01-01,0,4.71,0,0,7.35,0,2.73,11.44,3.3,0,49.2,0,0,15.57,0,5.71
2020-02-01,0,4.71,0,0,7.35,0,2.73,11.44,3.3,0,49.2,0,0,15.57,0,5.71
2020-03-01,0,4.71,0,0,7.35,0,2.73,11.44,3.3,0,49.2,0,0,15.57,0,5.71
