"Date","AABA","ADBE","ADSK","AMZN","ANTM","AXP","AY","BIDU","CHTR","CMCSA","CNI","CP","EFX","FOX","FOXA","FWONK","GOOG","GOOGL","MA","MCO","MON","MSFT","NOC","NSC","PCG","RTN","SPGI","TDG","TWX","UNP","UNVR","V"
2017-10-01,37.21,0,0,0,0,0,0,0,20.68,17.6,0,0,0.04,0.25,1.59,0,12.45,2.52,0,1.52,0,4.28,0,0.53,0,0,0.44,0,0.18,0.53,0,0
2017-11-01,37.21,0,0,0,0,0,0,0,20.68,17.6,0,0,0.04,0.25,1.59,0,12.45,2.52,0,1.52,0,4.28,0,0.53,0,0,0.44,0,0.18,0.53,0,0
2017-12-01,37.21,0,0,0,0,0,0,0,20.68,17.6,0,0,0.04,0.25,1.59,0,12.45,2.52,0,1.52,0,4.28,0,0.53,0,0,0.44,0,0.18,0.53,0,0
2018-01-01,32.85,0,0,0,0,0,0,0,18.38,2.26,0,0.09,0,2.34,14.59,0,13.54,2.2,0,1.52,0.31,7.01,0,0.45,0,0,0.47,0,3.94,0.05,0,0
2018-02-01,32.85,0,0,0,0,0,0,0,18.38,2.26,0,0.09,0,2.34,14.59,0,13.54,2.2,0,1.52,0.31,7.01,0,0.45,0,0,0.47,0,3.94,0.05,0,0
2018-03-01,32.85,0,0,0,0,0,0,0,18.38,2.26,0,0.09,0,2.34,14.59,0,13.54,2.2,0,1.52,0.31,7.01,0,0.45,0,0,0.47,0,3.94,0.05,0,0
2018-04-01,19.64,0,0,0,0,0,0,0,18.76,0,0,1.99,0,5.14,26.75,0,14.55,2.02,0,1.36,0,6.4,0,1.79,0,0,0.43,0,0,1.16,0,0
2018-05-01,19.64,0,0,0,0,0,0,0,18.76,0,0,1.99,0,5.14,26.75,0,14.55,2.02,0,1.36,0,6.4,0,1.79,0,0,0.43,0,0,1.16,0,0
2018-06-01,19.64,0,0,0,0,0,0,0,18.76,0,0,1.99,0,5.14,26.75,0,14.55,2.02,0,1.36,0,6.4,0,1.79,0,0,0.43,0,0,1.16,0,0
2018-07-01,0,0,0,0,0,0,0,0,23.16,0,0.83,5.45,0,5.32,27.78,0.05,16.63,2.41,0,1.78,0,7.91,0,3.55,0.34,0,0.45,0,0,4.34,0,0
2018-08-01,0,0,0,0,0,0,0,0,23.16,0,0.83,5.45,0,5.32,27.78,0.05,16.63,2.41,0,1.78,0,7.91,0,3.55,0.34,0,0.45,0,0,4.34,0,0
2018-09-01,0,0,0,0,0,0,0,0,23.16,0,0.83,5.45,0,5.32,27.78,0.05,16.63,2.41,0,1.78,0,7.91,0,3.55,0.34,0,0.45,0,0,4.34,0,0
2018-10-01,0,0,0,0,0,0,0,0,16.78,0,3.98,6.96,0,5.3,27.57,0.37,14.45,2.25,0,4.19,0,11.09,0,0,0,0,1.74,0,0,5.32,0,0
2018-11-01,0,0,0,0,0,0,0,0,16.78,0,3.98,6.96,0,5.3,27.57,0.37,14.45,2.25,0,4.19,0,11.09,0,0,0,0,1.74,0,0,5.32,0,0
2018-12-01,0,0,0,0,0,0,0,0,16.78,0,3.98,6.96,0,5.3,27.57,0.37,14.45,2.25,0,4.19,0,11.09,0,0,0,0,1.74,0,0,5.32,0,0
2019-01-01,0,0,0,0,0,0,0,0,22.4,0,7.53,13.23,1.27,0.82,2.65,0,18.34,1.51,0,7.13,0,13.48,0,0,0,0,2.73,0,0,8.4,0.52,0
2019-02-01,0,0,0,0,0,0,0,0,22.4,0,7.53,13.23,1.27,0.82,2.65,0,18.34,1.51,0,7.13,0,13.48,0,0,0,0,2.73,0,0,8.4,0.52,0
2019-03-01,0,0,0,0,0,0,0,0,22.4,0,7.53,13.23,1.27,0.82,2.65,0,18.34,1.51,0,7.13,0,13.48,0,0,0,0,2.73,0,0,8.4,0.52,0
2019-04-01,0,0,0,0,4.59,0,0,0,20.71,0,9.48,12.9,1.19,0,0,0,20.27,3.21,0,6.35,0,11.87,0,0,0,0,2.44,0,0,4.31,1.87,0.81
2019-05-01,0,0,0,0,4.59,0,0,0,20.71,0,9.48,12.9,1.19,0,0,0,20.27,3.21,0,6.35,0,11.87,0,0,0,0,2.44,0,0,4.31,1.87,0.81
2019-06-01,0,0,0,0,4.59,0,0,0,20.71,0,9.48,12.9,1.19,0,0,0,20.27,3.21,0,6.35,0,11.87,0,0,0,0,2.44,0,0,4.31,1.87,0.81
2019-07-01,0,0,0.09,0,5.08,0,0,0,21.76,0,8.91,12.47,0.57,0,0,0,22.43,3.92,0,6.4,0,7.7,0,0,0,1.19,2.52,0,0,4.1,1.8,1.06
2019-08-01,0,0,0.09,0,5.08,0,0,0,21.76,0,8.91,12.47,0.57,0,0,0,22.43,3.92,0,6.4,0,7.7,0,0,0,1.19,2.52,0,0,4.1,1.8,1.06
2019-09-01,0,0,0.09,0,5.08,0,0,0,21.76,0,8.91,12.47,0.57,0,0,0,22.43,3.92,0,6.4,0,7.7,0,0,0,1.19,2.52,0,0,4.1,1.8,1.06
2019-10-01,0,0.01,0.09,0,5.35,0,0,0,21.84,0,8.19,12.38,0,0,0,0,18.45,3.66,0,6.33,0,7.45,0.26,0,0,6.6,2.39,0.21,0,4.01,1.79,0.98
2019-11-01,0,0.01,0.09,0,5.35,0,0,0,21.84,0,8.19,12.38,0,0,0,0,18.45,3.66,0,6.33,0,7.45,0.26,0,0,6.6,2.39,0.21,0,4.01,1.79,0.98
2019-12-01,0,0.01,0.09,0,5.35,0,0,0,21.84,0,8.19,12.38,0,0,0,0,18.45,3.66,0,6.33,0,7.45,0.26,0,0,6.6,2.39,0.21,0,4.01,1.79,0.98
2020-01-01,0,0.01,0,0.05,0.93,0,0,0,21.64,0,7.74,11.75,0,0,0,0,17.11,3.41,0.11,6.84,0,10.48,0,0,0,6.49,2.82,0,0,4.02,0.81,5.63
2020-02-01,0,0.01,0,0.05,0.93,0,0,0,21.64,0,7.74,11.75,0,0,0,0,17.11,3.41,0.11,6.84,0,10.48,0,0,0,6.49,2.82,0,0,4.02,0.81,5.63
2020-03-01,0,0.01,0,0.05,0.93,0,0,0,21.64,0,7.74,11.75,0,0,0,0,17.11,3.41,0.11,6.84,0,10.48,0,0,0,6.49,2.82,0,0,4.02,0.81,5.63
