"Date","AER","ATSG","BAC","BIP","BRK","BRP","C","CHK","CRESY","CRYP","CSE","EAF","FCAU","FFH","GM","GOOG","GS","IBKR","ICO","JEF","LUV","MU","PKX","RACE","SHLDQ","SRG","TECK","TEX","TX","WFC"
2011-02-01,0,3.9,0,12.8,0,0,0,0,7.58,0,6.44,0,0,0,0,0,5.72,0,9.13,0,0,0,2.39,0,0,0,0,4.16,0,3.86
2011-03-01,0,3.9,0,12.8,0,0,0,0,7.58,0,6.44,0,0,0,0,0,5.72,0,9.13,0,0,0,2.39,0,0,0,0,4.16,0,3.86
2011-04-01,0,3.09,0,16.18,0,0.87,0,0,7.63,0,6.62,0,0,0,0,0,11.21,0,0,0,0,0,2.8,0,0,0,0,0,0,3.83
2011-05-01,0,3.09,0,16.18,0,0.87,0,0,7.63,0,6.62,0,0,0,0,0,11.21,0,0,0,0,0,2.8,0,0,0,0,0,0,3.83
2011-06-01,0,3.09,0,16.18,0,0.87,0,0,7.63,0,6.62,0,0,0,0,0,11.21,0,0,0,0,0,2.8,0,0,0,0,0,0,3.83
2011-07-01,0,0.23,16.73,16.68,0,0.62,0,0,4.31,0,6.69,0,0,0,0,0,10.63,0,0,0,0,0,0.13,0,0,0,0,0,0,11.45
2011-08-01,0,0.23,16.73,16.68,0,0.62,0,0,4.31,0,6.69,0,0,0,0,0,10.63,0,0,0,0,0,0.13,0,0,0,0,0,0,11.45
2011-09-01,0,0.23,16.73,16.68,0,0.62,0,0,4.31,0,6.69,0,0,0,0,0,10.63,0,0,0,0,0,0.13,0,0,0,0,0,0,11.45
2011-10-01,0,0,5.04,0,0,0.75,5.65,0,1.46,0,6.22,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,13,0,16.23
2011-11-01,0,0,5.04,0,0,0.75,5.65,0,1.46,0,6.22,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,13,0,16.23
2011-12-01,0,0,5.04,0,0,0.75,5.65,0,1.46,0,6.22,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,13,0,16.23
2012-01-01,0,0,22.11,0,0,0,20.34,0,0,0,4.4,0,0,0,0,0,19.38,0,0,0,0,0,0,0,0,0,0,15.34,0,0
2012-02-01,0,0,22.11,0,0,0,20.34,0,0,0,4.4,0,0,0,0,0,19.38,0,0,0,0,0,0,0,0,0,0,15.34,0,0
2012-03-01,0,0,22.11,0,0,0,20.34,0,0,0,4.4,0,0,0,0,0,19.38,0,0,0,0,0,0,0,0,0,0,15.34,0,0
2012-04-01,0,0,25.51,0,0,0,20.6,7.77,0,0,0,0,0,0,0,0,20.17,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,25.51,0,0,0,20.6,7.77,0,0,0,0,0,0,0,0,20.17,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,25.51,0,0,0,20.6,7.77,0,0,0,0,0,0,0,0,20.17,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,24.22,0,0,0,21.62,20.59,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,24.22,0,0,0,21.62,20.59,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,24.22,0,0,0,21.62,20.59,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,27.42,0,0,0,22.51,16.51,0,0,0,0,0,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,27.42,0,0,0,22.51,16.51,0,0,0,0,0,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,27.42,0,0,0,22.51,16.51,0,0,0,0,0,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,33.88,0,0,0,25.59,24.33,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,33.88,0,0,0,25.59,24.33,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,33.88,0,0,0,25.59,24.33,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,29.75,0,0,0,23.07,20.54,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,29.75,0,0,0,23.07,20.54,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,29.75,0,0,0,23.07,20.54,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,29.63,0,0,0,21.66,24.21,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,29.63,0,0,0,21.66,24.21,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,0,29.63,0,0,0,21.66,24.21,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,28.32,0,0,0,19.98,21.8,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,28.32,0,0,0,19.98,21.8,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,0,0,28.32,0,0,0,19.98,21.8,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,23.24,0,0,0,18.74,23.17,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,0,0,23.24,0,0,0,18.74,23.17,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,23.24,0,0,0,18.74,23.17,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,0,20.22,0,0,0,18.05,5.6,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,19.64,0,0,0,0,0,0,0
2014-05-01,0,0,20.22,0,0,0,18.05,5.6,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,19.64,0,0,0,0,0,0,0
2014-06-01,0,0,20.22,0,0,0,18.05,5.6,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,19.64,0,0,0,0,0,0,0
2014-07-01,0,0,23.4,0,0,0,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57,0,0,0,0,0,0,0
2014-08-01,0,0,23.4,0,0,0,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57,0,0,0,0,0,0,0
2014-09-01,0,0,23.4,0,0,0,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57,0,0,0,0,0,0,0
2014-10-01,0,0,12.47,0,0,0,15.21,0,0,0,0,0,35.67,0,0,8.04,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0
2014-11-01,0,0,12.47,0,0,0,15.21,0,0,0,0,0,35.67,0,0,8.04,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0
2014-12-01,0,0,12.47,0,0,0,15.21,0,0,0,0,0,35.67,0,0,8.04,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0
2015-01-01,0,0,0,0,0,0,0.65,0,0,0,0,0,53.82,0,0,9.04,0,0,0,0,0,0,12.86,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,0,0,0.65,0,0,0,0,0,53.82,0,0,9.04,0,0,0,0,0,0,12.86,0,0,0,0,0,0,0
2015-03-01,0,0,0,0,0,0,0.65,0,0,0,0,0,53.82,0,0,9.04,0,0,0,0,0,0,12.86,0,0,0,0,0,0,0
2015-04-01,0,0,0,0,0,0,0,0,0,0,0,0,42.25,0,0,7.59,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,42.25,0,0,7.59,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,0,42.25,0,0,7.59,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,48.33,0,0,11.16,0,0,0,0,0,0,9.12,0,0,0,0,0,0,0
2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,48.33,0,0,11.16,0,0,0,0,0,0,9.12,0,0,0,0,0,0,0
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,48.33,0,0,11.16,0,0,0,0,0,0,9.12,0,0,0,0,0,0,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,50.89,0,0,13.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,0,50.89,0,0,13.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,50.89,0,0,13.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,32.2,0,0,14.93,0,0,0,0,0,0,0,15.39,0,7.68,0,0,0,0
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,32.2,0,0,14.93,0,0,0,0,0,0,0,15.39,0,7.68,0,0,0,0
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,32.2,0,0,14.93,0,0,0,0,0,0,0,15.39,0,7.68,0,0,0,0
2016-04-01,7.08,0,0,0,0,0,0,0,0,0,0,0,28.48,0,0,16.16,0,0,0,0,0,0,0,14.69,0,8.9,0,0,0,0
2016-05-01,7.08,0,0,0,0,0,0,0,0,0,0,0,28.48,0,0,16.16,0,0,0,0,0,0,0,14.69,0,8.9,0,0,0,0
2016-06-01,7.08,0,0,0,0,0,0,0,0,0,0,0,28.48,0,0,16.16,0,0,0,0,0,0,0,14.69,0,8.9,0,0,0,0
2016-07-01,7.1,0,0,0,0,0,0,0,0,0,0,0,26.07,0,0,15.9,0,0,0,0,5.89,0,0,10.37,0,7.93,0,0,0,0
2016-08-01,7.1,0,0,0,0,0,0,0,0,0,0,0,26.07,0,0,15.9,0,0,0,0,5.89,0,0,10.37,0,7.93,0,0,0,0
2016-09-01,7.1,0,0,0,0,0,0,0,0,0,0,0,26.07,0,0,15.9,0,0,0,0,5.89,0,0,10.37,0,7.93,0,0,0,0
2016-10-01,8.05,0,0,0,0,0,0,0,0,0,0,0,31.46,0,0,15.39,0,0,0,0,4.32,0,0,6.69,0,6.51,0,0,0,0
2016-11-01,8.05,0,0,0,0,0,0,0,0,0,0,0,31.46,0,0,15.39,0,0,0,0,4.32,0,0,6.69,0,6.51,0,0,0,0
2016-12-01,8.05,0,0,0,0,0,0,0,0,0,0,0,31.46,0,0,15.39,0,0,0,0,4.32,0,0,6.69,0,6.51,0,0,0,0
2017-01-01,9.68,0,0,0,0,0,0,0,0,0,0,0,36.31,0,0,14.12,0,0,0,0,4.16,0,0,7.64,0,0.3,0,0,0,0
2017-02-01,9.68,0,0,0,0,0,0,0,0,0,0,0,36.31,0,0,14.12,0,0,0,0,4.16,0,0,7.64,0,0.3,0,0,0,0
2017-03-01,9.68,0,0,0,0,0,0,0,0,0,0,0,36.31,0,0,14.12,0,0,0,0,4.16,0,0,7.64,0,0.3,0,0,0,0
2017-04-01,11.48,0,0,0,0,0,0,0,0,0,0,0,34.45,0,0,14.88,0,0,0,0,4.62,0,0,8.44,0,0,0,0,0,0
2017-05-01,11.48,0,0,0,0,0,0,0,0,0,0,0,34.45,0,0,14.88,0,0,0,0,4.62,0,0,8.44,0,0,0,0,0,0
2017-06-01,11.48,0,0,0,0,0,0,0,0,0,0,0,34.45,0,0,14.88,0,0,0,0,4.62,0,0,8.44,0,0,0,0,0,0
2017-07-01,12.97,0,0,0,0,0,0,0,0,0,0,0,56.89,0,0,15.39,0,0,0,0,4.08,0,0,10.66,0,0,0,0,0,0
2017-08-01,12.97,0,0,0,0,0,0,0,0,0,0,0,56.89,0,0,15.39,0,0,0,0,4.08,0,0,10.66,0,0,0,0,0,0
2017-09-01,12.97,0,0,0,0,0,0,0,0,0,0,0,56.89,0,0,15.39,0,0,0,0,4.08,0,0,10.66,0,0,0,0,0,0
2017-10-01,11.01,0,0,0,0,0,0,0,0,0,0,0,60.62,0,0,12.43,0,0,0,0,5.11,0,0,10.84,0,0,0,0,0,0
2017-11-01,11.01,0,0,0,0,0,0,0,0,0,0,0,60.62,0,0,12.43,0,0,0,0,5.11,0,0,10.84,0,0,0,0,0,0
2017-12-01,11.01,0,0,0,0,0,0,0,0,0,0,0,60.62,0,0,12.43,0,0,0,0,5.11,0,0,10.84,0,0,0,0,0,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,84.92,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,84.92,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,0,84.92,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0
2018-04-01,0,0,0,0,0,0,0,0,0,0,0,0,82.06,0,0,0,0,0,0,0,0,0,0,17.94,0,0,0,0,0,0
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,0,82.06,0,0,0,0,0,0,0,0,0,0,17.94,0,0,0,0,0,0
2018-06-01,0,0,0,0,0,0,0,0,0,0,0,0,82.06,0,0,0,0,0,0,0,0,0,0,17.94,0,0,0,0,0,0
2018-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,0,91.61,0,0,0,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0
2018-11-01,0,0,0,0,0,0,0,0,0,0,0,0,91.61,0,0,0,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,0,91.61,0,0,0,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,73.48,0,0,0,0,0,0,0,0,26.52,0,0,0,0,0,0,0,0
2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,73.48,0,0,0,0,0,0,0,0,26.52,0,0,0,0,0,0,0,0
2019-03-01,0,0,0,0,0,0,0,0,0,0,0,0,73.48,0,0,0,0,0,0,0,0,26.52,0,0,0,0,0,0,0,0
2019-04-01,0,0,0,0,0,0,0,0,0,0,0,16.12,60.45,0,0,0,0,0,0,0,0,23.43,0,0,0,0,0,0,0,0
2019-05-01,0,0,0,0,0,0,0,0,0,0,0,16.12,60.45,0,0,0,0,0,0,0,0,23.43,0,0,0,0,0,0,0,0
2019-06-01,0,0,0,0,0,0,0,0,0,0,0,16.12,60.45,0,0,0,0,0,0,0,0,23.43,0,0,0,0,0,0,0,0
2019-07-01,0,0,0,0,0,0,0,0,0,0,0,27.17,43.4,0,0,0,0,0,0,0,0,29.42,0,0,0,0,0,0,0,0
2019-08-01,0,0,0,0,0,0,0,0,0,0,0,27.17,43.4,0,0,0,0,0,0,0,0,29.42,0,0,0,0,0,0,0,0
2019-09-01,0,0,0,0,0,0,0,0,0,0,0,27.17,43.4,0,0,0,0,0,0,0,0,29.42,0,0,0,0,0,0,0,0
2019-10-01,0,0,0,0,0,0,0,0,0,0,0,19.07,44.69,0,0,0,0,0,0,0,0,36.25,0,0,0,0,0,0,0,0
2019-11-01,0,0,0,0,0,0,0,0,0,0,0,19.07,44.69,0,0,0,0,0,0,0,0,36.25,0,0,0,0,0,0,0,0
2019-12-01,0,0,0,0,0,0,0,0,0,0,0,19.07,44.69,0,0,0,0,0,0,0,0,36.25,0,0,0,0,0,0,0,0
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,93.95,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,93.95,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,93.95,0,0,0,0,0,0,0,0
