"Date","AAL","ADNT","AIG","ALLY","AMZN","APA","BAC","BBY","BEN","BKNG","BMC","BMY","C","CBRE","CHK","CHTR","CMCSA","COF","CPN","CVE","CXO","DELL","DISCA","DISCK","DNB","EBAY","EOG","FB","FCAU","FDX","FNF","GE","GOOG","GOOGL","GPS","HD","HLT","HOG","HRB","INTC","JPM","KMT","MA","MAT","MCD","MDT","MGM","MON","MS","NFLX","NFX","ORCL","PHM","QRTEA","REGN","S","SGP","STZ","TEL","TRW","TWX","TXN","WM","WU","XRX","YUM"
2011-01-01,0,0,0,0,0,0,0,3.4,0,0,0,4.28,0,0,0,0,5.45,4.61,4.92,5.01,0,4.07,0,8.34,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,4.27,4.01,4.53,0,3.97,0,0,4.35,0,0,0,0,4.74,0,0,6.33,0,0,0,0,6.41,0,4.17,5.18,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,3.4,0,0,0,4.28,0,0,0,0,5.45,4.61,4.92,5.01,0,4.07,0,8.34,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,4.27,4.01,4.53,0,3.97,0,0,4.35,0,0,0,0,4.74,0,0,6.33,0,0,0,0,6.41,0,4.17,5.18,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,3.4,0,0,0,4.28,0,0,0,0,5.45,4.61,4.92,5.01,0,4.07,0,8.34,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,4.27,4.01,4.53,0,3.97,0,0,4.35,0,0,0,0,4.74,0,0,6.33,0,0,0,0,6.41,0,4.17,5.18,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,3.67,0,0,0,4.52,0,0,0,0,5.61,4.33,4.93,4.73,0,4.62,0,8.55,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,3.92,4.36,3.98,0,4.69,0,0,4.2,0,0,0,0,4.19,0,0,6.53,0,0,0,0,6.68,0,4.19,4.86,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,3.67,0,0,0,4.52,0,0,0,0,5.61,4.33,4.93,4.73,0,4.62,0,8.55,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,3.92,4.36,3.98,0,4.69,0,0,4.2,0,0,0,0,4.19,0,0,6.53,0,0,0,0,6.68,0,4.19,4.86,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,3.67,0,0,0,4.52,0,0,0,0,5.61,4.33,4.93,4.73,0,4.62,0,8.55,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,3.92,4.36,3.98,0,4.69,0,0,4.2,0,0,0,0,4.19,0,0,6.53,0,0,0,0,6.68,0,4.19,4.86,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0,5.71,4.69,5.13,4.59,0,4.67,0,9.47,0,4.72,0,0,0,3.92,0,0,0,0,0,0,0,0,4.18,4.99,4.18,0,5.15,0,0,4.32,0,0,0,0,3.83,0,0,6.51,0,0,0,0,6.09,0,4.25,4.7,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0,5.71,4.69,5.13,4.59,0,4.67,0,9.47,0,4.72,0,0,0,3.92,0,0,0,0,0,0,0,0,4.18,4.99,4.18,0,5.15,0,0,4.32,0,0,0,0,3.83,0,0,6.51,0,0,0,0,6.09,0,4.25,4.7,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0,5.71,4.69,5.13,4.59,0,4.67,0,9.47,0,4.72,0,0,0,3.92,0,0,0,0,0,0,0,0,4.18,4.99,4.18,0,5.15,0,0,4.32,0,0,0,0,3.83,0,0,6.51,0,0,0,0,6.09,0,4.25,4.7,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,4.54,4.3,4.51,0,4.39,0,9.23,0,4.41,0,0,0,4.57,0,0,0,0,0,0,0,0,4.52,5.16,4.62,0,5.5,0,0,4.67,0,0,0,0,4.26,0,0,6.49,0,0,0,0,6.06,4.26,4.66,4.66,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,4.54,4.3,4.51,0,4.39,0,9.23,0,4.41,0,0,0,4.57,0,0,0,0,0,0,0,0,4.52,5.16,4.62,0,5.5,0,0,4.67,0,0,0,0,4.26,0,0,6.49,0,0,0,0,6.06,4.26,4.66,4.66,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,4.54,4.3,4.51,0,4.39,0,9.23,0,4.41,0,0,0,4.57,0,0,0,0,0,0,0,0,4.52,5.16,4.62,0,5.5,0,0,4.67,0,0,0,0,4.26,0,0,6.49,0,0,0,0,6.06,4.26,4.66,4.66,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,5.3,3.65,4.43,0,4.63,0,8.92,0,4.51,0,0,0,4.21,0,0,0,0,0,0,0,0,3.95,5.24,5.28,0,4.85,0,0,4.52,0,0,0,0,3.91,0,0,6.28,0,0,0,0,6.29,5.04,4.56,4.62,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,5.3,3.65,4.43,0,4.63,0,8.92,0,4.51,0,0,0,4.21,0,0,0,0,0,0,0,0,3.95,5.24,5.28,0,4.85,0,0,4.52,0,0,0,0,3.91,0,0,6.28,0,0,0,0,6.29,5.04,4.56,4.62,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,5.3,3.65,4.43,0,4.63,0,8.92,0,4.51,0,0,0,4.21,0,0,0,0,0,0,0,0,3.95,5.24,5.28,0,4.85,0,0,4.52,0,0,0,0,3.91,0,0,6.28,0,0,0,0,6.29,5.04,4.56,4.62,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,5.28,5.91,3.66,4.21,0,4,0,8.71,0,5.21,0,0,0,4.71,0,0,0,0,0,0,0,0,0,5,5.06,0,4.8,0,0,4.67,0,0,0,0,5.32,0,0,5.67,0,0,0,0,5.7,4.17,4.86,4.12,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,5.28,5.91,3.66,4.21,0,4,0,8.71,0,5.21,0,0,0,4.71,0,0,0,0,0,0,0,0,0,5,5.06,0,4.8,0,0,4.67,0,0,0,0,5.32,0,0,5.67,0,0,0,0,5.7,4.17,4.86,4.12,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,5.28,5.91,3.66,4.21,0,4,0,8.71,0,5.21,0,0,0,4.71,0,0,0,0,0,0,0,0,0,5,5.06,0,4.8,0,0,4.67,0,0,0,0,5.32,0,0,5.67,0,0,0,0,5.7,4.17,4.86,4.12,0,0,0,0
2012-07-01,0,0,4.22,0,0,0,5.25,0,0,0,4.33,0,0,0,0,0,5.15,6.05,4.28,4.53,0,3.09,0,8.99,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,4.34,5.64,0,4.95,0,0,5.1,0,0,0,0,5.14,0,0,5.02,0,0,0,0,5.97,5.32,0,3.88,0,0,0,0
2012-08-01,0,0,4.22,0,0,0,5.25,0,0,0,4.33,0,0,0,0,0,5.15,6.05,4.28,4.53,0,3.09,0,8.99,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,4.34,5.64,0,4.95,0,0,5.1,0,0,0,0,5.14,0,0,5.02,0,0,0,0,5.97,5.32,0,3.88,0,0,0,0
2012-09-01,0,0,4.22,0,0,0,5.25,0,0,0,4.33,0,0,0,0,0,5.15,6.05,4.28,4.53,0,3.09,0,8.99,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,4.34,5.64,0,4.95,0,0,5.1,0,0,0,0,5.14,0,0,5.02,0,0,0,0,5.97,5.32,0,3.88,0,0,0,0
2012-10-01,0,0,5,0,0,0,6.52,0,0,0,0,0,0,0,0,0,4.19,5.81,4.23,4.12,0,4.16,0,6.56,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,4.27,5.78,3.16,5.09,0,0,4.72,0,0,0,0,5.32,0,0,5.05,0,0,0,0,6.46,7.05,0,4.12,0,0,0,0
2012-11-01,0,0,5,0,0,0,6.52,0,0,0,0,0,0,0,0,0,4.19,5.81,4.23,4.12,0,4.16,0,6.56,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,4.27,5.78,3.16,5.09,0,0,4.72,0,0,0,0,5.32,0,0,5.05,0,0,0,0,6.46,7.05,0,4.12,0,0,0,0
2012-12-01,0,0,5,0,0,0,6.52,0,0,0,0,0,0,0,0,0,4.19,5.81,4.23,4.12,0,4.16,0,6.56,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,4.27,5.78,3.16,5.09,0,0,4.72,0,0,0,0,5.32,0,0,5.05,0,0,0,0,6.46,7.05,0,4.12,0,0,0,0
2013-01-01,0,0,5.45,0,0,0,6.08,0,0,0,0,0,0,0,0,0,3.76,5.54,4.58,3.55,0,4.81,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,4.56,5.55,3.07,4.98,0,0,5.9,0,0,0,0,4.18,0,0,4.87,0,0,0,0,6.48,7.07,0,4.4,0,0,0,0
