Date,FRC
2012-08-30,32.549999
2012-08-31,32.689999
2012-09-04,32.849998
2012-09-05,32.849998
2012-09-06,33.009997999999996
2012-09-07,33.25
2012-09-10,32.73
2012-09-11,32.810001
2012-09-12,33.080002
2012-09-13,33.040001000000004
2012-09-14,33.990002000000004
2012-09-17,33.57
2012-09-18,34.0
2012-09-19,33.900002
2012-09-20,34.130001
2012-09-21,34.66
2012-09-24,34.540001000000004
2012-09-25,34.43
2012-09-26,34.349998
2012-09-27,34.099998
2012-09-28,34.459998999999996
2012-10-01,33.369999
2012-10-02,33.380001
2012-10-03,33.75
2012-10-04,33.790001000000004
2012-10-05,33.869999
2012-10-08,33.759997999999996
2012-10-09,33.419998
2012-10-10,33.57
2012-10-11,33.830002
2012-10-12,33.5
2012-10-15,33.740002000000004
2012-10-16,33.709998999999996
2012-10-17,34.07
2012-10-18,34.0
2012-10-19,33.75
2012-10-22,34.07
2012-10-23,33.880001
2012-10-24,34.02
2012-10-25,34.619999
2012-10-26,34.080002
2012-10-31,34.349998
2012-11-01,35.02
2012-11-02,34.5
2012-11-05,34.619999
2012-11-06,34.950001
2012-11-07,34.25
2012-11-08,33.48
2012-11-09,33.889998999999996
2012-11-12,34.25
2012-11-13,33.810001
2012-11-14,33.310001
2012-11-15,32.939999
2012-11-16,33.0
2012-11-19,33.700001
2012-11-20,33.560001
2012-11-21,33.779999
2012-11-23,34.200001
2012-11-26,34.0
2012-11-27,33.599998
2012-11-28,33.400002
2012-11-29,33.5
2012-11-30,33.82
2012-12-03,33.490002000000004
2012-12-04,32.959998999999996
2012-12-05,33.450001
2012-12-06,33.150002
2012-12-07,33.009997999999996
2012-12-10,32.630001
2012-12-11,32.700001
2012-12-12,32.0
2012-12-13,32.02
2012-12-14,32.02
2012-12-17,32.919998
2012-12-18,33.57
2012-12-19,33.310001
2012-12-20,33.380001
2012-12-21,33.119999
2012-12-24,32.959998999999996
2012-12-26,32.740002000000004
2012-12-27,32.599998
2012-12-28,32.639998999999996
2012-12-31,32.779999
2013-01-02,33.150002
2013-01-03,33.689999
2013-01-04,34.790001000000004
2013-01-07,34.470001
2013-01-08,34.950001
2013-01-09,34.349998
2013-01-10,34.490002000000004
2013-01-11,34.66
2013-01-14,34.650002
2013-01-15,34.540001000000004
2013-01-16,35.599998
