Date,LRCX
1985-09-26,1.75
1985-09-30,1.75
1985-10-01,1.75
1985-10-02,1.6944439999999998
1985-10-03,1.638889
1985-10-04,1.611111
1985-10-07,1.555556
1985-10-08,1.527778
1985-10-09,1.444444
1985-10-10,1.527778
1985-10-11,1.555556
1985-10-14,1.611111
1985-10-15,1.583333
1985-10-16,1.638889
1985-10-17,1.638889
1985-10-18,1.7222220000000001
1985-10-21,1.75
1985-10-22,1.861111
1985-10-23,1.833333
1985-10-24,1.916667
1985-10-25,1.9444439999999998
1985-10-28,1.888889
1985-10-29,1.861111
1985-10-30,1.888889
1985-10-31,1.888889
1985-11-01,1.861111
1985-11-04,1.8055560000000002
1985-11-05,1.8055560000000002
1985-11-06,1.7777779999999999
1985-11-07,1.7777779999999999
1985-11-08,1.75
1985-11-11,1.8055560000000002
1985-11-12,1.7222220000000001
1985-11-13,1.7222220000000001
1985-11-14,1.7777779999999999
1985-11-15,1.8055560000000002
1985-11-18,1.7777779999999999
1985-11-19,1.8055560000000002
1985-11-20,1.916667
1985-11-21,1.9444439999999998
1985-11-22,1.9444439999999998
1985-11-25,1.9444439999999998
1985-11-26,1.9722220000000001
1985-11-27,1.9722220000000001
1985-11-29,1.9722220000000001
1985-12-02,1.9722220000000001
1985-12-03,2.0
1985-12-04,2.083333
1985-12-05,2.055556
1985-12-06,2.027778
1985-12-09,2.027778
1985-12-10,1.9722220000000001
1985-12-11,2.0
1985-12-12,2.0
1985-12-13,2.0
1985-12-16,2.0
1985-12-17,2.0
1985-12-18,2.0
1985-12-19,2.0
1985-12-20,2.0
1985-12-23,1.9722220000000001
1985-12-24,2.027778
1985-12-26,2.0
1985-12-27,2.138889
1985-12-30,2.222222
1985-12-31,2.25
1986-01-02,2.277778
1986-01-03,2.277778
1986-01-06,2.222222
1986-01-07,2.222222
1986-01-08,2.222222
1986-01-09,2.25
1986-01-10,2.194444
1986-01-13,2.166667
1986-01-14,2.25
1986-01-15,2.194444
1986-01-16,2.194444
1986-01-17,2.277778
1986-01-20,2.222222
1986-01-21,2.25
1986-01-22,2.25
1986-01-23,2.194444
1986-01-24,2.055556
1986-01-27,2.055556
1986-01-28,2.194444
1986-01-29,2.25
1986-01-30,2.222222
1986-01-31,2.194444
1986-02-03,2.25
1986-02-04,2.333333
1986-02-05,2.277778
1986-02-06,2.361111
1986-02-07,2.444444
1986-02-10,2.527778
1986-02-11,2.611111
1986-02-12,2.694444
1986-02-13,2.722222
1986-02-14,2.694444
1986-02-18,2.694444
1986-02-19,2.666667
1986-02-20,2.694444
1986-02-21,2.694444
1986-02-24,2.666667
1986-02-25,2.666667
1986-02-26,2.638889
1986-02-27,2.666667
1986-02-28,2.638889
1986-03-03,2.638889
1986-03-04,2.555556
1986-03-05,2.5
1986-03-06,2.416667
1986-03-07,2.444444
1986-03-10,2.444444
1986-03-11,2.444444
1986-03-12,2.472222
1986-03-13,2.472222
1986-03-14,2.5
1986-03-17,2.388889
1986-03-18,2.5
1986-03-19,2.555556
1986-03-20,2.611111
1986-03-21,2.611111
1986-03-24,2.583333
1986-03-25,2.361111
1986-03-26,2.388889
1986-03-27,2.333333
1986-03-31,2.305556
1986-04-01,2.305556
1986-04-02,2.305556
1986-04-03,2.277778
1986-04-04,2.305556
1986-04-07,2.305556
1986-04-08,2.305556
1986-04-09,2.305556
1986-04-10,2.305556
1986-04-11,2.305556
1986-04-14,2.361111
1986-04-15,2.5
1986-04-16,2.555556
1986-04-17,2.555556
1986-04-18,2.444444
1986-04-21,2.611111
1986-04-22,2.694444
1986-04-23,2.75
1986-04-24,2.722222
1986-04-25,2.722222
1986-04-28,2.777778
1986-04-29,2.805556
1986-04-30,2.75
1986-05-01,2.75
1986-05-02,2.777778
1986-05-05,2.75
1986-05-06,2.75
1986-05-07,2.805556
1986-05-08,2.916667
1986-05-09,3.0
1986-05-12,3.0
1986-05-13,3.027778
1986-05-14,2.972222
1986-05-15,2.888889
1986-05-16,2.861111
1986-05-19,2.861111
1986-05-20,2.861111
1986-05-21,2.916667
1986-05-22,2.916667
1986-05-23,2.916667
1986-05-27,2.861111
1986-05-28,2.916667
1986-05-29,2.916667
1986-05-30,2.861111
1986-06-02,2.583333
1986-06-03,2.555556
1986-06-04,2.416667
1986-06-05,2.5
1986-06-06,2.527778
1986-06-09,2.361111
1986-06-10,2.361111
1986-06-11,2.361111
1986-06-12,2.305556
1986-06-13,2.166667
1986-06-16,2.083333
1986-06-17,2.027778
1986-06-18,2.0
1986-06-19,2.194444
1986-06-20,2.083333
1986-06-23,2.083333
1986-06-24,1.916667
1986-06-25,1.9444439999999998
1986-06-26,1.888889
1986-06-27,1.888889
1986-06-30,1.916667
1986-07-01,1.833333
1986-07-02,1.916667
1986-07-03,1.916667
1986-07-07,1.861111
1986-07-08,1.833333
1986-07-09,1.888889
1986-07-10,1.833333
1986-07-11,1.861111
1986-07-14,1.916667
1986-07-15,1.7777779999999999
1986-07-16,1.7222220000000001
1986-07-17,1.7222220000000001
1986-07-18,1.7777779999999999
1986-07-21,1.7222220000000001
1986-07-22,1.7222220000000001
1986-07-23,1.7777779999999999
