Date,FMC
1981-08-19,1.284692
1981-08-20,1.246748
1981-08-21,1.26843
1981-08-24,1.235906
1981-08-25,1.252168
1981-08-26,1.246748
1981-08-27,1.241327
1981-08-28,1.26843
1981-08-31,1.241327
1981-09-01,1.235906
1981-09-02,1.241327
1981-09-03,1.214224
1981-09-04,1.192541
1981-09-08,1.1817
1981-09-09,1.1817
1981-09-10,1.1817
1981-09-11,1.1817
1981-09-14,1.1817
1981-09-15,1.1817
1981-09-16,1.160017
1981-09-17,1.127494
1981-09-18,1.127494
1981-09-21,1.127494
1981-09-22,1.127494
1981-09-23,1.127494
1981-09-24,1.127494
1981-09-25,1.1220729999999999
1981-09-28,1.138335
1981-09-29,1.203382
1981-09-30,1.149176
1981-10-01,1.127494
1981-10-02,1.127494
1981-10-05,1.1220729999999999
1981-10-06,1.09497
1981-10-07,1.105811
1981-10-08,1.10039
1981-10-09,1.10039
1981-10-12,1.105811
1981-10-13,1.105811
1981-10-14,1.084128
1981-10-15,1.0895489999999999
1981-10-16,1.084128
1981-10-19,1.084128
1981-10-20,1.116652
1981-10-21,1.149176
1981-10-22,1.138335
1981-10-23,1.127494
1981-10-26,1.138335
1981-10-27,1.160017
1981-10-28,1.165438
1981-10-29,1.1437549999999999
1981-10-30,1.1220729999999999
1981-11-02,1.116652
1981-11-03,1.127494
1981-11-04,1.127494
1981-11-05,1.1437549999999999
1981-11-06,1.132914
1981-11-09,1.138335
1981-11-10,1.132914
1981-11-11,1.138335
1981-11-12,1.138335
1981-11-13,1.1545969999999999
1981-11-16,1.1545969999999999
1981-11-17,1.1545969999999999
1981-11-18,1.165438
1981-11-19,1.165438
1981-11-20,1.160017
1981-11-23,1.165438
1981-11-24,1.170859
1981-11-25,1.170859
1981-11-27,1.160017
1981-11-30,1.170859
1981-12-01,1.203382
1981-12-02,1.1817
1981-12-03,1.203382
1981-12-04,1.203382
1981-12-07,1.170859
1981-12-08,1.1871209999999999
1981-12-09,1.170859
1981-12-10,1.176279
1981-12-11,1.197962
1981-12-14,1.170859
1981-12-15,1.1871209999999999
1981-12-16,1.170859
1981-12-17,1.165438
1981-12-18,1.1545969999999999
1981-12-21,1.170859
1981-12-22,1.1220729999999999
1981-12-23,1.116652
1981-12-24,1.138335
1981-12-28,1.127494
1981-12-29,1.116652
1981-12-30,1.105811
1981-12-31,1.111232
1982-01-04,1.116652
1982-01-05,1.116652
1982-01-06,1.105811
1982-01-07,1.073287
1982-01-08,1.084128
1982-01-11,1.067866
1982-01-12,1.046184
1982-01-13,1.0028190000000001
1982-01-14,1.01366
1982-01-15,1.019081
1982-01-18,1.019081
1982-01-19,1.019081
1982-01-20,1.019081
1982-01-21,1.051605
1982-01-22,1.0407629999999999
1982-01-25,1.046184
1982-01-26,1.051605
1982-01-27,1.051605
1982-01-28,1.057025
1982-01-29,1.0895489999999999
1982-02-01,1.084128
1982-02-02,1.073287
1982-02-03,1.067866
1982-02-04,1.078708
1982-02-05,1.09497
1982-02-08,1.062446
1982-02-09,1.0353430000000001
1982-02-10,1.057025
1982-02-11,1.062446
1982-02-12,1.0407629999999999
1982-02-16,1.0407629999999999
1982-02-17,1.0353430000000001
1982-02-18,1.029922
1982-02-19,1.019081
1982-02-22,1.019081
1982-02-23,1.051605
1982-02-24,1.0407629999999999
1982-02-25,1.105811
1982-02-26,1.0895489999999999
1982-03-01,1.0895489999999999
1982-03-02,1.116652
1982-03-03,1.09497
1982-03-04,1.0895489999999999
1982-03-05,1.084128
1982-03-08,1.078708
1982-03-09,1.084128
1982-03-10,1.084128
1982-03-11,1.073287
1982-03-12,1.084128
1982-03-15,1.084128
1982-03-16,1.10039
1982-03-17,1.111232
1982-03-18,1.116652
1982-03-19,1.138335
1982-03-22,1.170859
1982-03-23,1.170859
1982-03-24,1.170859
1982-03-25,1.1817
1982-03-26,1.170859
1982-03-29,1.170859
1982-03-30,1.165438
1982-03-31,1.170859
1982-04-01,1.1545969999999999
1982-04-02,1.127494
1982-04-05,1.111232
1982-04-06,1.111232
1982-04-07,1.1220729999999999
1982-04-08,1.1437549999999999
1982-04-12,1.1437549999999999
1982-04-13,1.197962
1982-04-14,1.176279
1982-04-15,1.1871209999999999
1982-04-16,1.1817
1982-04-19,1.170859
1982-04-20,1.1545969999999999
1982-04-21,1.138335
1982-04-22,1.1545969999999999
1982-04-23,1.1437549999999999
1982-04-26,1.160017
1982-04-27,1.165438
1982-04-28,1.1817
1982-04-29,1.170859
1982-04-30,1.1817
1982-05-03,1.170859
1982-05-04,1.160017
1982-05-05,1.160017
1982-05-06,1.1871209999999999
1982-05-07,1.192541
1982-05-10,1.165438
1982-05-11,1.214224
1982-05-12,1.1871209999999999
1982-05-13,1.149176
1982-05-14,1.1437549999999999
1982-05-17,1.132914
1982-05-18,1.127494
1982-05-19,1.138335
1982-05-20,1.132914
1982-05-21,1.1545969999999999
1982-05-24,1.149176
1982-05-25,1.138335
1982-05-26,1.1220729999999999
1982-05-27,1.116652
1982-05-28,1.10039
1982-06-01,1.09497
1982-06-02,1.09497
1982-06-03,1.073287
1982-06-04,1.0407629999999999
1982-06-07,1.0407629999999999
1982-06-08,1.029922
1982-06-09,1.029922
1982-06-10,1.0407629999999999
1982-06-11,1.051605
1982-06-14,1.046184
1982-06-15,1.084128
1982-06-16,1.10039
1982-06-17,1.105811
1982-06-18,1.073287
1982-06-21,1.073287
1982-06-22,1.051605
1982-06-23,1.062446
1982-06-24,1.067866
1982-06-25,1.062446
1982-06-28,1.073287
1982-06-29,1.084128
1982-06-30,1.084128
1982-07-01,1.073287
1982-07-02,1.067866
1982-07-06,1.078708
1982-07-07,1.073287
1982-07-08,1.09497
1982-07-09,1.116652
1982-07-12,1.127494
1982-07-13,1.149176
1982-07-14,1.1545969999999999
1982-07-15,1.170859
1982-07-16,1.149176
1982-07-19,1.149176
1982-07-20,1.111232
1982-07-21,1.149176
1982-07-22,1.149176
1982-07-23,1.149176
1982-07-26,1.149176
1982-07-27,1.1437549999999999
1982-07-28,1.127494
1982-07-29,1.09497
1982-07-30,1.10039
1982-08-02,1.1220729999999999
1982-08-03,1.1220729999999999
1982-08-04,1.127494
1982-08-05,1.062446
1982-08-06,1.062446
1982-08-09,1.051605
1982-08-10,1.073287
1982-08-11,1.062446
1982-08-12,1.073287
1982-08-13,1.078708
1982-08-16,1.078708
1982-08-17,1.127494
1982-08-18,1.160017
1982-08-19,1.170859
1982-08-20,1.192541
1982-08-23,1.214224
1982-08-24,1.170859
1982-08-25,1.197962
1982-08-26,1.203382
1982-08-27,1.197962
1982-08-30,1.214224
1982-08-31,1.235906
1982-09-01,1.2575889999999998
1982-09-02,1.252168
1982-09-03,1.26843
1982-09-07,1.2792709999999998
1982-09-08,1.295533
1982-09-09,1.311795
1982-09-10,1.3009540000000002
1982-09-13,1.3009540000000002
1982-09-14,1.306375
1982-09-15,1.366002
1982-09-16,1.387684
1982-09-17,1.360581
1982-09-20,1.34974
1982-09-21,1.371422
1982-09-22,1.371422
1982-09-23,1.376843
1982-09-24,1.360581
1982-09-27,1.360581
1982-09-28,1.366002
1982-09-29,1.344319
1982-09-30,1.338899
1982-10-01,1.34974
1982-10-04,1.360581
1982-10-05,1.3551600000000001
1982-10-06,1.376843
1982-10-07,1.387684
1982-10-08,1.409367
1982-10-11,1.447311
1982-10-12,1.447311
1982-10-13,1.490677
1982-10-14,1.490677
1982-10-15,1.474415
1982-10-18,1.463573
1982-10-19,1.409367
1982-10-20,1.452732
1982-10-21,1.441891
1982-10-22,1.409367
1982-10-25,1.3551600000000001
1982-10-26,1.360581
1982-10-27,1.371422
1982-10-28,1.371422
1982-10-29,1.376843
1982-11-01,1.382264
1982-11-02,1.360581
1982-11-03,1.382264
1982-11-04,1.387684
1982-11-05,1.398526
1982-11-08,1.360581
1982-11-09,1.328057
1982-11-10,1.3334780000000002
1982-11-11,1.338899
1982-11-12,1.322637
1982-11-15,1.338899
1982-11-16,1.34974
1982-11-17,1.360581
1982-11-18,1.344319
1982-11-19,1.344319
1982-11-22,1.338899
1982-11-23,1.3009540000000002
1982-11-24,1.2792709999999998
