Date,NLSN
2016-08-22,53.470001
2016-08-23,52.889998999999996
2016-08-24,52.48
2016-08-25,52.599998
2016-08-26,52.490002000000004
2016-08-29,52.669998
2016-08-30,53.09
2016-08-31,53.279999
2016-09-01,52.689999
2016-09-02,52.669998
2016-09-06,53.040001000000004
2016-09-07,53.369999
2016-09-08,52.360001000000004
2016-09-09,52.0
2016-09-12,52.709998999999996
2016-09-13,51.91
2016-09-14,51.869999
2016-09-15,52.52
2016-09-16,52.18
2016-09-19,52.310001
2016-09-20,52.41
2016-09-21,52.330002
2016-09-22,52.720001
2016-09-23,53.330002
2016-09-26,53.150002
2016-09-27,53.490002000000004
2016-09-28,53.650002
2016-09-29,53.470001
2016-09-30,53.57
2016-10-03,53.650002
2016-10-04,53.459998999999996
2016-10-05,53.189999
2016-10-06,52.560001
2016-10-07,52.360001000000004
2016-10-10,52.529999
2016-10-11,51.75
2016-10-12,52.049999
2016-10-13,52.549999
2016-10-14,53.529999
2016-10-17,53.470001
2016-10-18,53.889998999999996
2016-10-19,54.32
2016-10-20,54.049999
2016-10-21,54.599998
2016-10-24,54.93
2016-10-25,45.650002
2016-10-26,45.779999
2016-10-27,45.950001
2016-10-28,44.66
2016-10-31,45.02
2016-11-01,45.299999
2016-11-02,44.68
2016-11-03,43.799999
2016-11-04,43.5
2016-11-07,44.650002
2016-11-08,44.650002
2016-11-09,45.130001
2016-11-10,44.869999
2016-11-11,44.09
2016-11-14,43.07
2016-11-15,43.580002
2016-11-16,44.630001
2016-11-17,43.720001
2016-11-18,42.639998999999996
2016-11-21,42.59
2016-11-22,42.91
2016-11-23,43.110001000000004
2016-11-25,43.400002
2016-11-28,43.419998
2016-11-29,43.400002
2016-11-30,43.099998
2016-12-01,42.110001000000004
2016-12-02,42.07
2016-12-05,42.41
2016-12-06,42.400002
2016-12-07,43.400002
2016-12-08,41.990002000000004
2016-12-09,42.720001
2016-12-12,42.169998
2016-12-13,42.040001000000004
2016-12-14,43.119999
2016-12-15,42.700001
2016-12-16,43.139998999999996
2016-12-19,43.290001000000004
2016-12-20,43.290001000000004
2016-12-21,43.259997999999996
2016-12-22,42.77
2016-12-23,42.75
2016-12-27,42.700001
2016-12-28,42.240002000000004
2016-12-29,42.099998
2016-12-30,41.950001
2017-01-03,42.27
2017-01-04,42.5
2017-01-05,42.52
2017-01-06,42.509997999999996
2017-01-09,42.360001000000004
2017-01-10,41.75
2017-01-11,41.59
2017-01-12,42.009997999999996
2017-01-13,42.360001000000004
2017-01-17,42.369999
2017-01-18,41.889998999999996
2017-01-19,41.450001
2017-01-20,40.950001
2017-01-23,40.540001000000004
2017-01-24,40.700001
2017-01-25,41.0
2017-01-26,40.709998999999996
2017-01-27,40.889998999999996
2017-01-30,41.07
2017-01-31,40.91
2017-02-01,41.32
2017-02-02,41.650002
2017-02-03,42.459998999999996
2017-02-06,41.990002000000004
2017-02-07,41.860001000000004
2017-02-08,42.060001
2017-02-09,43.18
2017-02-10,44.310001
2017-02-13,44.98
2017-02-14,44.77
2017-02-15,44.810001
2017-02-16,44.849998
2017-02-17,45.080002
2017-02-21,45.5
2017-02-22,44.880001
2017-02-23,45.209998999999996
2017-02-24,45.16
2017-02-27,44.720001
2017-02-28,44.360001000000004
2017-03-01,45.07
2017-03-02,45.099998
2017-03-03,44.77
2017-03-06,44.400002
2017-03-07,44.5
2017-03-08,44.389998999999996
2017-03-09,44.32
2017-03-10,43.700001
2017-03-13,43.439999
2017-03-14,43.639998999999996
2017-03-15,44.060001
2017-03-16,44.02
2017-03-17,42.639998999999996
2017-03-20,42.66
2017-03-21,41.650002
2017-03-22,41.290001000000004
2017-03-23,41.259997999999996
2017-03-24,41.279999
2017-03-27,41.029999
2017-03-28,41.34
2017-03-29,41.119999
2017-03-30,41.080002
2017-03-31,41.310001
2017-04-03,41.869999
2017-04-04,41.720001
2017-04-05,41.84
2017-04-06,42.0
2017-04-07,41.68
2017-04-10,41.48
2017-04-11,41.369999
2017-04-12,41.0
2017-04-13,41.029999
2017-04-17,41.240002000000004
2017-04-18,41.220001
2017-04-19,41.759997999999996
2017-04-20,41.130001
2017-04-21,41.0
2017-04-24,41.59
2017-04-25,39.98
2017-04-26,39.41
2017-04-27,40.200001
2017-04-28,41.130001
2017-05-01,40.529999
2017-05-02,40.240002000000004
2017-05-03,40.189999
2017-05-04,39.889998999999996
2017-05-05,40.200001
2017-05-08,40.48
2017-05-09,40.790001000000004
2017-05-10,40.220001
2017-05-11,40.66
2017-05-12,40.400002
2017-05-15,41.119999
2017-05-16,40.529999
2017-05-17,40.209998999999996
2017-05-18,39.040001000000004
2017-05-19,39.560001
2017-05-22,39.610001000000004
2017-05-23,39.110001000000004
2017-05-24,38.810001
2017-05-25,38.400002
2017-05-26,38.540001000000004
2017-05-30,38.93
2017-05-31,38.48
2017-06-01,38.98
2017-06-02,39.049999
2017-06-05,38.529999
2017-06-06,38.709998999999996
2017-06-07,37.860001000000004
2017-06-08,37.220001
2017-06-09,37.669998
2017-06-12,38.23
2017-06-13,38.84
2017-06-14,38.66
2017-06-15,38.450001
2017-06-16,38.349998
2017-06-19,38.77
2017-06-20,38.150002
2017-06-21,37.23
2017-06-22,37.139998999999996
2017-06-23,37.459998999999996
