Date,DFS
2009-10-13,16.219998999999998
2009-10-14,16.26
2009-10-15,16.1
2009-10-16,15.08
2009-10-19,15.62
2009-10-20,15.09
2009-10-21,14.87
2009-10-22,15.42
2009-10-23,15.03
2009-10-26,15.06
2009-10-27,14.87
2009-10-28,14.27
2009-10-29,14.95
2009-10-30,14.14
2009-11-02,14.24
2009-11-03,14.19
2009-11-04,13.95
2009-11-05,14.53
2009-11-06,14.53
2009-11-09,15.38
2009-11-10,15.4
2009-11-11,15.4
2009-11-12,15.4
2009-11-13,15.4
2009-11-16,16.110001
2009-11-17,15.92
2009-11-18,15.99
2009-11-19,15.42
2009-11-20,15.35
2009-11-23,15.48
2009-11-24,15.34
2009-11-25,15.7
2009-11-27,15.13
2009-11-30,15.46
2009-12-01,15.45
2009-12-02,15.27
2009-12-03,14.83
2009-12-04,15.18
2009-12-07,15.41
2009-12-08,15.1
2009-12-09,15.44
2009-12-10,15.6
2009-12-11,16.129998999999998
2009-12-14,16.49
2009-12-15,16.01
2009-12-16,16.42
2009-12-17,14.92
2009-12-18,14.95
2009-12-21,14.7
2009-12-22,14.64
2009-12-23,14.68
2009-12-24,14.93
2009-12-28,14.82
2009-12-29,14.76
2009-12-30,14.81
2009-12-31,14.71
2010-01-04,14.61
2010-01-05,15.1
2010-01-06,15.0
2010-01-07,15.09
2010-01-08,15.03
2010-01-11,14.84
2010-01-12,14.91
2010-01-13,15.01
2010-01-14,14.97
2010-01-15,14.76
2010-01-19,14.86
2010-01-20,14.82
2010-01-21,14.23
2010-01-22,13.46
2010-01-25,13.48
2010-01-26,13.47
2010-01-27,13.82
2010-01-28,13.51
2010-01-29,13.68
2010-02-01,13.32
2010-02-02,13.8
2010-02-03,13.3
2010-02-04,12.9
2010-02-05,13.01
2010-02-08,12.76
2010-02-09,13.03
2010-02-10,12.92
2010-02-11,13.04
2010-02-12,13.03
2010-02-16,13.55
2010-02-17,13.53
2010-02-18,13.56
2010-02-19,13.67
2010-02-22,13.84
2010-02-23,13.47
2010-02-24,13.63
2010-02-25,13.46
2010-02-26,13.65
2010-03-01,13.61
2010-03-02,13.9
2010-03-03,13.78
2010-03-04,13.77
2010-03-05,14.17
2010-03-08,14.12
2010-03-09,14.44
2010-03-10,14.38
2010-03-11,14.92
2010-03-12,14.97
2010-03-15,15.2
2010-03-16,15.3
2010-03-17,15.24
2010-03-18,15.52
2010-03-19,15.24
2010-03-22,15.35
2010-03-23,15.4
2010-03-24,15.4
2010-03-25,15.39
