Date,SLB
1984-03-28,13.375
1984-03-29,13.0625
1984-03-30,13.21875
1984-04-02,13.1875
1984-04-03,13.40625
1984-04-04,13.3125
1984-04-05,13.25
1984-04-06,13.125
1984-04-09,12.90625
1984-04-10,13.0
1984-04-11,12.875
1984-04-12,13.375
1984-04-13,13.5
1984-04-16,13.5625
1984-04-17,13.53125
1984-04-18,13.3125
1984-04-19,13.4375
1984-04-23,13.1875
1984-04-24,13.40625
1984-04-25,13.625
1984-04-26,13.71875
1984-04-27,13.5625
1984-04-30,13.625
1984-05-01,13.40625
1984-05-02,13.3125
1984-05-03,13.09375
1984-05-04,12.875
1984-05-07,12.96875
1984-05-08,13.0625
1984-05-09,12.9375
1984-05-10,12.78125
1984-05-11,12.625
1984-05-14,12.53125
1984-05-15,12.78125
1984-05-16,12.84375
1984-05-17,12.8125
1984-05-18,12.78125
1984-05-21,12.78125
1984-05-22,12.65625
1984-05-23,12.28125
1984-05-24,12.0
1984-05-25,11.90625
1984-05-29,11.875
1984-05-30,11.96875
1984-05-31,11.9375
1984-06-01,12.1875
1984-06-04,12.25
1984-06-05,12.1875
1984-06-06,12.5625
1984-06-07,12.5
1984-06-08,12.65625
1984-06-11,12.25
1984-06-12,12.0625
1984-06-13,11.875
1984-06-14,11.65625
1984-06-15,11.125
1984-06-18,11.34375
1984-06-19,11.65625
1984-06-20,11.65625
1984-06-21,11.53125
1984-06-22,11.5
1984-06-25,11.53125
1984-06-26,11.21875
1984-06-27,11.125
1984-06-28,11.3125
1984-06-29,11.3125
1984-07-02,11.28125
1984-07-03,11.15625
1984-07-05,11.0625
1984-07-06,10.75
1984-07-09,10.65625
1984-07-10,10.6875
1984-07-11,10.625
1984-07-12,10.5
1984-07-13,10.65625
1984-07-16,10.75
1984-07-17,10.78125
1984-07-18,10.59375
1984-07-19,10.75
1984-07-20,10.90625
1984-07-23,10.8125
1984-07-24,10.53125
1984-07-25,10.4375
1984-07-26,10.34375
1984-07-27,10.15625
1984-07-30,9.875
1984-07-31,9.90625
1984-08-01,10.375
1984-08-02,10.5625
1984-08-03,11.28125
1984-08-06,11.375
1984-08-07,11.09375
1984-08-08,11.375
1984-08-09,11.59375
1984-08-10,11.625
1984-08-13,11.5625
1984-08-14,11.5
1984-08-15,11.28125
1984-08-16,11.34375
1984-08-17,11.40625
1984-08-20,11.65625
1984-08-21,12.09375
1984-08-22,12.125
1984-08-23,12.09375
1984-08-24,12.1875
1984-08-27,12.125
1984-08-28,12.125
1984-08-29,12.25
1984-08-30,12.15625
1984-08-31,12.0625
1984-09-04,11.8125
1984-09-05,11.53125
1984-09-06,11.625
1984-09-07,11.40625
1984-09-10,11.4375
1984-09-11,11.40625
1984-09-12,11.40625
1984-09-13,11.875
1984-09-14,11.65625
1984-09-17,11.40625
1984-09-18,11.40625
1984-09-19,11.34375
1984-09-20,11.15625
1984-09-21,11.375
1984-09-24,11.375
1984-09-25,11.25
1984-09-26,11.375
1984-09-27,11.53125
1984-09-28,11.5
1984-10-01,11.28125
1984-10-02,11.375
1984-10-03,11.28125
1984-10-04,11.34375
1984-10-05,11.40625
1984-10-08,11.375
1984-10-09,11.28125
1984-10-10,11.125
1984-10-11,10.875
1984-10-12,11.125
1984-10-15,11.34375
1984-10-16,10.96875
1984-10-17,10.3125
1984-10-18,10.3125
1984-10-19,10.15625
1984-10-22,10.28125
1984-10-23,10.1875
1984-10-24,10.1875
1984-10-25,10.25
1984-10-26,10.1875
1984-10-29,10.1875
1984-10-30,10.46875
1984-10-31,10.46875
1984-11-01,10.53125
1984-11-02,10.625
1984-11-05,10.5
1984-11-06,10.53125
1984-11-07,10.34375
1984-11-08,10.28125
1984-11-09,10.28125
1984-11-12,10.3125
1984-11-13,10.21875
1984-11-14,10.15625
1984-11-15,10.15625
1984-11-16,10.03125
1984-11-19,10.03125
1984-11-20,10.0625
1984-11-21,9.96875
1984-11-23,10.1875
1984-11-26,9.75
1984-11-27,9.625
1984-11-28,9.625
1984-11-29,9.625
1984-11-30,9.625
1984-12-03,9.625
1984-12-04,9.78125
1984-12-05,9.71875
1984-12-06,9.625
1984-12-07,9.59375
1984-12-10,9.6875
1984-12-11,9.65625
1984-12-12,9.4375
1984-12-13,9.34375
1984-12-14,9.34375
1984-12-17,9.1875
1984-12-18,9.40625
1984-12-19,9.0
1984-12-20,9.40625
1984-12-21,9.40625
1984-12-24,9.40625
1984-12-26,9.25
1984-12-27,9.25
1984-12-28,9.375
1984-12-31,9.53125
1985-01-02,9.5
1985-01-03,9.0625
1985-01-04,9.03125
1985-01-07,8.90625
1985-01-08,8.625
1985-01-09,8.8125
1985-01-10,9.25
1985-01-11,9.0
1985-01-14,9.25
1985-01-15,9.4375
1985-01-16,9.21875
1985-01-17,9.21875
1985-01-18,9.1875
1985-01-21,9.59375
1985-01-22,9.625
1985-01-23,9.8125
1985-01-24,9.625
1985-01-25,9.46875
1985-01-28,9.5625
1985-01-29,9.625
1985-01-30,9.84375
1985-01-31,10.0
1985-02-01,10.03125
1985-02-04,10.0
1985-02-05,10.0
1985-02-06,10.03125
1985-02-07,10.21875
1985-02-08,10.375
1985-02-11,10.34375
1985-02-12,10.6875
1985-02-13,10.84375
1985-02-14,10.5625
1985-02-15,10.40625
1985-02-19,10.53125
1985-02-20,10.34375
1985-02-21,10.375
1985-02-22,10.1875
1985-02-25,10.125
1985-02-26,10.40625
1985-02-27,10.46875
1985-02-28,10.5
1985-03-01,10.46875
1985-03-04,10.5
1985-03-05,10.28125
1985-03-06,10.0
1985-03-07,9.84375
1985-03-08,9.78125
1985-03-11,9.75
1985-03-12,9.71875
1985-03-13,9.46875
1985-03-14,9.5
1985-03-15,9.5
1985-03-18,9.53125
1985-03-19,9.75
1985-03-20,9.8125
1985-03-21,9.71875
1985-03-22,9.6875
1985-03-25,9.625
1985-03-26,9.65625
1985-03-27,9.6875
1985-03-28,9.625
1985-03-29,9.625
1985-04-01,9.5625
1985-04-02,9.40625
1985-04-03,9.3125
1985-04-04,9.375
1985-04-08,9.40625
1985-04-09,9.4375
1985-04-10,9.71875
1985-04-11,9.5625
1985-04-12,9.5
1985-04-15,9.5625
1985-04-16,9.625
1985-04-17,9.625
1985-04-18,9.78125
1985-04-19,9.875
1985-04-22,10.21875
1985-04-23,10.09375
1985-04-24,10.21875
1985-04-25,10.1875
1985-04-26,10.125
1985-04-29,10.1875
1985-04-30,9.78125
1985-05-01,9.75
1985-05-02,9.84375
1985-05-03,9.875
1985-05-06,9.625
1985-05-07,9.71875
1985-05-08,9.625
1985-05-09,9.78125
1985-05-10,9.75
1985-05-13,9.71875
1985-05-14,9.59375
1985-05-15,9.8125
1985-05-16,10.0
1985-05-17,9.96875
1985-05-20,10.03125
1985-05-21,10.125
1985-05-22,10.03125
1985-05-23,9.90625
1985-05-24,9.8125
1985-05-28,9.8125
1985-05-29,9.5625
1985-05-30,9.53125
1985-05-31,9.5
1985-06-03,9.375
1985-06-04,9.53125
1985-06-05,9.59375
1985-06-06,9.5
1985-06-07,9.34375
1985-06-10,9.5
1985-06-11,9.59375
1985-06-12,9.46875
1985-06-13,9.34375
1985-06-14,9.3125
1985-06-17,9.15625
1985-06-18,9.0
1985-06-19,9.0625
1985-06-20,9.125
1985-06-21,9.46875
1985-06-24,9.46875
1985-06-25,9.5
1985-06-26,9.4375
