Date,JWN
1981-10-07,4.0625
1981-10-08,4.0625
1981-10-09,4.125
1981-10-12,4.3125
1981-10-13,4.5
1981-10-14,4.4375
1981-10-15,4.3125
1981-10-16,4.28125
1981-10-19,4.28125
1981-10-20,4.3125
1981-10-21,4.5
1981-10-22,4.46875
1981-10-23,4.46875
1981-10-26,4.5
1981-10-27,4.59375
1981-10-28,4.71875
1981-10-29,4.625
1981-10-30,4.6875
1981-11-02,4.65625
1981-11-03,4.625
1981-11-04,4.65625
1981-11-05,4.5625
1981-11-06,4.5
1981-11-09,4.4375
1981-11-10,4.4375
1981-11-11,4.34375
1981-11-12,4.375
1981-11-13,4.375
1981-11-16,4.125
1981-11-17,3.9375
1981-11-18,3.71875
1981-11-19,3.5625
1981-11-20,3.75
1981-11-23,3.78125
1981-11-24,3.8125
1981-11-25,3.8125
1981-11-27,3.6875
1981-11-30,3.65625
1981-12-01,3.71875
1981-12-02,3.75
1981-12-03,3.75
1981-12-04,3.65625
1981-12-07,3.53125
1981-12-08,3.46875
1981-12-09,3.53125
1981-12-10,3.59375
1981-12-11,3.59375
1981-12-14,3.59375
1981-12-15,3.5625
1981-12-16,3.5625
1981-12-17,3.5625
1981-12-18,3.53125
1981-12-21,3.65625
1981-12-22,3.65625
1981-12-23,3.65625
1981-12-24,3.6875
1981-12-28,3.6875
1981-12-29,3.703125
1981-12-30,3.8125
1981-12-31,3.9375
1982-01-04,3.9375
1982-01-05,3.75
1982-01-06,3.75
1982-01-07,3.75
1982-01-08,3.96875
1982-01-11,3.96875
1982-01-12,3.9375
1982-01-13,3.90625
1982-01-14,3.9375
1982-01-15,3.9375
1982-01-18,3.9375
1982-01-19,3.9375
1982-01-20,3.90625
1982-01-21,3.90625
1982-01-22,3.875
1982-01-25,3.8125
1982-01-26,3.65625
1982-01-27,3.65625
1982-01-28,3.6875
1982-01-29,3.75
1982-02-01,3.75
1982-02-02,3.75
1982-02-03,3.78125
1982-02-04,3.75
1982-02-05,3.78125
1982-02-08,3.78125
1982-02-09,3.78125
1982-02-10,3.78125
1982-02-11,3.6875
1982-02-12,3.65625
1982-02-16,3.59375
1982-02-17,3.59375
1982-02-18,3.59375
1982-02-19,3.59375
1982-02-22,3.6875
1982-02-23,3.65625
1982-02-24,3.6875
1982-02-25,3.78125
1982-02-26,3.71875
1982-03-01,3.71875
1982-03-02,3.8125
1982-03-03,3.875
1982-03-04,3.96875
1982-03-05,3.96875
1982-03-08,3.8125
1982-03-09,3.84375
1982-03-10,3.6875
1982-03-11,3.53125
1982-03-12,3.53125
1982-03-15,3.46875
1982-03-16,3.46875
1982-03-17,3.4375
1982-03-18,3.34375
1982-03-19,3.40625
1982-03-22,3.46875
1982-03-23,3.40625
1982-03-24,3.40625
1982-03-25,3.4375
1982-03-26,3.4375
1982-03-29,3.4375
1982-03-30,3.5
1982-03-31,3.53125
1982-04-01,3.53125
1982-04-02,3.59375
1982-04-05,3.625
1982-04-06,3.625
1982-04-07,3.59375
1982-04-08,3.5625
1982-04-12,3.59375
1982-04-13,3.59375
1982-04-14,3.59375
1982-04-15,3.65625
1982-04-16,3.71875
1982-04-19,3.78125
1982-04-20,3.875
1982-04-21,3.8125
1982-04-22,3.875
1982-04-23,3.90625
1982-04-26,3.90625
1982-04-27,3.875
1982-04-28,3.875
1982-04-29,3.8125
1982-04-30,3.8125
1982-05-03,3.90625
1982-05-04,4.0
1982-05-05,4.03125
1982-05-06,3.9375
1982-05-07,3.96875
1982-05-10,3.90625
1982-05-11,3.90625
1982-05-12,3.84375
1982-05-13,3.84375
1982-05-14,3.875
1982-05-17,3.875
1982-05-18,3.84375
1982-05-19,3.90625
1982-05-20,3.9375
1982-05-21,3.9375
1982-05-24,3.9375
1982-05-25,3.9375
1982-05-26,3.9375
1982-05-27,3.9375
1982-05-28,3.90625
1982-06-01,3.875
1982-06-02,3.875
1982-06-03,3.875
1982-06-04,3.875
1982-06-07,3.875
