Date,MSCI
2009-04-30,20.99
2009-05-01,21.799999
2009-05-04,22.299999
2009-05-05,22.530001000000002
2009-05-06,22.74
2009-05-07,22.24
2009-05-08,23.639999
2009-05-11,23.59
2009-05-12,23.27
2009-05-13,21.950001
2009-05-14,22.66
2009-05-15,23.1
2009-05-18,23.48
2009-05-19,21.57
2009-05-20,21.299999
2009-05-21,21.040001
2009-05-22,20.700001
2009-05-26,21.83
2009-05-27,20.51
2009-05-28,20.68
2009-05-29,21.27
2009-06-01,22.469998999999998
2009-06-02,23.15
2009-06-03,22.719998999999998
2009-06-04,23.77
2009-06-05,22.940001000000002
2009-06-08,22.540001
2009-06-09,23.25
2009-06-10,23.23
2009-06-11,23.950001
2009-06-12,23.92
2009-06-15,23.549999
2009-06-16,22.77
2009-06-17,23.4
2009-06-18,24.0
2009-06-19,23.83
2009-06-22,22.74
2009-06-23,23.27
2009-06-24,24.0
2009-06-25,24.92
2009-06-26,24.870001000000002
2009-06-29,24.549999
2009-06-30,24.440001000000002
2009-07-01,24.07
2009-07-02,24.74
2009-07-06,24.809998999999998
2009-07-07,24.299999
2009-07-08,24.200001
2009-07-09,24.6
2009-07-10,25.030001000000002
2009-07-13,25.73
2009-07-14,25.57
2009-07-15,26.280001000000002
2009-07-16,26.35
2009-07-17,26.709999
2009-07-20,26.83
2009-07-21,25.76
2009-07-22,25.360001
2009-07-23,26.5
2009-07-24,26.48
2009-07-27,26.51
2009-07-28,26.370001000000002
2009-07-29,26.389999
2009-07-30,27.200001
2009-07-31,27.950001
2009-08-03,28.49
2009-08-04,28.049999
2009-08-05,27.219998999999998
2009-08-06,27.68
2009-08-07,28.709999
2009-08-10,28.879998999999998
2009-08-11,28.299999
2009-08-12,28.629998999999998
2009-08-13,28.690001000000002
2009-08-14,28.5
2009-08-17,27.75
2009-08-18,28.879998999999998
2009-08-19,28.969998999999998
2009-08-20,29.5
2009-08-21,29.58
2009-08-24,30.209999
2009-08-25,30.120001000000002
2009-08-26,30.549999
2009-08-27,30.040001
2009-08-28,29.67
2009-08-31,29.42
2009-09-01,28.59
2009-09-02,27.93
2009-09-03,28.34
2009-09-04,28.940001000000002
2009-09-08,29.709999
2009-09-09,29.870001000000002
2009-09-10,29.299999
2009-09-11,29.17
2009-09-14,29.049999
2009-09-15,27.99
2009-09-16,27.84
2009-09-17,27.299999
2009-09-18,26.99
2009-09-21,27.379998999999998
2009-09-22,28.16
2009-09-23,28.860001
2009-09-24,28.73
2009-09-25,28.209999
2009-09-28,29.65
2009-09-29,30.25
2009-09-30,29.620001000000002
2009-10-01,27.139999
2009-10-02,27.110001
2009-10-05,27.209999
2009-10-06,26.200001
2009-10-07,25.98
2009-10-08,26.469998999999998
2009-10-09,26.92
2009-10-12,26.540001
2009-10-13,26.5
2009-10-14,27.76
2009-10-15,28.33
2009-10-16,28.030001000000002
2009-10-19,28.440001000000002
2009-10-20,27.77
2009-10-21,27.969998999999998
2009-10-22,28.49
2009-10-23,28.48
2009-10-26,28.889999
2009-10-27,29.450001
2009-10-28,28.82
2009-10-29,29.23
2009-10-30,30.4
2009-11-02,30.17
2009-11-03,30.42
2009-11-04,30.26
2009-11-05,30.92
2009-11-06,32.23
2009-11-09,33.599998
2009-11-10,32.400002
2009-11-11,32.650002
2009-11-12,31.99
2009-11-13,32.23
2009-11-16,32.16
2009-11-17,32.099998
2009-11-18,31.58
2009-11-19,31.0
2009-11-20,30.870001000000002
2009-11-23,31.120001000000002
2009-11-24,30.870001000000002
2009-11-25,30.799999
2009-11-27,30.200001
2009-11-30,30.469998999999998
2009-12-01,31.309998999999998
2009-12-02,32.139998999999996
2009-12-03,32.09
2009-12-04,32.279999
2009-12-07,31.799999
2009-12-08,32.060001
