Date,AWK
2010-03-23,21.610001
2010-03-24,21.700001
2010-03-25,21.51
2010-03-26,21.25
2010-03-29,21.43
2010-03-30,21.370001000000002
2010-03-31,21.76
2010-04-01,21.809998999999998
2010-04-05,22.15
2010-04-06,22.139999
2010-04-07,21.709999
2010-04-08,21.35
2010-04-09,21.620001000000002
2010-04-12,21.549999
2010-04-13,21.48
2010-04-14,21.440001000000002
2010-04-15,21.43
2010-04-16,21.469998999999998
2010-04-19,21.219998999999998
2010-04-20,21.450001
2010-04-21,21.639999
2010-04-22,21.43
2010-04-23,21.360001
2010-04-26,21.059998999999998
2010-04-27,20.83
2010-04-28,21.24
2010-04-29,21.690001000000002
2010-04-30,21.780001000000002
2010-05-03,21.940001000000002
2010-05-04,22.0
2010-05-05,22.01
2010-05-06,21.4
2010-05-07,20.709999
2010-05-10,21.93
2010-05-11,21.65
2010-05-12,21.700001
2010-05-13,21.75
2010-05-14,21.379998999999998
2010-05-17,21.290001
2010-05-18,20.92
2010-05-19,20.65
2010-05-20,19.950001
2010-05-21,20.09
2010-05-24,20.049999
2010-05-25,20.01
2010-05-26,20.0
2010-05-27,20.280001000000002
2010-05-28,20.34
2010-06-01,20.02
2010-06-02,20.219998999999998
2010-06-03,20.41
2010-06-04,19.92
2010-06-07,19.92
2010-06-08,20.209999
2010-06-09,20.1
2010-06-10,20.01
2010-06-11,20.1
2010-06-14,20.66
2010-06-15,20.860001
2010-06-16,20.889999
2010-06-17,21.09
2010-06-18,21.74
2010-06-21,21.450001
2010-06-22,21.1
2010-06-23,20.969998999999998
2010-06-24,20.799999
2010-06-25,21.02
2010-06-28,21.18
2010-06-29,20.76
2010-06-30,20.6
2010-07-01,20.0
2010-07-02,20.030001000000002
2010-07-06,20.290001
2010-07-07,21.08
2010-07-08,21.209999
2010-07-09,21.23
2010-07-12,21.059998999999998
2010-07-13,21.120001000000002
2010-07-14,21.280001000000002
2010-07-15,21.360001
2010-07-16,20.84
2010-07-19,21.059998999999998
2010-07-20,21.459999
2010-07-21,20.99
2010-07-22,21.379998999999998
2010-07-23,21.34
2010-07-26,21.719998999999998
2010-07-27,21.84
2010-07-28,21.549999
2010-07-29,21.25
2010-07-30,21.379998999999998
2010-08-02,21.799999
2010-08-03,21.559998999999998
2010-08-04,21.58
2010-08-05,22.620001000000002
2010-08-06,22.559998999999998
2010-08-09,22.6
2010-08-10,22.82
2010-08-11,22.719998999999998
2010-08-12,22.48
2010-08-13,22.66
2010-08-16,22.1
2010-08-17,22.33
2010-08-18,22.27
2010-08-19,22.09
2010-08-20,22.08
2010-08-23,22.0
2010-08-24,21.950001
2010-08-25,22.66
2010-08-26,22.690001000000002
2010-08-27,22.74
2010-08-30,22.6
2010-08-31,22.58
2010-09-01,23.040001
2010-09-02,23.26
2010-09-03,23.34
2010-09-07,22.879998999999998
2010-09-08,22.5
2010-09-09,22.559998999999998
2010-09-10,22.610001
2010-09-13,22.77
2010-09-14,22.780001000000002
2010-09-15,22.85
2010-09-16,22.73
2010-09-17,23.139999
2010-09-20,23.190001000000002
2010-09-21,23.059998999999998
2010-09-22,23.24
2010-09-23,23.040001
2010-09-24,23.49
2010-09-27,23.33
2010-09-28,23.27
2010-09-29,23.059998999999998
2010-09-30,23.27
2010-10-01,23.530001000000002
2010-10-04,23.469998999999998
2010-10-05,23.690001000000002
2010-10-06,23.74
2010-10-07,23.77
2010-10-08,23.700001
2010-10-11,23.66
2010-10-12,23.719998999999998
2010-10-13,23.469998999999998
2010-10-14,23.52
2010-10-15,23.639999
2010-10-18,23.65
2010-10-19,23.73
2010-10-20,23.860001
2010-10-21,23.74
2010-10-22,23.68
2010-10-25,23.549999
2010-10-26,23.629998999999998
2010-10-27,23.9
2010-10-28,23.9
2010-10-29,23.879998999999998
2010-11-01,23.73
2010-11-02,23.870001000000002
2010-11-03,24.1
2010-11-04,24.540001
2010-11-05,24.809998999999998
2010-11-08,24.719998999999998
2010-11-09,24.440001000000002
2010-11-10,24.75
2010-11-11,24.879998999999998
2010-11-12,24.5
2010-11-15,24.860001
2010-11-16,24.02
2010-11-17,24.120001000000002
2010-11-18,23.93
2010-11-19,24.25
2010-11-22,24.290001
2010-11-23,24.440001000000002
2010-11-24,24.639999
2010-11-26,24.790001
2010-11-29,24.540001
2010-11-30,24.51
2010-12-01,24.780001000000002
2010-12-02,25.0
2010-12-03,24.92
2010-12-06,24.959999
2010-12-07,24.780001000000002
2010-12-08,24.76
2010-12-09,24.9
2010-12-10,24.719998999999998
2010-12-13,25.0
2010-12-14,24.940001000000002
2010-12-15,24.91
2010-12-16,25.209999
2010-12-17,25.23
2010-12-20,25.52
2010-12-21,25.24
2010-12-22,25.200001
2010-12-23,25.4
2010-12-27,25.41
2010-12-28,25.51
2010-12-29,25.73
2010-12-30,25.440001000000002
2010-12-31,25.290001
2011-01-03,25.540001
2011-01-04,25.67
2011-01-05,25.530001000000002
2011-01-06,25.23
2011-01-07,25.67
2011-01-10,25.51
2011-01-11,25.360001
2011-01-12,25.58
2011-01-13,25.68
2011-01-14,25.98
2011-01-18,25.42
2011-01-19,25.530001000000002
2011-01-20,25.66
2011-01-21,25.59
2011-01-24,25.9
2011-01-25,25.950001
2011-01-26,26.15
2011-01-27,25.889999
2011-01-28,25.379998999999998
2011-01-31,25.5
2011-02-01,25.67
2011-02-02,26.200001
2011-02-03,26.639999
2011-02-04,26.73
2011-02-07,26.799999
2011-02-08,26.629998999999998
2011-02-09,26.559998999999998
2011-02-10,26.459999
2011-02-11,26.620001000000002
2011-02-14,27.0
2011-02-15,27.27
2011-02-16,27.23
2011-02-17,27.32
2011-02-18,27.83
2011-02-22,27.48
2011-02-23,27.4
2011-02-24,27.08
2011-02-25,27.370001000000002
2011-02-28,27.74
2011-03-01,27.459999
2011-03-02,27.690001000000002
2011-03-03,28.200001
2011-03-04,27.690001000000002
2011-03-07,27.65
2011-03-08,27.889999
2011-03-09,27.870001000000002
2011-03-10,27.4
2011-03-11,27.450001
2011-03-14,27.5
2011-03-15,26.940001000000002
2011-03-16,27.120001000000002
2011-03-17,27.0
2011-03-18,27.030001000000002
2011-03-21,27.5
2011-03-22,27.42
2011-03-23,27.4
2011-03-24,27.690001000000002
2011-03-25,27.780001000000002
2011-03-28,27.5
2011-03-29,27.67
2011-03-30,27.950001
2011-03-31,28.049999
2011-04-01,28.309998999999998
2011-04-04,28.450001
2011-04-05,28.42
2011-04-06,28.719998999999998
2011-04-07,28.610001
2011-04-08,28.52
2011-04-11,28.360001
2011-04-12,27.9
2011-04-13,28.17
2011-04-14,28.360001
2011-04-15,28.67
2011-04-18,28.370001000000002
2011-04-19,28.379998999999998
2011-04-20,28.48
2011-04-21,28.309998999999998
2011-04-25,28.33
2011-04-26,28.66
2011-04-27,29.09
2011-04-28,29.190001000000002
2011-04-29,29.379998999999998
2011-05-02,29.51
2011-05-03,29.540001
2011-05-04,29.33
2011-05-05,29.200001
2011-05-06,29.280001000000002
2011-05-09,29.639999
2011-05-10,30.610001
2011-05-11,29.67
2011-05-12,29.709999
2011-05-13,29.370001000000002
