Date,ABT
1981-08-10,0.796098
1981-08-11,0.799605
1981-08-12,0.7925909999999999
1981-08-13,0.7925909999999999
1981-08-14,0.775055
1981-08-17,0.729464
1981-08-18,0.732971
1981-08-19,0.75752
1981-08-20,0.754013
1981-08-21,0.75752
1981-08-24,0.768041
1981-08-25,0.754013
1981-08-26,0.736478
1981-08-27,0.739985
1981-08-28,0.743492
1981-08-31,0.732971
1981-09-01,0.729464
1981-09-02,0.711929
1981-09-03,0.687379
1981-09-04,0.673351
1981-09-08,0.673351
1981-09-09,0.683872
1981-09-10,0.701408
1981-09-11,0.711929
1981-09-14,0.708422
1981-09-15,0.715436
1981-09-16,0.718943
1981-09-17,0.711929
1981-09-18,0.711929
1981-09-21,0.718943
1981-09-22,0.711929
1981-09-23,0.701408
1981-09-24,0.683872
1981-09-25,0.680365
1981-09-28,0.701408
1981-09-29,0.72245
1981-09-30,0.729464
1981-10-01,0.736478
1981-10-02,0.778562
1981-10-05,0.771548
1981-10-06,0.761027
1981-10-07,0.771548
1981-10-08,0.789084
1981-10-09,0.764534
1981-10-12,0.7855770000000001
1981-10-13,0.7820699999999999
1981-10-14,0.761027
1981-10-15,0.764534
1981-10-16,0.754013
1981-10-19,0.746999
1981-10-20,0.750506
1981-10-21,0.736478
1981-10-22,0.736478
1981-10-23,0.729464
1981-10-26,0.715436
1981-10-27,0.711929
1981-10-28,0.743492
1981-10-29,0.775055
1981-10-30,0.789084
1981-11-02,0.806619
1981-11-03,0.8136329999999999
1981-11-04,0.806619
1981-11-05,0.81714
1981-11-06,0.799605
1981-11-09,0.806619
1981-11-10,0.799605
1981-11-11,0.806619
1981-11-12,0.7925909999999999
1981-11-13,0.7820699999999999
1981-11-16,0.775055
1981-11-17,0.8136329999999999
1981-11-18,0.806619
1981-11-19,0.806619
1981-11-20,0.8031119999999999
1981-11-23,0.8276610000000001
1981-11-24,0.8276610000000001
1981-11-25,0.8136329999999999
1981-11-27,0.8136329999999999
1981-11-30,0.831168
1981-12-01,0.824154
1981-12-02,0.8031119999999999
1981-12-03,0.796098
1981-12-04,0.8136329999999999
1981-12-07,0.806619
1981-12-08,0.806619
1981-12-09,0.799605
1981-12-10,0.7925909999999999
1981-12-11,0.8031119999999999
1981-12-14,0.7925909999999999
1981-12-15,0.796098
1981-12-16,0.789084
1981-12-17,0.7855770000000001
1981-12-18,0.7855770000000001
1981-12-21,0.7820699999999999
1981-12-22,0.7820699999999999
1981-12-23,0.789084
1981-12-24,0.7820699999999999
1981-12-28,0.771548
1981-12-29,0.754013
1981-12-30,0.768041
1981-12-31,0.75752
1982-01-04,0.75752
1982-01-05,0.754013
1982-01-06,0.732971
1982-01-07,0.739985
1982-01-08,0.739985
1982-01-11,0.736478
1982-01-12,0.711929
1982-01-13,0.725957
1982-01-14,0.739985
1982-01-15,0.746999
1982-01-18,0.764534
1982-01-19,0.764534
1982-01-20,0.743492
1982-01-21,0.746999
1982-01-22,0.736478
1982-01-25,0.732971
1982-01-26,0.739985
1982-01-27,0.754013
1982-01-28,0.7855770000000001
1982-01-29,0.8136329999999999
1982-02-01,0.778562
1982-02-02,0.806619
1982-02-03,0.8031119999999999
1982-02-04,0.8031119999999999
1982-02-05,0.81714
1982-02-08,0.8276610000000001
1982-02-09,0.81714
1982-02-10,0.810126
1982-02-11,0.806619
1982-02-12,0.824154
1982-02-16,0.831168
