Date,AMGN
1984-10-30,0.098958
1984-10-31,0.09375
1984-11-01,0.096354
1984-11-02,0.09375
1984-11-05,0.09375
1984-11-06,0.09375
1984-11-07,0.09375
1984-11-08,0.09375
1984-11-09,0.091146
1984-11-12,0.091146
1984-11-13,0.091146
1984-11-14,0.088542
1984-11-15,0.088542
1984-11-16,0.083333
1984-11-19,0.075521
1984-11-20,0.083333
1984-11-21,0.085938
1984-11-23,0.088542
1984-11-26,0.09375
1984-11-27,0.09375
1984-11-28,0.091146
1984-11-29,0.088542
1984-11-30,0.091146
1984-12-03,0.088542
1984-12-04,0.096354
1984-12-05,0.09375
1984-12-06,0.091146
1984-12-07,0.09375
1984-12-10,0.09375
1984-12-11,0.09375
1984-12-12,0.09375
1984-12-13,0.096354
1984-12-14,0.098958
1984-12-17,0.09375
1984-12-18,0.09375
1984-12-19,0.09375
1984-12-20,0.09375
1984-12-21,0.09375
1984-12-24,0.098958
1984-12-26,0.10416700000000001
1984-12-27,0.10416700000000001
1984-12-28,0.098958
1984-12-31,0.10416700000000001
1985-01-02,0.098958
1985-01-03,0.101563
1985-01-04,0.101563
1985-01-07,0.101563
1985-01-08,0.096354
1985-01-09,0.098958
1985-01-10,0.098958
1985-01-11,0.101563
1985-01-14,0.098958
1985-01-15,0.101563
1985-01-16,0.10416700000000001
1985-01-17,0.098958
1985-01-18,0.10416700000000001
1985-01-21,0.106771
1985-01-22,0.10416700000000001
1985-01-23,0.106771
1985-01-24,0.11718800000000001
1985-01-25,0.135417
1985-01-28,0.140625
1985-01-29,0.14843800000000001
1985-01-30,0.151042
1985-01-31,0.145833
1985-02-01,0.145833
1985-02-04,0.140625
1985-02-05,0.135417
1985-02-06,0.13281300000000001
1985-02-07,0.13281300000000001
1985-02-08,0.130208
1985-02-11,0.127604
1985-02-12,0.125
1985-02-13,0.127604
1985-02-14,0.122396
1985-02-15,0.11718800000000001
1985-02-19,0.122396
1985-02-20,0.11979200000000001
1985-02-21,0.122396
1985-02-22,0.122396
1985-02-25,0.11979200000000001
1985-02-26,0.11979200000000001
1985-02-27,0.11979200000000001
1985-02-28,0.11458299999999999
1985-03-01,0.11458299999999999
1985-03-04,0.11718800000000001
1985-03-05,0.11979200000000001
1985-03-06,0.122396
1985-03-07,0.122396
1985-03-08,0.11979200000000001
1985-03-11,0.11458299999999999
1985-03-12,0.11458299999999999
1985-03-13,0.122396
1985-03-14,0.122396
1985-03-15,0.11979200000000001
1985-03-18,0.11718800000000001
1985-03-19,0.11458299999999999
1985-03-20,0.11718800000000001
1985-03-21,0.109375
1985-03-22,0.10416700000000001
1985-03-25,0.101563
1985-03-26,0.10416700000000001
1985-03-27,0.106771
1985-03-28,0.11458299999999999
1985-03-29,0.11458299999999999
1985-04-01,0.11458299999999999
1985-04-02,0.11458299999999999
1985-04-03,0.11458299999999999
1985-04-04,0.11718800000000001
1985-04-08,0.11458299999999999
1985-04-09,0.109375
1985-04-10,0.11458299999999999
1985-04-11,0.109375
1985-04-12,0.11458299999999999
1985-04-15,0.109375
