Date,CMG
2007-06-28,82.519997
2007-06-29,85.279999
2007-07-02,86.0
2007-07-03,84.199997
2007-07-05,82.58000200000001
2007-07-06,85.449997
2007-07-09,85.760002
2007-07-10,85.269997
2007-07-11,85.209999
2007-07-12,89.82
2007-07-13,90.519997
2007-07-16,88.800003
2007-07-17,86.040001
2007-07-18,86.779999
2007-07-19,87.440002
2007-07-20,85.730003
2007-07-23,86.809998
2007-07-24,82.209999
2007-07-25,79.589996
2007-07-26,78.540001
2007-07-27,81.5
2007-07-30,87.57
2007-07-31,88.339996
2007-08-01,99.190002
2007-08-02,99.910004
2007-08-03,97.900002
2007-08-06,99.400002
2007-08-07,108.5
2007-08-08,107.559998
2007-08-09,104.050003
2007-08-10,101.699997
2007-08-13,102.010002
2007-08-14,96.08000200000001
2007-08-15,95.360001
2007-08-16,96.0
2007-08-17,99.949997
2007-08-20,101.160004
2007-08-21,99.650002
2007-08-22,102.0
2007-08-23,101.370003
2007-08-24,102.910004
2007-08-27,99.550003
2007-08-28,97.129997
2007-08-29,100.66999799999999
2007-08-30,100.050003
2007-08-31,103.989998
2007-09-04,107.75
2007-09-05,105.75
2007-09-06,105.260002
2007-09-07,101.690002
2007-09-10,100.540001
2007-09-11,103.629997
2007-09-12,103.510002
2007-09-13,105.58000200000001
2007-09-14,105.739998
2007-09-17,108.629997
2007-09-18,111.800003
2007-09-19,112.879997
2007-09-20,110.839996
2007-09-21,113.900002
2007-09-24,114.489998
2007-09-25,114.650002
2007-09-26,117.089996
2007-09-27,119.260002
2007-09-28,118.129997
2007-10-01,122.510002
2007-10-02,124.269997
2007-10-03,125.82
2007-10-04,123.760002
2007-10-05,127.540001
2007-10-08,129.800003
2007-10-09,129.520004
2007-10-10,131.800003
2007-10-11,129.0
2007-10-12,122.68
2007-10-15,121.860001
2007-10-16,122.989998
2007-10-17,123.120003
2007-10-18,126.099998
2007-10-19,123.400002
2007-10-22,124.940002
2007-10-23,127.129997
2007-10-24,123.550003
2007-10-25,128.570007
2007-10-26,133.949997
2007-10-29,134.41000400000001
2007-10-30,133.5
2007-10-31,139.0
2007-11-01,135.690002
2007-11-02,131.679993
2007-11-05,130.919998
2007-11-06,131.880005
2007-11-07,131.199997
2007-11-08,127.43
2007-11-09,121.599998
2007-11-12,117.120003
2007-11-13,126.449997
2007-11-14,130.0
2007-11-15,129.25
2007-11-16,124.870003
2007-11-19,121.239998
2007-11-20,124.779999
2007-11-21,123.339996
2007-11-23,125.16999799999999
2007-11-26,125.989998
2007-11-27,127.190002
2007-11-28,134.610001
2007-11-29,134.33999599999999
2007-11-30,133.149994
2007-12-03,132.929993
2007-12-04,137.509995
2007-12-05,138.78999299999998
2007-12-06,149.149994
2007-12-07,146.03999299999998
2007-12-10,150.050003
2007-12-11,144.850006
2007-12-12,145.169998
2007-12-13,144.399994
2007-12-14,141.389999
2007-12-17,135.429993
2007-12-18,145.46000700000002
2007-12-19,140.449997
2007-12-20,143.58999599999999
2007-12-21,146.600006
2007-12-24,148.449997
2007-12-26,152.360001
2007-12-27,150.630005
2007-12-28,151.880005
2007-12-31,147.070007
2008-01-02,146.669998
2008-01-03,141.699997
2008-01-04,127.010002
2008-01-07,123.980003
2008-01-08,117.870003
2008-01-09,118.58000200000001
2008-01-10,123.099998
2008-01-11,116.699997
2008-01-14,116.769997
2008-01-15,115.93
2008-01-16,118.800003
2008-01-17,120.33000200000001
2008-01-18,121.959999
2008-01-22,123.559998
2008-01-23,127.0
2008-01-24,132.91000400000001
2008-01-25,128.78999299999998
2008-01-28,125.370003
2008-01-29,119.279999
2008-01-30,115.07
2008-01-31,120.379997
2008-02-01,123.050003
2008-02-04,116.940002
2008-02-05,114.879997
2008-02-06,108.599998
2008-02-07,107.730003
2008-02-08,108.300003
2008-02-11,110.050003
2008-02-12,106.050003
2008-02-13,109.699997
2008-02-14,108.650002
2008-02-15,105.25
2008-02-19,102.75
2008-02-20,102.650002
2008-02-21,101.08000200000001
2008-02-22,99.720001
2008-02-25,102.970001
2008-02-26,104.279999
2008-02-27,103.239998
2008-02-28,102.040001
