Date,AIQ
2019-02-07,14.688
2019-02-08,14.731
2019-02-11,14.87
2019-02-12,15.05
2019-02-13,15.015
2019-02-14,15.04
2019-02-15,15.083
2019-02-19,15.236
2019-02-20,15.19
2019-02-21,15.17
2019-02-22,15.317
2019-02-25,15.5
2019-02-26,15.5
2019-02-27,15.45
2019-02-28,15.4
2019-03-01,15.46
2019-03-04,15.33
2019-03-05,15.4
2019-03-06,15.27
2019-03-07,15.04
2019-03-08,14.93
2019-03-11,15.38
2019-03-12,15.4
2019-03-13,15.56
2019-03-14,15.505
2019-03-15,15.56
2019-03-18,15.55
2019-03-19,15.734
2019-03-20,15.7
2019-03-21,16.030001000000002
2019-03-22,15.67
2019-03-25,15.592
2019-03-26,15.64
2019-03-27,15.508
2019-03-28,15.52
2019-03-29,15.74
2019-04-01,16.030001000000002
2019-04-02,16.01
2019-04-03,16.172001
2019-04-04,16.02
2019-04-05,16.15
2019-04-08,16.212999
2019-04-09,16.110001
2019-04-10,16.24
2019-04-11,16.25
2019-04-12,16.379998999999998
2019-04-15,16.325001
2019-04-16,16.450001
2019-04-17,16.482
2019-04-18,16.499001
2019-04-22,16.58
2019-04-23,16.9
2019-04-24,16.83
2019-04-25,16.77
2019-04-26,16.68
2019-04-29,16.816999
2019-04-30,16.799999
2019-05-01,16.740999
2019-05-02,16.690001000000002
2019-05-03,16.905001000000002
2019-05-06,16.790001
2019-05-07,16.32
2019-05-08,16.49
2019-05-09,16.370001000000002
2019-05-10,16.374001
2019-05-13,15.83
2019-05-14,16.040001
2019-05-15,16.23
2019-05-16,16.370001000000002
2019-05-17,16.0
2019-05-20,15.74
2019-05-21,15.93
2019-05-22,15.87
2019-05-23,15.469
2019-05-24,15.48
2019-05-28,15.467
2019-05-29,15.24
2019-05-30,15.35
2019-05-31,15.165
2019-06-03,14.87
2019-06-04,15.307
2019-06-05,15.45
2019-06-06,15.495
2019-06-07,15.791
2019-06-10,16.01
2019-06-11,15.86
2019-06-12,15.8
2019-06-13,15.823
2019-06-14,15.751
2019-06-17,15.795
2019-06-18,16.1
2019-06-19,16.18
2019-06-20,16.450001
2019-06-21,16.290001
2019-06-24,16.305
2019-06-25,15.96
2019-06-26,16.148001
2019-06-27,16.200001
2019-06-28,16.256001
2019-07-01,16.42
2019-07-02,16.48
2019-07-03,16.59
2019-07-05,16.622999
2019-07-08,16.49
2019-07-09,16.59
2019-07-10,16.684998999999998
2019-07-11,16.799999
2019-07-12,16.809998999999998
2019-07-15,16.888
2019-07-16,16.719998999999998
2019-07-17,16.790001
2019-07-18,16.690001000000002
2019-07-19,16.709999
2019-07-22,16.805
2019-07-23,16.879998999999998
2019-07-24,17.055
2019-07-25,16.91
2019-07-26,17.15
2019-07-29,17.02
2019-07-30,16.91
2019-07-31,16.639999
2019-08-01,16.52
2019-08-02,16.122
2019-08-05,15.55
2019-08-06,15.7
2019-08-07,15.805
2019-08-08,16.101
2019-08-09,16.02
2019-08-12,15.8
2019-08-13,16.040001
2019-08-14,15.505
2019-08-15,15.498
2019-08-16,15.78
2019-08-19,16.01
2019-08-20,15.986
2019-08-21,16.17
2019-08-22,16.15
2019-08-23,15.61
2019-08-26,15.78
2019-08-27,15.8
2019-08-28,15.76
2019-08-29,16.059998999999998
2019-08-30,16.1
2019-09-03,15.902
2019-09-04,16.17
2019-09-05,16.4
2019-09-06,16.41
2019-09-09,16.34
2019-09-10,16.280001000000002
2019-09-11,16.32
2019-09-12,16.440001000000002
2019-09-13,16.375999
2019-09-16,16.389999
2019-09-17,16.382998999999998
2019-09-18,16.309998999999998
2019-09-19,16.385
2019-09-20,16.267
2019-09-23,16.24
2019-09-24,15.89
2019-09-25,16.08
2019-09-26,16.120001000000002
2019-09-27,15.682
2019-09-30,15.971
2019-10-01,15.78
2019-10-02,15.5
2019-10-03,15.732
2019-10-04,15.906
2019-10-07,15.963
2019-10-08,15.69
2019-10-09,15.859
2019-10-10,15.856
2019-10-11,16.136
2019-10-14,16.17
2019-10-15,16.33
2019-10-16,16.129998999999998
2019-10-17,16.110001
2019-10-18,15.898
2019-10-21,16.103001000000003
2019-10-22,15.861
2019-10-23,15.868
2019-10-24,16.037001
2019-10-25,16.174999
2019-10-28,16.34
2019-10-29,16.24
2019-10-30,16.43
2019-10-31,16.32
2019-11-01,16.5
2019-11-04,16.83
2019-11-05,16.549999
2019-11-06,16.523001
2019-11-07,16.65
2019-11-08,16.771998999999997
2019-11-11,16.85
2019-11-12,16.92
2019-11-13,16.896998999999997
2019-11-14,16.83
2019-11-15,17.025
2019-11-18,17.08
2019-11-19,17.129998999999998
2019-11-20,17.065001000000002
2019-11-21,17.014999
2019-11-22,17.115
2019-11-25,17.32
2019-11-26,17.325001
2019-11-27,17.41
2019-11-29,17.312
2019-12-02,17.044001
2019-12-03,16.975
2019-12-04,17.09
2019-12-05,17.08
2019-12-06,17.219998999999998
2019-12-09,17.129998999999998
2019-12-10,17.135
2019-12-11,17.190001000000002
2019-12-12,17.360001
2019-12-13,17.521998999999997
2019-12-16,17.584999
2019-12-17,17.65
2019-12-18,17.701
2019-12-19,17.839001
2019-12-20,17.948999
2019-12-23,18.030001000000002
2019-12-24,18.01
2019-12-26,18.075001
2019-12-27,18.08
2019-12-30,17.839001
2019-12-31,17.9
2020-01-02,18.298
2020-01-03,18.190001000000002
2020-01-06,18.23
2020-01-07,18.34
2020-01-08,18.43
2020-01-09,18.645
2020-01-10,18.610001
2020-01-13,18.790001
2020-01-14,18.809998999999998
2020-01-15,18.775
2020-01-16,18.985001
2020-01-17,18.98
2020-01-21,18.915001
2020-01-22,19.1
2020-01-23,19.115
2020-01-24,19.030001000000002
2020-01-27,18.594
2020-01-28,18.851999
2020-01-29,18.83
2020-01-30,18.719998999999998
2020-01-31,18.443001000000002
2020-02-03,18.799999
2020-02-04,19.25
2020-02-05,19.295
2020-02-06,19.360001
2020-02-07,19.200001
2020-02-10,19.379998999999998
2020-02-11,19.572001
2020-02-12,19.875
2020-02-13,19.77
2020-02-14,19.735001
2020-02-18,19.76
2020-02-19,19.921
2020-02-20,19.76
2020-02-21,19.311001
2020-02-24,18.620001000000002
2020-02-25,18.075001
2020-02-26,18.113001
2020-02-27,17.433001
2020-02-28,17.15
2020-03-02,18.049999
2020-03-03,17.540001
2020-03-04,18.120001000000002
2020-03-05,17.559998999999998
2020-03-06,16.889999
2020-03-09,16.030001000000002
2020-03-10,16.795
2020-03-11,15.86
2020-03-12,14.45
2020-03-13,15.46
2020-03-16,13.94
2020-03-17,14.3
2020-03-18,13.57
2020-03-19,14.011
2020-03-20,13.88
2020-03-23,13.99
2020-03-24,14.952
2020-03-25,15.156
2020-03-26,15.931
2020-03-27,15.61
2020-03-30,15.7
2020-03-31,15.59
2020-04-01,14.86
2020-04-02,15.06
2020-04-03,14.94
2020-04-06,15.992
2020-04-07,16.0
2020-04-08,16.323999
2020-04-09,16.290001
2020-04-13,16.48
2020-04-14,17.200001
2020-04-15,16.809998999999998
2020-04-16,17.108999
2020-04-17,17.41
2020-04-20,17.360001
2020-04-21,16.681998999999998
2020-04-22,17.290001
2020-04-23,17.219998999999998
2020-04-24,17.42
2020-04-27,17.549999
2020-04-28,17.49
2020-04-29,18.000999
2020-04-30,17.85
2020-05-01,17.274
2020-05-04,17.540001
2020-05-05,17.83
2020-05-06,17.9
2020-05-07,18.24
2020-05-08,18.511
