Date,ST
2011-03-28,33.66
2011-03-29,33.5
2011-03-30,34.119999
2011-03-31,34.73
2011-04-01,35.009997999999996
2011-04-04,35.049999
2011-04-05,35.23
2011-04-06,34.91
2011-04-07,34.470001
2011-04-08,34.560001
2011-04-11,34.400002
2011-04-12,33.82
2011-04-13,32.990002000000004
2011-04-14,32.939999
2011-04-15,33.349998
2011-04-18,33.27
2011-04-19,33.09
2011-04-20,32.919998
2011-04-21,33.299999
2011-04-25,33.130001
2011-04-26,33.540001000000004
2011-04-27,35.009997999999996
2011-04-28,35.400002
2011-04-29,35.110001000000004
2011-05-02,35.130001
2011-05-03,34.619999
2011-05-04,34.290001000000004
2011-05-05,34.099998
2011-05-06,34.34
2011-05-09,34.509997999999996
2011-05-10,35.09
2011-05-11,34.950001
2011-05-12,34.810001
2011-05-13,34.630001
2011-05-16,34.509997999999996
2011-05-17,34.32
2011-05-18,35.080002
2011-05-19,35.950001
2011-05-20,35.509997999999996
2011-05-23,34.889998999999996
2011-05-24,34.689999
2011-05-25,35.049999
2011-05-26,35.509997999999996
2011-05-27,35.950001
2011-05-31,36.279999
2011-06-01,35.77
2011-06-02,35.98
2011-06-03,35.5
2011-06-06,35.880001
2011-06-07,35.91
2011-06-08,35.48
2011-06-09,35.16
2011-06-10,33.689999
2011-06-13,33.360001000000004
2011-06-14,33.919998
2011-06-15,33.470001
2011-06-16,33.23
2011-06-17,33.580002
2011-06-20,34.290001000000004
2011-06-21,35.139998999999996
2011-06-22,35.93
2011-06-23,36.110001000000004
2011-06-24,36.310001
2011-06-27,36.889998999999996
2011-06-28,37.330002
2011-06-29,37.66
2011-06-30,37.650002
2011-07-01,38.360001000000004
2011-07-05,38.919998
2011-07-06,39.25
2011-07-07,39.209998999999996
2011-07-08,38.470001
2011-07-11,37.439999
2011-07-12,36.950001
2011-07-13,37.330002
2011-07-14,36.619999
2011-07-15,37.110001000000004
2011-07-18,37.0
2011-07-19,37.630001
2011-07-20,37.240002000000004
2011-07-21,37.509997999999996
2011-07-22,37.939999
2011-07-25,37.669998
2011-07-26,37.119999
2011-07-27,36.259997999999996
2011-07-28,36.439999
2011-07-29,35.48
2011-08-01,34.869999
2011-08-02,33.93
2011-08-03,34.169998
2011-08-04,32.240002000000004
2011-08-05,32.619999
2011-08-08,29.48
2011-08-09,30.93
2011-08-10,30.040001
2011-08-11,31.950001
2011-08-12,33.310001
2011-08-15,33.43
2011-08-16,33.09
2011-08-17,33.080002
2011-08-18,30.01
2011-08-19,28.799999
2011-08-22,28.34
2011-08-23,29.4
2011-08-24,30.51
2011-08-25,30.629998999999998
2011-08-26,31.889999
2011-08-29,32.720001
2011-08-30,32.689999
2011-08-31,32.439999
2011-09-01,32.099998
2011-09-02,31.18
2011-09-06,30.780001000000002
2011-09-07,31.549999
2011-09-08,31.43
2011-09-09,29.790001
2011-09-12,29.5
2011-09-13,31.190001000000002
2011-09-14,32.310001
2011-09-15,32.290001000000004
2011-09-16,32.41
2011-09-19,32.220001
2011-09-20,31.65
2011-09-21,31.01
2011-09-22,29.219998999999998
2011-09-23,29.0
2011-09-26,28.99
2011-09-27,29.360001
2011-09-28,28.23
2011-09-29,28.74
2011-09-30,26.459999
2011-10-03,25.200001
2011-10-04,25.41
2011-10-05,26.17
2011-10-06,27.66
2011-10-07,27.23
2011-10-10,28.530001000000002
2011-10-11,28.700001
2011-10-12,28.530001000000002
2011-10-13,28.690001000000002
2011-10-14,29.389999
2011-10-17,28.67
2011-10-18,30.120001000000002
2011-10-19,28.48
2011-10-20,28.75
2011-10-21,29.9
2011-10-24,30.1
2011-10-25,29.02
2011-10-26,29.0
2011-10-27,31.129998999999998
2011-10-28,30.809998999999998
2011-10-31,29.940001000000002
2011-11-01,29.99
2011-11-02,30.440001000000002
2011-11-03,30.6
2011-11-04,30.27
2011-11-07,30.059998999999998
2011-11-08,30.5
2011-11-09,30.08
2011-11-10,30.07
2011-11-11,31.209999
2011-11-14,31.219998999999998
2011-11-15,31.42
2011-11-16,31.02
2011-11-17,30.32
2011-11-18,29.42
2011-11-21,28.639999
2011-11-22,29.09
2011-11-23,28.709999
2011-11-25,28.469998999999998
2011-11-28,30.129998999999998
2011-11-29,30.01
2011-11-30,31.25
2011-12-01,31.02
2011-12-02,31.219998999999998
2011-12-05,31.6
2011-12-06,31.74
2011-12-07,31.719998999999998
2011-12-08,30.82
2011-12-09,30.92
2011-12-12,30.24
2011-12-13,28.51
2011-12-14,26.99
2011-12-15,26.23
2011-12-16,25.99
2011-12-19,25.969998999999998
2011-12-20,26.85
2011-12-21,26.280001000000002
2011-12-22,27.09
2011-12-23,26.59
2011-12-27,26.799999
2011-12-28,26.290001
2011-12-29,26.48
2011-12-30,26.280001000000002
2012-01-03,26.75
2012-01-04,26.309998999999998
2012-01-05,26.67
2012-01-06,26.040001
2012-01-09,26.25
2012-01-10,27.09
2012-01-11,27.549999
2012-01-12,27.540001
2012-01-13,27.209999
2012-01-17,27.129998999999998
2012-01-18,28.92
2012-01-19,29.610001
2012-01-20,29.280001000000002
2012-01-23,29.35
2012-01-24,29.559998999999998
2012-01-25,29.4
2012-01-26,29.24
2012-01-27,29.559998999999998
2012-01-30,29.440001000000002
2012-01-31,28.809998999999998
2012-02-01,30.68
2012-02-02,30.469998999999998
2012-02-03,31.0
2012-02-06,31.290001
2012-02-07,31.07
2012-02-08,31.9
2012-02-09,32.740002000000004
2012-02-10,31.690001000000002
2012-02-13,31.67
2012-02-14,31.870001000000002
2012-02-15,31.629998999999998
2012-02-16,32.349998
2012-02-17,31.83
2012-02-21,31.639999
2012-02-22,31.530001000000002
2012-02-23,32.380001
2012-02-24,33.650002
2012-02-27,32.990002000000004
2012-02-28,32.75
2012-02-29,32.400002
2012-03-01,33.099998
2012-03-02,33.110001000000004
2012-03-05,32.400002
2012-03-06,31.32
2012-03-07,31.68
2012-03-08,31.6
2012-03-09,32.150002
2012-03-12,32.139998999999996
2012-03-13,33.970001
2012-03-14,33.75
2012-03-15,34.970001
2012-03-16,34.810001
2012-03-19,34.360001000000004
2012-03-20,33.73
2012-03-21,33.450001
2012-03-22,33.0
2012-03-23,33.849998
2012-03-26,34.18
2012-03-27,33.57
2012-03-28,33.619999
2012-03-29,33.439999
2012-03-30,33.48
2012-04-02,34.27
2012-04-03,34.200001
2012-04-04,33.119999
2012-04-05,33.0
2012-04-09,32.130001
2012-04-10,31.280001000000002
2012-04-11,32.27
2012-04-12,33.0
2012-04-13,32.939999
2012-04-16,32.509997999999996
2012-04-17,32.990002000000004
2012-04-18,32.540001000000004
2012-04-19,32.599998
2012-04-20,32.360001000000004
2012-04-23,32.150002
2012-04-24,32.830002
2012-04-25,32.040001000000004
2012-04-26,31.9
2012-04-27,31.959999
2012-04-30,31.76
2012-05-01,33.02
2012-05-02,33.200001
2012-05-03,32.619999
2012-05-04,31.41
2012-05-07,30.950001
2012-05-08,30.639999
2012-05-09,30.51
2012-05-10,30.66
2012-05-11,31.01
2012-05-14,30.389999
2012-05-15,30.23
2012-05-16,30.459999
2012-05-17,30.440001000000002
2012-05-18,30.530001000000002
2012-05-21,31.5
2012-05-22,31.700001
2012-05-23,31.219998999999998
2012-05-24,31.26
2012-05-25,31.76
2012-05-29,32.599998
2012-05-30,31.43
2012-05-31,30.709999
2012-06-01,30.049999
2012-06-04,29.58
2012-06-05,30.16
2012-06-06,30.719998999999998
2012-06-07,30.379998999999998
2012-06-08,30.549999
2012-06-11,29.799999
2012-06-12,30.34
2012-06-13,29.84
2012-06-14,29.309998999999998
2012-06-15,29.92
2012-06-18,29.780001000000002
2012-06-19,30.559998999999998
2012-06-20,30.02
2012-06-21,29.01
2012-06-22,28.92
2012-06-25,27.780001000000002
2012-06-26,27.82
2012-06-27,27.17
2012-06-28,26.57
2012-06-29,26.780001000000002
2012-07-02,26.879998999999998
2012-07-03,27.610001
2012-07-05,28.0
2012-07-06,27.280001000000002
2012-07-09,26.860001
2012-07-10,26.030001000000002
2012-07-11,26.33
2012-07-12,26.52
2012-07-13,26.860001
2012-07-16,26.799999
2012-07-17,26.559998999999998
2012-07-18,27.0
2012-07-19,27.26
2012-07-20,26.709999
2012-07-23,27.200001
2012-07-24,26.98
2012-07-25,27.9
2012-07-26,27.85
2012-07-27,29.299999
2012-07-30,28.92
2012-07-31,28.709999
2012-08-01,28.370001000000002
2012-08-02,28.450001
2012-08-03,29.639999
2012-08-06,29.77
2012-08-07,30.790001
2012-08-08,30.860001
2012-08-09,31.02
2012-08-10,31.360001
2012-08-13,31.34
2012-08-14,31.5
2012-08-15,31.02
2012-08-16,31.6
2012-08-17,31.32
2012-08-20,31.01
2012-08-21,30.76
2012-08-22,30.719998999999998
2012-08-23,30.9
2012-08-24,30.91
2012-08-27,30.540001
2012-08-28,30.540001
2012-08-29,30.27
2012-08-30,30.0
2012-08-31,30.030001000000002
2012-09-04,30.23
2012-09-05,30.059998999999998
2012-09-06,30.99
2012-09-07,31.639999
2012-09-10,30.92
2012-09-11,30.99
2012-09-12,31.17
2012-09-13,31.77
2012-09-14,32.189999
2012-09-17,31.76
2012-09-18,31.790001
2012-09-19,31.629998999999998
2012-09-20,30.870001000000002
2012-09-21,30.77
2012-09-24,30.59
2012-09-25,29.629998999999998
2012-09-26,29.49
2012-09-27,29.700001
2012-09-28,29.77
2012-10-01,30.18
2012-10-02,29.98
2012-10-03,29.77
2012-10-04,29.540001
2012-10-05,29.219998999999998
2012-10-08,29.1
2012-10-09,28.57
2012-10-10,28.059998999999998
2012-10-11,28.4
2012-10-12,28.43
2012-10-15,28.549999
2012-10-16,28.540001
2012-10-17,29.049999
2012-10-18,28.83
2012-10-19,28.43
2012-10-22,27.92
2012-10-23,26.83
2012-10-24,27.91
2012-10-25,28.049999
2012-10-26,28.219998999999998
2012-10-31,28.17
2012-11-01,29.15
2012-11-02,29.08
2012-11-05,29.32
2012-11-06,29.49
2012-11-07,28.59
2012-11-08,28.09
2012-11-09,28.209999
2012-11-12,28.139999
2012-11-13,28.07
2012-11-14,27.959999
2012-11-15,28.280001000000002
2012-11-16,28.290001
2012-11-19,28.91
2012-11-20,28.73
2012-11-21,29.120001000000002
2012-11-23,29.32
2012-11-26,29.6
2012-11-27,30.059998999999998
2012-11-28,29.889999
2012-11-29,30.4
2012-11-30,30.860001
2012-12-03,30.23
2012-12-04,30.17
2012-12-05,31.110001
2012-12-06,30.959999
2012-12-07,30.870001000000002
2012-12-10,30.870001000000002
2012-12-11,30.450001
2012-12-12,29.99
2012-12-13,30.18
2012-12-14,30.16
2012-12-17,31.1
2012-12-18,31.870001000000002
2012-12-19,32.119999
2012-12-20,32.0
2012-12-21,31.73
2012-12-24,31.690001000000002
2012-12-26,31.76
2012-12-27,32.150002
2012-12-28,32.16
2012-12-31,32.48
2013-01-02,33.360001000000004
2013-01-03,33.509997999999996
2013-01-04,33.470001
2013-01-07,33.349998
2013-01-08,33.0
2013-01-09,32.799999
2013-01-10,33.119999
2013-01-11,33.220001
2013-01-14,32.830002
2013-01-15,33.25
2013-01-16,32.799999
2013-01-17,33.509997999999996
2013-01-18,33.700001
2013-01-22,33.779999
2013-01-23,33.799999
2013-01-24,34.450001
2013-01-25,34.720001
2013-01-28,34.740002000000004
2013-01-29,34.689999
2013-01-30,33.580002
2013-01-31,33.740002000000004
2013-02-01,34.240002000000004
2013-02-04,34.029999
2013-02-05,33.869999
2013-02-06,33.889998999999996
2013-02-07,33.720001
2013-02-08,34.029999
2013-02-11,33.549999
2013-02-12,33.700001
2013-02-13,33.259997999999996
2013-02-14,33.349998
2013-02-15,33.450001
2013-02-19,33.540001000000004
2013-02-20,33.5
2013-02-21,32.18
2013-02-22,32.509997999999996
2013-02-25,31.85
2013-02-26,31.969998999999998
2013-02-27,32.450001
2013-02-28,32.490002000000004
2013-03-01,32.169998
2013-03-04,32.049999
2013-03-05,32.240002000000004
2013-03-06,32.220001
2013-03-07,32.18
2013-03-08,32.5
2013-03-11,32.91
2013-03-12,32.959998999999996
2013-03-13,33.240002000000004
2013-03-14,33.599998
2013-03-15,33.540001000000004
2013-03-18,32.790001000000004
2013-03-19,32.240002000000004
2013-03-20,32.509997999999996
2013-03-21,32.32
2013-03-22,32.59
2013-03-25,32.389998999999996
2013-03-26,32.490002000000004
2013-03-27,32.419998
2013-03-28,32.869999
2013-04-01,32.619999
2013-04-02,32.419998
2013-04-03,32.049999
2013-04-04,32.110001000000004
2013-04-05,32.029999
2013-04-08,31.98
2013-04-09,32.139998999999996
2013-04-10,32.25
2013-04-11,32.66
2013-04-12,32.419998
2013-04-15,31.52
2013-04-16,32.060001
2013-04-17,31.280001000000002
2013-04-18,31.129998999999998
2013-04-19,31.24
2013-04-22,31.370001000000002
2013-04-23,33.470001
2013-04-24,33.759997999999996
2013-04-25,33.709998999999996
2013-04-26,33.450001
2013-04-29,33.5
2013-04-30,33.450001
2013-05-01,33.18
2013-05-02,33.810001
2013-05-03,34.669998
2013-05-06,34.610001000000004
2013-05-07,34.849998
2013-05-08,35.0
2013-05-09,35.25
2013-05-10,35.27
2013-05-13,34.779999
2013-05-14,34.75
2013-05-15,34.82
2013-05-16,35.02
2013-05-17,36.57
2013-05-20,36.650002
2013-05-21,36.689999
2013-05-22,35.0
2013-05-23,34.790001000000004
2013-05-24,34.540001000000004
2013-05-28,34.889998999999996
2013-05-29,35.099998
2013-05-30,35.150002
2013-05-31,35.099998
2013-06-03,34.869999
2013-06-04,34.900002
2013-06-05,34.709998999999996
2013-06-06,35.099998
2013-06-07,35.619999
2013-06-10,35.93
2013-06-11,35.279999
2013-06-12,35.049999
2013-06-13,35.459998999999996
2013-06-14,35.32
2013-06-17,35.689999
2013-06-18,35.919998
2013-06-19,35.779999
2013-06-20,34.849998
2013-06-21,35.080002
2013-06-24,34.459998999999996
2013-06-25,34.860001000000004
2013-06-26,35.259997999999996
2013-06-27,35.43
2013-06-28,34.900002
2013-07-01,35.119999
2013-07-02,34.869999
2013-07-03,34.900002
2013-07-05,35.09
2013-07-08,35.580002
2013-07-09,35.959998999999996
2013-07-10,36.099998
2013-07-11,36.459998999999996
2013-07-12,36.610001000000004
2013-07-15,36.75
2013-07-16,36.27
2013-07-17,36.220001
2013-07-18,36.529999
2013-07-19,36.91
2013-07-22,37.209998999999996
2013-07-23,36.209998999999996
2013-07-24,36.950001
2013-07-25,37.419998
2013-07-26,37.259997999999996
2013-07-29,37.0
2013-07-30,37.34
2013-07-31,37.580002
2013-08-01,38.049999
2013-08-02,38.299999
2013-08-05,38.400002
2013-08-06,37.860001000000004
2013-08-07,37.380001
2013-08-08,38.380001
2013-08-09,38.169998
2013-08-12,38.02
2013-08-13,38.130001
2013-08-14,38.119999
2013-08-15,37.299999
2013-08-16,37.830002
2013-08-19,37.82
2013-08-20,37.68
2013-08-21,37.419998
2013-08-22,37.990002000000004
2013-08-23,38.34
2013-08-26,37.990002000000004
2013-08-27,36.869999
2013-08-28,37.110001000000004
2013-08-29,37.470001
2013-08-30,37.279999
2013-09-03,37.740002000000004
2013-09-04,37.84
2013-09-05,38.0
2013-09-06,38.080002
2013-09-09,38.529999
2013-09-10,38.799999
2013-09-11,38.900002
2013-09-12,38.099998
2013-09-13,37.82
2013-09-16,38.470001
2013-09-17,37.77
2013-09-18,38.150002
2013-09-19,38.759997999999996
2013-09-20,38.43
2013-09-23,37.860001000000004
2013-09-24,38.48
2013-09-25,38.540001000000004
2013-09-26,38.57
2013-09-27,38.700001
2013-09-30,38.27
2013-10-01,38.169998
2013-10-02,38.43
2013-10-03,37.959998999999996
2013-10-04,39.07
2013-10-07,38.970001
2013-10-08,38.130001
2013-10-09,38.09
2013-10-10,38.709998999999996
2013-10-11,38.75
2013-10-14,39.5
2013-10-15,39.150002
2013-10-16,39.189999
2013-10-17,39.240002000000004
2013-10-18,39.720001
2013-10-21,39.68
2013-10-22,40.119999
2013-10-23,40.610001000000004
2013-10-24,40.939999
2013-10-25,40.619999
2013-10-28,40.360001000000004
2013-10-29,38.279999
2013-10-30,38.060001
2013-10-31,37.630001
2013-11-01,37.599998
2013-11-04,37.59
2013-11-05,37.470001
2013-11-06,37.48
2013-11-07,37.0
2013-11-08,37.110001000000004
2013-11-11,37.57
2013-11-12,37.200001
2013-11-13,37.450001
2013-11-14,37.619999
2013-11-15,38.029999
2013-11-18,37.360001000000004
2013-11-19,37.209998999999996
2013-11-20,37.549999
2013-11-21,38.0
2013-11-22,37.990002000000004
2013-11-25,38.470001
2013-11-26,38.919998
2013-11-27,38.860001000000004
2013-11-29,38.98
2013-12-02,38.919998
2013-12-03,38.150002
2013-12-04,37.509997999999996
2013-12-05,37.48
2013-12-06,37.869999
2013-12-09,37.389998999999996
2013-12-10,37.549999
2013-12-11,37.07
2013-12-12,37.5
2013-12-13,37.32
2013-12-16,37.720001
2013-12-17,37.369999
2013-12-18,37.68
2013-12-19,37.880001
2013-12-20,37.970001
2013-12-23,38.349998
2013-12-24,38.5
2013-12-26,38.450001
2013-12-27,38.549999
2013-12-30,38.73
2013-12-31,38.77
2014-01-02,38.290001000000004
2014-01-03,38.169998
2014-01-06,37.669998
2014-01-07,37.889998999999996
2014-01-08,38.080002
2014-01-09,38.099998
2014-01-10,38.110001000000004
2014-01-13,37.98
2014-01-14,38.200001
2014-01-15,38.490002000000004
2014-01-16,38.52
2014-01-17,38.630001
2014-01-21,38.32
2014-01-22,38.27
2014-01-23,37.540001000000004
2014-01-24,37.009997999999996
2014-01-27,37.0
2014-01-28,37.419998
2014-01-29,37.259997999999996
2014-01-30,37.59
2014-01-31,37.439999
2014-02-03,36.779999
2014-02-04,39.5
2014-02-05,39.57
2014-02-06,39.610001000000004
2014-02-07,40.130001
2014-02-10,40.169998
2014-02-11,40.48
2014-02-12,40.689999
2014-02-13,40.450001
2014-02-14,40.560001
2014-02-18,40.630001
2014-02-19,40.27
2014-02-20,40.509997999999996
2014-02-21,39.939999
2014-02-24,40.25
2014-02-25,40.080002
2014-02-26,40.5
2014-02-27,40.389998999999996
2014-02-28,40.639998999999996
2014-03-03,40.139998999999996
2014-03-04,40.48
2014-03-05,40.720001
2014-03-06,40.799999
2014-03-07,41.23
2014-03-10,41.259997999999996
2014-03-11,41.16
2014-03-12,41.060001
2014-03-13,40.650002
2014-03-14,40.759997999999996
2014-03-17,41.709998999999996
2014-03-18,42.189999
2014-03-19,41.700001
2014-03-20,42.16
2014-03-21,42.700001
2014-03-24,42.450001
2014-03-25,42.740002000000004
2014-03-26,42.900002
2014-03-27,42.209998999999996
2014-03-28,42.529999
2014-03-31,42.639998999999996
2014-04-01,43.16
2014-04-02,43.619999
2014-04-03,43.73
2014-04-04,43.029999
2014-04-07,42.490002000000004
2014-04-08,43.040001000000004
2014-04-09,43.669998
2014-04-10,43.400002
2014-04-11,43.279999
2014-04-14,43.68
2014-04-15,43.889998999999996
2014-04-16,44.5
2014-04-17,44.75
2014-04-21,44.77
2014-04-22,44.700001
2014-04-23,44.529999
2014-04-24,44.290001000000004
2014-04-25,43.25
2014-04-28,43.610001000000004
2014-04-29,42.52
2014-04-30,42.470001
2014-05-01,42.959998999999996
2014-05-02,42.830002
2014-05-05,42.27
2014-05-06,41.59
2014-05-07,41.91
2014-05-08,41.77
2014-05-09,41.700001
2014-05-12,42.880001
2014-05-13,43.189999
2014-05-14,42.75
2014-05-15,42.630001
2014-05-16,43.220001
2014-05-19,43.490002000000004
2014-05-20,42.889998999999996
2014-05-21,42.810001
2014-05-22,42.470001
2014-05-23,42.799999
2014-05-27,43.0
2014-05-28,43.110001000000004
2014-05-29,43.09
2014-05-30,42.889998999999996
2014-06-02,43.529999
2014-06-03,43.509997999999996
2014-06-04,43.599998
2014-06-05,44.299999
2014-06-06,44.200001
2014-06-09,44.099998
2014-06-10,44.25
2014-06-11,44.48
2014-06-12,43.919998
2014-06-13,43.860001000000004
2014-06-16,43.939999
2014-06-17,44.689999
2014-06-18,44.560001
2014-06-19,45.34
2014-06-20,45.740002000000004
2014-06-23,45.82
2014-06-24,45.77
2014-06-25,45.73
2014-06-26,45.939999
2014-06-27,46.439999
2014-06-30,46.779999
2014-07-01,47.009997999999996
2014-07-02,46.740002000000004
2014-07-03,47.389998999999996
2014-07-07,48.299999
2014-07-08,48.209998999999996
2014-07-09,48.25
2014-07-10,47.919998
2014-07-11,47.799999
2014-07-14,48.189999
2014-07-15,48.220001
2014-07-16,48.0
2014-07-17,47.630001
2014-07-18,48.330002
2014-07-21,48.189999
2014-07-22,48.669998
2014-07-23,47.790001000000004
2014-07-24,47.57
2014-07-25,47.41
2014-07-28,46.93
2014-07-29,46.450001
2014-07-30,46.849998
2014-07-31,46.240002000000004
2014-08-01,45.900002
2014-08-04,46.240002000000004
2014-08-05,45.689999
2014-08-06,45.470001
2014-08-07,45.150002
2014-08-08,45.450001
2014-08-11,45.490002000000004
2014-08-12,45.52
2014-08-13,45.84
2014-08-14,46.310001
2014-08-15,46.169998
2014-08-18,48.84
2014-08-19,49.220001
2014-08-20,49.630001
2014-08-21,49.759997999999996
2014-08-22,49.639998999999996
2014-08-25,49.389998999999996
2014-08-26,49.549999
2014-08-27,49.75
2014-08-28,49.139998999999996
2014-08-29,49.169998
2014-09-02,49.0
2014-09-03,48.48
2014-09-04,48.09
2014-09-05,47.240002000000004
2014-09-08,47.59
2014-09-09,47.509997999999996
2014-09-10,47.669998
2014-09-11,48.060001
2014-09-12,47.720001
2014-09-15,47.41
2014-09-16,47.57
2014-09-17,47.16
2014-09-18,46.669998
