Date,ULTA
2009-07-06,10.96
2009-07-07,10.88
2009-07-08,10.74
2009-07-09,10.98
2009-07-10,10.79
2009-07-13,11.32
2009-07-14,10.54
2009-07-15,10.74
2009-07-16,10.44
2009-07-17,10.95
2009-07-20,11.0
2009-07-21,11.18
2009-07-22,11.53
2009-07-23,11.48
2009-07-24,11.38
2009-07-27,11.13
2009-07-28,11.33
2009-07-29,11.36
2009-07-30,11.52
2009-07-31,11.33
2009-08-03,11.61
2009-08-04,11.32
2009-08-05,11.11
2009-08-06,11.0
2009-08-07,11.54
2009-08-10,11.92
2009-08-11,11.51
2009-08-12,11.46
2009-08-13,11.31
2009-08-14,10.78
2009-08-17,10.28
2009-08-18,10.25
2009-08-19,10.66
2009-08-20,11.28
2009-08-21,11.63
2009-08-24,11.8
2009-08-25,11.93
2009-08-26,11.67
2009-08-27,11.87
2009-08-28,11.79
2009-08-31,11.52
2009-09-01,11.85
2009-09-02,12.15
2009-09-03,12.49
2009-09-04,15.0
2009-09-08,14.9
2009-09-09,14.41
2009-09-10,14.09
2009-09-11,14.03
2009-09-14,14.63
2009-09-15,14.56
2009-09-16,14.99
2009-09-17,15.22
2009-09-18,15.95
2009-09-21,15.62
2009-09-22,15.74
2009-09-23,15.69
2009-09-24,15.81
2009-09-25,15.63
2009-09-28,16.25
2009-09-29,16.530001000000002
2009-09-30,16.51
2009-10-01,16.030001000000002
2009-10-02,15.75
2009-10-05,16.33
2009-10-06,16.99
2009-10-07,16.629998999999998
2009-10-08,16.85
2009-10-09,17.41
2009-10-12,17.440001000000002
2009-10-13,17.059998999999998
2009-10-14,17.139999
2009-10-15,17.190001000000002
2009-10-16,16.68
2009-10-19,16.950001
2009-10-20,16.43
2009-10-21,16.120001000000002
2009-10-22,16.870001000000002
2009-10-23,16.02
2009-10-26,15.91
2009-10-27,15.73
2009-10-28,15.4
2009-10-29,15.88
2009-10-30,15.14
2009-11-02,15.38
2009-11-03,15.76
2009-11-04,15.96
2009-11-05,17.01
2009-11-06,17.02
2009-11-09,17.360001
2009-11-10,17.799999
2009-11-11,17.49
2009-11-12,17.059998999999998
2009-11-13,17.719998999999998
2009-11-16,18.15
2009-11-17,18.030001000000002
2009-11-18,17.49
2009-11-19,16.860001
