Date,KS
2008-06-16,3.57
2008-06-17,3.535
2008-06-18,3.5
2008-06-19,3.555
2008-06-20,3.475
2008-06-23,3.47
2008-06-24,3.445
2008-06-25,3.45
2008-06-26,3.41
2008-06-27,3.49
2008-06-30,3.335
2008-07-01,3.31
2008-07-02,3.22
2008-07-03,3.235
2008-07-07,3.125
2008-07-08,3.23
2008-07-09,3.36
2008-07-10,3.45
2008-07-11,3.485
2008-07-14,3.48
2008-07-15,3.5
2008-07-16,3.545
2008-07-17,3.62
2008-07-18,3.575
2008-07-21,3.66
2008-07-22,3.88
2008-07-23,3.89
2008-07-24,3.83
2008-07-25,3.965
2008-07-28,3.945
2008-07-29,3.985
2008-07-30,3.895
2008-07-31,3.825
2008-08-01,3.825
2008-08-04,3.8
2008-08-05,3.935
2008-08-06,3.94
2008-08-07,3.83
2008-08-08,3.89
2008-08-11,3.9
2008-08-12,3.885
2008-08-13,3.885
2008-08-14,3.85
2008-08-15,3.89
2008-08-18,3.885
2008-08-19,3.735
2008-08-20,3.755
2008-08-21,3.745
2008-08-22,3.765
2008-08-25,3.715
2008-08-26,3.76
2008-08-27,3.795
2008-08-28,3.79
2008-08-29,3.74
2008-09-02,3.59
2008-09-03,3.69
2008-09-04,3.6
2008-09-05,3.64
2008-09-08,3.665
2008-09-09,3.59
2008-09-10,3.55
2008-09-11,3.57
2008-09-12,3.61
2008-09-15,3.6
2008-09-16,3.475
2008-09-17,3.325
2008-09-18,3.36
2008-09-19,3.45
2008-09-22,3.395
2008-09-23,3.405
2008-09-24,3.395
2008-09-25,3.36
2008-09-26,3.34
2008-09-29,3.05
2008-09-30,3.175
2008-10-01,3.035
2008-10-02,2.915
2008-10-03,2.885
2008-10-06,2.765
2008-10-07,2.65
2008-10-08,2.75
2008-10-09,2.485
2008-10-10,2.415
2008-10-13,2.465
2008-10-14,2.48
2008-10-15,2.335
2008-10-16,2.325
2008-10-17,2.415
2008-10-20,2.5
2008-10-21,2.42
2008-10-22,2.41
2008-10-23,2.445
2008-10-24,2.335
2008-10-27,2.305
2008-10-28,2.32
2008-10-29,2.31
2008-10-30,2.365
2008-10-31,2.395
2008-11-03,2.385
2008-11-04,2.505
2008-11-05,2.42
2008-11-06,2.405
2008-11-07,2.405
2008-11-10,2.505
2008-11-11,2.4
2008-11-12,2.33
2008-11-13,2.35
2008-11-14,2.37
2008-11-17,2.49
2008-11-18,2.48
2008-11-19,2.4
2008-11-20,2.16
2008-11-21,2.16
2008-11-24,2.095
2008-11-25,2.12
2008-11-26,2.17
2008-11-28,2.215
2008-12-01,2.095
2008-12-02,2.07
2008-12-03,2.015
2008-12-04,1.905
2008-12-05,1.935
2008-12-08,2.01
2008-12-09,2.005
2008-12-10,2.0
2008-12-11,1.895
2008-12-12,1.91
2008-12-15,1.73
2008-12-16,1.81
2008-12-17,1.855
2008-12-18,1.61
2008-12-19,1.495
2008-12-22,1.28
2008-12-23,1.145
2008-12-24,1.085
2008-12-26,1.135
2008-12-29,1.03
2008-12-30,1.16
2008-12-31,1.19
2009-01-02,1.31
2009-01-05,1.4
2009-01-06,1.535
2009-01-07,1.335
2009-01-08,1.305
2009-01-09,1.27
2009-01-12,1.25
2009-01-13,1.235
2009-01-14,1.075
2009-01-15,1.055
2009-01-16,1.05
2009-01-20,0.995
2009-01-21,0.9
2009-01-22,0.865
2009-01-23,0.9
2009-01-26,0.975
2009-01-27,0.94
2009-01-28,0.95
2009-01-29,0.91
2009-01-30,0.895
2009-02-02,0.855
2009-02-03,0.795
2009-02-04,0.755
2009-02-05,0.725
2009-02-06,0.805
2009-02-09,0.795
2009-02-10,0.71
2009-02-11,0.68
2009-02-12,0.63
2009-02-13,0.64
2009-02-17,0.665
2009-02-18,0.615
2009-02-19,0.61
2009-02-20,0.55
2009-02-23,0.525
2009-02-24,0.99
2009-02-25,0.855
2009-02-26,0.76
2009-02-27,0.755
2009-03-02,0.685
2009-03-03,0.655
2009-03-04,0.805
2009-03-05,0.695
2009-03-06,0.75
2009-03-09,0.69
2009-03-10,0.69
2009-03-11,0.69
2009-03-12,0.82
2009-03-13,0.975
2009-03-16,0.965
2009-03-17,1.04
2009-03-18,1.13
2009-03-19,1.415
2009-03-20,1.335
2009-03-23,1.425
2009-03-24,1.32
2009-03-25,1.255
2009-03-26,1.36
2009-03-27,1.255
2009-03-30,1.105
2009-03-31,1.23
2009-04-01,1.225
2009-04-02,1.16
2009-04-03,1.26
2009-04-06,1.28
2009-04-07,1.18
2009-04-08,1.125
2009-04-09,1.125
2009-04-13,1.11
2009-04-14,1.07
2009-04-15,1.125
2009-04-16,1.265
2009-04-17,1.365
2009-04-20,1.36
2009-04-21,1.415
2009-04-22,1.41
2009-04-23,1.375
2009-04-24,1.38
2009-04-27,1.35
2009-04-28,1.355
2009-04-29,1.445
2009-04-30,1.425
2009-05-01,1.62
2009-05-04,1.72
2009-05-05,1.765
2009-05-06,1.59
2009-05-07,1.515
2009-05-08,1.78
2009-05-11,1.935
2009-05-12,2.015
2009-05-13,1.85
2009-05-14,1.895
2009-05-15,1.82
2009-05-18,1.87
2009-05-19,1.98
2009-05-20,2.04
2009-05-21,2.035
2009-05-22,1.965
2009-05-26,2.065
2009-05-27,2.015
2009-05-28,2.095
2009-05-29,2.125
2009-06-01,2.335
2009-06-02,2.255
2009-06-03,2.24
2009-06-04,2.305
2009-06-05,2.34
2009-06-08,2.38
2009-06-09,2.425
2009-06-10,2.49
2009-06-11,2.505
2009-06-12,2.495
2009-06-15,2.425
2009-06-16,2.345
2009-06-17,2.25
2009-06-18,2.35
2009-06-19,2.205
2009-06-22,2.095
2009-06-23,2.23
2009-06-24,2.23
2009-06-25,2.25
2009-06-26,2.5
2009-06-29,2.36
2009-06-30,2.345
2009-07-01,2.405
2009-07-02,2.395
2009-07-06,2.37
2009-07-07,2.32
2009-07-08,2.25
2009-07-09,2.325
2009-07-10,2.32
2009-07-13,2.355
2009-07-14,2.38
2009-07-15,2.4
2009-07-16,2.475
2009-07-17,2.45
2009-07-20,2.475
2009-07-21,2.475
2009-07-22,2.53
2009-07-23,2.61
2009-07-24,2.6
2009-07-27,2.62
2009-07-28,2.62
2009-07-29,2.61
2009-07-30,2.55
2009-07-31,2.52
2009-08-03,2.525
2009-08-04,2.51
2009-08-05,2.52
2009-08-06,2.545
2009-08-07,2.55
2009-08-10,2.54
2009-08-11,2.535
2009-08-12,2.525
2009-08-13,2.52
2009-08-14,2.51
2009-08-17,2.505
2009-08-18,2.88
2009-08-19,3.12
2009-08-20,3.205
2009-08-21,3.19
2009-08-24,3.15
2009-08-25,3.305
2009-08-26,3.46
2009-08-27,3.5
2009-08-28,3.44
2009-08-31,3.435
2009-09-01,3.315
2009-09-02,3.345
2009-09-03,3.33
2009-09-04,3.5
2009-09-08,3.645
2009-09-09,3.695
2009-09-10,3.83
2009-09-11,3.925
2009-09-14,4.065
2009-09-15,3.98
2009-09-16,4.11
2009-09-17,4.135
2009-09-18,4.28
2009-09-21,4.2
2009-09-22,4.4
2009-09-23,4.375
2009-09-24,4.06
2009-09-25,4.0
2009-09-28,4.215
2009-09-29,4.18
2009-09-30,4.07
2009-10-01,4.03
2009-10-02,4.045
2009-10-05,4.105
2009-10-06,4.21
2009-10-07,4.325
2009-10-08,4.225
2009-10-09,4.205
2009-10-12,4.205
2009-10-13,4.215
2009-10-14,4.135
2009-10-15,4.25
2009-10-16,4.1
2009-10-19,4.205
2009-10-20,4.135
2009-10-21,4.055
2009-10-22,4.3
2009-10-23,4.095
2009-10-26,3.915
2009-10-27,3.86
2009-10-28,3.43
2009-10-29,3.63
2009-10-30,3.47
2009-11-02,3.53
2009-11-03,3.65
2009-11-04,3.525
2009-11-05,3.465
2009-11-06,3.55
2009-11-09,3.525
2009-11-10,3.455
2009-11-11,3.495
2009-11-12,3.405
2009-11-13,3.46
2009-11-16,3.5
2009-11-17,3.42
2009-11-18,3.31
2009-11-19,3.24
2009-11-20,3.36
2009-11-23,3.415
2009-11-24,3.335
2009-11-25,3.35
2009-11-27,3.325
2009-11-30,3.545
2009-12-01,3.81
2009-12-02,3.945
2009-12-03,4.005
2009-12-04,4.07
2009-12-07,4.07
2009-12-08,4.005
2009-12-09,4.01
2009-12-10,3.99
2009-12-11,4.135
2009-12-14,4.16
2009-12-15,4.385
2009-12-16,4.585
2009-12-17,4.61
2009-12-18,4.595
2009-12-21,4.81
2009-12-22,4.835
2009-12-23,4.94
2009-12-24,4.905
2009-12-28,4.755
2009-12-29,4.885
2009-12-30,4.95
2009-12-31,4.915
2010-01-04,4.93
2010-01-05,4.74
2010-01-06,4.635
2010-01-07,4.835
2010-01-08,4.85
2010-01-11,4.875
2010-01-12,4.86
2010-01-13,4.92
2010-01-14,4.995
2010-01-15,4.97
2010-01-19,5.0
2010-01-20,4.76
2010-01-21,4.625
2010-01-22,4.62
2010-01-25,4.63
2010-01-26,4.675
2010-01-27,4.645
2010-01-28,4.585
2010-01-29,4.62
2010-02-01,4.415
2010-02-02,4.48
2010-02-03,4.375
2010-02-04,4.055
2010-02-05,4.07
2010-02-08,4.04
2010-02-09,4.045
2010-02-10,4.105
2010-02-11,4.08
2010-02-12,4.2
2010-02-16,4.365
2010-02-17,4.46
2010-02-18,4.565
2010-02-19,4.485
2010-02-22,4.52
2010-02-23,4.585
2010-02-24,4.62
2010-02-25,4.575
2010-02-26,4.58
2010-03-01,4.65
2010-03-02,4.71
2010-03-03,5.0
2010-03-04,5.055
2010-03-05,5.255
2010-03-08,5.75
2010-03-09,5.535
2010-03-10,5.585
2010-03-11,5.76
2010-03-12,5.755
2010-03-15,5.625
2010-03-16,5.99
2010-03-17,6.145
2010-03-18,6.13
2010-03-19,5.9
2010-03-22,6.1
2010-03-23,6.1
2010-03-24,6.175
2010-03-25,6.05
2010-03-26,6.0
2010-03-29,6.0
2010-03-30,5.975
2010-03-31,5.935
2010-04-01,6.045
2010-04-05,6.27
2010-04-06,6.275
2010-04-07,6.035
2010-04-08,5.9
2010-04-09,6.005
2010-04-12,6.01
2010-04-13,6.06
2010-04-14,6.25
2010-04-15,6.48
2010-04-16,6.395
2010-04-19,6.22
2010-04-20,6.23
2010-04-21,6.4
2010-04-22,6.7
2010-04-23,6.7
2010-04-26,6.69
2010-04-27,6.385
2010-04-28,6.3
2010-04-29,6.695
2010-04-30,6.45
2010-05-03,6.505
2010-05-04,6.135
2010-05-05,6.1
2010-05-06,5.335
2010-05-07,5.28
2010-05-10,5.28
2010-05-11,5.4
2010-05-12,5.695
2010-05-13,5.715
2010-05-14,5.445
2010-05-17,5.505
2010-05-18,5.48
2010-05-19,5.34
2010-05-20,5.175
2010-05-21,5.335
2010-05-24,5.305
2010-05-25,5.39
2010-05-26,5.49
2010-05-27,5.68
2010-05-28,5.525
2010-06-01,5.31
2010-06-02,5.375
2010-06-03,5.49
2010-06-04,5.22
2010-06-07,5.06
2010-06-08,5.02
2010-06-09,5.0
2010-06-10,5.235
2010-06-11,5.625
2010-06-14,5.73
2010-06-15,5.955
2010-06-16,5.91
2010-06-17,5.88
2010-06-18,6.095
2010-06-21,5.92
2010-06-22,5.78
2010-06-23,5.82
2010-06-24,5.655
2010-06-25,5.935
2010-06-28,5.735
2010-06-29,5.59
2010-06-30,5.57
2010-07-01,5.545
2010-07-02,5.39
2010-07-06,5.195
2010-07-07,5.215
2010-07-08,5.275
2010-07-09,5.385
2010-07-12,5.34
2010-07-13,5.505
2010-07-14,5.5
2010-07-15,5.42
2010-07-16,5.125
2010-07-19,5.19
2010-07-20,5.245
2010-07-21,5.135
2010-07-22,5.54
2010-07-23,5.62
2010-07-26,5.72
2010-07-27,5.755
2010-07-28,5.595
2010-07-29,5.685
2010-07-30,5.72
2010-08-02,5.76
2010-08-03,5.725
2010-08-04,5.575
2010-08-05,5.99
2010-08-06,5.975
2010-08-09,6.15
2010-08-10,6.115
2010-08-11,5.715
2010-08-12,5.795
2010-08-13,5.65
2010-08-16,6.0
2010-08-17,5.95
2010-08-18,5.955
2010-08-19,5.725
2010-08-20,5.695
2010-08-23,5.55
2010-08-24,5.45
2010-08-25,5.67
2010-08-26,5.46
2010-08-27,5.745
2010-08-30,5.45
2010-08-31,5.695
2010-09-01,5.995
2010-09-02,6.235
2010-09-03,6.3
2010-09-07,6.195
2010-09-08,6.09
2010-09-09,6.065
2010-09-10,6.145
2010-09-13,6.565
2010-09-14,6.415
2010-09-15,6.315
2010-09-16,6.16
2010-09-17,6.345
2010-09-20,6.05
2010-09-21,5.905
2010-09-22,5.795
2010-09-23,5.715
2010-09-24,6.025
2010-09-27,6.015
2010-09-28,6.15
2010-09-29,6.15
2010-09-30,6.07
2010-10-01,6.125
2010-10-04,6.005
2010-10-05,6.2
2010-10-06,6.1
2010-10-07,6.045
2010-10-08,6.075
2010-10-11,6.04
2010-10-12,6.24
2010-10-13,6.405
2010-10-14,6.405
2010-10-15,6.53
2010-10-18,6.575
2010-10-19,6.525
2010-10-20,6.455
2010-10-21,6.445
2010-10-22,6.445
2010-10-25,6.605
2010-10-26,6.62
2010-10-27,6.555
2010-10-28,6.46
2010-10-29,6.4
2010-11-01,6.41
2010-11-02,6.665
2010-11-03,6.635
2010-11-04,6.855
2010-11-05,7.475
2010-11-08,7.435
2010-11-09,7.375
2010-11-10,7.515
2010-11-11,7.555
2010-11-12,7.38
2010-11-15,7.365
2010-11-16,7.09
2010-11-17,7.125
2010-11-18,7.225
2010-11-19,7.14
2010-11-22,7.3
2010-11-23,7.315
2010-11-24,7.365
2010-11-26,7.365
2010-11-29,7.395
2010-11-30,7.36
2010-12-01,7.46
2010-12-02,7.505
2010-12-03,7.58
2010-12-06,7.445
2010-12-07,7.48
2010-12-08,7.51
2010-12-09,7.485
2010-12-10,7.41
2010-12-13,7.46
2010-12-14,7.475
2010-12-15,7.45
2010-12-16,7.535
2010-12-17,7.645
2010-12-20,7.63
2010-12-21,7.72
2010-12-22,7.705
2010-12-23,7.725
2010-12-27,7.78
2010-12-28,7.765
2010-12-29,7.725
2010-12-30,7.7
2010-12-31,7.65
2011-01-03,7.82
2011-01-04,7.54
2011-01-05,7.85
2011-01-06,7.965
2011-01-07,8.05
2011-01-10,8.165
2011-01-11,8.165
2011-01-12,8.225
2011-01-13,8.115
2011-01-14,8.26
2011-01-18,8.12
2011-01-19,7.87
2011-01-20,7.8
2011-01-21,7.88
2011-01-24,8.24
2011-01-25,8.38
2011-01-26,8.5
2011-01-27,8.62
2011-01-28,8.65
2011-01-31,8.515
2011-02-01,8.625
2011-02-02,8.53
2011-02-03,8.665
2011-02-04,8.54
2011-02-07,8.64
2011-02-08,8.735
2011-02-09,8.685
2011-02-10,8.685
2011-02-11,8.69
2011-02-14,8.9
2011-02-15,8.685
2011-02-16,8.595
2011-02-17,8.6
2011-02-18,8.6
2011-02-22,8.18
2011-02-23,7.875
2011-02-24,8.365
2011-02-25,8.635
2011-02-28,8.575
2011-03-01,8.12
2011-03-02,8.175
2011-03-03,8.305
2011-03-04,8.155
2011-03-07,7.935
2011-03-08,7.945
2011-03-09,7.865
2011-03-10,7.705
2011-03-11,7.655
2011-03-14,7.64
2011-03-15,7.645
2011-03-16,7.62
2011-03-17,7.715
2011-03-18,7.93
2011-03-21,8.245
2011-03-22,8.205
2011-03-23,8.3
2011-03-24,8.505
2011-03-25,8.53
2011-03-28,8.505
2011-03-29,8.61
2011-03-30,8.61
2011-03-31,8.585
2011-04-01,8.645
2011-04-04,8.62
2011-04-05,8.815
2011-04-06,8.775
2011-04-07,8.655
2011-04-08,8.47
2011-04-11,8.155
2011-04-12,8.16
2011-04-13,8.24
2011-04-14,8.3
2011-04-15,8.44
2011-04-18,8.295
2011-04-19,8.265
2011-04-20,8.415
2011-04-21,8.46
2011-04-25,8.345
2011-04-26,8.475
2011-04-27,8.465
2011-04-28,8.535
2011-04-29,8.69
2011-05-02,8.52
2011-05-03,8.01
2011-05-04,7.9
2011-05-05,8.005
2011-05-06,8.02
2011-05-09,8.2
2011-05-10,8.42
2011-05-11,8.315
2011-05-12,8.3
2011-05-13,8.16
2011-05-16,8.2
2011-05-17,8.055
2011-05-18,8.225
2011-05-19,8.185
2011-05-20,8.095
2011-05-23,7.81
2011-05-24,7.65
2011-05-25,7.775
2011-05-26,7.925
2011-05-27,8.0
2011-05-31,8.225
2011-06-01,7.705
2011-06-02,7.61
2011-06-03,7.315
2011-06-06,7.185
2011-06-07,7.515
2011-06-08,7.41
2011-06-09,7.68
2011-06-10,7.545
2011-06-13,7.335
2011-06-14,7.525
2011-06-15,7.26
2011-06-16,7.245
2011-06-17,7.31
2011-06-20,7.35
2011-06-21,7.78
2011-06-22,7.76
2011-06-23,7.83
2011-06-24,7.97
2011-06-27,8.03
2011-06-28,8.095
2011-06-29,8.245
2011-06-30,8.285
2011-07-01,8.425
2011-07-05,8.415
2011-07-06,8.41
2011-07-07,8.64
2011-07-08,8.45
2011-07-11,8.355
2011-07-12,8.155
2011-07-13,8.23
2011-07-14,8.225
2011-07-15,8.25
2011-07-18,8.25
2011-07-19,8.27
2011-07-20,8.275
2011-07-21,8.4
2011-07-22,8.285
2011-07-25,8.115
2011-07-26,8.025
2011-07-27,7.755
2011-07-28,7.75
2011-07-29,7.795
2011-08-01,7.805
2011-08-02,7.575
2011-08-03,7.715
2011-08-04,7.415
2011-08-05,7.31
2011-08-08,6.45
2011-08-09,6.945
2011-08-10,6.41
2011-08-11,6.78
2011-08-12,6.85
2011-08-15,7.075
2011-08-16,6.98
2011-08-17,7.08
2011-08-18,6.575
2011-08-19,6.33
2011-08-22,6.35
2011-08-23,6.745
2011-08-24,6.845
2011-08-25,6.68
2011-08-26,6.91
2011-08-29,7.35
2011-08-30,7.465
2011-08-31,7.515
2011-09-01,7.27
2011-09-02,6.895
2011-09-06,6.995
2011-09-07,7.325
2011-09-08,7.26
2011-09-09,7.25
2011-09-12,7.31
2011-09-13,7.42
2011-09-14,7.5
2011-09-15,7.455
2011-09-16,7.52
2011-09-19,7.36
2011-09-20,7.2
2011-09-21,6.79
2011-09-22,6.465
2011-09-23,6.975
2011-09-26,7.18
2011-09-27,7.515
2011-09-28,7.13
2011-09-29,7.185
2011-09-30,6.945
2011-10-03,6.59
2011-10-04,7.14
2011-10-05,7.35
2011-10-06,7.455
2011-10-07,7.255
2011-10-10,7.65
2011-10-11,7.765
2011-10-12,7.965
2011-10-13,8.01
2011-10-14,8.135
2011-10-17,7.78
2011-10-18,8.015
2011-10-19,7.775
2011-10-20,7.81
2011-10-21,7.925
2011-10-24,8.26
2011-10-25,7.945
2011-10-26,8.14
2011-10-27,8.48
2011-10-28,8.36
2011-10-31,8.2
2011-11-01,8.035
2011-11-02,8.285
2011-11-03,8.61
2011-11-04,8.55
2011-11-07,8.625
2011-11-08,8.825
2011-11-09,8.555
2011-11-10,8.635
2011-11-11,8.94
2011-11-14,8.775
2011-11-15,8.76
2011-11-16,8.585
2011-11-17,8.33
2011-11-18,8.32
2011-11-21,7.91
2011-11-22,7.96
2011-11-23,7.615
2011-11-25,7.54
2011-11-28,7.9
2011-11-29,7.97
2011-11-30,8.29
2011-12-01,8.11
2011-12-02,8.235
2011-12-05,8.165
2011-12-06,8.195
2011-12-07,8.015
2011-12-08,7.76
2011-12-09,8.25
2011-12-12,8.22
2011-12-13,7.985
2011-12-14,7.88
2011-12-15,7.965
2011-12-16,8.215
2011-12-19,8.045
2011-12-20,8.225
2011-12-21,8.26
2011-12-22,8.27
2011-12-23,8.305
2011-12-27,8.255
2011-12-28,8.08
2011-12-29,8.065
2011-12-30,7.87
2012-01-03,8.14
2012-01-04,8.05
2012-01-05,8.025
2012-01-06,8.5
2012-01-09,8.54
2012-01-10,8.625
2012-01-11,8.765
2012-01-12,8.87
2012-01-13,8.935
2012-01-17,8.885
2012-01-18,8.945
2012-01-19,8.98
2012-01-20,9.035
2012-01-23,9.03
2012-01-24,8.965
2012-01-25,8.78
2012-01-26,8.685
2012-01-27,8.615
2012-01-30,8.45
2012-01-31,8.73
2012-02-01,8.7
2012-02-02,8.815
2012-02-03,8.99
2012-02-06,9.035
2012-02-07,9.27
2012-02-08,9.26
2012-02-09,9.3
2012-02-10,9.115
2012-02-13,9.44
2012-02-14,9.52
2012-02-15,9.47
2012-02-16,9.96
2012-02-17,10.195
2012-02-21,10.085
2012-02-22,9.995
2012-02-23,10.1
2012-02-24,10.265
2012-02-27,10.15
2012-02-28,10.14
2012-02-29,10.05
2012-03-01,10.095
2012-03-02,9.98
2012-03-05,10.015
2012-03-06,10.0
2012-03-07,9.875
2012-03-08,10.145
2012-03-09,10.18
2012-03-12,10.425
2012-03-13,10.62
2012-03-14,10.36
