Date,QNTA
2018-10-29,1.78
2018-10-30,1.78
2018-10-31,1.78
2018-11-01,1.78
2018-11-02,1.78
2018-11-05,1.78
2018-11-06,1.78
2018-11-07,1.78
2018-11-08,2.0
2018-11-09,2.0
2018-11-12,2.0
2018-11-13,2.0
2018-11-14,2.0
2018-11-15,2.0
2018-11-16,2.0
2018-11-19,2.0
2018-11-20,2.0
2018-11-21,2.0
2018-11-23,2.0
2018-11-26,2.0
2018-11-27,2.0
2018-11-28,2.0
2018-11-29,2.0
2018-11-30,2.0
2018-12-03,2.0
2018-12-04,2.0
2018-12-06,2.0
2018-12-07,2.0
2018-12-10,2.0
2018-12-11,2.0
2018-12-12,2.0
2018-12-13,2.0
2018-12-14,2.0
2018-12-17,2.0
2018-12-18,2.0
2018-12-19,2.0
2018-12-20,2.0
2018-12-21,2.0
2018-12-24,2.0
2018-12-26,2.0
2018-12-27,2.0
2018-12-28,2.0
2018-12-31,2.0
2019-01-02,2.0
2019-01-03,2.0
2019-01-04,2.0
2019-01-07,2.0
2019-01-08,2.0
2019-01-09,1.2865
2019-01-10,1.2865
2019-01-11,1.2865
2019-01-14,1.6
2019-01-15,1.6
2019-01-16,1.6
2019-01-17,1.71
2019-01-18,1.71
2019-01-22,1.71
2019-01-23,1.71
2019-01-24,1.71
2019-01-25,1.71
2019-01-28,1.75
2019-01-29,1.75
2019-01-30,1.75
2019-01-31,1.75
2019-02-01,1.75
2019-02-04,1.75
2019-02-05,2.2
2019-02-06,2.2
2019-02-07,2.2
2019-02-08,2.2
2019-02-11,2.2
2019-02-12,2.2
2019-02-13,2.2
2019-02-14,2.2
2019-02-15,2.2
2019-02-19,2.2
2019-02-20,2.2
2019-02-21,2.2
2019-02-22,2.2
2019-02-25,2.2
2019-02-26,2.0
2019-02-27,2.0
2019-02-28,1.91
2019-03-01,1.91
2019-03-04,1.91
2019-03-05,1.91
2019-03-06,1.5
2019-03-07,1.5
2019-03-08,1.5
2019-03-11,1.5
2019-03-12,1.0
2019-03-13,2.1
2019-03-14,2.1
2019-03-15,2.1
2019-03-18,2.1
2019-03-19,2.99
2019-03-20,2.0
2019-03-21,2.0
2019-03-22,2.0
2019-03-25,2.0
2019-03-26,2.0
2019-03-27,2.0
2019-03-28,2.0
2019-03-29,2.0
2019-04-01,2.0
2019-04-02,2.0
2019-04-03,2.0
2019-04-04,2.0
2019-04-05,2.0
2019-04-08,2.0
2019-04-09,2.0
2019-04-10,2.0
2019-04-11,2.06
2019-04-12,2.06
2019-04-15,2.06
2019-04-16,2.06
2019-04-17,2.06
2019-04-18,2.06
2019-04-22,2.06
2019-04-23,2.06
2019-04-24,2.06
2019-04-25,2.06
2019-04-26,2.06
2019-04-29,2.06
2019-04-30,2.06
2019-05-01,2.06
2019-05-02,2.06
2019-05-03,2.06
2019-05-06,2.06
2019-05-07,2.06
2019-05-08,2.06
2019-05-09,2.06
2019-05-10,2.3
2019-05-13,2.0
2019-05-14,2.0
2019-05-15,2.0
2019-05-16,2.0
2019-05-17,2.0
2019-05-20,2.0
2019-05-21,2.0
2019-05-22,2.0
2019-05-23,1.83
2019-05-24,1.83
2019-05-28,1.83
2019-05-29,1.83
2019-05-30,1.83
2019-05-31,1.83
2019-06-03,1.83
2019-06-04,1.83
2019-06-05,1.83
2019-06-06,1.83
2019-06-07,1.83
2019-06-10,1.83
2019-06-11,1.83
2019-06-12,1.83
2019-06-13,1.83
2019-06-14,1.83
2019-06-17,1.83
2019-06-18,1.83
2019-06-19,1.83
2019-06-20,1.83
2019-06-21,1.83
2019-06-24,1.83
2019-06-25,1.83
2019-06-26,1.9
2019-06-27,1.9
2019-06-28,1.9
2019-07-01,1.9
2019-07-02,1.9
2019-07-03,1.9
2019-07-05,1.9
2019-07-08,1.9
2019-07-09,1.9
2019-07-10,1.9
2019-07-11,1.9
2019-07-12,1.9
2019-07-15,1.9
2019-07-16,1.9
2019-07-17,1.9
2019-07-18,1.9
2019-07-19,1.9
2019-07-22,1.9
2019-07-23,1.9
2019-07-24,1.9
2019-07-25,1.9
2019-07-26,1.9
2019-07-29,1.9
2019-07-30,1.9
2019-07-31,2.15
2019-08-01,2.35
2019-08-02,3.5
2019-08-05,3.55
2019-08-06,5.0
2019-08-07,5.99
2019-08-08,11.0
2019-08-09,11.2
2019-08-12,14.0
2019-08-13,14.0
2019-08-14,14.0
2019-08-15,14.0
2019-08-16,14.5
2019-08-19,15.0
2019-08-20,15.0001
2019-08-21,8.0
2019-08-22,5.59
2019-08-23,5.59
2019-08-26,5.59
2019-08-27,5.59
2019-08-28,5.99
2019-08-29,5.99
2019-08-30,5.99
2019-09-03,5.99
2019-09-04,4.2
2019-09-05,4.2
2019-09-06,5.01
2019-09-09,5.45
2019-09-10,6.01
2019-09-11,5.4
2019-09-12,5.41
2019-09-13,5.01
2019-09-16,3.75
2019-09-17,1.99
2019-09-18,1.98
2019-09-19,1.97
2019-09-20,1.98
2019-09-23,1.475
2019-09-24,1.06
2019-09-25,0.699
2019-09-26,0.454
2019-09-27,0.625
2019-09-30,0.5
2019-10-01,0.4
2019-10-02,0.34
2019-10-03,0.54
2019-10-04,0.4
2019-10-07,0.4
2019-10-08,0.39
2019-10-09,0.3835
2019-10-10,0.351
2019-10-11,0.36
2019-10-14,0.3699
2019-10-15,0.32
2019-10-16,0.3989
2019-10-17,0.2999
2019-10-18,0.3299
2019-10-21,0.2999
2019-10-22,0.26
2019-10-23,0.25
2019-10-24,0.235
2019-10-25,0.275
2019-10-28,0.255
2019-10-29,0.248
2019-10-30,0.23
2019-10-31,0.39
2019-11-01,0.44
2019-11-04,0.3206
2019-11-05,0.388
2019-11-06,0.388
2019-11-07,0.3631
2019-11-08,0.375
2019-11-11,0.349
2019-11-12,0.3
2019-11-13,0.3
2019-11-14,0.3
2019-11-15,0.3
2019-11-18,0.324
2019-11-19,0.3554
2019-11-20,0.392
2019-11-21,0.39
2019-11-22,0.38
2019-11-25,0.37
2019-11-26,0.4
2019-11-27,0.3685
2019-11-29,0.261
2019-12-02,0.391
2019-12-03,0.411
2019-12-04,0.392
2019-12-05,0.37
2019-12-06,0.35
2019-12-09,0.38
2019-12-10,0.361
2019-12-11,0.371
2019-12-12,0.371
2019-12-13,0.371
2019-12-16,0.421
2019-12-17,0.411
2019-12-18,0.38
2019-12-19,0.42
2019-12-20,0.42
2019-12-23,0.5
2019-12-24,0.5
2019-12-26,0.515
2019-12-27,0.515
2019-12-30,0.3281
2019-12-31,0.529
2020-01-02,0.529
2020-01-03,0.4845
2020-01-06,0.47
2020-01-07,0.47
2020-01-08,0.499
2020-01-09,0.48
2020-01-10,0.44
2020-01-13,0.45
2020-01-14,0.45
2020-01-15,0.4
2020-01-16,0.53
2020-01-17,0.5
2020-01-21,0.539
2020-01-22,0.53
2020-01-23,0.57
2020-01-24,0.4
2020-01-27,0.509
2020-01-28,0.4989
2020-01-29,0.44
2020-01-30,0.49
2020-01-31,0.45
2020-02-03,0.35
2020-02-04,0.4
2020-02-05,0.4
2020-02-06,0.4
2020-02-07,0.34
2020-02-10,0.35
2020-02-11,0.34
2020-02-12,0.34
2020-02-13,0.325
2020-02-14,0.325
2020-02-18,0.34
2020-02-19,0.31
2020-02-20,0.3
2020-02-21,0.25
2020-02-24,0.294
2020-02-25,0.27
2020-02-26,0.29
2020-02-27,0.25
2020-02-28,0.215
2020-03-02,0.25
2020-03-03,0.1999
2020-03-04,0.21
2020-03-05,0.2499
2020-03-06,0.19
2020-03-09,0.1937
2020-03-10,0.228
2020-03-11,0.19118
2020-03-12,0.16518
2020-03-13,0.18
2020-03-16,0.15005
2020-03-17,0.14
2020-03-18,0.14
2020-03-19,0.18
2020-03-20,0.17
2020-03-23,0.17
2020-03-24,0.15
2020-03-25,0.17
2020-03-26,0.2
2020-03-27,0.189
2020-03-30,0.18
2020-03-31,0.18
2020-04-01,0.12
2020-04-02,0.12
2020-04-03,0.101
2020-04-06,0.101
2020-04-07,0.11
2020-04-08,0.11
2020-04-09,0.1299
2020-04-13,0.15
2020-04-14,0.15
2020-04-15,0.15
2020-04-16,0.17
2020-04-17,0.15
2020-04-20,0.15
2020-04-21,0.115
2020-04-22,0.11
2020-04-23,0.125
2020-04-24,0.14
2020-04-27,0.11
2020-04-28,0.13
2020-04-29,0.14
2020-04-30,0.14
2020-05-01,0.142
2020-05-04,0.11
2020-05-05,0.15
2020-05-06,0.11
2020-05-07,0.1
2020-05-08,0.13
