Date,AMP
2007-07-27,57.759997999999996
2007-07-30,60.73
2007-07-31,60.27
2007-08-01,58.77
2007-08-02,58.5
2007-08-03,55.009997999999996
2007-08-06,57.619999
2007-08-07,58.709998999999996
2007-08-08,60.459998999999996
2007-08-09,57.43
2007-08-10,58.66
2007-08-13,57.549999
2007-08-14,55.200001
2007-08-15,54.880001
2007-08-16,55.439999
2007-08-17,58.439999
2007-08-20,58.200001
2007-08-21,58.779999
2007-08-22,61.540001000000004
2007-08-23,60.939999
2007-08-24,61.93
2007-08-27,61.299999
2007-08-28,58.810001
2007-08-29,61.080002
2007-08-30,60.080002
2007-08-31,61.009997999999996
2007-09-04,61.779999
2007-09-05,60.32
2007-09-06,60.900002
2007-09-07,58.889998999999996
2007-09-10,57.720001
2007-09-11,59.009997999999996
2007-09-12,59.209998999999996
2007-09-13,59.529999
2007-09-14,58.959998999999996
2007-09-17,59.02
2007-09-18,61.27
2007-09-19,61.810001
2007-09-20,61.330002
2007-09-21,61.23
2007-09-24,61.540001000000004
2007-09-25,60.75
2007-09-26,61.57
2007-09-27,62.950001
2007-09-28,63.110001000000004
2007-10-01,64.110001
2007-10-02,64.43
2007-10-03,64.0
2007-10-04,65.029999
2007-10-05,65.970001
2007-10-08,65.489998
2007-10-09,66.900002
2007-10-10,66.139999
2007-10-11,64.82
2007-10-12,66.230003
2007-10-15,64.82
2007-10-16,65.150002
2007-10-17,63.529999
2007-10-18,64.5
2007-10-19,60.91
2007-10-22,63.169998
2007-10-23,65.410004
2007-10-24,65.800003
2007-10-25,63.279999
2007-10-26,63.799999
2007-10-29,62.560001
2007-10-30,61.91
2007-10-31,62.98
2007-11-01,60.540001000000004
2007-11-02,60.41
2007-11-05,57.950001
2007-11-06,59.889998999999996
2007-11-07,56.279999
2007-11-08,58.169998
2007-11-09,57.630001
2007-11-12,58.400002
2007-11-13,61.689999
2007-11-14,62.23
2007-11-15,59.669998
2007-11-16,58.5
2007-11-19,55.66
2007-11-20,56.119999
2007-11-21,55.73
2007-11-23,57.98
2007-11-26,54.209998999999996
2007-11-27,56.040001000000004
2007-11-28,59.09
2007-11-29,57.560001
2007-11-30,58.689999
2007-12-03,58.040001000000004
2007-12-04,56.110001000000004
2007-12-05,58.810001
2007-12-06,60.630001
2007-12-07,59.34
2007-12-10,60.389998999999996
2007-12-11,56.560001
2007-12-12,57.07
2007-12-13,56.490002000000004
2007-12-14,54.43
2007-12-17,54.560001
2007-12-18,54.200001
2007-12-19,54.099998
2007-12-20,54.720001
2007-12-21,56.07
2007-12-24,57.439999
2007-12-26,56.369999
