Date,WSBF
2007-04-13,16.077288
2007-04-16,16.204885
2007-04-17,16.19577
2007-04-18,15.99526
2007-04-19,16.177544
2007-04-20,16.396282
2007-04-23,16.159315
2007-04-24,15.99526
2007-04-25,16.1502
2007-04-26,16.013489
2007-04-27,15.967918
2007-04-30,15.958804
2007-05-01,15.958804
2007-05-02,16.086401000000002
2007-05-03,15.986147
2007-05-04,16.131971
2007-05-07,16.10463
2007-05-08,16.022602
2007-05-09,15.958804
2007-05-10,15.858548999999998
2007-05-11,15.895005
2007-05-14,15.585126
2007-05-15,15.038279999999999
2007-05-16,15.348158999999999
2007-05-17,15.193219000000001
2007-05-18,15.138535000000001
2007-05-21,15.266132
2007-05-22,15.493984
2007-05-23,15.721836999999999
2007-05-24,15.466642000000002
2007-05-25,15.430185999999999
2007-05-29,15.384615
2007-05-30,15.275246
2007-05-31,15.339045
2007-06-01,15.311703
2007-06-04,15.266132
2007-06-05,15.220560999999998
2007-06-06,15.065620999999998
2007-06-07,14.737514000000001
2007-06-08,14.910682000000001
2007-06-11,15.056507
2007-06-12,14.682829000000002
2007-06-13,14.956252
2007-06-14,14.956252
2007-06-15,15.08385
2007-06-18,15.074735999999998
2007-06-19,15.257017999999999
2007-06-20,15.001822
2007-06-21,15.156763
2007-06-22,15.266132
2007-06-25,15.065620999999998
2007-06-26,15.111192
2007-06-27,15.247904
2007-06-28,15.074735999999998
2007-06-29,15.074735999999998
2007-07-02,15.074735999999998
2007-07-03,15.129420000000001
2007-07-05,15.038279999999999
2007-07-06,15.029164999999999
2007-07-09,14.92891
2007-07-10,14.837769
2007-07-11,14.801312
2007-07-12,14.764856
2007-07-13,14.646373
2007-07-16,14.701057
2007-07-17,14.582574
2007-07-18,14.154210999999998
2007-07-19,14.227123
2007-07-20,14.218010000000001
2007-07-23,14.126868
2007-07-24,14.044842000000001
2007-07-25,14.154210999999998
2007-07-26,14.10864
2007-07-27,13.944586
2007-07-30,13.971929000000001
2007-07-31,13.807875
2007-08-01,13.634706
2007-08-02,13.643820999999999
2007-08-03,13.133429999999999
2007-08-06,13.388625
2007-08-07,14.227123
2007-08-08,14.855997
2007-08-09,14.637259
2007-08-10,14.245351999999999
2007-08-13,13.680276999999998
2007-08-14,13.734962
2007-08-15,13.507109
2007-08-16,14.072184
2007-08-17,14.482319
2007-08-20,14.37295
2007-08-21,14.527889000000002
2007-08-22,14.673715
2007-08-23,14.637259
2007-08-24,14.810426999999999
2007-08-27,14.801312
2007-08-28,14.783083999999999
2007-08-29,15.001822
2007-08-30,14.938025
2007-08-31,15.174991
2007-09-04,15.047394
2007-09-05,14.828654
2007-09-06,14.673715
2007-09-07,14.500546
2007-09-10,14.691942999999998
2007-09-11,14.400291000000001
2007-09-12,14.327379
2007-09-13,14.473204999999998
2007-09-14,14.582574
2007-09-17,14.546118
2007-09-18,14.910682000000001
2007-09-19,15.102078
2007-09-20,14.965366
2007-09-21,15.065620999999998
