Date,CHKGF
2018-07-18,7.75
2018-07-19,7.75
2018-07-20,7.75
2018-07-23,7.65
2018-07-24,7.65
2018-07-25,7.65
2018-07-26,7.65
2018-07-27,7.65
2018-07-30,7.65
2018-07-31,7.65
2018-08-01,7.65
2018-08-02,7.49
2018-08-03,7.49
2018-08-06,7.29
2018-08-07,7.29
2018-08-08,7.29
2018-08-09,7.29
2018-08-10,7.31
2018-08-13,7.31
2018-08-14,7.31
2018-08-15,7.28
2018-08-16,7.19
2018-08-17,7.19
2018-08-20,7.19
2018-08-21,7.19
2018-08-22,7.19
2018-08-23,6.99
2018-08-24,6.99
2018-08-27,6.99
2018-08-28,6.99
2018-08-29,6.99
2018-08-30,7.34
2018-08-31,7.34
2018-09-04,7.34
2018-09-05,7.26
2018-09-06,7.165
2018-09-07,7.165
2018-09-10,7.01
2018-09-11,7.05
2018-09-12,7.05
2018-09-13,7.05
2018-09-14,7.435
2018-09-17,7.58
2018-09-18,7.58
2018-09-19,7.9
2018-09-20,7.675
2018-09-21,7.87
2018-09-24,7.749
2018-09-25,7.749
2018-09-26,7.65
2018-09-27,7.83
2018-09-28,7.59
2018-10-01,7.59
2018-10-02,7.45
2018-10-03,7.45
2018-10-04,7.15
2018-10-05,7.15
2018-10-08,7.068
2018-10-09,7.29
2018-10-10,7.29
2018-10-11,7.29
2018-10-12,7.024
2018-10-15,7.024
2018-10-16,7.024
2018-10-17,7.024
2018-10-18,7.024
2018-10-19,7.024
2018-10-22,7.0
2018-10-23,7.0
2018-10-24,7.0
2018-10-25,6.59
2018-10-26,6.685
2018-10-29,6.59
2018-10-30,6.59
2018-10-31,6.5
2018-11-01,6.52
2018-11-02,6.63
2018-11-05,6.63
2018-11-06,6.88
2018-11-07,6.88
2018-11-08,6.88
2018-11-09,6.85
2018-11-12,6.85
2018-11-13,6.75
2018-11-14,6.76
2018-11-15,7.101
2018-11-16,7.101
2018-11-19,7.101
2018-11-20,7.101
2018-11-21,7.101
2018-11-23,7.101
2018-11-26,7.101
2018-11-27,7.07
2018-11-28,7.07
2018-11-29,7.07
2018-11-30,7.07
2018-12-03,7.07
2018-12-04,7.18
2018-12-06,7.18
2018-12-07,7.285
2018-12-10,7.2
2018-12-11,7.22
2018-12-12,7.39
2018-12-13,7.44
2018-12-14,7.42
2018-12-17,7.45
2018-12-18,7.54
2018-12-19,7.63
2018-12-20,7.5
2018-12-21,7.395
2018-12-24,7.395
2018-12-26,7.395
2018-12-27,7.0
2018-12-28,7.12
2018-12-31,7.12
2019-01-02,7.12
2019-01-03,7.12
2019-01-04,7.65
2019-01-07,7.87
2019-01-08,8.12
2019-01-09,8.14
2019-01-10,8.14
2019-01-11,8.18
2019-01-14,8.103
2019-01-15,8.17
2019-01-16,8.108
2019-01-17,8.1
2019-01-18,7.95
2019-01-22,8.1
2019-01-23,8.002
2019-01-24,8.02
2019-01-25,8.27
2019-01-28,8.27
2019-01-29,8.27
2019-01-30,8.28
2019-01-31,8.28
2019-02-01,8.43
2019-02-04,8.05
2019-02-05,8.05
2019-02-06,8.16
2019-02-07,8.27
2019-02-08,8.3
2019-02-11,8.11
2019-02-12,8.11
2019-02-13,8.55
2019-02-14,8.457
2019-02-15,8.45
2019-02-19,8.19
2019-02-20,8.19
2019-02-21,8.65
2019-02-22,8.655
2019-02-25,8.51
2019-02-26,8.51
2019-02-27,8.51
2019-02-28,8.489
2019-03-01,8.32
2019-03-04,8.32
2019-03-05,8.31
2019-03-06,8.31
2019-03-07,8.19
2019-03-08,8.13
2019-03-11,8.166
2019-03-12,8.35
2019-03-13,8.38
2019-03-14,8.52
2019-03-15,8.52
2019-03-18,8.25
2019-03-19,8.25
2019-03-20,8.25
2019-03-21,8.4
2019-03-22,8.4
2019-03-25,8.65
2019-03-26,8.56
2019-03-27,8.71
2019-03-28,8.91
2019-03-29,8.98
2019-04-01,8.98
2019-04-02,9.06
2019-04-03,9.06
2019-04-04,9.18
2019-04-05,8.938
2019-04-08,8.938
2019-04-09,8.938
2019-04-10,8.938
2019-04-11,8.7
2019-04-12,8.7
2019-04-15,8.7
2019-04-16,8.54
2019-04-17,8.58
2019-04-18,8.49
2019-04-22,8.49
2019-04-23,8.25
2019-04-24,8.31
2019-04-25,8.31
2019-04-26,8.31
2019-04-29,8.31
2019-04-30,8.07
2019-05-01,8.07
2019-05-02,7.96
2019-05-03,8.26
2019-05-06,7.985
2019-05-07,7.925
2019-05-08,7.925
2019-05-09,7.925
2019-05-10,7.925
2019-05-13,7.82
2019-05-14,7.82
2019-05-15,7.638
2019-05-16,7.638
2019-05-17,7.74
2019-05-20,7.74
2019-05-21,7.6
2019-05-22,7.5
2019-05-23,7.33
2019-05-24,7.33
2019-05-28,7.36
2019-05-29,7.36
2019-05-30,7.39
2019-05-31,7.25
2019-06-03,7.25
2019-06-04,7.29
2019-06-05,7.358
2019-06-06,7.481
2019-06-07,7.61
2019-06-10,7.61
2019-06-11,7.61
2019-06-12,7.53
2019-06-13,7.381
2019-06-14,7.57
2019-06-17,7.57
2019-06-18,7.65
2019-06-19,7.65
2019-06-20,7.93
2019-06-21,7.8
2019-06-24,7.736
2019-06-25,7.77
2019-06-26,7.91
2019-06-27,7.96
2019-06-28,7.776
2019-07-01,8.065
2019-07-02,7.914
2019-07-03,8.04
2019-07-05,8.0
2019-07-08,7.71
2019-07-09,7.69
2019-07-10,7.65
2019-07-11,7.65
2019-07-12,7.63
2019-07-15,7.63
2019-07-16,7.63
2019-07-17,7.78
2019-07-18,7.78
2019-07-19,7.7
2019-07-22,7.99
2019-07-23,8.0
2019-07-24,8.0
2019-07-25,8.11
2019-07-26,7.86
2019-07-29,7.87
2019-07-30,7.67
2019-07-31,7.67
2019-08-01,7.26
2019-08-02,7.24
2019-08-05,6.646
2019-08-06,6.646
2019-08-07,6.646
2019-08-08,6.93
2019-08-09,6.93
2019-08-12,6.68
2019-08-13,6.72
2019-08-14,6.305
2019-08-15,6.305
2019-08-16,6.305
2019-08-19,6.305
2019-08-20,7.08
2019-08-21,6.951
2019-08-22,6.951
2019-08-23,6.86
2019-08-26,7.0
2019-08-27,6.945
2019-08-28,7.0
2019-08-29,7.0
2019-08-30,6.85
2019-09-03,6.85
2019-09-04,6.85
2019-09-05,7.17
2019-09-06,7.17
2019-09-09,7.17
2019-09-10,6.95
2019-09-11,7.28
2019-09-12,7.17
2019-09-13,7.17
2019-09-16,7.195
2019-09-17,7.03
2019-09-18,7.03
2019-09-19,7.102
2019-09-20,6.98
2019-09-23,6.98
2019-09-24,6.735
2019-09-25,6.69
2019-09-26,6.66
2019-09-27,6.69
2019-09-30,6.69
2019-10-01,6.69
2019-10-02,6.907
2019-10-03,6.75
2019-10-04,6.75
2019-10-07,6.63
2019-10-08,6.63
2019-10-09,6.63
2019-10-10,6.56
2019-10-11,6.725
2019-10-14,6.71
2019-10-15,6.77
2019-10-16,6.9
2019-10-17,6.75
2019-10-18,6.88
2019-10-21,6.88
2019-10-22,6.88
2019-10-23,6.88
2019-10-24,6.808
2019-10-25,6.808
2019-10-28,6.808
2019-10-29,6.91
2019-10-30,6.91
2019-10-31,6.85
2019-11-01,6.85
2019-11-04,7.105
2019-11-05,7.105
2019-11-06,7.065
2019-11-07,7.2
2019-11-08,7.06
2019-11-11,7.06
2019-11-12,6.73
2019-11-13,6.73
2019-11-14,6.76
2019-11-15,6.7
2019-11-18,6.65
2019-11-19,6.65
2019-11-20,6.65
2019-11-21,6.63
2019-11-22,6.63
2019-11-25,6.63
2019-11-26,6.63
2019-11-27,6.662
2019-11-29,6.76
2019-12-02,6.86
2019-12-03,6.63
2019-12-04,6.44
2019-12-05,6.42
2019-12-06,6.7
2019-12-09,6.58
2019-12-10,6.67
2019-12-11,6.64
2019-12-12,6.755
2019-12-13,6.755
2019-12-16,6.755
2019-12-17,6.755
2019-12-18,6.755
2019-12-19,6.755
2019-12-20,6.89
2019-12-23,7.04
2019-12-24,7.045
2019-12-26,6.85
2019-12-27,7.022
2019-12-30,6.974
2019-12-31,7.21
2020-01-02,7.051
2020-01-03,7.15
2020-01-06,7.24
2020-01-07,7.21
2020-01-08,7.16
2020-01-09,6.952
2020-01-10,7.226
2020-01-13,7.29
2020-01-14,7.45
2020-01-15,7.135
2020-01-16,7.28
2020-01-17,7.365
2020-01-21,7.2
2020-01-22,7.2
2020-01-23,6.97
2020-01-24,6.97
2020-01-27,6.67
2020-01-28,6.705
2020-01-29,6.81
2020-01-30,6.39
2020-01-31,6.6
2020-02-03,6.375
2020-02-04,6.52
2020-02-05,6.7
2020-02-06,6.6
2020-02-07,6.641
2020-02-10,6.66
2020-02-11,6.66
2020-02-12,6.705
2020-02-13,6.6
2020-02-14,6.6
2020-02-18,6.6
2020-02-19,6.75
2020-02-20,6.6
2020-02-21,6.58
2020-02-24,6.42
2020-02-25,6.31
2020-02-26,6.31
2020-02-27,6.3
2020-02-28,6.3
2020-03-02,6.29
2020-03-03,6.355
2020-03-04,6.24
2020-03-05,6.2
2020-03-06,6.176
2020-03-09,5.84
2020-03-10,5.7
2020-03-11,6.0
2020-03-12,5.56
2020-03-13,5.425
2020-03-16,5.425
2020-03-17,4.96
2020-03-18,4.96
2020-03-19,4.96
2020-03-20,4.96
2020-03-23,4.45
2020-03-24,4.45
2020-03-25,4.76
2020-03-26,5.32
2020-03-27,5.199
2020-03-30,5.218
2020-03-31,5.82
2020-04-01,5.82
2020-04-02,5.39
2020-04-03,5.81
2020-04-06,5.62
2020-04-07,5.758
2020-04-08,5.758
2020-04-09,5.996
2020-04-13,6.1
2020-04-14,6.185
2020-04-15,5.79
2020-04-16,5.988
2020-04-17,5.988
2020-04-20,5.988
2020-04-21,5.94
2020-04-22,5.94
2020-04-23,6.2
2020-04-24,6.3
2020-04-27,6.03
2020-04-28,6.32
2020-04-29,6.32
2020-04-30,6.05
2020-05-01,5.8
2020-05-04,5.8
2020-05-05,6.17
2020-05-06,6.17
2020-05-07,6.23
2020-05-08,6.4
