Date,AZUL
2019-06-14,33.540001000000004
2019-06-17,34.25
2019-06-18,35.0
2019-06-19,35.16
2019-06-20,35.700001
2019-06-21,34.32
2019-06-24,34.25
2019-06-25,32.98
2019-06-26,32.959998999999996
2019-06-27,32.959998999999996
2019-06-28,33.439999
2019-07-01,33.0
2019-07-02,32.849998
2019-07-03,33.849998
2019-07-05,38.049999
2019-07-08,38.27
2019-07-09,38.5
2019-07-10,39.869999
2019-07-11,39.57
2019-07-12,39.139998999999996
2019-07-15,39.459998999999996
2019-07-16,39.720001
2019-07-17,39.5
2019-07-18,39.970001
2019-07-19,39.52
2019-07-22,40.009997999999996
2019-07-23,38.709998999999996
2019-07-24,39.32
2019-07-25,39.0
2019-07-26,40.919998
2019-07-29,41.939999
2019-07-30,41.779999
2019-07-31,40.700001
2019-08-01,41.66
2019-08-02,41.25
2019-08-05,39.110001000000004
2019-08-06,40.07
2019-08-07,40.040001000000004
2019-08-08,41.66
2019-08-09,41.93
2019-08-12,40.919998
2019-08-13,40.709998999999996
2019-08-14,37.98
2019-08-15,37.740002000000004
2019-08-16,37.639998999999996
2019-08-19,36.529999
2019-08-20,36.669998
2019-08-21,37.549999
2019-08-22,35.889998999999996
2019-08-23,34.25
2019-08-26,33.389998999999996
2019-08-27,33.02
2019-08-28,33.330002
2019-08-29,35.169998
2019-08-30,35.119999
2019-09-03,33.18
2019-09-04,34.360001000000004
2019-09-05,35.990002000000004
2019-09-06,36.130001
2019-09-09,35.02
2019-09-10,35.080002
2019-09-11,36.389998999999996
2019-09-12,38.369999
2019-09-13,37.32
2019-09-16,34.389998999999996
2019-09-17,35.759997999999996
2019-09-18,35.959998999999996
2019-09-19,35.529999
2019-09-20,34.950001
2019-09-23,34.52
2019-09-24,34.09
2019-09-25,34.880001
2019-09-26,35.939999
2019-09-27,35.689999
2019-09-30,35.82
2019-10-01,35.23
2019-10-02,34.77
2019-10-03,36.43
2019-10-04,37.779999
2019-10-07,36.970001
2019-10-08,36.650002
2019-10-09,36.18
2019-10-10,36.060001
2019-10-11,36.84
2019-10-14,37.220001
2019-10-15,36.75
2019-10-16,36.82
2019-10-17,36.779999
2019-10-18,37.09
2019-10-21,36.959998999999996
2019-10-22,38.990002000000004
2019-10-23,38.700001
2019-10-24,39.18
2019-10-25,39.0
2019-10-28,39.720001
2019-10-29,39.959998999999996
2019-10-30,39.959998999999996
2019-10-31,38.98
2019-11-01,40.139998999999996
2019-11-04,40.07
2019-11-05,39.93
2019-11-06,38.27
