Date,VRRM
2018-05-02,10.06
2018-05-03,10.06
2018-05-04,10.05
2018-05-07,10.05
2018-05-08,10.05
2018-05-09,10.05
2018-05-10,10.04
2018-05-11,10.03
2018-05-14,10.03
2018-05-15,10.005
2018-05-16,10.005
2018-05-17,10.005
2018-05-18,10.0
2018-05-21,10.02
2018-05-22,10.02
2018-05-23,10.04
2018-05-24,10.12
2018-05-25,10.12
2018-05-29,10.12
2018-05-30,10.12
2018-05-31,10.0
2018-06-01,10.0
2018-06-04,10.0
2018-06-05,10.04
2018-06-06,10.04
2018-06-07,10.07
2018-06-08,10.05
2018-06-11,10.05
2018-06-12,10.077
2018-06-13,10.01
2018-06-14,10.055
2018-06-15,10.055
2018-06-18,10.05
2018-06-19,10.04
2018-06-20,10.08
2018-06-21,10.17
2018-06-22,10.17
2018-06-25,10.15
2018-06-26,10.172
2018-06-27,10.18
2018-06-28,10.17
2018-06-29,10.155
2018-07-02,10.18
2018-07-03,10.16
2018-07-05,10.35
2018-07-06,10.19
2018-07-09,10.15
2018-07-10,10.13
2018-07-11,10.14
2018-07-12,10.15
2018-07-13,10.16
2018-07-16,10.17
2018-07-17,10.14
2018-07-18,10.16
2018-07-19,10.16
2018-07-20,10.15
2018-07-23,10.16
2018-07-24,10.18
2018-07-25,10.17
2018-07-26,10.2
2018-07-27,10.24
2018-07-30,10.25
2018-07-31,10.26
2018-08-01,10.3
2018-08-02,10.26
2018-08-03,10.285
2018-08-06,10.28
2018-08-07,10.27
2018-08-08,10.36
2018-08-09,10.37
2018-08-10,10.45
2018-08-13,10.4
2018-08-14,10.35
2018-08-15,10.33
2018-08-16,10.33
2018-08-17,10.28
2018-08-20,10.27
2018-08-21,10.24
2018-08-22,10.25
2018-08-23,10.25
2018-08-24,10.26
2018-08-27,10.3
2018-08-28,10.3
2018-08-29,10.27
2018-08-30,10.32
2018-08-31,10.33
2018-09-04,10.36
2018-09-05,10.38
2018-09-06,10.35
2018-09-07,10.34
2018-09-10,10.37
2018-09-11,10.37
2018-09-12,10.43
2018-09-13,10.45
2018-09-14,10.45
2018-09-17,10.42
2018-09-18,10.42
2018-09-19,10.55
2018-09-20,10.48
2018-09-21,10.48
2018-09-24,10.46
2018-09-25,10.49
2018-09-26,10.43
2018-09-27,10.52
2018-09-28,10.62
2018-10-01,10.69
2018-10-02,10.84
2018-10-03,10.72
2018-10-04,10.68
2018-10-05,10.595
2018-10-08,10.6
2018-10-09,10.49
2018-10-10,10.28
2018-10-11,10.18
2018-10-12,10.2
2018-10-15,10.31
2018-10-16,10.49
2018-10-17,10.51
2018-10-18,10.73
2018-10-19,10.71
2018-10-22,10.5
2018-10-23,10.13
2018-10-24,10.09
2018-10-25,10.15
2018-10-26,10.0
2018-10-29,9.68
2018-10-30,9.46
2018-10-31,9.39
2018-11-01,9.68
2018-11-02,9.98
2018-11-05,9.89
2018-11-06,10.0
2018-11-07,10.02
2018-11-08,10.05
2018-11-09,10.46
2018-11-12,10.49
2018-11-13,10.39
2018-11-14,10.18
2018-11-15,10.14
2018-11-16,10.01
2018-11-19,9.83
2018-11-20,9.57
2018-11-21,9.83
2018-11-23,9.92
2018-11-26,9.88
2018-11-27,9.81
2018-11-28,10.06
2018-11-29,10.08
2018-11-30,10.0
2018-12-03,10.04
2018-12-04,9.92
2018-12-06,9.92
2018-12-07,9.84
2018-12-10,9.84
2018-12-11,9.83
2018-12-12,9.92
2018-12-13,9.98
2018-12-14,9.75
2018-12-17,9.9
2018-12-18,9.87
2018-12-19,9.93
2018-12-20,10.12
2018-12-21,9.8
2018-12-24,9.4
2018-12-26,9.79
2018-12-27,10.08
2018-12-28,9.91
2018-12-31,9.76
2019-01-02,9.6
2019-01-03,9.13
2019-01-04,9.45
2019-01-07,9.43
2019-01-08,9.53
2019-01-09,9.77
2019-01-10,9.92
2019-01-11,9.62
2019-01-14,9.25
2019-01-15,9.36
2019-01-16,9.44
2019-01-17,9.49
2019-01-18,9.6
2019-01-22,9.71
2019-01-23,10.0
2019-01-24,10.15
2019-01-25,10.32
2019-01-28,10.4
2019-01-29,10.34
2019-01-30,10.32
2019-01-31,10.46
2019-02-01,10.41
2019-02-04,10.42
2019-02-05,10.34
2019-02-06,10.25
2019-02-07,10.25
2019-02-08,10.2
2019-02-11,10.3
2019-02-12,10.64
2019-02-13,10.82
2019-02-14,10.89
2019-02-15,11.09
2019-02-19,11.07
2019-02-20,10.99
2019-02-21,10.83
2019-02-22,10.91
2019-02-25,10.94
2019-02-26,10.89
2019-02-27,10.65
2019-02-28,10.6
2019-03-01,10.6
2019-03-04,10.7
2019-03-05,10.67
2019-03-06,10.54
2019-03-07,10.33
2019-03-08,10.22
2019-03-11,10.31
2019-03-12,10.42
2019-03-13,10.69
2019-03-14,10.7
2019-03-15,10.75
2019-03-18,10.91
2019-03-19,10.55
2019-03-20,10.43
2019-03-21,10.28
2019-03-22,10.46
2019-03-25,10.44
2019-03-26,10.46
2019-03-27,10.6
2019-03-28,11.45
2019-03-29,11.9
2019-04-01,12.26
2019-04-02,12.26
2019-04-03,12.46
2019-04-04,12.81
2019-04-05,12.46
2019-04-08,12.45
2019-04-09,12.51
2019-04-10,12.85
2019-04-11,12.95
2019-04-12,13.1
2019-04-15,13.4
2019-04-16,13.7
2019-04-17,13.45
2019-04-18,13.19
2019-04-22,13.13
2019-04-23,13.08
2019-04-24,13.26
2019-04-25,13.33
2019-04-26,13.66
2019-04-29,13.5
2019-04-30,13.52
2019-05-01,13.33
2019-05-02,12.94
2019-05-03,13.37
2019-05-06,13.22
2019-05-07,13.89
2019-05-08,14.0
2019-05-09,14.48
2019-05-10,14.8
2019-05-13,14.86
2019-05-14,14.81
2019-05-15,14.75
2019-05-16,14.94
2019-05-17,14.75
2019-05-20,14.74
2019-05-21,14.63
2019-05-22,14.24
2019-05-23,13.77
2019-05-24,14.1
2019-05-28,14.19
2019-05-29,14.02
2019-05-30,13.91
2019-05-31,13.98
2019-06-03,13.8
2019-06-04,13.28
2019-06-05,12.79
2019-06-06,12.53
2019-06-07,12.51
2019-06-10,12.36
2019-06-11,12.36
2019-06-12,12.36
2019-06-13,12.43
2019-06-14,12.45
2019-06-17,12.69
2019-06-18,12.67
2019-06-19,12.52
2019-06-20,12.86
2019-06-21,13.2
2019-06-24,12.99
2019-06-25,12.59
2019-06-26,12.51
2019-06-27,12.56
2019-06-28,13.09
2019-07-01,13.64
2019-07-02,13.18
2019-07-03,13.33
2019-07-05,13.39
2019-07-08,13.2
2019-07-09,13.46
2019-07-10,13.72
2019-07-11,13.55
2019-07-12,13.67
2019-07-15,13.62
2019-07-16,13.76
2019-07-17,13.72
2019-07-18,13.87
2019-07-19,13.79
2019-07-22,13.79
2019-07-23,13.83
2019-07-24,13.84
2019-07-25,13.85
2019-07-26,13.95
2019-07-29,13.81
2019-07-30,13.86
2019-07-31,13.85
2019-08-01,13.67
2019-08-02,13.39
2019-08-05,12.85
2019-08-06,12.99
2019-08-07,13.69
2019-08-08,13.95
2019-08-09,13.96
2019-08-12,13.99
2019-08-13,13.99
2019-08-14,13.82
2019-08-15,13.78
2019-08-16,13.91
2019-08-19,13.82
2019-08-20,13.92
2019-08-21,13.9
2019-08-22,13.99
2019-08-23,13.69
2019-08-26,13.59
2019-08-27,13.52
2019-08-28,13.69
2019-08-29,13.79
2019-08-30,13.92
2019-09-03,13.96
2019-09-04,14.1
2019-09-05,14.18
2019-09-06,14.43
2019-09-09,14.22
2019-09-10,14.44
2019-09-11,14.92
2019-09-12,14.96
2019-09-13,14.85
2019-09-16,14.9
2019-09-17,14.75
2019-09-18,14.74
2019-09-19,14.54
2019-09-20,14.55
2019-09-23,14.39
2019-09-24,14.2
2019-09-25,14.26
2019-09-26,14.12
2019-09-27,13.805
2019-09-30,14.35
2019-10-01,13.89
2019-10-02,13.84
2019-10-03,13.855
2019-10-04,13.97
2019-10-07,13.98
2019-10-08,14.2
2019-10-09,14.04
2019-10-10,13.99
2019-10-11,14.045
2019-10-14,13.96
2019-10-15,14.02
2019-10-16,14.21
2019-10-17,14.59
2019-10-18,14.3
2019-10-21,14.22
2019-10-22,14.04
2019-10-23,13.87
2019-10-24,13.88
2019-10-25,13.84
2019-10-28,14.28
2019-10-29,14.38
2019-10-30,14.32
2019-10-31,14.35
2019-11-01,15.0
2019-11-04,14.7
2019-11-05,14.74
2019-11-06,15.1
2019-11-07,14.93
2019-11-08,14.79
2019-11-11,14.86
2019-11-12,14.68
2019-11-13,14.7
2019-11-14,14.33
2019-11-15,14.58
2019-11-18,14.58
2019-11-19,14.77
2019-11-20,14.51
2019-11-21,14.69
2019-11-22,14.53
2019-11-25,14.86
2019-11-26,14.92
2019-11-27,15.0
2019-11-29,14.97
2019-12-02,14.78
2019-12-03,14.91
2019-12-04,14.21
2019-12-05,14.28
2019-12-06,14.37
2019-12-09,14.255
2019-12-10,14.08
2019-12-11,14.16
2019-12-12,14.1
2019-12-13,14.24
2019-12-16,14.35
2019-12-17,14.37
2019-12-18,14.39
2019-12-19,14.205
2019-12-20,14.24
2019-12-23,14.045
2019-12-24,14.13
2019-12-26,13.95
2019-12-27,14.04
2019-12-30,13.93
2019-12-31,13.99
2020-01-02,14.13
2020-01-03,14.04
2020-01-06,14.15
2020-01-07,13.96
2020-01-08,14.16
2020-01-09,14.49
2020-01-10,14.64
2020-01-13,14.8
2020-01-14,14.91
2020-01-15,14.76
2020-01-16,15.04
2020-01-17,15.25
2020-01-21,15.145
2020-01-22,15.47
2020-01-23,15.97
2020-01-24,16.379998999999998
2020-01-27,16.01
2020-01-28,16.26
2020-01-29,16.030001000000002
2020-01-30,16.225
2020-01-31,15.93
2020-02-03,16.02
2020-02-04,16.395
2020-02-05,16.535
2020-02-06,16.49
2020-02-07,16.16
2020-02-10,16.25
2020-02-11,16.17
2020-02-12,16.43
2020-02-13,16.629998999999998
2020-02-14,16.59
2020-02-18,16.639999
2020-02-19,17.0
2020-02-20,17.030001000000002
2020-02-21,17.0
2020-02-24,16.91
2020-02-25,16.49
2020-02-26,15.91
2020-02-27,15.18
2020-02-28,15.145
2020-03-02,14.91
2020-03-03,14.55
2020-03-04,14.61
2020-03-05,12.62
2020-03-06,12.06
2020-03-09,11.14
2020-03-10,10.88
2020-03-11,9.81
2020-03-12,7.96
2020-03-13,8.36
2020-03-16,6.49
2020-03-17,7.06
2020-03-18,5.88
2020-03-19,6.51
2020-03-20,6.35
2020-03-23,5.85
2020-03-24,6.45
2020-03-25,6.87
2020-03-26,7.25
2020-03-27,6.81
2020-03-30,7.14
2020-03-31,7.14
2020-04-01,6.28
2020-04-02,6.75
2020-04-03,6.35
2020-04-06,6.87
2020-04-07,7.07
2020-04-08,7.54
2020-04-09,8.2
2020-04-13,8.02
2020-04-14,8.18
2020-04-15,7.68
2020-04-16,7.14
2020-04-17,7.3
2020-04-20,7.12
2020-04-21,6.83
2020-04-22,6.95
2020-04-23,7.07
2020-04-24,7.34
2020-04-27,8.29
2020-04-28,8.67
2020-04-29,9.38
2020-04-30,8.96
2020-05-01,8.42
2020-05-04,8.79
2020-05-05,8.47
2020-05-06,8.34
2020-05-07,8.85
2020-05-08,9.05
