Date,SERV
2016-02-02,27.146684999999998
2016-02-03,26.885465999999997
2016-02-04,26.724715999999997
2016-02-05,25.157401999999998
2016-02-08,23.529806
2016-02-09,23.931681
2016-02-10,24.5144
2016-02-11,24.340254
2016-02-12,24.896182999999997
2016-02-16,26.108507
2016-02-17,26.095110000000002
2016-02-18,26.121902
2016-02-19,26.51708
2016-02-22,26.470194
2016-02-23,26.590757
2016-02-24,26.476892
2016-02-25,25.184193
2016-02-26,25.197588
2016-02-29,25.405224
2016-03-01,25.646349
2016-03-02,25.016745
2016-03-03,25.251173
2016-03-04,25.853985
2016-03-07,25.559276999999998
2016-03-08,25.411922
2016-03-09,25.961151
2016-03-10,25.894173000000002
2016-03-11,24.226389
2016-03-14,24.253181
2016-03-15,24.601473000000002
2016-03-16,24.896182999999997
2016-03-17,24.480911
2016-03-18,24.963161
2016-03-21,24.581379000000002
2016-03-22,23.978567
2016-03-23,23.851307000000002
2016-03-24,23.938379
2016-03-28,24.1929
2016-03-29,24.54789
2016-03-30,24.949766
2016-03-31,25.237776
2016-04-01,25.586069000000002
2016-04-04,25.231079
2016-04-05,25.304756
2016-04-06,26.121902
2016-04-07,26.249163
2016-04-08,25.927661999999998
2016-04-11,25.391829
2016-04-12,25.217682
2016-04-13,25.632954
2016-04-14,25.411922
2016-04-15,25.391829
2016-04-18,25.398526999999998
2016-04-19,25.331547
2016-04-20,25.197588
2016-04-21,25.184193
2016-04-22,25.38513
2016-04-25,25.231079
2016-04-26,25.177494
2016-04-27,25.371735
2016-04-28,25.693235
2016-04-29,25.666443
2016-05-02,25.592766
2016-05-03,25.853985
2016-05-04,23.724045
2016-05-05,23.998661
2016-05-06,24.61487
2016-05-09,24.273275
2016-05-10,24.273275
2016-05-11,23.864701999999998
2016-05-12,24.166109
2016-05-13,24.132618
2016-05-16,23.871399
2016-05-17,23.864701999999998
2016-05-18,23.77763
2016-05-19,24.333557
2016-05-20,24.353651
2016-05-23,24.5144
2016-05-24,25.13061
2016-05-25,25.22438
2016-05-26,25.251173
2016-05-27,25.586069000000002
2016-05-31,25.61286
2016-06-01,26.141996
2016-06-02,26.141996
2016-06-03,26.262558000000002
2016-06-06,26.496986
2016-06-07,26.845278000000004
2016-06-08,26.865371999999997
2016-06-09,26.999331
2016-06-10,26.805090000000003
2016-06-13,26.289351
2016-06-14,26.409912
2016-06-15,26.296049
2016-06-16,25.974548000000002
2016-06-17,25.619557999999998
2016-06-20,25.900871
2016-06-21,25.733423000000002
2016-06-22,25.673141
2016-06-23,25.706630999999998
2016-06-24,25.137307999999997
