Date,AMCX
2012-10-01,43.32
2012-10-02,43.290001000000004
2012-10-03,43.52
2012-10-04,43.5
2012-10-05,43.130001
2012-10-08,42.75
2012-10-09,41.919998
2012-10-10,41.369999
2012-10-11,41.77
2012-10-12,41.459998999999996
2012-10-15,42.349998
2012-10-16,43.34
2012-10-17,43.560001
2012-10-18,45.27
2012-10-19,45.529999
2012-10-22,47.299999
2012-10-23,45.950001
2012-10-24,45.380001
2012-10-25,45.98
2012-10-26,46.759997999999996
2012-10-31,46.73
2012-11-01,48.52
2012-11-02,48.880001
2012-11-05,47.82
2012-11-06,48.380001
2012-11-07,48.439999
2012-11-08,52.57
2012-11-09,52.060001
2012-11-12,51.0
2012-11-13,50.720001
2012-11-14,49.240002000000004
2012-11-15,50.610001000000004
2012-11-16,50.82
2012-11-19,51.279999
2012-11-20,50.990002000000004
2012-11-21,51.130001
2012-11-23,51.400002
2012-11-26,51.119999
2012-11-27,50.830002
2012-11-28,51.110001000000004
2012-11-29,51.459998999999996
2012-11-30,52.759997999999996
2012-12-03,53.0
2012-12-04,52.25
2012-12-05,52.41
2012-12-06,52.490002000000004
2012-12-07,52.41
2012-12-10,52.84
2012-12-11,52.759997999999996
2012-12-12,52.279999
2012-12-13,51.110001000000004
2012-12-14,50.689999
2012-12-17,51.09
2012-12-18,50.599998
2012-12-19,49.700001
2012-12-20,49.400002
2012-12-21,49.860001000000004
2012-12-24,50.060001
2012-12-26,49.639998999999996
2012-12-27,49.75
2012-12-28,49.18
2012-12-31,49.5
2013-01-02,51.0
2013-01-03,51.330002
2013-01-04,51.220001
2013-01-07,50.75
2013-01-08,51.400002
2013-01-09,53.77
2013-01-10,53.029999
2013-01-11,53.200001
2013-01-14,53.950001
2013-01-15,54.419998
2013-01-16,54.52
2013-01-17,55.560001
2013-01-18,56.110001000000004
2013-01-22,56.619999
2013-01-23,56.66
2013-01-24,57.43
2013-01-25,58.16
2013-01-28,58.299999
2013-01-29,57.549999
2013-01-30,56.84
2013-01-31,56.970001
2013-02-01,58.549999
2013-02-04,57.830002
2013-02-05,57.709998999999996
2013-02-06,57.549999
2013-02-07,57.779999
2013-02-08,58.110001000000004
2013-02-11,57.939999
2013-02-12,58.689999
2013-02-13,59.759997999999996
2013-02-14,59.439999
2013-02-15,59.68
2013-02-19,58.990002000000004
2013-02-20,59.68
2013-02-21,58.970001
2013-02-22,59.040001000000004
2013-02-25,58.07
2013-02-26,56.0
2013-02-27,57.029999
2013-02-28,57.400002
2013-03-01,56.990002000000004
2013-03-04,57.139998999999996
2013-03-05,58.25
2013-03-06,58.700001
2013-03-07,58.860001000000004
2013-03-08,59.27
2013-03-11,59.849998
2013-03-12,59.25
2013-03-13,59.290001000000004
2013-03-14,59.740002000000004
2013-03-15,61.310001
2013-03-18,61.700001
2013-03-19,61.07
2013-03-20,61.310001
2013-03-21,60.880001
2013-03-22,61.779999
2013-03-25,62.310001
2013-03-26,62.68
2013-03-27,62.759997999999996
2013-03-28,63.220001
2013-04-01,61.860001000000004
2013-04-02,61.669998
2013-04-03,60.459998999999996
2013-04-04,62.540001000000004
2013-04-05,63.240002000000004
2013-04-08,64.33000200000001
2013-04-09,64.610001
2013-04-10,65.040001
2013-04-11,65.279999
2013-04-12,65.82
2013-04-15,64.260002
2013-04-16,65.339996
2013-04-17,64.709999
2013-04-18,63.279999
2013-04-19,64.07
2013-04-22,64.699997
2013-04-23,65.849998
2013-04-24,64.0
2013-04-25,63.41
2013-04-26,63.43
2013-04-29,63.650002
2013-04-30,63.009997999999996
2013-05-01,63.169998
2013-05-02,63.43
2013-05-03,64.019997
2013-05-06,64.199997
2013-05-07,65.099998
2013-05-08,64.650002
2013-05-09,66.440002
2013-05-10,66.639999
2013-05-13,66.389999
2013-05-14,66.400002
2013-05-15,66.190002
2013-05-16,65.839996
2013-05-17,66.440002
2013-05-20,66.279999
2013-05-21,67.720001
2013-05-22,67.050003
2013-05-23,66.690002
2013-05-24,65.900002
2013-05-28,67.410004
2013-05-29,66.809998
2013-05-30,65.41999799999999
2013-05-31,64.019997
2013-06-03,63.84
2013-06-04,63.720001
2013-06-05,62.09
2013-06-06,63.82
2013-06-07,65.379997
2013-06-10,65.389999
2013-06-11,64.720001
2013-06-12,63.43
2013-06-13,64.0
2013-06-14,63.860001000000004
2013-06-17,63.709998999999996
2013-06-18,64.190002
2013-06-19,64.660004
2013-06-20,63.450001
2013-06-21,63.439999
2013-06-24,62.27
2013-06-25,63.630001
2013-06-26,63.740002000000004
2013-06-27,64.75
2013-06-28,65.33000200000001
2013-07-01,65.519997
2013-07-02,65.769997
2013-07-03,66.0
2013-07-05,66.839996
2013-07-08,68.599998
2013-07-09,68.339996
2013-07-10,68.040001
2013-07-11,68.66999799999999
2013-07-12,68.599998
2013-07-15,68.589996
2013-07-16,68.040001
2013-07-17,67.66999799999999
2013-07-18,68.739998
2013-07-19,69.269997
2013-07-22,69.16999799999999
2013-07-23,68.589996
2013-07-24,68.360001
2013-07-25,68.440002
2013-07-26,67.889999
2013-07-29,67.93
2013-07-30,67.019997
2013-07-31,68.260002
2013-08-01,69.400002
2013-08-02,69.449997
2013-08-05,69.410004
2013-08-06,70.839996
2013-08-07,71.150002
2013-08-08,66.900002
2013-08-09,65.480003
2013-08-12,67.66999799999999
2013-08-13,68.220001
2013-08-14,66.449997
2013-08-15,64.650002
2013-08-16,65.660004
2013-08-19,65.019997
2013-08-20,65.699997
2013-08-21,64.16999799999999
2013-08-22,64.639999
2013-08-23,64.699997
2013-08-26,63.23
2013-08-27,61.669998
2013-08-28,61.32
2013-08-29,63.290001000000004
2013-08-30,61.98
2013-09-03,61.73
2013-09-04,62.400002
2013-09-05,62.75
2013-09-06,62.540001000000004
2013-09-09,63.529999
2013-09-10,63.509997999999996
2013-09-11,62.790001000000004
2013-09-12,62.599998
2013-09-13,62.389998999999996
2013-09-16,62.740002000000004
2013-09-17,65.5
2013-09-18,66.410004
2013-09-19,67.110001
2013-09-20,67.510002
2013-09-23,66.029999
2013-09-24,66.589996
2013-09-25,65.870003
2013-09-26,66.449997
2013-09-27,66.879997
2013-09-30,68.5
2013-10-01,69.349998
2013-10-02,67.989998
2013-10-03,66.940002
2013-10-04,68.239998
2013-10-07,66.760002
2013-10-08,65.139999
2013-10-09,63.150002
2013-10-10,64.16999799999999
2013-10-11,65.949997
2013-10-14,66.949997
2013-10-15,69.190002
2013-10-16,70.040001
2013-10-17,70.739998
2013-10-18,69.989998
2013-10-21,70.760002
2013-10-22,71.540001
2013-10-23,71.370003
2013-10-24,69.68
2013-10-25,70.360001
2013-10-28,69.900002
2013-10-29,69.66999799999999
2013-10-30,68.25
2013-10-31,70.089996
2013-11-01,71.709999
2013-11-04,72.160004
2013-11-05,72.010002
2013-11-06,72.349998
2013-11-07,68.150002
