Date,MAXR
2010-09-09,45.18
2010-09-10,45.18
2010-09-13,45.18
2010-09-14,45.18
2010-09-15,45.18
2010-09-16,45.18
2010-09-17,44.57
2010-09-20,44.439999
2010-09-21,44.439999
2010-09-22,44.439999
2010-09-23,44.439999
2010-09-24,44.439999
2010-09-27,44.439999
2010-09-28,44.439999
2010-09-29,44.439999
2010-09-30,44.439999
2010-10-01,44.439999
2010-10-04,44.439999
2010-10-05,43.52
2010-10-06,43.52
2010-10-07,43.52
2010-10-08,43.52
2010-10-11,43.52
2010-10-12,43.52
2010-10-13,45.009997999999996
2010-10-14,45.009997999999996
2010-10-15,45.009997999999996
2010-10-18,45.009997999999996
2010-10-19,44.639998999999996
2010-10-20,46.5
2010-10-21,46.799999
2010-10-22,46.799999
2010-10-25,46.799999
2010-10-26,46.799999
2010-10-27,46.799999
2010-10-28,50.0
2010-10-29,50.450001
2010-11-01,50.450001
2010-11-02,50.450001
2010-11-03,50.450001
2010-11-04,50.450001
2010-11-05,52.0
2010-11-08,53.0
2010-11-09,53.240002000000004
2010-11-10,53.240002000000004
2010-11-11,53.240002000000004
2010-11-12,50.5
2010-11-15,50.25
2010-11-16,50.25
2010-11-17,50.25
2010-11-18,50.25
2010-11-19,50.25
2010-11-22,50.25
2010-11-23,50.25
2010-11-24,50.25
2010-11-26,50.25
2010-11-29,50.25
2010-11-30,50.25
2010-12-01,50.25
2010-12-02,50.25
2010-12-03,50.25
2010-12-06,51.009997999999996
2010-12-07,51.009997999999996
2010-12-08,51.009997999999996
2010-12-09,51.009997999999996
2010-12-10,51.009997999999996
2010-12-13,51.009997999999996
2010-12-14,51.009997999999996
2010-12-15,51.009997999999996
2010-12-16,51.009997999999996
2010-12-17,51.009997999999996
2010-12-20,51.009997999999996
2010-12-21,51.009997999999996
2010-12-22,51.009997999999996
2010-12-23,51.009997999999996
2010-12-27,51.009997999999996
2010-12-28,51.009997999999996
2010-12-29,51.009997999999996
2010-12-30,51.009997999999996
2010-12-31,51.470001
2011-01-03,51.470001
2011-01-04,51.470001
2011-01-05,51.470001
2011-01-06,50.509997999999996
2011-01-07,50.509997999999996
2011-01-10,50.509997999999996
