Date,MON
2013-10-31,104.879997
2013-11-01,105.150002
2013-11-04,103.639999
2013-11-05,103.220001
2013-11-06,104.269997
2013-11-07,104.0
2013-11-08,107.220001
2013-11-11,106.5
2013-11-12,108.510002
2013-11-13,109.989998
2013-11-14,110.459999
2013-11-15,111.059998
2013-11-18,110.75
2013-11-19,110.440002
2013-11-20,109.900002
2013-11-21,111.910004
2013-11-22,113.860001
2013-11-25,113.41999799999999
2013-11-26,113.910004
2013-11-27,113.889999
2013-11-29,113.33000200000001
2013-12-02,113.290001
2013-12-03,111.58000200000001
2013-12-04,112.099998
2013-12-05,110.970001
2013-12-06,111.75
2013-12-09,111.650002
2013-12-10,111.75
2013-12-11,110.66999799999999
2013-12-12,110.260002
2013-12-13,110.660004
2013-12-16,110.959999
2013-12-17,112.400002
2013-12-18,113.779999
2013-12-19,113.809998
2013-12-20,113.730003
2013-12-23,114.559998
2013-12-24,114.93
2013-12-26,115.309998
2013-12-27,115.389999
2013-12-30,115.800003
2013-12-31,116.550003
2014-01-02,116.309998
2014-01-03,116.349998
2014-01-06,115.68
2014-01-07,113.239998
2014-01-08,115.230003
2014-01-09,111.889999
2014-01-10,113.059998
2014-01-13,111.400002
2014-01-14,112.589996
2014-01-15,113.0
2014-01-16,112.68
2014-01-17,113.110001
2014-01-21,113.5
2014-01-22,110.809998
2014-01-23,108.83000200000001
2014-01-24,107.940002
2014-01-27,107.58000200000001
2014-01-28,108.019997
2014-01-29,106.980003
2014-01-30,107.25
2014-01-31,106.550003
2014-02-03,104.629997
2014-02-04,106.650002
2014-02-05,107.150002
2014-02-06,108.279999
2014-02-07,110.75
2014-02-10,111.33000200000001
2014-02-11,111.269997
2014-02-12,109.41999799999999
2014-02-13,109.879997
2014-02-14,109.489998
2014-02-18,110.010002
2014-02-19,109.199997
2014-02-20,110.699997
2014-02-21,112.449997
2014-02-24,108.970001
2014-02-25,108.709999
2014-02-26,109.010002
2014-02-27,108.879997
2014-02-28,110.019997
2014-03-03,111.129997
2014-03-04,113.239998
2014-03-05,112.910004
2014-03-06,113.739998
2014-03-07,114.08000200000001
2014-03-10,113.599998
2014-03-11,111.849998
2014-03-12,112.610001
2014-03-13,111.949997
2014-03-14,113.209999
2014-03-17,113.910004
2014-03-18,114.32
2014-03-19,112.870003
2014-03-20,114.0
2014-03-21,113.279999
2014-03-24,112.739998
2014-03-25,113.160004
2014-03-26,111.720001
2014-03-27,110.800003
2014-03-28,112.32
2014-03-31,113.769997
2014-04-01,113.989998
2014-04-02,114.41999799999999
2014-04-03,117.040001
2014-04-04,114.279999
2014-04-07,112.300003
2014-04-08,112.900002
2014-04-09,115.08000200000001
2014-04-10,112.540001
2014-04-11,110.900002
2014-04-14,110.290001
2014-04-15,110.629997
2014-04-16,112.519997
2014-04-17,112.949997
2014-04-21,112.730003
2014-04-22,111.940002
