Date,ACF
2011-04-08,35.5
2011-04-11,36.75
2011-04-12,37.0
2011-04-13,36.0
2011-04-14,35.0
2011-04-15,36.25
2011-04-18,36.0
2011-04-19,34.5
2011-04-20,34.25
2011-04-21,33.75
2011-04-25,
2011-04-26,
2011-04-27,32.0
2011-04-28,32.25
2011-04-29,33.5
2011-05-02,32.0
2011-05-03,31.25
2011-05-04,30.75
2011-05-05,31.0
2011-05-06,31.0
2011-05-09,33.0
2011-05-10,32.0
2011-05-11,32.5
2011-05-12,31.25
2011-05-13,31.5
2011-05-16,30.75
2011-05-17,30.25
2011-05-18,30.75
2011-05-19,30.25
2011-05-20,30.25
2011-05-23,30.0
2011-05-24,30.0
2011-05-25,29.5
2011-05-26,30.5
2011-05-27,29.0
2011-05-31,30.5
2011-06-01,29.5
2011-06-02,29.25
2011-06-03,30.0
2011-06-06,29.75
2011-06-07,29.75
2011-06-08,29.0
2011-06-09,29.25
2011-06-10,29.25
2011-06-13,
2011-06-14,29.25
2011-06-15,29.5
2011-06-16,29.0
2011-06-17,30.0
2011-06-20,29.75
2011-06-21,29.0
2011-06-22,30.0
2011-06-23,29.5
2011-06-24,29.75
2011-06-27,28.75
2011-06-28,28.5
2011-06-29,29.0
2011-06-30,29.25
2011-07-01,28.5
2011-07-05,27.75
2011-07-06,28.75
2011-07-07,29.25
2011-07-08,29.0
2011-07-11,27.5
2011-07-12,27.5
2011-07-13,28.5
2011-07-14,29.25
2011-07-15,29.75
2011-07-18,30.25
2011-07-19,32.25
2011-07-20,33.0
2011-07-21,34.0
2011-07-22,33.75
2011-07-25,34.25
2011-07-26,34.25
2011-07-27,34.5
2011-07-28,34.0
2011-07-29,32.5
2011-08-01,32.5
2011-08-02,31.5
2011-08-03,32.5
2011-08-04,32.5
2011-08-05,30.0
2011-08-08,28.5
2011-08-09,30.0
2011-08-10,31.75
2011-08-11,32.5
2011-08-12,33.0
2011-08-15,33.0
2011-08-16,32.75
2011-08-17,32.75
2011-08-18,32.5
2011-08-19,31.75
2011-08-22,33.75
2011-08-23,35.75
2011-08-24,35.25
2011-08-25,34.75
2011-08-26,35.25
2011-08-29,37.0
2011-08-30,35.75
2011-08-31,35.25
2011-09-01,35.25
2011-09-02,35.0
2011-09-06,34.5
2011-09-07,35.0
2011-09-08,34.5
2011-09-09,36.75
2011-09-12,39.0
2011-09-13,38.0
2011-09-14,37.5
2011-09-15,38.0
2011-09-16,39.75
2011-09-19,40.0
2011-09-20,38.25
2011-09-21,38.5
2011-09-22,37.25
2011-09-23,35.5
2011-09-26,33.0
2011-09-27,32.75
2011-09-28,31.75
2011-09-29,
2011-09-30,
2011-10-03,28.0
2011-10-04,28.0
2011-10-05,27.5
2011-10-06,27.5
2011-10-07,28.0
2011-10-10,28.75
2011-10-11,28.75
2011-10-12,29.25
2011-10-13,30.0
2011-10-14,29.75
2011-10-17,30.75
2011-10-18,29.25
2011-10-19,29.25
2011-10-20,28.0
2011-10-21,28.0
2011-10-24,29.0
2011-10-25,29.5
2011-10-26,30.75
2011-10-27,31.25
2011-10-28,30.75
2011-10-31,30.25
2011-11-01,29.25
2011-11-02,29.25
2011-11-03,29.25
2011-11-04,29.5
2011-11-07,29.25
2011-11-08,30.5
2011-11-09,30.5
2011-11-10,29.75
2011-11-11,
2011-11-14,30.5
2011-11-15,30.0
2011-11-16,29.5
2011-11-17,28.5
2011-11-18,27.75
2011-11-21,28.0
2011-11-22,27.25
2011-11-23,27.25
2011-11-25,27.75
2011-11-28,28.5
2011-11-29,29.0
2011-11-30,29.25
2011-12-01,30.5
2011-12-02,29.75
2011-12-05,29.25
2011-12-06,28.75
2011-12-07,27.75
2011-12-08,27.5
2011-12-09,27.75
2011-12-12,27.5
2011-12-13,25.75
2011-12-14,26.0
2011-12-15,25.5
2011-12-16,25.5
2011-12-19,25.0
2011-12-20,25.0
2011-12-21,25.75
2011-12-22,24.75
2011-12-23,24.75
2011-12-27,24.75
2011-12-28,25.0
2011-12-29,24.5
2011-12-30,24.0
2012-01-03,24.5
2012-01-04,25.25
2012-01-05,25.0
2012-01-06,25.0
2012-01-09,25.0
2012-01-10,26.0
2012-01-11,28.25
2012-01-12,28.5
2012-01-13,30.0
2012-01-17,28.5
2012-01-18,28.75
2012-01-19,28.5
2012-01-20,28.25
2012-01-23,28.25
2012-01-24,28.25
2012-01-25,28.75
2012-01-26,28.75
2012-01-27,29.25
2012-01-30,28.5
2012-01-31,27.75
2012-02-01,27.5
2012-02-02,28.25
2012-02-03,27.5
2012-02-06,28.0
2012-02-07,27.5
2012-02-08,27.25
2012-02-09,27.25
2012-02-10,27.0
2012-02-13,27.5
2012-02-14,27.5
2012-02-15,27.0
2012-02-16,27.0
2012-02-17,27.0
2012-02-21,24.5
2012-02-22,24.5
2012-02-23,24.75
2012-02-24,24.5
2012-02-27,24.0
2012-02-28,24.0
2012-02-29,24.25
2012-03-01,24.25
2012-03-02,24.25
2012-03-05,24.25
2012-03-06,24.0
2012-03-07,24.0
2012-03-08,23.5
2012-03-09,23.0
2012-03-12,22.75
2012-03-13,23.0
2012-03-14,22.5
2012-03-15,22.5
2012-03-16,22.0
2012-03-19,20.25
2012-03-20,19.5
2012-03-21,21.0
2012-03-22,21.0
2012-03-23,20.0
2012-03-26,20.0
2012-03-27,19.75
2012-03-28,19.75
2012-03-29,20.0
2012-03-30,20.75
2012-04-02,21.75
2012-04-03,21.25
2012-04-04,19.5
2012-04-05,18.5
2012-04-09,18.5
2012-04-10,19.75
2012-04-11,19.75
2012-04-12,19.0
2012-04-13,19.5
2012-04-16,19.5
2012-04-17,19.5
2012-04-18,19.5
2012-04-19,16.0
2012-04-20,16.75
2012-04-23,16.0
2012-04-24,14.25
2012-04-25,14.25
2012-04-26,13.75
2012-04-27,14.75
2012-04-30,14.25
2012-05-01,15.25
2012-05-02,15.0
2012-05-03,14.0
2012-05-04,13.25
2012-05-07,12.0
2012-05-08,12.0
2012-05-09,11.0
2012-05-10,11.25
2012-05-11,11.75
2012-05-14,12.75
2012-05-15,12.5
2012-05-16,11.75
2012-05-17,13.0
2012-05-18,15.0
2012-05-21,15.25
2012-05-22,16.5
2012-05-23,15.25
2012-05-24,15.5
2012-05-25,16.25
2012-05-29,16.0
2012-05-30,15.25
2012-05-31,15.75
2012-06-01,15.5
2012-06-04,15.75
2012-06-05,16.0
2012-06-06,16.0
2012-06-07,15.0
2012-06-08,13.5
2012-06-11,13.5
2012-06-12,13.0
2012-06-13,13.75
2012-06-14,14.0
2012-06-15,14.0
2012-06-18,14.5
2012-06-19,14.5
2012-06-20,14.0
2012-06-21,14.0
2012-06-22,12.5
2012-06-25,11.25
2012-06-26,10.0
2012-06-27,10.25
2012-06-28,9.75
2012-06-29,10.0
2012-07-02,11.0
2012-07-03,10.25
2012-07-05,11.0
2012-07-06,11.25
2012-07-09,11.0
2012-07-10,10.5
2012-07-11,10.25
2012-07-12,9.5
2012-07-13,9.75
2012-07-16,10.5
2012-07-17,11.0
2012-07-18,10.0
2012-07-19,10.5
2012-07-20,10.0
2012-07-23,9.75
2012-07-24,10.0
2012-07-25,9.5
2012-07-26,9.75
2012-07-27,9.5
2012-07-30,8.75
2012-07-31,7.75
2012-08-01,7.0
2012-08-02,6.0
2012-08-03,6.0
2012-08-06,6.0
2012-08-07,6.0
2012-08-08,6.0
2012-08-09,6.0
2012-08-10,6.0
2012-08-13,6.0
2012-08-14,6.0
2012-08-15,6.0
2012-08-16,6.0
2012-08-17,6.0
2012-08-20,6.0
2012-08-21,6.0
2012-08-22,6.0
2012-08-23,6.0
2012-08-24,6.0
2012-08-27,6.0
2012-08-28,6.0
2012-08-29,6.0
2012-08-30,6.0
2012-08-31,6.0
2012-09-04,6.0
2012-09-05,6.0
2012-09-06,6.0
2012-09-07,6.0
2012-09-10,6.0
2012-09-11,6.0
2012-09-12,6.0
2012-09-13,6.0
2012-09-14,6.0
2012-09-17,6.0
2012-09-18,6.0
2012-09-19,6.0
2012-09-20,6.0
2012-09-21,6.0
2012-09-24,6.0
2012-09-25,6.0
2012-09-26,6.0
2012-09-27,8.25
2012-09-28,7.0
2012-10-01,7.75
2012-10-02,7.25
2012-10-03,7.25
2012-10-04,7.0
2012-10-05,8.0
2012-10-08,7.5
2012-10-09,7.25
2012-10-10,7.0
2012-10-11,6.75
2012-10-12,6.75
2012-10-15,6.75
2012-10-16,6.75
2012-10-17,6.5
2012-10-18,6.5
2012-10-19,6.75
2012-10-22,6.75
2012-10-23,6.75
2012-10-24,6.25
2012-10-25,7.0
2012-10-26,6.75
2012-10-31,6.75
2012-11-01,6.5
2012-11-02,6.5
2012-11-05,6.5
2012-11-06,6.25
2012-11-07,6.25
2012-11-08,6.75
2012-11-09,6.5
2012-11-12,6.5
2012-11-13,6.5
2012-11-14,6.25
2012-11-15,6.0
2012-11-16,6.0
2012-11-19,6.0
2012-11-20,6.0
2012-11-21,6.0
2012-11-23,6.25
2012-11-26,6.0
2012-11-27,6.25
2012-11-28,6.0
2012-11-29,6.25
2012-11-30,6.25
2012-12-03,6.25
2012-12-04,6.25
2012-12-05,6.5
2012-12-06,6.5
2012-12-07,6.5
2012-12-10,6.25
2012-12-11,6.25
2012-12-12,5.75
2012-12-13,6.0
2012-12-14,6.25
2012-12-17,6.0
2012-12-18,6.0
2012-12-19,6.0
2012-12-20,6.0
2012-12-21,5.75
2012-12-24,6.25
2012-12-26,6.25
2012-12-27,6.0
2012-12-28,6.0
2012-12-31,6.0
2013-01-02,6.0
2013-01-03,6.0
2013-01-04,5.75
2013-01-07,5.75
2013-01-08,5.75
2013-01-09,5.75
2013-01-10,5.75
2013-01-11,5.75
2013-01-14,5.75
2013-01-15,5.75
2013-01-16,5.75
2013-01-17,5.75
2013-01-18,5.5
2013-01-22,5.5
2013-01-23,5.5
2013-01-24,5.5
2013-01-25,5.25
2013-01-28,5.25
2013-01-29,5.25
2013-01-30,5.25
2013-01-31,5.25
2013-02-01,5.0
2013-02-04,4.7
2013-02-05,4.3
2013-02-06,4.0
2013-02-07,3.75
2013-02-08,3.5
2013-02-11,3.65
2013-02-12,3.5
2013-02-13,3.35
2013-02-14,3.35
2013-02-15,3.25
2013-02-19,3.0
2013-02-20,2.95
2013-02-21,3.0
2013-02-22,3.0
2013-02-25,3.05
2013-02-26,3.15
2013-02-27,2.85
2013-02-28,2.95
2013-03-01,3.1
2013-03-04,2.85
2013-03-05,2.7
2013-03-06,2.8
2013-03-07,2.8
2013-03-08,2.85
2013-03-11,2.85
2013-03-12,2.85
2013-03-13,2.95
2013-03-14,2.65
2013-03-15,2.55
2013-03-18,2.65
2013-03-19,2.65
2013-03-20,2.4
2013-03-21,2.4
2013-03-22,2.45
2013-03-25,2.3
2013-03-26,2.25
2013-03-27,2.25
2013-03-28,2.2
2013-04-01,2.2
2013-04-02,2.2
2013-04-03,2.15
2013-04-04,2.15
2013-04-05,2.05
2013-04-08,2.0
2013-04-09,1.9
2013-04-10,1.9
2013-04-11,1.85
2013-04-12,1.9
2013-04-15,1.9
2013-04-16,1.85
2013-04-17,2.2
2013-04-18,1.9
2013-04-19,1.9
2013-04-22,1.85
2013-04-23,1.95
2013-04-24,1.85
2013-04-25,1.85
2013-04-26,2.05
2013-04-29,2.05
2013-04-30,2.2
2013-05-01,1.65
2013-05-02,1.5
2013-05-03,1.45
2013-05-06,1.5
2013-05-07,1.35
2013-05-08,1.5
2013-05-09,1.45
2013-05-10,1.55
2013-05-13,1.4
2013-05-14,1.4
2013-05-15,1.35
2013-05-16,1.35
2013-05-17,1.1
2013-05-20,1.1
2013-05-21,1.1
2013-05-22,1.15
2013-05-23,0.95
2013-05-24,1.05
2013-05-28,1.0
2013-05-29,0.95
2013-05-30,0.9
2013-05-31,0.9
2013-06-03,0.95
2013-06-04,0.95
2013-06-05,0.9
2013-06-06,0.85
2013-06-07,0.85
2013-06-10,0.85
2013-06-11,0.85
2013-06-12,0.8
2013-06-13,0.75
2013-06-14,0.7
2013-06-17,0.7
2013-06-18,0.7
2013-06-19,0.65
2013-06-20,0.55
2013-06-21,0.5
2013-06-24,0.35
2013-06-25,0.4
2013-06-26,0.45
2013-06-27,0.5
2013-06-28,0.45
2013-07-01,0.45
2013-07-02,0.45
2013-07-03,0.45
2013-07-05,0.45
2013-07-08,0.45
2013-07-09,0.45
2013-07-10,0.45
2013-07-11,0.45
2013-07-12,0.45
2013-07-15,0.45
2013-07-16,0.45
2013-07-17,0.45
2013-07-18,0.45
2013-07-19,0.45
2013-07-22,0.45
2013-07-23,0.45
2013-07-24,0.45
2013-07-25,0.45
2013-07-26,0.45
2013-07-29,0.45
2013-07-30,0.45
