Date,TMDX
2020-02-21,18.51
2020-02-24,17.43
2020-02-25,16.93
2020-02-26,16.67
2020-02-27,16.139999
2020-02-28,15.7
2020-03-02,14.96
2020-03-03,15.53
2020-03-04,16.059998999999998
2020-03-05,15.36
2020-03-06,15.51
2020-03-09,13.83
2020-03-10,14.68
2020-03-11,13.62
2020-03-12,11.94
2020-03-13,12.83
2020-03-16,10.5
2020-03-17,12.68
2020-03-18,14.2
2020-03-19,14.42
2020-03-20,13.74
2020-03-23,13.73
2020-03-24,13.78
2020-03-25,13.04
2020-03-26,12.89
2020-03-27,11.76
2020-03-30,11.99
2020-03-31,12.08
2020-04-01,11.66
2020-04-02,12.16
2020-04-03,11.88
2020-04-06,12.16
2020-04-07,13.61
2020-04-08,15.17
2020-04-09,15.05
2020-04-13,14.51
2020-04-14,14.14
2020-04-15,15.04
2020-04-16,15.69
2020-04-17,16.58
2020-04-20,16.209999
2020-04-21,16.07
2020-04-22,17.360001
2020-04-23,17.190001000000002
2020-04-24,17.780001000000002
2020-04-27,17.4
2020-04-28,17.870001000000002
2020-04-29,18.26
2020-04-30,18.09
2020-05-01,16.59
2020-05-04,16.790001
2020-05-05,16.99
2020-05-06,16.860001
2020-05-07,15.7
2020-05-08,16.58
