Date,ONE
2019-05-03,8.9
2019-05-06,8.12
2019-05-07,8.21
2019-05-08,8.17
2019-05-09,7.99
2019-05-10,8.03
2019-05-13,8.08
2019-05-14,8.37
2019-05-15,7.97
2019-05-16,7.9
2019-05-17,7.53
2019-05-20,7.65
2019-05-21,7.51
2019-05-22,7.52
2019-05-23,7.33
2019-05-24,7.33
2019-05-28,7.94
2019-05-29,8.04
2019-05-30,7.92
2019-05-31,8.04
2019-06-03,7.76
2019-06-04,7.68
2019-06-05,7.66
2019-06-06,7.77
2019-06-07,7.98
2019-06-10,8.13
2019-06-11,8.31
2019-06-12,8.45
2019-06-13,8.11
2019-06-14,8.1
2019-06-17,8.09
2019-06-18,8.13
2019-06-19,7.98
2019-06-20,7.79
2019-06-21,7.85
2019-06-24,7.9
2019-06-25,7.87
2019-06-26,7.96
2019-06-27,7.88
2019-06-28,7.96
2019-07-01,7.91
2019-07-02,8.01
2019-07-03,8.02
2019-07-05,8.07
2019-07-08,7.97
2019-07-09,8.03
2019-07-10,7.87
2019-07-11,7.91
2019-07-12,8.43
2019-07-15,8.31
2019-07-16,8.2
2019-07-17,8.12
2019-07-18,8.09
2019-07-19,8.33
2019-07-22,8.26
2019-07-23,8.07
2019-07-24,8.03
2019-07-25,7.97
2019-07-26,7.22
2019-07-29,7.99
2019-07-30,7.23
2019-07-31,7.39
2019-08-01,8.03
2019-08-02,8.01
2019-08-05,8.01
2019-08-06,7.82
2019-08-07,7.9
2019-08-08,8.04
2019-08-09,7.97
2019-08-12,7.79
2019-08-13,7.68
2019-08-14,7.34
2019-08-15,7.38
2019-08-16,7.08
2019-08-19,7.39
2019-08-20,7.36
2019-08-21,7.27
2019-08-22,7.35
2019-08-23,7.3
2019-08-26,7.45
2019-08-27,7.68
2019-08-28,7.72
2019-08-29,7.72
2019-08-30,7.52
2019-09-03,7.4
2019-09-04,7.47
2019-09-05,7.43
2019-09-06,7.46
2019-09-09,7.46
2019-09-10,7.38
2019-09-11,7.24
2019-09-12,7.25
2019-09-13,7.35
2019-09-16,7.43
2019-09-17,7.3
2019-09-18,7.32
2019-09-19,7.26
2019-09-20,7.46
2019-09-23,7.3
2019-09-24,7.32
2019-09-25,7.33
2019-09-26,7.3
2019-09-27,7.41
2019-09-30,7.39
2019-10-01,7.33
2019-10-02,7.33
2019-10-03,7.3
2019-10-04,7.24
2019-10-07,7.2
2019-10-08,7.13
2019-10-09,7.11
2019-10-10,7.14
2019-10-11,7.1
2019-10-14,7.02
2019-10-15,6.86
2019-10-16,6.75
2019-10-17,6.95
2019-10-18,6.95
2019-10-21,7.31
2019-10-22,7.3
2019-10-23,7.31
2019-10-24,7.4
2019-10-25,7.39
2019-10-28,7.36
2019-10-29,7.17
2019-10-30,7.15
2019-10-31,7.18
2019-11-01,7.12
2019-11-04,7.02
2019-11-05,7.13
2019-11-06,7.24
2019-11-07,7.25
2019-11-08,7.27
2019-11-11,7.32
2019-11-12,7.33
2019-11-13,7.05
2019-11-14,7.04
2019-11-15,7.13
2019-11-18,7.2
2019-11-19,7.12
2019-11-20,7.04
2019-11-21,7.02
2019-11-22,7.1
2019-11-25,7.17
2019-11-26,7.28
2019-11-27,7.27
2019-11-29,7.11
2019-12-02,7.07
2019-12-03,6.98
2019-12-04,7.17
2019-12-05,7.01
2019-12-06,7.02
2019-12-09,6.92
2019-12-10,6.71
2019-12-11,6.81
2019-12-12,7.0
2019-12-13,7.01
2019-12-16,6.81
2019-12-17,6.87
2019-12-18,6.89
2019-12-19,6.83
2019-12-20,6.79
2019-12-23,6.82
2019-12-24,6.71
2019-12-26,6.69
2019-12-27,6.66
2019-12-30,6.68
2019-12-31,6.67
2020-01-02,6.71
2020-01-03,6.78
2020-01-06,6.82
2020-01-07,6.93
2020-01-08,6.95
2020-01-09,6.92
2020-01-10,6.87
2020-01-13,6.9
2020-01-14,6.95
2020-01-15,6.91
2020-01-16,6.91
2020-01-17,6.8
2020-01-21,6.76
2020-01-22,6.9
2020-01-23,6.5
2020-01-24,6.4
2020-01-27,6.15
2020-01-28,6.21
2020-01-29,6.08
2020-01-30,6.05
2020-01-31,5.93
2020-02-03,5.99
2020-02-04,6.06
2020-02-05,6.0
2020-02-06,5.99
2020-02-07,5.85
2020-02-10,5.89
2020-02-11,5.84
2020-02-12,5.66
2020-02-13,5.46
2020-02-14,5.54
2020-02-18,5.48
2020-02-19,5.31
2020-02-20,5.31
2020-02-21,4.94
2020-02-24,4.77
2020-02-25,5.22
2020-02-26,5.07
2020-02-27,5.46
2020-02-28,5.44
2020-03-02,5.6
2020-03-03,5.47
2020-03-04,5.18
2020-03-05,5.36
2020-03-06,5.41
2020-03-09,5.22
2020-03-10,5.51
2020-03-11,5.5
2020-03-12,5.34
2020-03-13,5.19
2020-03-16,5.02
2020-03-17,4.95
2020-03-18,4.9
2020-03-19,4.95
2020-03-20,4.98
2020-03-23,4.75
2020-03-24,4.8
2020-03-25,4.73
2020-03-26,4.9
2020-03-27,5.1
2020-03-30,5.31
2020-03-31,5.1
2020-04-01,4.88
2020-04-02,5.0
2020-04-03,5.0
2020-04-06,4.95
2020-04-07,4.94
2020-04-08,4.81
2020-04-09,4.56
2020-04-13,4.48
2020-04-14,4.35
2020-04-15,4.04
2020-04-16,4.03
2020-04-17,3.86
2020-04-20,3.96
2020-04-21,3.88
2020-04-22,3.89
2020-04-23,3.77
2020-04-24,3.75
2020-04-27,4.25
2020-04-28,4.27
2020-04-29,4.86
2020-04-30,4.82
2020-05-01,4.83
2020-05-04,4.55
2020-05-05,4.7
2020-05-06,4.69
2020-05-07,4.92
2020-05-08,4.96
