Date,AR
2016-03-14,23.780001000000002
2016-03-15,24.120001000000002
2016-03-16,24.59
2016-03-17,24.620001000000002
2016-03-18,24.75
2016-03-21,26.02
2016-03-22,26.1
2016-03-23,24.719998999999998
2016-03-24,24.690001000000002
2016-03-28,24.68
2016-03-29,25.309998999999998
2016-03-30,24.889999
2016-03-31,24.870001000000002
2016-04-01,24.77
2016-04-04,24.76
2016-04-05,24.73
2016-04-06,25.15
2016-04-07,25.5
2016-04-08,25.450001
2016-04-11,25.530001000000002
2016-04-12,27.530001000000002
2016-04-13,26.82
2016-04-14,26.610001
2016-04-15,26.84
2016-04-18,27.16
2016-04-19,27.91
2016-04-20,27.879998999999998
2016-04-21,27.879998999999998
2016-04-22,28.73
2016-04-25,28.23
2016-04-26,28.860001
2016-04-27,29.68
2016-04-28,27.98
2016-04-29,28.299999
2016-05-02,27.1
2016-05-03,25.85
2016-05-04,25.9
2016-05-05,25.799999
2016-05-06,25.9
2016-05-09,25.49
2016-05-10,26.040001
2016-05-11,26.02
2016-05-12,25.889999
2016-05-13,25.5
2016-05-16,26.01
2016-05-17,27.190001000000002
2016-05-18,26.360001
2016-05-19,26.209999
2016-05-20,26.469998999999998
2016-05-23,27.120001000000002
2016-05-24,27.26
2016-05-25,27.92
2016-05-26,27.73
2016-05-27,28.02
2016-05-31,29.030001000000002
2016-06-01,29.129998999999998
2016-06-02,28.889999
2016-06-03,28.860001
2016-06-06,29.309998999999998
2016-06-07,30.1
2016-06-08,29.280001000000002
2016-06-09,29.34
2016-06-10,27.67
2016-06-13,28.34
2016-06-14,27.959999
2016-06-15,27.98
2016-06-16,27.16
2016-06-17,27.83
2016-06-20,28.24
2016-06-21,28.68
2016-06-22,28.5
2016-06-23,28.6
2016-06-24,27.379998999999998
2016-06-27,26.559998999999998
2016-06-28,27.440001000000002
2016-06-29,26.51
2016-06-30,25.98
2016-07-01,26.280001000000002
2016-07-05,25.66
2016-07-06,25.950001
2016-07-07,25.459999
2016-07-08,25.700001
2016-07-11,26.370001000000002
2016-07-12,27.75
2016-07-13,28.040001
2016-07-14,26.85
2016-07-15,26.370001000000002
2016-07-18,26.83
2016-07-19,26.83
2016-07-20,26.440001000000002
2016-07-21,26.139999
2016-07-22,26.190001000000002
2016-07-25,26.0
2016-07-26,26.110001
2016-07-27,25.92
2016-07-28,25.889999
2016-07-29,26.190001000000002
2016-08-01,25.85
2016-08-02,26.040001
2016-08-03,27.200001
2016-08-04,27.200001
2016-08-05,27.23
2016-08-08,27.91
2016-08-09,27.139999
2016-08-10,26.99
2016-08-11,26.940001000000002
2016-08-12,27.42
2016-08-15,27.58
2016-08-16,27.6
2016-08-17,26.93
2016-08-18,27.440001000000002
2016-08-19,26.98
2016-08-22,26.959999
2016-08-23,27.24
2016-08-24,26.74
2016-08-25,26.790001
2016-08-26,26.610001
2016-08-29,26.16
2016-08-30,26.35
2016-08-31,25.559998999999998
2016-09-01,25.76
2016-09-02,25.92
2016-09-06,26.52
2016-09-07,26.629998999999998
2016-09-08,27.559998999999998
2016-09-09,27.110001
2016-09-12,27.76
2016-09-13,26.559998999999998
2016-09-14,26.129998999999998
2016-09-15,26.620001000000002
2016-09-16,26.040001
2016-09-19,26.540001
2016-09-20,26.65
2016-09-21,27.43
2016-09-22,26.99
2016-09-23,26.34
2016-09-26,26.57
2016-09-27,25.68
2016-09-28,26.860001
2016-09-29,26.139999
2016-09-30,26.950001
2016-10-03,27.219998999999998
2016-10-04,27.040001
2016-10-05,27.34
2016-10-06,27.52
2016-10-07,27.76
2016-10-10,27.780001000000002
2016-10-11,27.219998999999998
2016-10-12,27.299999
2016-10-13,27.82
2016-10-14,27.51
2016-10-17,27.51
2016-10-18,27.440001000000002
2016-10-19,27.08
2016-10-20,27.200001
2016-10-21,26.48
2016-10-24,26.049999
2016-10-25,25.35
2016-10-26,25.68
2016-10-27,26.780001000000002
2016-10-28,26.790001
2016-10-31,26.469998999999998
2016-11-01,25.93
2016-11-02,25.24
2016-11-03,24.799999
2016-11-04,24.65
2016-11-07,24.83
2016-11-08,24.639999
2016-11-09,24.84
2016-11-10,24.35
2016-11-11,24.58
2016-11-14,25.1
2016-11-15,25.23
2016-11-16,24.99
2016-11-17,24.6
2016-11-18,24.950001
2016-11-21,25.379998999999998
2016-11-22,25.01
2016-11-23,25.040001
2016-11-25,24.52
2016-11-28,24.360001
2016-11-29,24.790001
2016-11-30,24.49
2016-12-01,25.059998999999998
2016-12-02,25.370001000000002
2016-12-05,26.52
2016-12-06,26.559998999999998
2016-12-07,26.549999
2016-12-08,26.91
2016-12-09,26.719998999999998
2016-12-12,25.32
2016-12-13,25.879998999999998
2016-12-14,25.049999
2016-12-15,25.42
2016-12-16,24.43
2016-12-19,24.4
2016-12-20,24.030001000000002
2016-12-21,24.469998999999998
2016-12-22,24.440001000000002
2016-12-23,24.27
2016-12-27,24.379998999999998
2016-12-28,23.950001
2016-12-29,23.959999
2016-12-30,23.65
2017-01-03,23.68
2017-01-04,24.629998999999998
2017-01-05,24.889999
2017-01-06,24.68
2017-01-09,24.120001000000002
2017-01-10,24.219998999999998
2017-01-11,24.52
2017-01-12,25.51
2017-01-13,25.620001000000002
2017-01-17,25.450001
2017-01-18,25.639999
2017-01-19,25.780001000000002
2017-01-20,25.66
2017-01-23,25.5
2017-01-24,25.85
2017-01-25,25.74
2017-01-26,25.9
2017-01-27,25.84
