Date,SGP
2008-12-17,4.78
2008-12-18,4.74
2008-12-19,4.52
2008-12-22,4.38
2008-12-23,4.44
2008-12-24,4.44
2008-12-26,4.6
2008-12-29,4.62
2008-12-30,4.62
2008-12-31,4.62
2009-01-02,4.62
2009-01-05,4.76
2009-01-06,4.62
2009-01-07,4.58
2009-01-08,4.62
2009-01-09,4.56
2009-01-12,4.7
2009-01-13,4.8
2009-01-14,4.66
2009-01-15,4.7
2009-01-16,4.6
2009-01-20,4.48
2009-01-21,4.46
2009-01-22,4.5
2009-01-23,4.44
2009-01-26,4.5
2009-01-27,4.54
2009-01-28,4.58
2009-01-29,4.48
2009-01-30,4.72
2009-02-02,4.52
2009-02-03,4.52
2009-02-04,4.58
2009-02-05,4.56
2009-02-06,4.62
2009-02-09,
2009-02-10,4.58
2009-02-11,4.62
2009-02-12,4.58
2009-02-13,4.6
2009-02-17,4.64
2009-02-18,4.64
2009-02-19,4.6
2009-02-20,4.54
2009-02-23,4.6
2009-02-24,4.58
2009-02-25,4.58
2009-02-26,4.52
2009-02-27,4.5
2009-03-02,4.34
2009-03-03,4.32
2009-03-04,4.36
2009-03-05,4.34
2009-03-06,4.36
2009-03-09,4.34
2009-03-10,4.4
2009-03-11,4.36
2009-03-12,4.36
2009-03-13,4.42
2009-03-16,4.42
2009-03-17,4.44
2009-03-18,4.46
2009-03-19,4.24
2009-03-20,4.26
2009-03-23,4.26
2009-03-24,4.24
2009-03-25,4.24
2009-03-26,4.26
2009-03-27,4.26
2009-03-30,4.24
2009-03-31,4.26
2009-04-01,4.22
2009-04-02,4.24
2009-04-03,4.26
2009-04-06,4.26
2009-04-07,4.24
2009-04-08,4.24
2009-04-09,4.24
2009-04-13,4.26
2009-04-14,4.26
2009-04-15,4.26
2009-04-16,4.26
2009-04-17,4.36
2009-04-20,4.38
2009-04-21,4.34
2009-04-22,4.34
2009-04-23,4.34
2009-04-24,4.36
2009-04-27,4.36
2009-04-28,4.44
2009-04-29,4.56
2009-04-30,4.68
2009-05-01,4.68
2009-05-04,4.72
2009-05-05,4.72
2009-05-06,4.92
2009-05-07,4.9
2009-05-08,4.9
2009-05-11,4.84
2009-05-12,5.1
2009-05-13,5.5
2009-05-14,5.15
2009-05-15,5.15
2009-05-18,5.15
2009-05-19,5.3
2009-05-20,5.3
2009-05-21,5.2
2009-05-22,5.3
2009-05-26,5.8
2009-05-27,5.75
2009-05-28,5.7
2009-05-29,5.8
2009-06-01,6.05
2009-06-02,5.75
2009-06-03,5.7
2009-06-04,5.85
2009-06-05,6.25
2009-06-08,6.15
2009-06-09,6.2
2009-06-10,6.4
2009-06-11,6.3
2009-06-12,6.2
2009-06-15,6.1
2009-06-16,5.75
2009-06-17,5.85
2009-06-18,5.8
2009-06-19,6.0
2009-06-22,5.85
2009-06-23,5.55
2009-06-24,5.65
2009-06-25,5.8
2009-06-26,5.85
2009-06-29,6.7
2009-06-30,7.5
2009-07-01,7.5
2009-07-02,8.05
2009-07-06,8.4
2009-07-07,8.4
2009-07-08,9.15
2009-07-09,9.0
2009-07-10,8.5
2009-07-13,8.8
2009-07-14,9.0
2009-07-15,9.0
2009-07-16,9.25
2009-07-17,9.45
2009-07-20,9.15
2009-07-21,9.0
2009-07-22,9.0
2009-07-23,9.0
2009-07-24,8.95
2009-07-27,8.95
2009-07-28,8.8
2009-07-29,8.95
2009-07-30,8.9
2009-07-31,8.9
2009-08-03,9.05
2009-08-04,8.7
2009-08-05,8.3
2009-08-06,8.5
2009-08-07,8.55
2009-08-10,8.5
2009-08-11,8.45
2009-08-12,8.45
2009-08-13,8.35
2009-08-14,8.3
2009-08-17,8.1
2009-08-18,8.2
2009-08-19,8.15
2009-08-20,8.2
2009-08-21,8.1
2009-08-24,8.15
2009-08-25,8.15
2009-08-26,8.15
2009-08-27,8.0
2009-08-28,8.05
2009-08-31,8.15
2009-09-01,8.05
2009-09-02,8.05
2009-09-03,8.05
2009-09-04,8.0
2009-09-08,8.05
2009-09-09,8.1
2009-09-10,8.4
2009-09-11,8.3
2009-09-14,8.15
2009-09-15,8.15
2009-09-16,8.2
2009-09-17,8.3
2009-09-18,8.55
2009-09-21,8.8
2009-09-22,8.75
2009-09-23,8.6
2009-09-24,8.65
2009-09-25,8.5
2009-09-28,8.35
2009-09-29,8.35
2009-09-30,8.4
2009-10-01,8.45
2009-10-02,8.65
2009-10-05,8.35
2009-10-06,8.35
2009-10-07,8.35
2009-10-08,8.2
2009-10-09,8.2
2009-10-12,8.2
2009-10-13,8.1
2009-10-14,7.7
2009-10-15,7.25
2009-10-16,7.55
2009-10-19,7.7
2009-10-20,7.65
2009-10-21,7.5
2009-10-22,7.3
2009-10-23,7.3
2009-10-26,7.4
2009-10-27,7.4
2009-10-28,7.4
2009-10-29,7.3
2009-10-30,7.25
2009-11-02,7.1
2009-11-03,7.05
2009-11-04,7.2
2009-11-05,7.15
2009-11-06,7.35
2009-11-09,7.4
2009-11-10,7.4
2009-11-11,7.45
2009-11-12,7.3
2009-11-13,7.45
2009-11-16,7.85
2009-11-17,7.7
2009-11-18,7.55
2009-11-19,7.55
2009-11-20,149.0
2009-11-23,7.5
2009-11-24,7.3
2009-11-25,7.45
2009-11-27,7.3
2009-11-30,7.3
2009-12-01,7.55
2009-12-02,7.3
2009-12-03,7.5
2009-12-04,7.35
2009-12-07,7.35
2009-12-08,7.3
2009-12-09,7.35
2009-12-10,7.35
2009-12-11,7.45
2009-12-14,7.4
2009-12-15,7.55
2009-12-16,7.75
2009-12-17,7.65
2009-12-18,7.8
2009-12-21,8.0
2009-12-22,8.0
2009-12-23,8.0
2009-12-24,7.95
2009-12-28,7.85
2009-12-29,7.8
2009-12-30,7.8
2009-12-31,7.8
2010-01-04,7.65
2010-01-05,7.75
2010-01-06,7.8
2010-01-07,7.8
2010-01-08,7.85
2010-01-11,8.0
2010-01-12,8.1
2010-01-13,8.05
2010-01-14,8.05
2010-01-15,8.0
2010-01-19,7.9
2010-01-20,7.9
2010-01-21,7.8
2010-01-22,7.75
2010-01-25,7.6
2010-01-26,7.65
2010-01-27,7.5
2010-01-28,7.5
2010-01-29,7.6
2010-02-01,7.6
2010-02-02,
2010-02-03,7.7
2010-02-04,7.65
2010-02-05,7.6
2010-02-08,7.6
2010-02-09,7.6
2010-02-10,7.6
2010-02-11,7.75
2010-02-12,7.7
2010-02-16,7.6
2010-02-17,7.7
2010-02-18,7.7
2010-02-19,7.7
2010-02-22,7.75
2010-02-23,7.8
2010-02-24,7.85
2010-02-25,7.8
2010-02-26,7.85
2010-03-01,
2010-03-02,7.85
2010-03-03,8.05
2010-03-04,8.1
2010-03-05,8.05
2010-03-08,7.85
2010-03-09,7.8
2010-03-10,7.9
2010-03-11,7.9
2010-03-12,7.95
2010-03-15,7.9
2010-03-16,8.1
2010-03-17,8.15
2010-03-18,7.85
2010-03-19,7.95
2010-03-22,7.9
2010-03-23,7.9
2010-03-24,8.1
2010-03-25,8.0
2010-03-26,8.55
2010-03-29,8.95
2010-03-30,9.25
2010-03-31,8.9
2010-04-01,9.05
2010-04-05,8.85
2010-04-06,
2010-04-07,8.9
2010-04-08,8.45
2010-04-09,8.55
2010-04-12,8.25
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,8.1
2010-04-19,8.0
2010-04-20,8.3
2010-04-21,8.15
2010-04-22,8.25
2010-04-23,8.2
2010-04-26,8.7
2010-04-27,8.65
2010-04-28,8.65
2010-04-29,8.7
2010-04-30,8.9
2010-05-03,
2010-05-04,9.1
2010-05-05,
2010-05-06,10.1
2010-05-07,9.85
2010-05-10,10.5
2010-05-11,10.0
2010-05-12,9.8
2010-05-13,10.3
2010-05-14,10.3
2010-05-17,9.9
2010-05-18,10.5
2010-05-19,11.2
2010-05-20,
2010-05-21,
2010-05-24,10.7
2010-05-25,10.2
2010-05-26,10.7
2010-05-27,11.4
2010-05-28,
2010-06-01,11.3
2010-06-02,11.2
2010-06-03,11.3
2010-06-04,11.2
2010-06-07,11.0
2010-06-08,10.8
2010-06-09,10.6
2010-06-10,11.0
2010-06-11,11.5
2010-06-14,11.7
2010-06-15,11.9
2010-06-16,11.8
2010-06-17,12.1
2010-06-18,12.1
2010-06-21,12.2
2010-06-22,13.1
2010-06-23,13.1
2010-06-24,12.6
2010-06-25,12.6
2010-06-28,13.1
2010-06-29,12.7
2010-06-30,12.7
2010-07-01,
2010-07-02,12.5
2010-07-06,12.9
2010-07-07,13.7
2010-07-08,13.8
2010-07-09,13.8
2010-07-12,13.7
2010-07-13,14.8
2010-07-14,14.6
2010-07-15,15.0
2010-07-16,14.8
2010-07-19,15.4
2010-07-20,15.1
2010-07-21,15.5
2010-07-22,15.5
2010-07-23,15.5
2010-07-26,
2010-07-27,15.2
2010-07-28,14.9
2010-07-29,15.1
2010-07-30,15.4
2010-08-02,15.8
2010-08-03,15.7
2010-08-04,15.5
2010-08-05,15.3
2010-08-06,15.3
2010-08-09,15.2
2010-08-10,15.0
2010-08-11,14.8
2010-08-12,
2010-08-13,
2010-08-16,14.9
2010-08-17,15.0
2010-08-18,14.7
2010-08-19,14.9
2010-08-20,15.5
2010-08-23,15.6
2010-08-24,15.4
2010-08-25,15.1
2010-08-26,15.0
2010-08-27,15.1
2010-08-30,14.8
2010-08-31,14.8
2010-09-01,14.7
2010-09-02,14.6
2010-09-03,14.6
2010-09-07,14.3
2010-09-08,15.0
2010-09-09,14.6
2010-09-10,15.0
2010-09-13,15.0
2010-09-14,14.7
2010-09-15,14.7
2010-09-16,15.1
2010-09-17,14.9
2010-09-20,3.75
2010-09-21,5.62
2010-09-22,15.8
2010-09-23,8.43
2010-09-24,12.64
2010-09-27,17.0
2010-09-28,28.4
2010-09-29,42.599998
2010-09-30,17.1
2010-10-01,60.0
2010-10-04,55.5
2010-10-05,42.0
2010-10-06,19.0
2010-10-07,48.0
2010-10-08,41.0
2010-10-11,54.5
2010-10-12,41.0
2010-10-13,61.450001
2010-10-14,65.0
2010-10-15,63.0
2010-10-18,83.900002
2010-10-19,70.0
2010-10-20,80.0
2010-10-21,65.0
2010-10-22,65.0
2010-10-25,
2010-10-26,60.0
2010-10-27,65.0
2010-10-28,19.0
2010-10-29,65.0
2010-11-01,19.0
2010-11-02,18.9
2010-11-03,53.0
2010-11-04,18.200001
2010-11-05,65.0
2010-11-08,18.4
2010-11-09,18.299999
2010-11-10,18.299999
2010-11-11,18.4
2010-11-12,18.0
2010-11-15,17.799999
2010-11-16,17.0
2010-11-17,16.4
2010-11-18,97.5
2010-11-19,145.0
2010-11-22,217.399994
2010-11-23,16.799999
2010-11-24,16.799999
2010-11-26,17.0
2010-11-29,17.200001
2010-11-30,17.1
2010-12-01,18.0
2010-12-02,18.5
2010-12-03,18.5
2010-12-06,
2010-12-07,19.799999
2010-12-08,19.4
2010-12-09,19.9
2010-12-10,
2010-12-13,20.6
2010-12-14,20.200001
2010-12-15,20.6
2010-12-16,20.0
2010-12-17,19.700001
2010-12-20,19.4
2010-12-21,19.200001
2010-12-22,19.1
2010-12-23,19.4
2010-12-27,19.200001
2010-12-28,19.4
2010-12-29,19.299999
2010-12-30,19.6
2010-12-31,
2011-01-03,
2011-01-04,19.700001
2011-01-05,20.0
2011-01-06,19.6
2011-01-07,20.0
2011-01-10,20.200001
2011-01-11,21.200001
2011-01-12,21.0
2011-01-13,20.5
2011-01-14,20.200001
2011-01-18,19.700001
2011-01-19,20.0
2011-01-20,19.5
2011-01-21,19.200001
2011-01-24,17.700001
2011-01-25,17.299999
2011-01-26,17.9
2011-01-27,18.4
2011-01-28,18.1
2011-01-31,17.6
2011-02-01,17.299999
2011-02-02,17.6
2011-02-03,18.0
2011-02-04,17.9
2011-02-07,18.1
2011-02-08,17.9
2011-02-09,17.6
2011-02-10,16.799999
2011-02-11,16.799999
2011-02-14,17.1
2011-02-15,17.0
2011-02-16,16.9
2011-02-17,17.6
2011-02-18,
2011-02-22,17.5
2011-02-23,17.5
2011-02-24,17.1
2011-02-25,17.0
2011-02-28,16.9
2011-03-01,16.5
2011-03-02,16.5
2011-03-03,16.299999
2011-03-04,17.1
2011-03-07,16.9
2011-03-08,17.0
2011-03-09,17.299999
2011-03-10,17.1
2011-03-11,16.9
2011-03-14,17.1
2011-03-15,16.799999
2011-03-16,17.0
2011-03-17,16.700001
2011-03-18,16.9
2011-03-21,17.0
2011-03-22,17.4
2011-03-23,17.9
2011-03-24,17.799999
2011-03-25,17.6
2011-03-28,18.0
2011-03-29,17.700001
2011-03-30,17.700001
2011-03-31,17.5
2011-04-01,17.6
2011-04-04,17.700001
2011-04-05,17.799999
2011-04-06,
2011-04-07,18.1
2011-04-08,18.4
2011-04-11,18.4
2011-04-12,18.6
2011-04-13,
2011-04-14,
2011-04-15,
2011-04-18,19.0
2011-04-19,19.0
2011-04-20,19.1
2011-04-21,19.0
2011-04-25,18.700001
2011-04-26,19.1
2011-04-27,19.5
2011-04-28,19.0
2011-04-29,18.799999
2011-05-02,
2011-05-03,18.299999
2011-05-04,18.299999
2011-05-05,
2011-05-06,18.0
2011-05-09,18.200001
2011-05-10,18.6
2011-05-11,18.9
2011-05-12,18.799999
2011-05-13,18.6
2011-05-16,
2011-05-17,
2011-05-18,18.299999
2011-05-19,18.4
2011-05-20,18.299999
2011-05-23,18.200001
2011-05-24,18.1
2011-05-25,18.200001
2011-05-26,18.700001
2011-05-27,18.4
2011-05-31,326.0
2011-06-01,489.0
2011-06-02,733.5
2011-06-03,1049.0
2011-06-06,700.0
2011-06-07,600.0
2011-06-08,700.0
2011-06-09,740.0
2011-06-10,670.0
2011-06-13,570.5
2011-06-14,610.0
2011-06-15,18.5
2011-06-16,600.0
2011-06-17,18.299999
2011-06-20,17.799999
2011-06-21,18.1
2011-06-22,600.0
2011-06-23,570.0
2011-06-24,17.799999
2011-06-27,560.0
2011-06-28,17.5
2011-06-29,17.5
2011-06-30,579.5
2011-07-01,
2011-07-05,18.4
2011-07-06,520.0
2011-07-07,18.4
2011-07-08,609.5
2011-07-11,520.0
2011-07-12,18.299999
2011-07-13,500.0
2011-07-14,500.0
2011-07-15,500.0
2011-07-18,595.0
2011-07-19,18.6
2011-07-20,18.5
2011-07-21,505.0
2011-07-22,600.0
2011-07-25,558.0
2011-07-26,18.700001
2011-07-27,18.6
2011-07-28,530.0
2011-07-29,553.5
2011-08-01,18.700001
2011-08-02,18.6
2011-08-03,530.0
2011-08-04,18.299999
2011-08-05,17.5
2011-08-08,491.0
2011-08-09,480.200012
2011-08-10,483.0
2011-08-11,16.0
2011-08-12,485.200012
2011-08-15,599.5
2011-08-16,799.5
2011-08-17,779.0
2011-08-18,500.0
2011-08-19,580.0
2011-08-22,600.0
2011-08-23,501.0
2011-08-24,598.0
2011-08-25,15.0
2011-08-26,14.7
2011-08-29,15.0
2011-08-30,14.8
2011-08-31,607.0
2011-09-01,516.0
2011-09-02,520.0
2011-09-06,520.0
2011-09-07,150.0
2011-09-08,151.399994
2011-09-09,150.0
2011-09-12,515.5
2011-09-13,14.3
2011-09-14,13.4
2011-09-15,599.5
2011-09-16,13.2
2011-09-19,12.9
2011-09-20,514.0
2011-09-21,13.0
2011-09-22,12.4
2011-09-23,515.0
2011-09-26,512.5
2011-09-27,512.5
2011-09-28,515.0
2011-09-29,515.0
2011-09-30,11.1
2011-10-03,510.0
2011-10-04,508.0
2011-10-05,10.1
2011-10-06,10.6
2011-10-07,10.2
2011-10-10,508.0
2011-10-11,10.7
2011-10-12,501.0
2011-10-13,10.7
2011-10-14,11.1
2011-10-17,11.1
2011-10-18,10.7
2011-10-19,10.6
2011-10-20,10.3
2011-10-21,10.4
2011-10-24,
2011-10-25,10.4
2011-10-26,10.5
2011-10-27,10.8
2011-10-28,11.2
2011-10-31,11.1
2011-11-01,10.8
2011-11-02,505.5
2011-11-03,10.8
2011-11-04,10.9
2011-11-07,10.7
2011-11-08,11.0
2011-11-09,11.0
2011-11-10,11.0
2011-11-11,11.0
2011-11-14,503.0
2011-11-15,11.6
2011-11-16,540.0
2011-11-17,540.0
2011-11-18,540.0
2011-11-21,540.0
2011-11-22,509.0
2011-11-23,510.0
2011-11-25,510.0
2011-11-28,510.0
2011-11-29,510.0
2011-11-30,510.0
2011-12-01,510.0
2011-12-02,510.0
2011-12-05,510.0
2011-12-06,510.0
2011-12-07,510.0
2011-12-08,510.0
2011-12-09,510.0
2011-12-12,503.0
2011-12-13,501.5
2011-12-14,501.5
2011-12-15,501.5
2011-12-16,501.5
2011-12-19,501.5
2011-12-20,501.5
2011-12-21,501.5
2011-12-22,501.5
2011-12-23,500.5
2011-12-27,510.0
2011-12-28,510.0
2011-12-29,510.0
2011-12-30,510.0
2012-01-03,501.0
2012-01-04,501.0
2012-01-05,530.0
2012-01-06,530.0
2012-01-09,530.0
2012-01-10,530.0
2012-01-11,530.0
2012-01-12,530.0
2012-01-13,526.0
2012-01-17,522.0
2012-01-18,510.0
2012-01-19,520.0
2012-01-20,520.0
2012-01-23,520.0
2012-01-24,520.0
2012-01-25,520.0
2012-01-26,635.0
2012-01-27,635.0
2012-01-30,635.0
2012-01-31,635.0
2012-02-01,635.0
2012-02-02,635.0
2012-02-03,635.0
2012-02-06,635.0
2012-02-07,567.0
2012-02-08,567.0
2012-02-09,567.0
2012-02-10,567.0
2012-02-13,567.0
2012-02-14,567.0
2012-02-15,522.0
2012-02-16,500.0
2012-02-17,500.0
2012-02-21,522.0
2012-02-22,522.0
2012-02-23,522.0
2012-02-24,522.0
2012-02-27,501.0
2012-02-28,501.0
2012-02-29,501.0
2012-03-01,500.0
2012-03-02,500.0
2012-03-05,500.0
2012-03-06,500.0
2012-03-07,500.0
2012-03-08,500.0
2012-03-09,500.0
2012-03-12,500.0
2012-03-13,500.0
2012-03-14,500.0
2012-03-15,500.0
2012-03-16,500.0
2012-03-19,500.0
2012-03-20,500.0
2012-03-21,500.0
2012-03-22,500.0
2012-03-23,500.0
2012-03-26,500.0
2012-03-27,520.0
2012-03-28,610.0
2012-03-29,590.0
2012-03-30,520.0
2012-04-02,520.0
2012-04-03,500.0
2012-04-04,503.0
2012-04-05,503.0
2012-04-09,503.0
2012-04-10,503.0
2012-04-11,480.0
2012-04-12,480.0
2012-04-13,460.0
2012-04-16,490.0
2012-04-17,490.0
2012-04-18,490.0
2012-04-19,490.0
2012-04-20,490.0
2012-04-23,490.0
2012-04-24,490.0
2012-04-25,490.0
2012-04-26,490.0
2012-04-27,490.0
2012-04-30,490.0
2012-05-01,490.0
2012-05-02,490.0
2012-05-03,490.0
2012-05-04,445.0
2012-05-07,445.0
2012-05-08,445.0
2012-05-09,445.0
2012-05-10,445.0
2012-05-11,445.0
2012-05-14,445.0
2012-05-15,445.0
2012-05-16,445.0
2012-05-17,445.0
2012-05-18,445.0
2012-05-21,445.0
2012-05-22,445.0
2012-05-23,445.0
2012-05-24,445.0
2012-05-25,445.0
2012-05-29,445.0
2012-05-30,445.0
2012-05-31,445.0
2012-06-01,445.0
2012-06-04,445.0
2012-06-05,445.0
2012-06-06,445.0
2012-06-07,445.0
2012-06-08,445.0
2012-06-11,445.0
2012-06-12,445.0
2012-06-13,445.0
2012-06-14,445.0
2012-06-15,500.0
2012-06-18,500.0
2012-06-19,500.0
2012-06-20,500.0
2012-06-21,490.0
2012-06-22,490.0
2012-06-25,490.0
2012-06-26,425.0
2012-06-27,425.0
2012-06-28,425.0
2012-06-29,425.0
2012-07-02,425.0
2012-07-03,425.0
2012-07-05,425.0
2012-07-06,450.0
2012-07-09,450.0
2012-07-10,450.0
2012-07-11,450.0
2012-07-12,450.0
2012-07-13,450.0
2012-07-16,470.0
2012-07-17,470.0
2012-07-18,470.0
2012-07-19,450.0
2012-07-20,450.0
2012-07-23,450.0
2012-07-24,450.0
2012-07-25,450.0
2012-07-26,450.0
2012-07-27,450.0
2012-07-30,450.0
2012-07-31,450.0
2012-08-01,450.0
2012-08-02,450.0
2012-08-03,450.0
2012-08-06,450.0
2012-08-07,450.0
2012-08-08,450.0
2012-08-09,450.0
2012-08-10,450.0
2012-08-13,450.0
2012-08-14,450.0
2012-08-15,450.0
2012-08-16,450.0
2012-08-17,450.0
2012-08-20,150.0
2012-08-21,450.0
2012-08-22,450.0
2012-08-23,450.0
2012-08-24,450.0
2012-08-27,450.0
2012-08-28,478.0
2012-08-29,478.0
2012-08-30,478.0
2012-08-31,478.0
2012-09-04,478.0
2012-09-05,460.0
2012-09-06,460.0
2012-09-07,460.0
2012-09-10,495.0
2012-09-11,550.0
2012-09-12,550.0
2012-09-13,550.0
2012-09-14,550.0
2012-09-17,550.0
2012-09-18,550.0
2012-09-19,550.0
2012-09-20,550.0
2012-09-21,550.0
2012-09-24,500.0
2012-09-25,500.0
2012-09-26,500.0
2012-09-27,500.0
2012-09-28,500.0
2012-10-01,500.0
2012-10-02,500.0
2012-10-03,500.0
2012-10-04,500.0
2012-10-05,500.0
2012-10-08,500.0
2012-10-09,500.0
2012-10-10,500.0
2012-10-11,480.0
2012-10-12,480.0
2012-10-15,480.0
2012-10-16,480.0
2012-10-17,480.0
2012-10-18,480.0
2012-10-19,480.0
2012-10-22,480.0
2012-10-23,480.0
2012-10-24,480.0
2012-10-25,480.0
2012-10-26,480.0
2012-10-31,480.0
2012-11-01,480.0
2012-11-02,480.0
2012-11-05,495.0
2012-11-06,500.0
2012-11-07,500.0
2012-11-08,500.0
2012-11-09,500.0
2012-11-12,500.0
2012-11-13,500.0
2012-11-14,500.0
2012-11-15,500.0
2012-11-16,500.0
2012-11-19,500.0
2012-11-20,500.0
2012-11-21,500.0
2012-11-23,430.0
2012-11-26,430.0
2012-11-27,430.0
2012-11-28,430.0
2012-11-29,430.0
2012-11-30,430.0
2012-12-03,430.0
2012-12-04,430.0
2012-12-05,430.0
2012-12-06,430.0
2012-12-07,430.0
2012-12-10,430.0
2012-12-11,430.0
2012-12-12,425.0
2012-12-13,425.0
2012-12-14,425.0
2012-12-17,495.0
2012-12-18,495.0
2012-12-19,495.0
2012-12-20,405.0
2012-12-21,375.0
2012-12-24,150.0
2012-12-26,375.0
2012-12-27,375.0
2012-12-28,375.0
2012-12-31,375.0
2013-01-02,375.0
2013-01-03,375.0
2013-01-04,375.0
2013-01-07,375.0
2013-01-08,375.0
2013-01-09,375.0
2013-01-10,375.0
2013-01-11,375.0
2013-01-14,375.0
2013-01-15,480.0
2013-01-16,479.0
2013-01-17,479.0
2013-01-18,479.0
2013-01-22,479.0
2013-01-23,479.0
2013-01-24,479.0
2013-01-25,490.0
2013-01-28,490.0
2013-01-29,490.0
2013-01-30,490.0
2013-01-31,490.0
2013-02-01,490.0
2013-02-04,490.0
2013-02-05,490.0
2013-02-06,490.0
2013-02-07,490.0
2013-02-08,490.0
2013-02-11,490.0
2013-02-12,490.0
2013-02-13,490.0
2013-02-14,490.0
2013-02-15,490.0
2013-02-19,490.0
2013-02-20,490.0
2013-02-21,490.0
2013-02-22,490.0
2013-02-25,490.0
2013-02-26,490.0
2013-02-27,490.0
2013-02-28,490.0
2013-03-01,490.0
2013-03-04,490.0
2013-03-05,490.0
2013-03-06,366.0
2013-03-07,450.0
2013-03-08,450.0
2013-03-11,450.0
2013-03-12,450.0
