Date,PULS
2019-08-07,50.07
2019-08-08,50.055
2019-08-09,50.07
2019-08-12,50.07
2019-08-13,50.069
2019-08-14,50.080002
2019-08-15,50.07
2019-08-16,50.088001
2019-08-19,50.099998
2019-08-20,50.110001000000004
2019-08-21,50.105
2019-08-22,50.112999
2019-08-23,50.137001
2019-08-26,50.110001000000004
2019-08-27,50.139998999999996
2019-08-28,50.145
2019-08-29,50.150002
2019-08-30,50.169998
2019-09-03,50.064999
2019-09-04,50.060001
2019-09-05,50.07
2019-09-06,50.078998999999996
2019-09-09,50.09
2019-09-10,50.084998999999996
2019-09-11,50.095001
2019-09-12,50.099998
2019-09-13,50.105
2019-09-16,50.119999
2019-09-17,50.123001
2019-09-18,50.130001
2019-09-19,50.119999
2019-09-20,50.147999
2019-09-23,50.154999
2019-09-24,50.169998
2019-09-25,50.169998
2019-09-26,50.174999
2019-09-27,50.176998
2019-09-30,50.188
2019-10-01,50.02
2019-10-02,50.040001000000004
2019-10-03,50.040001000000004
2019-10-04,50.049999
2019-10-07,50.060001
2019-10-08,50.055
2019-10-09,50.060001
2019-10-10,50.064999
2019-10-11,50.07
2019-10-14,50.080002
2019-10-15,50.080002
2019-10-16,50.09
2019-10-17,50.080002
2019-10-18,50.110001000000004
2019-10-21,50.110001000000004
2019-10-22,50.105999
2019-10-23,50.109001
2019-10-24,50.115002000000004
2019-10-25,50.130001
2019-10-28,50.119999
2019-10-29,50.130001
2019-10-30,50.139998999999996
2019-10-31,50.139998999999996
2019-11-01,50.060001
2019-11-04,50.040001000000004
2019-11-05,50.060001
2019-11-06,50.060001
2019-11-07,50.07
2019-11-08,50.07
2019-11-11,50.080002
2019-11-12,50.080002
2019-11-13,50.09
2019-11-14,50.09
2019-11-15,50.099998
2019-11-18,50.099998
2019-11-19,50.09
2019-11-20,50.099998
2019-11-21,50.110001000000004
2019-11-22,50.110001000000004
2019-11-25,50.115002000000004
2019-11-26,50.130001
2019-11-27,50.120998
2019-11-29,50.125
2019-12-02,50.040001000000004
2019-12-03,50.040001000000004
2019-12-04,50.060001
2019-12-05,50.060001
2019-12-06,50.060001
2019-12-09,50.060001
2019-12-10,50.049999
2019-12-11,50.07
2019-12-12,50.080002
2019-12-13,50.09
2019-12-16,50.099998
2019-12-17,50.080002
2019-12-18,50.110001000000004
2019-12-19,50.105
2019-12-20,50.119999
2019-12-23,50.134997999999996
2019-12-24,50.139998999999996
2019-12-26,50.139998999999996
2019-12-27,50.005001
2019-12-30,50.02
2019-12-31,50.040001000000004
2020-01-02,50.040001000000004
2020-01-03,50.040001000000004
2020-01-06,50.049999
2020-01-07,50.049999
2020-01-08,50.040001000000004
2020-01-09,50.055
2020-01-10,50.07
2020-01-13,50.07
2020-01-14,50.080002
2020-01-15,50.080002
2020-01-16,50.07
2020-01-17,50.099998
2020-01-21,50.110001000000004
2020-01-22,50.115002000000004
2020-01-23,50.119999
2020-01-24,50.125
2020-01-27,50.115002000000004
2020-01-28,50.125
2020-01-29,50.130001
2020-01-30,50.134997999999996
2020-01-31,50.119999
2020-02-03,50.049999
2020-02-04,50.060001
2020-02-05,50.064999
2020-02-06,50.07
2020-02-07,50.075001
2020-02-10,50.075001
2020-02-11,50.075001
2020-02-12,50.084998999999996
2020-02-13,50.09
2020-02-14,50.099998
2020-02-18,50.110001000000004
2020-02-19,50.110001000000004
