Date,BYND
2020-03-06,96.089996
2020-03-09,87.959999
2020-03-10,90.980003
2020-03-11,82.639999
2020-03-12,74.0
2020-03-13,73.059998
2020-03-16,61.549999
2020-03-17,60.32
2020-03-18,54.02
2020-03-19,57.330002
2020-03-20,57.990002000000004
2020-03-23,57.549999
2020-03-24,67.43
2020-03-25,73.0
2020-03-26,71.099998
2020-03-27,66.120003
2020-03-30,66.089996
2020-03-31,66.599998
2020-04-01,64.18
2020-04-02,57.950001
2020-04-03,59.91
2020-04-06,65.91999799999999
2020-04-07,67.43
2020-04-08,69.470001
2020-04-09,72.300003
2020-04-13,76.66999799999999
2020-04-14,78.050003
2020-04-15,74.699997
2020-04-16,74.82
2020-04-17,76.910004
2020-04-20,79.120003
2020-04-21,84.959999
2020-04-22,88.459999
2020-04-23,99.779999
2020-04-24,108.779999
2020-04-27,99.629997
2020-04-28,99.519997
2020-04-29,100.099998
2020-04-30,98.989998
2020-05-01,91.529999
2020-05-04,95.160004
2020-05-05,100.160004
2020-05-06,126.209999
2020-05-07,122.660004
2020-05-08,133.509995
