Date,MEE
2008-08-21,14.6722
2008-08-22,14.1721
2008-08-25,17.673401000000002
2008-08-26,21.7584
2008-08-27,24.9377
2008-08-28,22.9254
2008-08-29,23.342199
2008-09-02,25.7325
2008-09-03,20.924601000000003
2008-09-04,22.258499
2008-09-05,29.806
2008-09-08,26.760201000000002
2008-09-09,26.510099
2008-09-10,31.2619
2008-09-11,28.177401
2008-09-12,39.741402
2008-09-15,29.177799
2008-09-16,25.9265
2008-09-17,26.6768
2008-09-18,23.342199
2008-09-19,0.3
2008-09-22,26.926901
2008-09-23,25.092899
2008-09-24,30.700198999999998
2008-09-25,24.592699
2008-09-26,27.0937
2008-09-29,34.376301
2008-09-30,29.6073
2008-10-01,25.5931
2008-10-02,26.0933
2008-10-03,30.998301
2008-10-06,29.806
2008-10-07,20.924601000000003
2008-10-08,15.6726
2008-10-09,14.5889
2008-10-10,10.9208
2008-10-13,13.7552
2008-10-14,16.673
2008-10-15,13.5051
2008-10-16,12.0046
2008-10-17,0.169
2008-10-20,15.1724
2008-10-21,13.8386
2008-10-22,16.0952
2008-10-23,13.4218
2008-10-24,12.0879
2008-10-27,10.504
2008-10-28,9.92044
2008-10-29,10.3373
2008-10-30,12.9216
2008-10-31,11.9212
2008-11-03,14.0053
2008-11-04,13.5051
2008-11-05,19.7575
2008-11-06,15.8394
2008-11-07,17.256598999999998
2008-11-10,17.339899
2008-11-11,14.1721
2008-11-12,15.5985
2008-11-13,14.5055
2008-11-14,13.6719
2008-11-17,14.4222
2008-11-18,16.691401000000003
2008-11-19,13.3384
2008-11-20,13.8101
2008-11-21,13.214
2008-11-24,11.2543
2008-11-25,10.1705
2008-11-26,10.1705
2008-11-28,12.338
2008-12-01,11.421
2008-12-02,9.50362
2008-12-03,10.1705
2008-12-04,9.50362
2008-12-05,9.50362
2008-12-08,10.0038
2008-12-09,9.336889999999999
2008-12-10,9.75371
2008-12-11,11.0042
2008-12-12,9.00343
2008-12-15,9.50362
2008-12-16,9.336889999999999
2008-12-17,11.1276
2008-12-18,8.75333
2008-12-19,10.7302
2008-12-22,10.3328
2008-12-23,8.41987
2008-12-24,
2008-12-26,
2008-12-29,11.1276
2008-12-30,11.5044
2008-12-31,
2009-01-02,13.7552
2009-01-05,13.0049
2009-01-06,13.3384
2009-01-07,15.0024
2009-01-08,13.1146
2009-01-09,12.0046
2009-01-12,12.9216
2009-01-13,13.7552
2009-01-14,13.0049
2009-01-15,12.1713
2009-01-16,13.6114
2009-01-20,16.194599
2009-01-21,16.989401
2009-01-22,16.294001
2009-01-23,16.294001
2009-01-26,16.294001
2009-01-27,16.492701
2009-01-28,15.9959
2009-01-29,14.8037
2009-01-30,14.5056
2009-02-02,12.4214
2009-02-03,13.5121
2009-02-04,13.0153
2009-02-05,13.214
2009-02-06,13.6114
2009-02-09,12.8166
2009-02-10,11.6711
2009-02-11,12.6179
2009-02-12,13.6114
2009-02-13,13.1146
2009-02-17,13.1146
2009-02-18,12.8166
2009-02-19,13.9095
2009-02-20,13.3134
2009-02-23,
2009-02-24,
2009-02-25,
2009-02-26,
2009-02-27,
2009-03-02,
2009-03-03,
2009-03-04,
2009-03-05,
2009-03-06,9.336889999999999
2009-03-09,
2009-03-10,
2009-03-11,
2009-03-12,
2009-03-13,
2009-03-16,
2009-03-17,
2009-03-18,
2009-03-19,
2009-03-20,
2009-03-23,
2009-03-24,12.7549
2009-03-25,
2009-03-26,
2009-03-27,16.5063
2009-03-30,18.0902
2009-03-31,
2009-04-01,
2009-04-02,20.5912
2009-04-03,
2009-04-06,
2009-04-07,18.3403
2009-04-08,
2009-04-09,
2009-04-13,
2009-04-14,
2009-04-15,
2009-04-16,18.8405
2009-04-17,
2009-04-20,
2009-04-21,
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-27,
2009-04-28,
2009-04-29,
2009-04-30,
2009-05-01,
2009-05-04,
2009-05-05,
2009-05-06,
2009-05-07,
2009-05-08,
2009-05-11,
2009-05-12,
2009-05-13,
2009-05-14,
2009-05-15,
2009-05-18,
2009-05-19,
2009-05-20,
2009-05-21,
2009-05-22,
2009-05-26,20.2577
2009-05-27,
2009-05-28,
2009-05-29,
2009-06-01,
2009-06-02,
2009-06-03,24.134199
2009-06-04,
2009-06-05,
2009-06-08,
2009-06-09,
2009-06-10,21.341499
2009-06-11,
2009-06-12,
2009-06-15,
2009-06-16,
2009-06-17,
2009-06-18,19.257299
2009-06-19,
2009-06-22,
2009-06-23,
2009-06-24,
2009-06-25,
2009-06-26,
2009-06-29,
2009-06-30,
2009-07-01,
2009-07-02,
2009-07-06,
2009-07-07,
2009-07-08,
2009-07-09,
2009-07-10,
2009-07-13,
2009-07-14,
2009-07-15,
2009-07-16,
2009-07-17,
2009-07-20,
2009-07-21,
2009-07-22,
2009-07-23,
2009-07-24,27.0103
2009-07-27,
2009-07-28,
2009-07-29,
2009-07-30,
2009-07-31,29.261101
2009-08-03,
2009-08-04,
2009-08-05,28.177401
2009-08-06,29.177799
2009-08-07,
2009-08-10,
2009-08-11,
2009-08-12,
2009-08-13,34.096298
2009-08-14,33.762901
2009-08-17,30.3449
2009-08-18,28.4275
2009-08-19,27.427099
2009-08-20,
2009-08-21,
2009-08-24,
2009-08-25,
2009-08-26,
2009-08-27,33.429401
2009-08-28,
2009-08-31,35.263401
2009-09-01,35.5135
2009-09-02,
2009-09-03,
2009-09-04,
2009-09-08,40.682201
2009-09-09,
2009-09-10,41.7659
2009-09-11,
2009-09-14,39.848499
2009-09-15,
2009-09-16,
2009-09-17,
2009-09-18,
2009-09-21,
2009-09-22,
2009-09-23,
2009-09-24,39.2649
2009-09-25,38.0145
2009-09-28,
2009-09-29,
2009-09-30,
2009-10-01,35.263401
2009-10-02,
2009-10-05,
2009-10-06,
2009-10-07,35.680199
2009-10-08,
2009-10-09,37.597599
2009-10-12,
2009-10-13,
2009-10-14,
2009-10-15,35.930302000000005
2009-10-16,
2009-10-19,
2009-10-20,
2009-10-21,
2009-10-22,
2009-10-23,
2009-10-26,
2009-10-27,
2009-10-28,
2009-10-29,
2009-10-30,
2009-11-02,
2009-11-03,
2009-11-04,
2009-11-05,
2009-11-06,
2009-11-09,
2009-11-10,
2009-11-11,
2009-11-12,
2009-11-13,
2009-11-16,
2009-11-17,0.46
2009-11-18,0.47
2009-11-19,0.46
2009-11-20,
2009-11-23,
2009-11-24,0.43
2009-11-25,0.43
2009-11-27,
2009-11-30,0.42
2009-12-01,0.4
2009-12-02,35.013302
2009-12-03,0.42
2009-12-04,38.848099
2009-12-07,38.431301
2009-12-08,39.5984
2009-12-09,41.5158
2009-12-10,
2009-12-11,
2009-12-14,
2009-12-15,0.48
2009-12-16,
2009-12-17,
2009-12-18,
2009-12-21,0.45
2009-12-22,0.44
2009-12-23,0.44
2009-12-24,0.44
2009-12-28,0.43
2009-12-29,0.44
2009-12-30,38.931499
2009-12-31,0.45
2010-01-04,0.467
2010-01-05,0.467
2010-01-06,0.468
2010-01-07,0.477
2010-01-08,40.8489
2010-01-11,0.48
2010-01-12,39.2649
2010-01-13,38.264599
2010-01-14,38.181197999999995
2010-01-15,0.459
2010-01-19,36.764
2010-01-20,0.452
2010-01-21,0.441
2010-01-22,36.097099
2010-01-25,34.5965
2010-01-26,34.429798
2010-01-27,0.415
2010-01-28,0.413
2010-01-29,0.392
2010-02-01,27.5105
2010-02-02,0.374
2010-02-03,0.33
2010-02-04,0.362
2010-02-05,0.372
2010-02-08,24.8428
2010-02-09,25.092899
2010-02-10,0.298
2010-02-11,0.301
2010-02-12,0.308
2010-02-16,0.342
2010-02-17,0.336
2010-02-18,28.094
2010-02-19,29.177799
2010-02-22,0.337
2010-02-23,29.5112
2010-02-24,0.353
2010-02-25,0.354
2010-02-26,0.339
2010-03-01,26.6768
2010-03-02,26.8435
2010-03-03,0.32
2010-03-04,0.322
2010-03-05,0.269
2010-03-08,28.0177
2010-03-09,0.272
2010-03-10,0.29
2010-03-11,28.0107
2010-03-12,28.177401
2010-03-15,27.177
2010-03-16,0.42
2010-03-17,27.260401
2010-03-18,0.42
2010-03-19,28.761
2010-03-22,0.337
2010-03-23,28.5109
2010-03-24,0.344
2010-03-25,0.342
2010-03-26,0.335
2010-03-29,28.344101000000002
2010-03-30,29.261101
2010-03-31,0.34
2010-04-01,32.262299
2010-04-05,
2010-04-06,33.0126
2010-04-07,0.387
2010-04-08,0.396
2010-04-09,0.399
2010-04-12,35.171101
2010-04-13,0.383
2010-04-14,29.011
2010-04-15,0.343
2010-04-16,0.348
2010-04-19,0.378
2010-04-20,0.39
2010-04-21,30.7617
2010-04-22,30.0114
2010-04-23,0.369
2010-04-26,28.094
2010-04-27,0.337
2010-04-28,27.6772
2010-04-29,0.336
2010-04-30,26.926901
2010-05-03,25.7598
2010-05-04,0.323
2010-05-05,23.759001
2010-05-06,25.009501
2010-05-07,0.285
2010-05-10,0.3
2010-05-11,24.426001
2010-05-12,0.294
2010-05-13,24.092501000000002
2010-05-14,28.117001000000002
2010-05-17,0.289
2010-05-18,0.293
2010-05-19,0.268
2010-05-20,19.9242
2010-05-21,21.1623
2010-05-24,0.239
2010-05-25,21.2616
2010-05-26,19.257299
2010-05-27,0.218
2010-05-28,26.1299
2010-06-01,0.273
2010-06-02,0.28
2010-06-03,0.26
2010-06-04,21.424801000000002
2010-06-07,0.266
2010-06-08,19.7575
2010-06-09,0.243
2010-06-10,0.237
2010-06-11,0.232
2010-06-14,0.23
2010-06-15,0.284
2010-06-16,22.5086
2010-06-17,22.841998999999998
2010-06-18,0.27
2010-06-21,29.507998999999998
2010-06-22,0.299
2010-06-23,28.8125
2010-06-24,0.289
2010-06-25,0.28
2010-06-28,21.258101
2010-06-29,29.806
2010-06-30,21.1747
2010-07-01,19.424101
2010-07-02,19.507401
2010-07-06,19.090598999999997
2010-07-07,18.8405
2010-07-08,21.341499
2010-07-09,22.4252
2010-07-12,0.26
2010-07-13,0.25
2010-07-14,22.5919
2010-07-15,21.5916
2010-07-16,20.841299
2010-07-19,19.090598999999997
2010-07-20,18.0902
2010-07-21,19.424101
2010-07-22,22.341801
2010-07-23,20.5912
2010-07-26,22.056499
2010-07-27,22.3545
2010-07-28,19.174
2010-07-29,18.757099
2010-07-30,17.59
2010-08-02,18.3403
2010-08-03,17.840099
2010-08-04,18.173599
2010-08-05,21.361
2010-08-06,19.507401
2010-08-09,17.339899
2010-08-10,17.339899
2010-08-11,16.5063
2010-08-12,22.056499
2010-08-13,22.9506
2010-08-16,18.923901
2010-08-17,20.841299
2010-08-18,25.6332
2010-08-19,25.5338
2010-08-20,20.924601000000003
2010-08-23,20.841299
2010-08-24,22.5919
2010-08-25,21.5916
2010-08-26,26.1299
2010-08-27,24.1759
2010-08-30,24.1759
2010-08-31,24.1759
2010-09-01,23.4256
2010-09-02,23.342199
2010-09-03,23.4256
2010-09-07,30.998301
2010-09-08,26.760201000000002
2010-09-09,27.3437
2010-09-10,26.426701
2010-09-13,26.426701
2010-09-14,26.6768
2010-09-15,26.26
2010-09-16,25.5931
2010-09-17,25.509701
2010-09-20,0.307
2010-09-21,26.26
2010-09-22,26.760201000000002
2010-09-23,25.5931
2010-09-24,25.676399
2010-09-27,25.5931
2010-09-28,26.009899
2010-09-29,29.309299
2010-09-30,25.343
2010-10-01,25.092899
2010-10-04,26.3286
2010-10-05,24.926201000000002
2010-10-06,23.759001
2010-10-07,24.8428
2010-10-08,28.0177
2010-10-11,24.1759
2010-10-12,26.726101
2010-10-13,25.4345
2010-10-14,22.758699
2010-10-15,23.675698999999998
2010-10-18,22.5919
2010-10-19,26.527399
2010-10-20,22.1751
2010-10-21,22.341801
2010-10-22,22.0917
2010-10-25,21.5916
2010-10-26,25.5338
2010-10-27,23.5089
2010-10-28,22.675301
2010-10-29,22.0084
2010-11-01,22.5086
2010-11-02,24.0091
2010-11-03,24.6761
2010-11-04,28.6138
2010-11-05,24.8428
2010-11-08,24.926201000000002
2010-11-09,24.6761
2010-11-10,23.175501
2010-11-11,22.9254
2010-11-12,23.008801000000002
2010-11-15,23.4256
2010-11-16,22.9254
2010-11-17,0.281
2010-11-18,25.509701
2010-11-19,28.4151
2010-11-22,28.0177
2010-11-23,26.427999
2010-11-24,22.0917
2010-11-26,22.9254
2010-11-29,22.5919
2010-11-30,22.1751
2010-12-01,22.5919
2010-12-02,23.4256
2010-12-03,26.2293
2010-12-06,22.341801
2010-12-07,22.341801
2010-12-08,
2010-12-09,21.758301
2010-12-10,21.1747
2010-12-13,21.5916
2010-12-14,21.0914
2010-12-15,20.924601000000003
2010-12-16,20.924601000000003
2010-12-17,21.5082
2010-12-20,23.2589
2010-12-21,21.1747
2010-12-22,22.5919
2010-12-23,23.008801000000002
2010-12-27,21.758301
2010-12-28,21.758301
2010-12-29,21.6749
2010-12-30,21.924999
2010-12-31,
2011-01-03,27.123501
2011-01-04,26.924801000000002
2011-01-05,24.092501000000002
2011-01-06,25.1763
2011-01-07,23.4256
2011-01-10,22.5919
2011-01-11,25.6332
2011-01-12,22.0917
2011-01-13,25.9312
2011-01-14,25.9312
2011-01-18,22.841998999999998
2011-01-19,26.527399
2011-01-20,22.0084
2011-01-21,21.0914
2011-01-24,21.0914
2011-01-25,21.6749
2011-01-26,21.6749
2011-01-27,24.440901
2011-01-28,22.9506
2011-01-31,22.5532
2011-02-01,20.1744
2011-02-02,19.590799
2011-02-03,20.007601
2011-02-04,20.6745
2011-02-07,19.6742
2011-02-08,19.590799
2011-02-09,19.590799
2011-02-10,23.049999
2011-02-11,20.4244
2011-02-14,21.8417
2011-02-15,21.5082
2011-02-16,20.6745
2011-02-17,21.5916
2011-02-18,20.507799
2011-02-22,22.056499
2011-02-23,18.0902
2011-02-24,19.7575
2011-02-25,21.5597
2011-02-28,19.174
2011-03-01,21.659
2011-03-02,19.0072
2011-03-03,19.9242
2011-03-04,23.049999
2011-03-07,23.348
2011-03-08,20.841299
2011-03-09,20.841299
2011-03-10,19.174
2011-03-11,17.673401000000002
2011-03-14,20.3675
2011-03-15,15.9227
2011-03-16,14.9223
2011-03-17,16.5063
2011-03-18,16.839701
2011-03-21,19.1752
2011-03-22,17.9235
2011-03-23,17.0065
2011-03-24,20.864201
2011-03-25,17.506701
2011-03-28,19.9242
2011-03-29,19.7575
2011-03-30,20.2577
2011-03-31,23.546801000000002
2011-04-01,19.590799
2011-04-04,19.507401
2011-04-05,22.453899
2011-04-06,19.424101
2011-04-07,23.248699
2011-04-08,18.6738
2011-04-11,18.6738
2011-04-12,18.257
2011-04-13,17.840099
2011-04-14,18.257
2011-04-15,21.7584
2011-04-18,18.173599
2011-04-19,21.659
2011-04-20,18.507
2011-04-21,18.507
2011-04-25,
2011-04-26,18.4237
2011-04-27,18.590401
2011-04-28,22.056499
2011-04-29,21.2616
2011-05-02,17.339899
2011-05-03,16.5896
2011-05-04,16.256201
2011-05-05,17.840099
2011-05-06,22.056499
2011-05-09,18.8405
2011-05-10,18.590401
2011-05-11,18.3403
2011-05-12,16.5896
2011-05-13,19.572599
2011-05-16,19.274599
2011-05-17,16.673
2011-05-18,15.6726
2011-05-19,16.5896
2011-05-20,17.173201000000002
2011-05-23,16.756399
2011-05-24,15.8394
2011-05-25,18.7778
2011-05-26,14.0887
2011-05-27,16.0061
2011-05-31,17.4233
2011-06-01,17.840099
2011-06-02,18.281
2011-06-03,14.839
2011-06-06,14.1721
2011-06-07,13.7552
2011-06-08,13.7552
2011-06-09,13.3384
2011-06-10,13.8386
2011-06-13,13.8386
2011-06-14,13.5885
2011-06-15,13.6719
2011-06-16,14.0887
2011-06-17,14.0887
2011-06-20,14.0053
2011-06-21,13.922
2011-06-22,12.9216
2011-06-23,15.4991
2011-06-24,12.4214
2011-06-27,13.255
2011-06-28,11.0876
2011-06-29,12.0046
2011-06-30,15.6978
2011-07-01,13.0049
2011-07-05,12.6715
2011-07-06,13.4218
2011-07-07,14.5055
2011-07-08,15.1724
2011-07-11,17.7843
2011-07-12,14.0887
2011-07-13,15.9959
2011-07-14,14.2075
2011-07-15,12.0879
2011-07-18,12.0046
2011-07-19,12.0879
2011-07-20,14.9223
2011-07-21,13.922
2011-07-22,17.0888
2011-07-25,13.255
2011-07-26,13.922
2011-07-27,16.0952
2011-07-28,13.255
2011-07-29,13.1717
2011-08-01,17.8836
2011-08-02,14.1721
2011-08-03,13.3384
2011-08-04,12.5048
2011-08-05,14.3069
2011-08-08,9.92044
2011-08-09,14.2554
2011-08-10,14.1721
2011-08-11,13.0049
2011-08-12,13.0883
2011-08-15,15.0891
2011-08-16,12.1713
2011-08-17,12.8382
2011-08-18,12.4214
2011-08-19,11.8378
2011-08-22,12.5881
2011-08-23,15.0024
2011-08-24,14.6049
2011-08-25,14.0887
2011-08-26,12.1713
2011-08-29,12.2547
2011-08-30,12.338
2011-08-31,12.4214
2011-09-01,12.1713
2011-09-02,12.5881
2011-09-06,14.0088
2011-09-07,14.6722
2011-09-08,14.8037
2011-09-09,14.6049
2011-09-12,13.9095
2011-09-13,13.8101
2011-09-14,13.214
2011-09-15,12.8166
2011-09-16,13.6114
2011-09-19,11.3377
2011-09-20,11.0042
2011-09-21,10.0872
2011-09-22,9.67035
2011-09-23,9.42025
2011-09-26,8.50324
2011-09-27,9.170160000000001
2011-09-28,11.0282
2011-09-29,8.50324
2011-09-30,8.169780000000001
2011-10-03,7.58622
2011-10-04,7.58622
2011-10-05,8.7431
2011-10-06,8.25314
2011-10-07,10.4321
2011-10-10,8.00305
2011-10-11,8.33651
2011-10-12,8.00305
2011-10-13,8.08641
2011-10-14,9.43857
2011-10-17,9.5
2011-10-18,7.878480000000001
2011-10-19,8.54899
2011-10-20,8.12992
2011-10-21,8.80043
2011-10-24,12.5
2011-10-25,11.9
2011-10-26,12.1
2011-10-27,9.89001
2011-10-28,9.2195
2011-10-31,9.2195
2011-11-01,8.968060000000001
2011-11-02,10.1
2011-11-03,9.2
2011-11-04,7.9623
2011-11-07,7.71086
2011-11-08,10.0
2011-11-09,8.632810000000001
2011-11-10,8.21374
2011-11-11,9.89001
2011-11-14,7.9623
2011-11-15,8.8
2011-11-16,9.05187
2011-11-17,0.281
2011-11-18,0.281
2011-11-21,0.281
2011-11-22,0.281
2011-11-23,0.281
2011-11-25,0.281
2011-11-28,0.281
2011-11-29,0.281
2011-11-30,0.281
2011-12-01,0.281
2011-12-02,0.281
2011-12-05,0.281
2011-12-06,0.281
2011-12-07,0.281
2011-12-08,0.281
2011-12-09,0.281
2011-12-12,0.281
2011-12-13,0.281
2011-12-14,0.281
2011-12-15,0.281
2011-12-16,0.281
2011-12-19,0.281
2011-12-20,0.281
2011-12-21,0.281
2011-12-22,0.281
2011-12-23,0.281
2011-12-27,0.281
2011-12-28,0.281
2011-12-29,0.281
2011-12-30,0.281
2012-01-03,0.281
2012-01-04,0.281
2012-01-05,0.281
2012-01-06,0.281
2012-01-09,0.281
2012-01-10,0.281
2012-01-11,0.281
2012-01-12,0.281
2012-01-13,0.281
2012-01-17,0.281
2012-01-18,0.281
2012-01-19,0.281
2012-01-20,0.281
2012-01-23,0.281
2012-01-24,0.281
2012-01-25,0.281
2012-01-26,0.281
2012-01-27,0.281
2012-01-30,0.281
2012-01-31,0.281
2012-02-01,0.281
2012-02-02,0.281
2012-02-03,0.281
2012-02-06,0.281
2012-02-07,0.281
2012-02-08,0.281
2012-02-09,0.281
2012-02-10,0.281
2012-02-13,0.281
2012-02-14,0.281
2012-02-15,0.281
2012-02-16,0.281
2012-02-17,0.281
2012-02-21,0.281
2012-02-22,0.281
2012-02-23,0.281
2012-02-24,0.281
2012-02-27,0.281
2012-02-28,0.281
2012-02-29,0.281
2012-03-01,0.281
2012-03-02,0.281
2012-03-05,0.281
2012-03-06,0.281
2012-03-07,0.281
2012-03-08,0.281
2012-03-09,0.281
2012-03-12,0.281
2012-03-13,0.281
2012-03-14,0.281
2012-03-15,0.281
2012-03-16,0.281
2012-03-19,0.281
2012-03-20,0.281
2012-03-21,0.281
2012-03-22,0.281
2012-03-23,0.281
2012-03-26,0.281
2012-03-27,0.281
2012-03-28,0.281
2012-03-29,0.281
2012-03-30,0.281
2012-04-02,0.281
2012-04-03,0.281
2012-04-04,0.281
2012-04-05,0.281
2012-04-09,0.281
2012-04-10,0.281
2012-04-11,0.281
2012-04-12,0.281
2012-04-13,0.281
2012-04-16,0.281
2012-04-17,0.281
2012-04-18,0.281
2012-04-19,0.281
2012-04-20,0.281
2012-04-23,0.281
2012-04-24,0.281
2012-04-25,0.281
2012-04-26,0.281
2012-04-27,0.281
2012-04-30,0.281
2012-05-01,0.281
2012-05-02,0.281
2012-05-03,0.281
2012-05-04,0.281
2012-05-07,0.281
2012-05-08,0.281
2012-05-09,0.281
2012-05-10,0.281
2012-05-11,0.281
2012-05-14,0.281
2012-05-15,0.281
2012-05-16,0.281
2012-05-17,0.281
2012-05-18,0.281
2012-05-21,0.281
2012-05-22,0.281
2012-05-23,0.281
2012-05-24,0.281
2012-05-25,0.281
2012-05-29,0.281
2012-05-30,0.281
2012-05-31,0.281
2012-06-01,0.281
2012-06-04,0.281
2012-06-05,0.281
2012-06-06,0.281
2012-06-07,0.281
2012-06-08,0.281
2012-06-11,0.281
2012-06-12,0.281
2012-06-13,0.281
2012-06-14,0.281
2012-06-15,0.281
2012-06-18,0.281
2012-06-19,0.281
2012-06-20,0.281
2012-06-21,0.281
2012-06-22,0.281
2012-06-25,0.281
2012-06-26,0.281
2012-06-27,0.281
2012-06-28,0.281
2012-06-29,0.281
2012-07-02,0.281
2012-07-03,0.281
2012-07-05,0.281
2012-07-06,0.281
2012-07-09,0.281
2012-07-10,0.281
2012-07-11,0.281
2012-07-12,0.281
2012-07-13,0.281
2012-07-16,0.281
2012-07-17,0.281
2012-07-18,0.281
2012-07-19,0.281
2012-07-20,0.281
2012-07-23,0.281
2012-07-24,0.281
2012-07-25,0.281
2012-07-26,0.281
2012-07-27,0.281
2012-07-30,0.281
2012-07-31,0.281
2012-08-01,0.281
2012-08-02,0.281
2012-08-03,0.281
2012-08-06,0.281
2012-08-07,0.281
2012-08-08,0.281
2012-08-09,0.281
2012-08-10,0.281
2012-08-13,0.281
2012-08-14,0.281
2012-08-15,0.281
2012-08-16,0.281
2012-08-17,0.281
2012-08-20,0.281
2012-08-21,0.281
2012-08-22,0.281
2012-08-23,0.281
2012-08-24,0.281
2012-08-27,0.281
2012-08-28,0.281
2012-08-29,0.281
2012-08-30,0.281
2012-08-31,0.281
