Date,BNED
2015-12-22,9.66
2015-12-23,9.93
2015-12-24,10.16
2015-12-28,10.06
2015-12-29,10.13
2015-12-30,10.1
2015-12-31,9.95
2016-01-04,9.57
2016-01-05,9.62
2016-01-06,9.49
2016-01-07,9.14
2016-01-08,9.03
2016-01-11,8.93
2016-01-12,8.87
2016-01-13,8.73
2016-01-14,9.11
2016-01-15,9.14
2016-01-19,9.35
2016-01-20,9.63
2016-01-21,10.11
2016-01-22,10.36
2016-01-25,9.99
2016-01-26,10.1
2016-01-27,10.14
2016-01-28,10.62
2016-01-29,11.02
2016-02-01,11.0
2016-02-02,10.74
2016-02-03,10.26
2016-02-04,10.73
2016-02-05,10.45
2016-02-08,10.18
2016-02-09,9.98
2016-02-10,10.0
2016-02-11,9.91
2016-02-12,9.95
2016-02-16,10.2
2016-02-17,10.31
2016-02-18,10.38
2016-02-19,10.2
2016-02-22,10.59
2016-02-23,10.35
2016-02-24,10.42
2016-02-25,10.21
2016-02-26,10.4
2016-02-29,10.68
2016-03-01,10.94
2016-03-02,10.73
2016-03-03,10.8
2016-03-04,10.79
2016-03-07,11.39
2016-03-08,9.69
2016-03-09,9.71
2016-03-10,9.77
2016-03-11,9.93
2016-03-14,9.91
2016-03-15,9.77
2016-03-16,10.04
2016-03-17,9.97
2016-03-18,9.74
2016-03-21,9.8
2016-03-22,9.93
2016-03-23,9.55
2016-03-24,9.95
2016-03-28,9.5
2016-03-29,9.63
2016-03-30,9.76
2016-03-31,9.8
2016-04-01,9.58
2016-04-04,9.4
2016-04-05,9.25
2016-04-06,9.26
2016-04-07,8.92
2016-04-08,8.83
2016-04-11,8.81
2016-04-12,8.99
2016-04-13,9.47
2016-04-14,9.62
2016-04-15,9.62
2016-04-18,9.77
2016-04-19,9.77
2016-04-20,9.78
2016-04-21,9.97
2016-04-22,10.1
2016-04-25,9.85
2016-04-26,10.0
2016-04-27,9.99
2016-04-28,9.62
2016-04-29,9.36
2016-05-02,9.53
2016-05-03,9.33
2016-05-04,9.2
2016-05-05,9.19
2016-05-06,9.43
2016-05-09,9.41
2016-05-10,9.44
2016-05-11,8.78
2016-05-12,8.89
2016-05-13,8.86
2016-05-16,8.79
2016-05-17,8.69
2016-05-18,8.57
2016-05-19,8.69
2016-05-20,8.98
2016-05-23,8.95
2016-05-24,9.16
2016-05-25,9.42
2016-05-26,9.26
2016-05-27,9.32
2016-05-31,9.5
2016-06-01,9.9
2016-06-02,9.93
2016-06-03,9.66
2016-06-06,9.71
2016-06-07,9.83
2016-06-08,9.89
2016-06-09,9.71
2016-06-10,9.61
2016-06-13,9.55
2016-06-14,9.52
2016-06-15,9.74
2016-06-16,9.59
2016-06-17,9.72
2016-06-20,10.16
2016-06-21,10.1
2016-06-22,9.98
2016-06-23,10.29
2016-06-24,10.07
2016-06-27,9.59
2016-06-28,9.42
2016-06-29,9.95
2016-06-30,10.15
2016-07-01,10.51
2016-07-05,10.24
2016-07-06,10.49
2016-07-07,10.53
2016-07-08,10.9
2016-07-11,11.24
2016-07-12,11.45
2016-07-13,11.38
2016-07-14,11.55
2016-07-15,11.64
2016-07-18,11.81
2016-07-19,11.77
2016-07-20,11.66
2016-07-21,11.55
2016-07-22,11.61
2016-07-25,11.62
2016-07-26,11.66
2016-07-27,11.72
2016-07-28,11.58
2016-07-29,11.56
2016-08-01,11.6
2016-08-02,11.33
2016-08-03,11.39
2016-08-04,11.3
2016-08-05,11.64
2016-08-08,11.72
2016-08-09,11.83
2016-08-10,11.8
2016-08-11,11.94
2016-08-12,12.03
2016-08-15,12.03
2016-08-16,11.97
2016-08-17,11.37
2016-08-18,11.74
2016-08-19,11.49
2016-08-22,11.63
2016-08-23,11.56
2016-08-24,11.49
2016-08-25,11.37
2016-08-26,11.27
2016-08-29,11.25
2016-08-30,11.18
2016-08-31,11.19
2016-09-01,11.11
2016-09-02,11.31
2016-09-06,12.03
2016-09-07,12.24
2016-09-08,11.14
2016-09-09,10.56
2016-09-12,10.15
2016-09-13,9.84
2016-09-14,9.55
2016-09-15,9.75
2016-09-16,9.7
2016-09-19,9.66
2016-09-20,9.54
2016-09-21,9.58
2016-09-22,9.98
2016-09-23,9.84
2016-09-26,9.54
2016-09-27,9.56
2016-09-28,9.54
2016-09-29,9.29
2016-09-30,9.57
2016-10-03,9.46
2016-10-04,9.31
2016-10-05,9.42
2016-10-06,9.57
2016-10-07,9.38
2016-10-10,9.5
2016-10-11,9.64
2016-10-12,9.89
2016-10-13,9.62
2016-10-14,9.6
2016-10-17,9.35
2016-10-18,9.3
2016-10-19,9.46
2016-10-20,9.45
2016-10-21,9.6
2016-10-24,9.81
2016-10-25,9.62
2016-10-26,9.51
2016-10-27,9.28
2016-10-28,9.25
2016-10-31,9.31
2016-11-01,9.09
2016-11-02,8.87
2016-11-03,8.85
2016-11-04,8.75
2016-11-07,9.08
2016-11-08,9.22
2016-11-09,9.45
2016-11-10,9.96
2016-11-11,10.4
2016-11-14,10.48
2016-11-15,10.43
2016-11-16,10.55
2016-11-17,10.72
2016-11-18,10.97
2016-11-21,10.99
2016-11-22,11.31
2016-11-23,11.49
2016-11-25,11.66
2016-11-28,11.32
2016-11-29,11.57
2016-11-30,11.37
2016-12-01,11.36
2016-12-02,11.29
2016-12-05,11.59
2016-12-06,9.94
2016-12-07,10.95
2016-12-08,11.6
2016-12-09,11.99
2016-12-12,12.0
2016-12-13,12.22
2016-12-14,12.17
2016-12-15,12.39
2016-12-16,12.83
2016-12-19,12.83
2016-12-20,12.75
2016-12-21,12.51
2016-12-22,12.01
2016-12-23,11.84
2016-12-27,11.85
2016-12-28,11.91
2016-12-29,11.84
2016-12-30,11.47
2017-01-03,11.89
2017-01-04,12.14
2017-01-05,11.41
2017-01-06,11.34
2017-01-09,11.29
2017-01-10,11.58
2017-01-11,11.5
2017-01-12,11.31
2017-01-13,11.21
2017-01-17,11.47
2017-01-18,11.35
2017-01-19,10.8
2017-01-20,10.85
2017-01-23,10.61
2017-01-24,10.61
2017-01-25,10.97
2017-01-26,10.45
2017-01-27,10.15
2017-01-30,9.96
2017-01-31,10.05
2017-02-01,9.91
2017-02-02,9.89
2017-02-03,10.19
2017-02-06,9.91
2017-02-07,9.72
2017-02-08,9.75
2017-02-09,10.06
2017-02-10,10.22
2017-02-13,9.97
2017-02-14,10.04
2017-02-15,10.03
2017-02-16,9.89
2017-02-17,10.15
2017-02-21,10.24
2017-02-22,10.21
2017-02-23,9.95
2017-02-24,10.05
2017-02-27,10.11
2017-02-28,9.6
2017-03-01,10.15
2017-03-02,10.02
2017-03-03,9.71
2017-03-06,9.31
2017-03-07,9.17
2017-03-08,9.6
2017-03-09,9.46
2017-03-10,9.56
2017-03-13,9.38
2017-03-14,9.53
2017-03-15,9.59
2017-03-16,9.62
2017-03-17,9.77
2017-03-20,9.6
2017-03-21,9.39
2017-03-22,9.43
2017-03-23,9.56
2017-03-24,9.38
2017-03-27,9.5
2017-03-28,9.46
2017-03-29,9.84
2017-03-30,9.68
2017-03-31,9.59
2017-04-03,9.47
2017-04-04,9.38
2017-04-05,9.43
2017-04-06,9.48
2017-04-07,9.86
2017-04-10,9.92
2017-04-11,9.91
2017-04-12,9.66
2017-04-13,9.62
2017-04-17,9.72
2017-04-18,9.88
2017-04-19,10.12
2017-04-20,10.42
2017-04-21,10.3
2017-04-24,10.38
2017-04-25,10.38
2017-04-26,10.74
2017-04-27,10.64
2017-04-28,10.41
2017-05-01,10.34
2017-05-02,10.32
2017-05-03,10.3
2017-05-04,10.31
2017-05-05,10.29
2017-05-08,10.41
2017-05-09,10.33
2017-05-10,10.37
2017-05-11,10.16
2017-05-12,9.82
2017-05-15,9.52
2017-05-16,9.35
2017-05-17,9.1
2017-05-18,9.1
2017-05-19,9.14
2017-05-22,9.35
2017-05-23,9.25
2017-05-24,9.24
2017-05-25,9.47
2017-05-26,9.42
2017-05-30,9.42
2017-05-31,9.49
2017-06-01,9.96
2017-06-02,10.03
2017-06-05,9.94
2017-06-06,9.77
2017-06-07,9.59
2017-06-08,9.89
2017-06-09,10.23
2017-06-12,10.31
2017-06-13,10.22
2017-06-14,10.21
2017-06-15,10.14
2017-06-16,10.31
2017-06-19,10.22
2017-06-20,10.42
2017-06-21,10.36
2017-06-22,10.63
2017-06-23,11.0
2017-06-26,10.81
2017-06-27,10.76
2017-06-28,10.82
2017-06-29,10.73
2017-06-30,10.63
2017-07-03,10.76
2017-07-05,10.76
2017-07-06,10.18
2017-07-07,10.23
2017-07-10,9.67
2017-07-11,10.04
2017-07-12,8.89
2017-07-13,7.97
2017-07-14,7.76
2017-07-17,7.79
2017-07-18,7.85
2017-07-19,7.8
2017-07-20,7.91
2017-07-21,7.53
2017-07-24,7.19
2017-07-25,7.5
2017-07-26,7.55
2017-07-27,7.5
2017-07-28,7.42
2017-07-31,7.23
2017-08-01,7.2
2017-08-02,7.08
2017-08-03,7.1
2017-08-04,7.26
2017-08-07,7.04
2017-08-08,7.11
2017-08-09,6.92
2017-08-10,6.71
2017-08-11,6.84
2017-08-14,6.93
2017-08-15,6.68
2017-08-16,6.83
2017-08-17,6.79
2017-08-18,6.92
2017-08-21,6.83
2017-08-22,7.02
2017-08-23,6.79
2017-08-24,6.9
2017-08-25,6.98
2017-08-28,6.94
2017-08-29,6.82
2017-08-30,5.61
2017-08-31,5.18
2017-09-01,5.51
2017-09-05,5.22
2017-09-06,5.2
2017-09-07,5.32
2017-09-08,5.59
2017-09-11,5.5
2017-09-12,5.83
2017-09-13,5.89
2017-09-14,5.88
2017-09-15,6.28
2017-09-18,6.21
2017-09-19,5.87
2017-09-20,6.09
2017-09-21,6.09
2017-09-22,6.28
2017-09-25,6.49
2017-09-26,6.64
2017-09-27,6.54
2017-09-28,6.51
2017-09-29,6.51
2017-10-02,6.52
2017-10-03,6.61
2017-10-04,6.58
2017-10-05,6.74
2017-10-06,6.68
2017-10-09,6.42
2017-10-10,6.37
2017-10-11,6.28
2017-10-12,6.12
2017-10-13,6.19
2017-10-16,6.24
2017-10-17,6.48
2017-10-18,6.68
2017-10-19,6.55
2017-10-20,6.68
2017-10-23,6.55
2017-10-24,6.56
2017-10-25,6.61
2017-10-26,6.62
2017-10-27,6.46
2017-10-30,6.19
2017-10-31,5.45
2017-11-01,5.56
2017-11-02,5.26
2017-11-03,5.28
2017-11-06,5.3
2017-11-07,5.08
2017-11-08,5.1
2017-11-09,5.18
2017-11-10,5.28
2017-11-13,5.15
2017-11-14,5.19
2017-11-15,5.01
2017-11-16,5.4
2017-11-17,5.52
2017-11-20,5.66
2017-11-21,5.68
2017-11-22,5.62
2017-11-24,5.68
2017-11-27,5.59
2017-11-28,5.89
2017-11-29,6.34
2017-11-30,6.04
2017-12-01,6.09
2017-12-04,6.29
2017-12-05,7.73
2017-12-06,7.7
2017-12-07,7.96
2017-12-08,7.49
2017-12-11,7.82
2017-12-12,8.42
2017-12-13,8.25
2017-12-14,8.05
2017-12-15,8.28
2017-12-18,8.84
2017-12-19,8.36
2017-12-20,8.57
2017-12-21,8.5
2017-12-22,8.43
2017-12-26,8.42
2017-12-27,8.29
2017-12-28,8.35
2017-12-29,8.24
2018-01-02,8.48
2018-01-03,8.22
2018-01-04,8.1
2018-01-05,7.76
2018-01-08,7.65
2018-01-09,7.49
2018-01-10,7.55
2018-01-11,7.68
2018-01-12,7.63
2018-01-16,7.33
2018-01-17,7.38
2018-01-18,7.45
2018-01-19,7.7
2018-01-22,7.71
2018-01-23,7.53
2018-01-24,7.29
2018-01-25,7.17
2018-01-26,6.89
2018-01-29,6.85
2018-01-30,6.74
2018-01-31,6.65
2018-02-01,6.71
2018-02-02,6.3
2018-02-05,6.19
2018-02-06,6.34
2018-02-07,6.52
2018-02-08,6.5
2018-02-09,6.58
2018-02-12,6.5
2018-02-13,6.43
2018-02-14,6.63
2018-02-15,6.79
2018-02-16,6.94
2018-02-20,6.68
2018-02-21,6.84
2018-02-22,6.98
2018-02-23,7.37
2018-02-26,7.6
2018-02-27,7.58
2018-02-28,7.3
2018-03-01,7.35
2018-03-02,7.11
2018-03-05,7.2
2018-03-06,7.16
2018-03-07,7.25
2018-03-08,6.7
2018-03-09,6.55
2018-03-12,6.83
2018-03-13,6.86
2018-03-14,6.69
2018-03-15,6.65
2018-03-16,6.86
2018-03-19,6.84
2018-03-20,6.81
2018-03-21,6.78
2018-03-22,6.64
2018-03-23,6.44
2018-03-26,6.62
2018-03-27,6.63
2018-03-28,6.74
2018-03-29,6.89
2018-04-02,6.59
2018-04-03,6.73
2018-04-04,6.91
2018-04-05,7.05
2018-04-06,7.03
2018-04-09,7.0
2018-04-10,7.18
2018-04-11,7.21
2018-04-12,7.04
2018-04-13,6.95
2018-04-16,7.19
2018-04-17,7.42
2018-04-18,7.47
2018-04-19,7.4
2018-04-20,7.37
2018-04-23,7.4
2018-04-24,7.37
2018-04-25,7.36
2018-04-26,7.41
2018-04-27,7.42
2018-04-30,7.19
2018-05-01,7.08
2018-05-02,6.99
2018-05-03,6.83
2018-05-04,6.87
2018-05-07,6.54
2018-05-08,6.52
2018-05-09,6.25
2018-05-10,6.31
2018-05-11,6.32
2018-05-14,6.17
2018-05-15,6.03
2018-05-16,6.11
2018-05-17,6.14
2018-05-18,6.1
2018-05-21,6.17
2018-05-22,6.34
2018-05-23,6.48
2018-05-24,6.45
2018-05-25,6.39
2018-05-29,6.37
2018-05-30,6.42
2018-05-31,6.34
2018-06-01,6.38
2018-06-04,6.25
2018-06-05,6.45
2018-06-06,6.5
2018-06-07,6.57
2018-06-08,6.57
2018-06-11,6.59
2018-06-12,6.58
2018-06-13,6.52
2018-06-14,6.44
2018-06-15,6.46
2018-06-18,6.4
2018-06-19,6.49
2018-06-20,6.76
2018-06-21,7.66
2018-06-22,7.0
2018-06-25,6.52
2018-06-26,6.16
2018-06-27,6.1
2018-06-28,5.86
2018-06-29,5.64
2018-07-02,5.6
2018-07-03,5.37
2018-07-05,5.41
2018-07-06,5.4
2018-07-09,5.44
2018-07-10,5.4
2018-07-11,5.37
2018-07-12,5.4
2018-07-13,5.47
2018-07-16,5.46
2018-07-17,5.33
2018-07-18,5.34
2018-07-19,5.53
2018-07-20,5.37
2018-07-23,5.28
2018-07-24,5.65
2018-07-25,5.65
2018-07-26,5.4
2018-07-27,5.36
2018-07-30,5.59
2018-07-31,5.62
2018-08-01,5.6
2018-08-02,5.65
2018-08-03,5.82
2018-08-06,5.77
2018-08-07,5.83
2018-08-08,5.92
2018-08-09,6.16
2018-08-10,6.29
2018-08-13,6.16
2018-08-14,6.28
2018-08-15,6.23
2018-08-16,6.24
2018-08-17,6.42
2018-08-20,6.48
2018-08-21,6.35
2018-08-22,5.34
2018-08-23,5.44
2018-08-24,5.24
2018-08-27,5.07
2018-08-28,5.37
2018-08-29,5.91
2018-08-30,5.58
2018-08-31,5.98
2018-09-04,5.92
2018-09-05,6.0
2018-09-06,5.56
2018-09-07,5.69
2018-09-10,5.67
2018-09-11,5.65
2018-09-12,5.4
2018-09-13,5.4
2018-09-14,5.62
2018-09-17,5.44
2018-09-18,5.56
2018-09-19,5.65
2018-09-20,5.76
2018-09-21,5.7
2018-09-24,5.57
2018-09-25,5.44
2018-09-26,5.58
2018-09-27,5.67
2018-09-28,5.76
2018-10-01,5.6
2018-10-02,5.49
2018-10-03,5.5
2018-10-04,5.51
2018-10-05,5.61
2018-10-08,5.74
2018-10-09,5.88
2018-10-10,5.89
2018-10-11,5.88
2018-10-12,5.67
2018-10-15,5.76
2018-10-16,6.0
2018-10-17,6.31
2018-10-18,6.3
2018-10-19,6.29
2018-10-22,6.31
2018-10-23,6.11
2018-10-24,5.81
2018-10-25,5.98
2018-10-26,5.92
2018-10-29,5.81
2018-10-30,5.85
2018-10-31,5.71
2018-11-01,5.76
2018-11-02,6.05
2018-11-05,6.17
2018-11-06,6.18
2018-11-07,6.27
2018-11-08,6.33
2018-11-09,6.22
2018-11-12,6.17
2018-11-13,6.3
2018-11-14,6.28
2018-11-15,6.63
2018-11-16,6.67
2018-11-19,6.38
2018-11-20,6.36
2018-11-21,6.55
2018-11-23,6.63
2018-11-26,6.45
2018-11-27,6.55
2018-11-28,6.67
2018-11-29,6.66
2018-11-30,6.67
2018-12-03,6.45
2018-12-04,4.47
2018-12-06,4.8
2018-12-07,4.66
2018-12-10,4.86
2018-12-11,4.82
2018-12-12,4.6
2018-12-13,4.3
2018-12-14,4.22
2018-12-17,4.0
2018-12-18,4.11
2018-12-19,3.89
2018-12-20,3.82
2018-12-21,3.83
2018-12-24,3.69
2018-12-26,3.72
2018-12-27,3.83
2018-12-28,3.94
2018-12-31,4.01
2019-01-02,4.33
2019-01-03,4.21
2019-01-04,4.53
2019-01-07,4.6
2019-01-08,4.9
2019-01-09,4.73
2019-01-10,4.7
2019-01-11,5.11
2019-01-14,5.23
2019-01-15,5.17
2019-01-16,5.39
2019-01-17,5.16
2019-01-18,5.26
2019-01-22,5.37
2019-01-23,5.39
2019-01-24,5.59
2019-01-25,5.71
2019-01-28,5.69
2019-01-29,5.73
2019-01-30,5.71
2019-01-31,5.72
2019-02-01,5.6
2019-02-04,5.74
2019-02-05,5.7
2019-02-06,5.6
2019-02-07,5.63
2019-02-08,5.89
2019-02-11,5.93
2019-02-12,6.2
2019-02-13,6.38
2019-02-14,6.4
2019-02-15,6.41
2019-02-19,6.69
2019-02-20,6.99
2019-02-21,6.99
2019-02-22,7.31
2019-02-25,7.4
2019-02-26,7.39
2019-02-27,6.87
2019-02-28,6.89
2019-03-01,7.11
2019-03-04,6.84
2019-03-05,4.64
2019-03-06,4.44
2019-03-07,4.32
2019-03-08,4.23
2019-03-11,4.14
2019-03-12,4.39
2019-03-13,4.7
2019-03-14,4.58
2019-03-15,4.81
2019-03-18,4.92
2019-03-19,4.85
2019-03-20,4.83
2019-03-21,4.72
2019-03-22,4.55
2019-03-25,4.62
2019-03-26,4.44
2019-03-27,4.57
2019-03-28,4.6
2019-03-29,4.2
2019-04-01,4.4
2019-04-02,4.38
2019-04-03,4.53
2019-04-04,4.64
2019-04-05,4.76
2019-04-08,4.77
2019-04-09,4.59
2019-04-10,4.7
2019-04-11,4.67
2019-04-12,4.52
2019-04-15,4.48
2019-04-16,4.44
2019-04-17,4.36
2019-04-18,4.39
2019-04-22,4.2
2019-04-23,4.29
2019-04-24,4.45
2019-04-25,4.35
2019-04-26,4.4
2019-04-29,4.37
2019-04-30,4.3
2019-05-01,4.38
2019-05-02,4.11
2019-05-03,4.27
2019-05-06,4.24
2019-05-07,4.0
2019-05-08,4.09
2019-05-09,4.09
2019-05-10,4.06
2019-05-13,3.84
2019-05-14,3.95
2019-05-15,3.86
2019-05-16,3.71
2019-05-17,3.66
2019-05-20,3.5
2019-05-21,3.46
2019-05-22,3.48
2019-05-23,3.53
2019-05-24,3.39
2019-05-28,3.4
2019-05-29,3.36
2019-05-30,3.3
2019-05-31,3.17
2019-06-03,3.19
2019-06-04,3.18
2019-06-05,3.15
2019-06-06,3.05
2019-06-07,3.24
2019-06-10,3.31
2019-06-11,3.33
2019-06-12,3.3
2019-06-13,3.46
2019-06-14,3.4
2019-06-17,3.31
2019-06-18,3.3
2019-06-19,3.15
2019-06-20,3.08
2019-06-21,3.14
2019-06-24,2.98
2019-06-25,3.14
2019-06-26,3.59
2019-06-27,3.46
2019-06-28,3.36
2019-07-01,3.32
2019-07-02,3.15
2019-07-03,3.24
2019-07-05,3.39
2019-07-08,3.39
2019-07-09,3.36
2019-07-10,3.41
2019-07-11,3.51
2019-07-12,3.56
2019-07-15,3.96
2019-07-16,4.0
2019-07-17,4.11
2019-07-18,4.13
2019-07-19,4.1
2019-07-22,3.83
2019-07-23,3.64
2019-07-24,3.53
2019-07-25,3.48
2019-07-26,3.5
2019-07-29,3.44
2019-07-30,3.48
2019-07-31,3.5
2019-08-01,3.49
2019-08-02,3.39
2019-08-05,3.14
2019-08-06,3.17
2019-08-07,3.21
2019-08-08,3.23
2019-08-09,3.08
2019-08-12,2.94
2019-08-13,2.91
2019-08-14,3.05
2019-08-15,2.98
2019-08-16,3.2
2019-08-19,3.29
2019-08-20,3.33
2019-08-21,3.37
2019-08-22,3.32
2019-08-23,3.3
2019-08-26,3.42
2019-08-27,3.5
2019-08-28,3.59
2019-08-29,3.88
2019-08-30,3.9
2019-09-03,3.66
2019-09-04,3.7
2019-09-05,3.62
2019-09-06,3.67
2019-09-09,3.84
2019-09-10,4.09
2019-09-11,4.39
2019-09-12,4.52
2019-09-13,4.41
2019-09-16,4.02
2019-09-17,3.31
2019-09-18,3.25
2019-09-19,3.2
2019-09-20,3.12
2019-09-23,3.25
2019-09-24,3.3
2019-09-25,3.39
2019-09-26,3.15
2019-09-27,3.22
2019-09-30,3.12
2019-10-01,3.02
2019-10-02,2.96
2019-10-03,2.99
2019-10-04,3.17
2019-10-07,3.16
2019-10-08,3.21
2019-10-09,3.29
2019-10-10,3.14
2019-10-11,3.3
2019-10-14,3.43
2019-10-15,3.43
2019-10-16,3.44
2019-10-17,3.6
2019-10-18,3.73
2019-10-21,3.97
2019-10-22,4.13
2019-10-23,4.15
2019-10-24,4.12
2019-10-25,4.19
2019-10-28,4.19
2019-10-29,4.19
2019-10-30,4.19
2019-10-31,4.11
2019-11-01,3.91
2019-11-04,4.06
2019-11-05,4.2
2019-11-06,4.16
2019-11-07,4.31
2019-11-08,4.32
2019-11-11,4.23
2019-11-12,4.34
2019-11-13,4.26
2019-11-14,4.37
2019-11-15,4.65
2019-11-18,4.72
2019-11-19,4.72
2019-11-20,4.44
2019-11-21,4.39
2019-11-22,4.4
2019-11-25,4.91
2019-11-26,5.0
2019-11-27,4.9
2019-11-29,5.04
2019-12-02,4.86
2019-12-03,4.8
2019-12-04,3.8
2019-12-05,3.88
2019-12-06,4.07
2019-12-09,4.34
2019-12-10,4.37
2019-12-11,4.37
2019-12-12,4.47
2019-12-13,4.24
2019-12-16,4.35
2019-12-17,4.65
2019-12-18,4.61
2019-12-19,4.4
2019-12-20,4.28
2019-12-23,4.18
2019-12-24,4.17
2019-12-26,4.19
2019-12-27,4.17
2019-12-30,4.2
2019-12-31,4.27
2020-01-02,4.05
2020-01-03,3.89
2020-01-06,4.35
2020-01-07,4.12
2020-01-08,3.9
2020-01-09,3.83
2020-01-10,3.72
2020-01-13,3.72
2020-01-14,3.76
2020-01-15,3.73
2020-01-16,3.91
2020-01-17,3.92
2020-01-21,3.86
2020-01-22,3.78
2020-01-23,3.85
2020-01-24,3.69
2020-01-27,3.58
2020-01-28,3.58
2020-01-29,3.28
2020-01-30,3.39
2020-01-31,3.44
2020-02-03,3.35
2020-02-04,3.29
2020-02-05,3.43
2020-02-06,3.59
2020-02-07,3.39
2020-02-10,3.73
2020-02-11,3.94
2020-02-12,3.63
2020-02-13,3.71
2020-02-14,3.79
2020-02-18,3.75
2020-02-19,3.77
2020-02-20,3.85
2020-02-21,3.68
2020-02-24,3.76
2020-02-25,3.74
2020-02-26,3.5
2020-02-27,3.29
2020-02-28,3.31
2020-03-02,3.39
2020-03-03,3.15
2020-03-04,3.67
2020-03-05,3.67
2020-03-06,3.36
2020-03-09,3.01
2020-03-10,3.15
2020-03-11,2.76
2020-03-12,2.51
2020-03-13,2.3
2020-03-16,1.62
2020-03-17,1.79
2020-03-18,1.52
2020-03-19,1.55
2020-03-20,1.39
2020-03-23,1.55
2020-03-24,1.62
2020-03-25,1.53
2020-03-26,1.73
2020-03-27,1.53
2020-03-30,1.38
2020-03-31,1.36
2020-04-01,1.22
2020-04-02,1.21
2020-04-03,1.15
2020-04-06,1.52
2020-04-07,1.55
2020-04-08,1.57
2020-04-09,2.21
2020-04-13,2.11
2020-04-14,2.12
2020-04-15,1.87
2020-04-16,2.01
2020-04-17,1.91
2020-04-20,1.91
2020-04-21,1.76
2020-04-22,1.85
2020-04-23,1.72
2020-04-24,1.67
2020-04-27,1.66
2020-04-28,1.74
2020-04-29,1.95
2020-04-30,1.79
2020-05-01,1.69
2020-05-04,1.65
2020-05-05,1.6
2020-05-06,1.56
2020-05-07,1.52
2020-05-08,1.61
