Date,CHRS
2018-01-18,11.4
2018-01-19,10.75
2018-01-22,11.5
2018-01-23,11.95
2018-01-24,11.65
2018-01-25,12.1
2018-01-26,12.1
2018-01-29,12.05
2018-01-30,10.975
2018-01-31,10.1
2018-02-01,10.05
2018-02-02,9.95
2018-02-05,9.55
2018-02-06,10.05
2018-02-07,9.9
2018-02-08,9.4
2018-02-09,9.45
2018-02-12,9.75
2018-02-13,9.65
2018-02-14,9.8
2018-02-15,9.7
2018-02-16,9.55
2018-02-20,9.1
2018-02-21,9.15
2018-02-22,9.15
2018-02-23,9.55
2018-02-26,10.25
2018-02-27,10.5
2018-02-28,9.9
2018-03-01,9.8
2018-03-02,10.05
2018-03-05,10.45
2018-03-06,9.6
2018-03-07,9.2
2018-03-08,9.1
2018-03-09,11.85
2018-03-12,12.45
2018-03-13,12.45
2018-03-14,12.25
2018-03-15,12.15
2018-03-16,12.5
2018-03-19,12.1
2018-03-20,12.0
2018-03-21,11.85
2018-03-22,11.4
2018-03-23,11.15
2018-03-26,11.05
2018-03-27,10.95
2018-03-28,11.2
2018-03-29,11.05
2018-04-02,10.25
2018-04-03,10.9
2018-04-04,11.85
2018-04-05,11.65
2018-04-06,11.4
2018-04-09,11.2
2018-04-10,11.95
2018-04-11,12.4
2018-04-12,12.8
2018-04-13,12.7
2018-04-16,12.75
2018-04-17,13.0
2018-04-18,12.55
2018-04-19,12.05
2018-04-20,11.9
2018-04-23,11.8
2018-04-24,11.45
2018-04-25,11.65
2018-04-26,11.85
2018-04-27,12.275
2018-04-30,12.1
2018-05-01,12.15
2018-05-02,12.7
2018-05-03,14.9
2018-05-04,15.2
2018-05-07,15.5
2018-05-08,15.25
2018-05-09,15.6
2018-05-10,14.95
2018-05-11,16.5
2018-05-14,16.75
2018-05-15,16.299999
2018-05-16,16.1
2018-05-17,15.95
2018-05-18,15.5
2018-05-21,15.25
2018-05-22,15.4
2018-05-23,15.3
2018-05-24,15.6
2018-05-25,15.3
2018-05-29,15.2
2018-05-30,15.5
2018-05-31,15.6
2018-06-01,15.6
2018-06-04,15.2
2018-06-05,16.049999
2018-06-06,15.65
2018-06-07,16.450001
2018-06-08,15.875
2018-06-11,16.0
2018-06-12,16.35
2018-06-13,15.65
2018-06-14,15.1
2018-06-15,14.8
2018-06-18,15.25
