Date,RTH
2002-09-16,27.666665999999996
2002-09-17,27.033333000000002
2002-09-18,27.006666
2002-09-19,26.383333
2002-09-20,26.290001
2002-09-23,25.516666
2002-09-24,24.9
2002-09-25,25.15
2002-09-26,25.953332999999997
2002-09-27,24.799999
2002-09-30,23.673334
2002-10-01,24.26
2002-10-02,23.73
2002-10-03,23.316668
2002-10-04,23.513334
2002-10-07,22.496666
2002-10-08,23.466667
2002-10-09,22.426666
2002-10-10,22.860001
2002-10-11,24.0
2002-10-14,24.383333
2002-10-15,25.666666
2002-10-16,25.333334
2002-10-17,24.996666
2002-10-18,25.613332999999997
2002-10-21,25.783333
2002-10-22,25.466667
2002-10-23,26.0
2002-10-24,25.723333
2002-10-25,26.166666
2002-10-28,25.713333
2002-10-29,25.966667
2002-10-30,25.32
2002-10-31,24.866667
2002-11-01,25.143333
2002-11-04,24.450001
2002-11-05,24.85
2002-11-06,24.883333
2002-11-07,24.58
2002-11-08,24.166666
2002-11-11,23.716667
2002-11-12,24.0
2002-11-13,24.266666
2002-11-14,25.083334
2002-11-15,25.366667
2002-11-18,24.833334
2002-11-19,24.799999
2002-11-20,24.450001
2002-11-21,24.696667
2002-11-22,24.756666
2002-11-25,24.883333
2002-11-26,24.633333
2002-11-27,25.466667
2002-11-29,25.396667
2002-12-02,25.433332
2002-12-03,24.973333
2002-12-04,25.183332
2002-12-05,24.766666
2002-12-06,24.73
2002-12-09,24.233334
2002-12-10,24.700001
2002-12-11,24.383333
2002-12-12,24.433332
2002-12-13,23.866667
2002-12-16,24.383333
2002-12-17,23.809998999999998
2002-12-18,23.546667000000003
2002-12-19,23.316668
2002-12-20,23.553333
2002-12-23,23.066668
2002-12-24,22.883333
2002-12-26,22.946667
2002-12-27,22.713333
2002-12-30,23.166666
2002-12-31,23.266666
2003-01-02,24.0
2003-01-03,23.166666
2003-01-06,23.280001000000002
2003-01-07,23.313334
2003-01-08,23.133333
2003-01-09,23.950001
2003-01-10,23.9
2003-01-13,23.966667
2003-01-14,23.933332
2003-01-15,23.656666
2003-01-16,23.733334
2003-01-17,23.516666
2003-01-21,22.92
2003-01-22,22.613332999999997
2003-01-23,22.950001
2003-01-24,22.273332999999997
2003-01-27,21.926666
2003-01-28,22.16
2003-01-29,22.203332999999997
2003-01-30,21.933332
2003-01-31,22.076666
2003-02-03,22.299999
2003-02-04,22.016666
2003-02-05,21.926666
2003-02-06,21.866667
2003-02-07,21.549999
2003-02-10,21.633333
2003-02-11,21.566668
2003-02-12,21.549999
2003-02-13,21.299999
2003-02-14,21.906666
2003-02-18,22.266666
