Date,SE
2019-02-22,15.99
2019-02-25,15.9
2019-02-26,16.200001
2019-02-27,21.860001
2019-02-28,21.5
2019-03-01,23.200001
2019-03-04,23.01
2019-03-05,24.059998999999998
2019-03-06,22.879998999999998
2019-03-07,23.440001000000002
2019-03-08,23.700001
2019-03-11,23.32
2019-03-12,23.1
2019-03-13,22.879998999999998
2019-03-14,22.9
2019-03-15,23.51
2019-03-18,24.219998999999998
2019-03-19,24.040001
2019-03-20,24.370001000000002
2019-03-21,24.65
2019-03-22,24.15
2019-03-25,23.969998999999998
2019-03-26,24.360001
2019-03-27,23.799999
2019-03-28,23.530001000000002
2019-03-29,23.52
2019-04-01,23.35
2019-04-02,23.299999
2019-04-03,23.309998999999998
2019-04-04,22.0
2019-04-05,23.0
2019-04-08,22.35
2019-04-09,22.1
2019-04-10,22.52
2019-04-11,23.41
2019-04-12,23.629998999999998
2019-04-15,23.65
2019-04-16,23.450001
2019-04-17,22.85
2019-04-18,22.969998999999998
2019-04-22,23.68
2019-04-23,24.42
2019-04-24,24.5
2019-04-25,24.35
2019-04-26,25.549999
2019-04-29,25.360001
2019-04-30,24.889999
2019-05-01,24.969998999999998
2019-05-02,24.700001
2019-05-03,25.200001
2019-05-06,25.190001000000002
2019-05-07,24.299999
2019-05-08,24.59
2019-05-09,24.74
2019-05-10,25.690001000000002
2019-05-13,24.379998999999998
2019-05-14,24.92
2019-05-15,25.6
2019-05-16,26.93
2019-05-17,26.67
2019-05-20,25.799999
2019-05-21,25.389999
2019-05-22,31.5
2019-05-23,30.59
2019-05-24,29.99
2019-05-28,29.190001000000002
2019-05-29,28.33
2019-05-30,28.370001000000002
2019-05-31,28.440001000000002
2019-06-03,27.969998999999998
2019-06-04,28.73
2019-06-05,29.23
2019-06-06,29.74
2019-06-07,30.85
2019-06-10,30.799999
2019-06-11,30.49
2019-06-12,31.219998999999998
2019-06-13,30.76
2019-06-14,29.959999
2019-06-17,29.950001
2019-06-18,31.26
2019-06-19,31.49
2019-06-20,32.299999
2019-06-21,34.450001
2019-06-24,34.189999
2019-06-25,33.419998
2019-06-26,33.810001
2019-06-27,33.77
2019-06-28,33.220001
2019-07-01,34.27
2019-07-02,35.139998999999996
2019-07-03,35.689999
2019-07-05,35.709998999999996
2019-07-08,35.360001000000004
2019-07-09,35.57
2019-07-10,36.080002
2019-07-11,36.0
2019-07-12,35.169998
2019-07-15,35.169998
2019-07-16,35.209998999999996
2019-07-17,34.310001
2019-07-18,34.419998
2019-07-19,34.650002
2019-07-22,35.25
2019-07-23,35.07
2019-07-24,35.82
2019-07-25,36.380001
2019-07-26,37.389998999999996
2019-07-29,36.73
2019-07-30,35.709998999999996
2019-07-31,35.099998
2019-08-01,35.290001000000004
2019-08-02,37.709998999999996
2019-08-05,34.02
2019-08-06,33.939999
2019-08-07,34.52
2019-08-08,35.580002
2019-08-09,34.689999
2019-08-12,34.02
2019-08-13,34.619999
2019-08-14,33.380001
2019-08-15,34.389998999999996
2019-08-16,35.419998
2019-08-19,36.099998
2019-08-20,33.0
2019-08-21,31.889999
2019-08-22,32.220001
2019-08-23,30.870001000000002
2019-08-26,31.719998999999998
2019-08-27,31.889999
2019-08-28,32.290001000000004
2019-08-29,32.419998
2019-08-30,32.119999
2019-09-03,30.879998999999998
2019-09-04,31.91
2019-09-05,31.6
2019-09-06,31.610001
2019-09-09,30.040001
2019-09-10,30.34
2019-09-11,31.18
2019-09-12,31.33
2019-09-13,31.030001000000002
2019-09-16,30.92
2019-09-17,30.870001000000002
2019-09-18,31.1
2019-09-19,31.950001
2019-09-20,32.27
2019-09-23,32.439999
2019-09-24,31.26
2019-09-25,32.439999
2019-09-26,32.470001
2019-09-27,30.42
2019-09-30,30.950001
2019-10-01,31.290001
2019-10-02,30.07
2019-10-03,31.15
2019-10-04,31.0
2019-10-07,30.540001
2019-10-08,27.85
2019-10-09,28.620001000000002
2019-10-10,27.85
2019-10-11,27.92
2019-10-14,27.5
2019-10-15,28.280001000000002
2019-10-16,28.09
2019-10-17,27.83
2019-10-18,26.98
2019-10-21,27.23
2019-10-22,26.700001
2019-10-23,27.26
2019-10-24,28.049999
2019-10-25,28.5
2019-10-28,29.120001000000002
2019-10-29,29.35
2019-10-30,29.790001
2019-10-31,29.76
2019-11-01,29.9
2019-11-04,30.889999
2019-11-05,30.549999
2019-11-06,30.65
2019-11-07,30.950001
2019-11-08,31.700001
2019-11-11,31.0
2019-11-12,36.759997999999996
2019-11-13,35.18
2019-11-14,36.919998
2019-11-15,36.380001
2019-11-18,36.630001
2019-11-19,37.009997999999996
2019-11-20,37.27
2019-11-21,37.220001
2019-11-22,37.27
2019-11-25,37.349998
2019-11-26,37.75
2019-11-27,37.779999
2019-11-29,37.040001000000004
2019-12-02,36.57
2019-12-03,36.77
2019-12-04,37.09
2019-12-05,37.84
2019-12-06,37.810001
2019-12-09,36.740002000000004
2019-12-10,36.630001
2019-12-11,36.77
2019-12-12,37.299999
2019-12-13,36.799999
2019-12-16,38.0
2019-12-17,38.0
2019-12-18,37.610001000000004
2019-12-19,38.82
2019-12-20,39.009997999999996
2019-12-23,38.849998
2019-12-24,39.119999
2019-12-26,39.080002
2019-12-27,39.299999
2019-12-30,39.209998999999996
2019-12-31,40.220001
2020-01-02,40.040001000000004
2020-01-03,40.490002000000004
2020-01-06,40.48
2020-01-07,41.009997999999996
2020-01-08,40.16
2020-01-09,40.529999
2020-01-10,39.580002
2020-01-13,40.02
2020-01-14,39.939999
2020-01-15,40.419998
2020-01-16,40.959998999999996
2020-01-17,41.279999
2020-01-21,41.310001
2020-01-22,44.360001000000004
2020-01-23,44.75
2020-01-24,45.330002
2020-01-27,44.349998
2020-01-28,45.029999
2020-01-29,45.139998999999996
2020-01-30,45.59
2020-01-31,45.240002000000004
2020-02-03,46.369999
2020-02-04,46.82
2020-02-05,45.810001
2020-02-06,45.720001
2020-02-07,46.200001
2020-02-10,45.16
2020-02-11,46.34
2020-02-12,46.93
2020-02-13,47.950001
2020-02-14,48.490002000000004
2020-02-18,49.84
2020-02-19,51.200001
2020-02-20,52.5
2020-02-21,51.849998
2020-02-24,48.200001
2020-02-25,46.700001
2020-02-26,46.419998
2020-02-27,45.07
2020-02-28,45.060001
2020-03-02,48.040001000000004
2020-03-03,48.950001
2020-03-04,52.52
2020-03-05,52.560001
2020-03-06,50.349998
2020-03-09,45.91
2020-03-10,50.689999
2020-03-11,48.02
2020-03-12,41.630001
2020-03-13,44.509997999999996
2020-03-16,41.080002
2020-03-17,44.259997999999996
2020-03-18,41.959998999999996
2020-03-19,39.700001
2020-03-20,38.0
2020-03-23,38.450001
2020-03-24,42.84
2020-03-25,44.040001000000004
2020-03-26,45.740002000000004
2020-03-27,43.93
2020-03-30,44.459998999999996
2020-03-31,44.310001
2020-04-01,43.169998
2020-04-02,44.580002
2020-04-03,42.099998
2020-04-06,44.799999
2020-04-07,45.220001
2020-04-08,45.450001
2020-04-09,45.07
2020-04-13,46.990002000000004
2020-04-14,50.220001
2020-04-15,49.779999
2020-04-16,53.950001
2020-04-17,53.02
2020-04-20,54.220001
2020-04-21,51.98
2020-04-22,54.040001000000004
2020-04-23,53.630001
2020-04-24,54.389998999999996
2020-04-27,55.34
2020-04-28,53.299999
2020-04-29,55.52
2020-04-30,55.580002
2020-05-01,54.779999
2020-05-04,55.23
2020-05-05,57.93
2020-05-06,61.689999
2020-05-07,60.369999
2020-05-08,62.490002000000004
