Date,TBIO
2019-03-11,7.76
2019-03-12,7.62
2019-03-13,7.88
2019-03-14,7.88
2019-03-15,8.3
2019-03-18,9.61
2019-03-19,10.03
2019-03-20,9.6
2019-03-21,9.92
2019-03-22,8.96
2019-03-25,9.06
2019-03-26,9.36
2019-03-27,9.32
2019-03-28,9.85
2019-03-29,10.19
2019-04-01,12.77
2019-04-02,11.68
2019-04-03,12.21
2019-04-04,11.81
2019-04-05,12.95
2019-04-08,13.12
2019-04-09,12.71
2019-04-10,12.36
2019-04-11,11.97
2019-04-12,11.9
2019-04-15,11.34
2019-04-16,11.23
2019-04-17,10.34
2019-04-18,9.99
2019-04-22,9.88
2019-04-23,9.75
2019-04-24,9.4
2019-04-25,9.26
2019-04-26,9.94
2019-04-29,9.94
2019-04-30,9.7
2019-05-01,9.37
2019-05-02,9.35
2019-05-03,9.36
2019-05-06,9.31
2019-05-07,9.13
2019-05-08,9.33
2019-05-09,9.27
2019-05-10,9.54
2019-05-13,9.28
2019-05-14,10.27
2019-05-15,10.42
2019-05-16,10.55
2019-05-17,10.02
2019-05-20,8.87
2019-05-21,9.4
2019-05-22,9.04
2019-05-23,9.22
2019-05-24,9.2
2019-05-28,9.96
2019-05-29,10.15
2019-05-30,10.99
2019-05-31,10.48
2019-06-03,9.51
2019-06-04,9.29
2019-06-05,9.34
2019-06-06,9.3
2019-06-07,9.79
2019-06-10,10.09
2019-06-11,10.05
2019-06-12,10.1
2019-06-13,10.08
2019-06-14,10.03
2019-06-17,10.08
2019-06-18,10.2
2019-06-19,11.22
2019-06-20,12.36
2019-06-21,12.56
2019-06-24,12.54
2019-06-25,12.43
2019-06-26,12.96
2019-06-27,12.86
2019-06-28,12.63
2019-07-01,12.09
2019-07-02,11.59
2019-07-03,11.89
2019-07-05,11.51
2019-07-08,10.74
2019-07-09,10.64
2019-07-10,10.32
2019-07-11,9.81
2019-07-12,10.15
2019-07-15,9.81
2019-07-16,9.73
2019-07-17,9.72
2019-07-18,9.6
2019-07-19,9.28
2019-07-22,9.62
2019-07-23,8.98
2019-07-24,8.9
2019-07-25,8.16
2019-07-26,8.38
2019-07-29,8.94
2019-07-30,9.01
2019-07-31,8.02
2019-08-01,8.03
2019-08-02,8.31
2019-08-05,8.1
2019-08-06,8.12
2019-08-07,8.06
2019-08-08,8.1
2019-08-09,8.14
2019-08-12,8.0
2019-08-13,8.24
2019-08-14,8.0
2019-08-15,7.94
2019-08-16,8.13
2019-08-19,8.14
2019-08-20,8.69
2019-08-21,8.72
2019-08-22,8.41
2019-08-23,8.34
2019-08-26,8.75
2019-08-27,8.73
2019-08-28,8.86
2019-08-29,9.24
2019-08-30,9.08
2019-09-03,9.44
2019-09-04,9.94
2019-09-05,10.05
2019-09-06,10.13
2019-09-09,9.98
2019-09-10,9.81
2019-09-11,10.27
2019-09-12,10.41
2019-09-13,10.58
2019-09-16,10.58
2019-09-17,10.99
2019-09-18,10.01
2019-09-19,10.1
2019-09-20,10.08
2019-09-23,10.45
2019-09-24,10.27
2019-09-25,10.07
2019-09-26,10.14
2019-09-27,10.06
2019-09-30,9.91
2019-10-01,9.91
2019-10-02,9.92
2019-10-03,9.82
2019-10-04,9.83
2019-10-07,9.8
2019-10-08,9.8
2019-10-09,9.69
2019-10-10,8.96
2019-10-11,8.11
2019-10-14,8.01
2019-10-15,8.35
2019-10-16,8.54
2019-10-17,8.77
2019-10-18,8.34
2019-10-21,8.77
2019-10-22,8.81
2019-10-23,8.99
2019-10-24,8.64
2019-10-25,8.93
2019-10-28,9.29
2019-10-29,9.23
2019-10-30,9.02
2019-10-31,9.145
2019-11-01,9.44
2019-11-04,9.47
2019-11-05,9.7
2019-11-06,9.35
2019-11-07,9.75
2019-11-08,9.41
2019-11-11,9.58
2019-11-12,9.42
2019-11-13,9.31
2019-11-14,9.16
2019-11-15,9.41
2019-11-18,9.63
2019-11-19,10.65
2019-11-20,11.0
2019-11-21,10.71
2019-11-22,9.82
2019-11-25,10.1
2019-11-26,9.46
2019-11-27,9.97
2019-11-29,10.05
2019-12-02,9.81
2019-12-03,10.0
2019-12-04,9.94
2019-12-05,9.71
2019-12-06,9.99
2019-12-09,8.68
2019-12-10,8.32
2019-12-11,8.46
2019-12-12,8.91
2019-12-13,8.64
2019-12-16,8.9
2019-12-17,8.64
2019-12-18,8.65
2019-12-19,8.41
2019-12-20,8.42
2019-12-23,8.81
2019-12-24,8.96
2019-12-26,8.52
2019-12-27,8.16
2019-12-30,8.36
2019-12-31,8.14
2020-01-02,7.9
2020-01-03,7.5
2020-01-06,7.44
2020-01-07,7.55
2020-01-08,7.72
2020-01-09,8.16
2020-01-10,7.9
2020-01-13,7.64
2020-01-14,7.85
2020-01-15,8.55
2020-01-16,8.34
2020-01-17,8.04
2020-01-21,8.07
2020-01-22,8.35
2020-01-23,8.7
2020-01-24,8.05
2020-01-27,7.89
2020-01-28,7.84
2020-01-29,7.71
2020-01-30,7.53
2020-01-31,7.17
2020-02-03,7.01
2020-02-04,7.3
2020-02-05,7.61
2020-02-06,7.72
2020-02-07,7.51
2020-02-10,7.88
2020-02-11,7.95
2020-02-12,7.89
2020-02-13,8.0
2020-02-14,7.84
2020-02-18,7.99
2020-02-19,8.02
2020-02-20,7.89
2020-02-21,7.89
2020-02-24,7.35
2020-02-25,7.28
2020-02-26,7.24
2020-02-27,7.25
2020-02-28,7.58
2020-03-02,7.75
2020-03-03,7.66
2020-03-04,7.88
2020-03-05,7.77
2020-03-06,7.4
2020-03-09,7.36
2020-03-10,7.32
2020-03-11,7.43
2020-03-12,8.09
2020-03-13,8.93
2020-03-16,9.02
2020-03-17,9.9
2020-03-18,8.92
2020-03-19,9.0
2020-03-20,9.77
2020-03-23,10.29
2020-03-24,9.85
2020-03-25,9.96
2020-03-26,10.25
2020-03-27,10.81
2020-03-30,11.48
2020-03-31,9.97
2020-04-01,8.33
2020-04-02,9.09
2020-04-03,9.53
2020-04-06,10.32
2020-04-07,10.28
2020-04-08,9.91
2020-04-09,10.5
2020-04-13,10.47
2020-04-14,10.24
2020-04-15,10.03
2020-04-16,9.9
2020-04-17,10.11
2020-04-20,9.96
2020-04-21,9.75
2020-04-22,10.13
2020-04-23,10.31
2020-04-24,12.74
2020-04-27,14.52
2020-04-28,14.4
2020-04-29,13.11
2020-04-30,12.84
2020-05-01,13.23
2020-05-04,13.6
2020-05-05,13.3
2020-05-06,13.52
2020-05-07,13.11
2020-05-08,14.5
