Date,BPY
2015-05-05,22.540001
2015-05-06,22.879998999999998
2015-05-07,23.299999
2015-05-08,23.43
2015-05-11,23.41
2015-05-12,23.25
2015-05-13,23.42
2015-05-14,23.610001
2015-05-15,23.690001000000002
2015-05-18,23.389999
2015-05-19,23.27
2015-05-20,23.200001
2015-05-21,23.33
2015-05-22,23.139999
2015-05-26,22.82
2015-05-27,22.59
2015-05-28,22.860001
2015-05-29,23.01
2015-06-01,23.01
2015-06-02,22.82
2015-06-03,22.610001
2015-06-04,22.129998999999998
2015-06-05,22.290001
2015-06-08,22.4
2015-06-09,22.48
2015-06-10,22.59
2015-06-11,22.52
2015-06-12,22.719998999999998
2015-06-15,22.92
2015-06-16,22.870001000000002
2015-06-17,22.870001000000002
2015-06-18,23.08
2015-06-19,22.84
2015-06-22,22.700001
2015-06-23,22.309998999999998
2015-06-24,22.08
2015-06-25,22.5
2015-06-26,22.379998999999998
2015-06-29,22.040001
2015-06-30,22.049999
2015-07-01,22.01
2015-07-02,22.26
2015-07-06,22.389999
2015-07-07,22.389999
2015-07-08,22.34
2015-07-09,22.120001000000002
2015-07-10,22.25
2015-07-13,21.9
2015-07-14,21.67
2015-07-15,21.549999
2015-07-16,21.469998999999998
2015-07-17,21.32
2015-07-20,21.33
2015-07-21,21.450001
2015-07-22,21.65
2015-07-23,21.530001000000002
2015-07-24,21.15
2015-07-27,20.459999
2015-07-28,20.469998999999998
2015-07-29,20.65
2015-07-30,20.52
2015-07-31,20.379998999999998
2015-08-03,20.25
2015-08-04,21.219998999999998
2015-08-05,22.35
2015-08-06,22.18
2015-08-07,22.389999
2015-08-10,22.6
2015-08-11,22.82
2015-08-12,23.0
2015-08-13,22.629998999999998
2015-08-14,22.43
2015-08-17,22.34
2015-08-18,22.23
2015-08-19,22.17
2015-08-20,22.110001
2015-08-21,21.4
2015-08-24,20.51
2015-08-25,21.030001000000002
2015-08-26,21.08
2015-08-27,20.98
2015-08-28,20.77
2015-08-31,20.809998999999998
2015-09-01,20.459999
2015-09-02,20.280001000000002
2015-09-03,20.540001
2015-09-04,20.200001
2015-09-08,20.57
2015-09-09,20.530001000000002
2015-09-10,20.48
2015-09-11,20.790001
2015-09-14,20.93
2015-09-15,21.1
2015-09-16,21.24
2015-09-17,21.299999
2015-09-18,21.209999
2015-09-21,21.610001
2015-09-22,21.629998999999998
2015-09-23,21.51
2015-09-24,21.51
2015-09-25,21.629998999999998
2015-09-28,21.370001000000002
2015-09-29,21.24
2015-09-30,21.459999
2015-10-01,21.6
2015-10-02,21.92
2015-10-05,21.879998999999998
2015-10-06,21.780001000000002
2015-10-07,21.889999
2015-10-08,22.02
2015-10-09,22.35
2015-10-12,22.610001
2015-10-13,22.42
2015-10-14,22.309998999999998
2015-10-15,22.610001
2015-10-16,22.65
2015-10-19,22.690001000000002
2015-10-20,22.93
2015-10-21,22.76
2015-10-22,23.139999
2015-10-23,23.35
2015-10-26,23.48
2015-10-27,23.389999
2015-10-28,23.530001000000002
2015-10-29,23.879998999999998
2015-10-30,23.540001
2015-11-02,23.809998999999998
2015-11-03,23.719998999999998
2015-11-04,23.32
2015-11-05,23.59
2015-11-06,23.02
2015-11-09,22.450001
2015-11-10,22.209999
2015-11-11,22.370001000000002
2015-11-12,22.52
2015-11-13,22.26
2015-11-16,22.200001
2015-11-17,22.34
2015-11-18,22.65
2015-11-19,22.73
2015-11-20,22.780001000000002
2015-11-23,22.879998999999998
2015-11-24,22.76
