Date,H
2011-08-10,32.919998
2011-08-11,34.380001
2011-08-12,33.939999
2011-08-15,34.810001
2011-08-16,33.869999
2011-08-17,33.889998999999996
2011-08-18,31.73
2011-08-19,31.01
2011-08-22,30.25
2011-08-23,31.73
2011-08-24,32.75
2011-08-25,32.25
2011-08-26,33.029999
2011-08-29,34.830002
2011-08-30,34.310001
2011-08-31,35.509997999999996
2011-09-01,33.630001
2011-09-02,32.43
2011-09-06,31.360001
2011-09-07,33.099998
2011-09-08,31.889999
2011-09-09,31.27
2011-09-12,31.08
2011-09-13,31.85
2011-09-14,33.349998
2011-09-15,34.389998999999996
2011-09-16,35.560001
2011-09-19,34.66
2011-09-20,34.32
2011-09-21,33.009997999999996
2011-09-22,31.799999
2011-09-23,32.360001000000004
2011-09-26,31.42
2011-09-27,32.580002
2011-09-28,31.719998999999998
2011-09-29,32.549999
2011-09-30,31.370001000000002
2011-10-03,29.790001
2011-10-04,31.16
2011-10-05,32.130001
2011-10-06,32.16
2011-10-07,31.440001000000002
2011-10-10,32.66
2011-10-11,31.93
2011-10-12,33.380001
2011-10-13,33.150002
2011-10-14,33.82
2011-10-17,33.189999
2011-10-18,34.349998
2011-10-19,33.919998
2011-10-20,33.66
2011-10-21,35.110001000000004
2011-10-24,35.84
2011-10-25,35.52
2011-10-26,36.490002000000004
2011-10-27,38.009997999999996
2011-10-28,37.360001000000004
2011-10-31,37.189999
2011-11-01,35.400002
2011-11-02,37.650002
2011-11-03,37.459998999999996
2011-11-04,37.009997999999996
2011-11-07,36.799999
2011-11-08,36.580002
2011-11-09,34.66
2011-11-10,35.130001
2011-11-11,35.73
2011-11-14,35.5
2011-11-15,35.639998999999996
2011-11-16,35.25
2011-11-17,34.68
2011-11-18,35.150002
2011-11-21,34.139998999999996
2011-11-22,33.040001000000004
2011-11-23,32.509997999999996
2011-11-25,31.959999
2011-11-28,34.16
2011-11-29,33.639998999999996
2011-11-30,35.689999
2011-12-01,35.299999
2011-12-02,35.5
2011-12-05,36.32
2011-12-06,36.389998999999996
2011-12-07,36.110001000000004
2011-12-08,35.18
2011-12-09,36.099998
2011-12-12,35.279999
2011-12-13,34.639998999999996
2011-12-14,33.860001000000004
2011-12-15,34.630001
2011-12-16,35.34
2011-12-19,34.889998999999996
2011-12-20,36.0
2011-12-21,36.439999
2011-12-22,37.57
2011-12-23,37.950001
2011-12-27,38.349998
2011-12-28,37.52
2011-12-29,37.869999
2011-12-30,37.639998999999996
2012-01-03,38.419998
2012-01-04,37.830002
2012-01-05,38.610001000000004
2012-01-06,38.759997999999996
2012-01-09,39.189999
2012-01-10,39.75
2012-01-11,39.57
2012-01-12,39.52
2012-01-13,39.110001000000004
2012-01-17,39.07
2012-01-18,39.689999
2012-01-19,40.130001
2012-01-20,40.349998
2012-01-23,40.849998
2012-01-24,40.810001
2012-01-25,40.950001
2012-01-26,41.299999
2012-01-27,41.959998999999996
2012-01-30,41.959998999999996
2012-01-31,42.619999
2012-02-01,42.950001
2012-02-02,42.84
2012-02-03,44.099998
2012-02-06,43.529999
2012-02-07,43.200001
2012-02-08,43.27
2012-02-09,42.740002000000004
2012-02-10,43.009997999999996
2012-02-13,43.549999
2012-02-14,43.310001
2012-02-15,42.84
2012-02-16,42.84
2012-02-17,42.950001
2012-02-21,42.25
2012-02-22,41.5
2012-02-23,42.029999
2012-02-24,42.099998
2012-02-27,41.889998999999996
2012-02-28,41.860001000000004
2012-02-29,41.41
2012-03-01,41.57
2012-03-02,40.880001
2012-03-05,40.900002
2012-03-06,39.880001
2012-03-07,40.700001
2012-03-08,40.740002000000004
2012-03-09,41.099998
2012-03-12,40.73
2012-03-13,42.139998999999996
2012-03-14,40.049999
2012-03-15,40.650002
2012-03-16,41.290001000000004
2012-03-19,41.299999
2012-03-20,41.049999
2012-03-21,41.709998999999996
2012-03-22,41.32
2012-03-23,41.68
2012-03-26,41.700001
2012-03-27,43.0
2012-03-28,42.830002
2012-03-29,42.34
2012-03-30,42.720001
2012-04-02,42.799999
2012-04-03,42.52
2012-04-04,41.66
2012-04-05,41.82
2012-04-09,40.84
2012-04-10,39.529999
2012-04-11,39.950001
2012-04-12,40.490002000000004
2012-04-13,40.599998
2012-04-16,40.419998
2012-04-17,40.889998999999996
2012-04-18,40.790001000000004
2012-04-19,42.880001
2012-04-20,42.200001
2012-04-23,41.709998999999996
2012-04-24,41.82
2012-04-25,42.049999
2012-04-26,43.189999
2012-04-27,43.450001
2012-04-30,43.029999
2012-05-01,43.740002000000004
2012-05-02,43.810001
2012-05-03,41.549999
2012-05-04,40.490002000000004
2012-05-07,39.009997999999996
2012-05-08,39.290001000000004
2012-05-09,39.52
2012-05-10,39.34
2012-05-11,39.119999
2012-05-14,38.0
2012-05-15,38.130001
2012-05-16,38.369999
2012-05-17,36.709998999999996
2012-05-18,36.560001
2012-05-21,37.639998999999996
2012-05-22,37.439999
2012-05-23,36.389998999999996
2012-05-24,36.580002
2012-05-25,36.98
2012-05-29,37.93
2012-05-30,37.25
2012-05-31,36.990002000000004
2012-06-01,35.389998999999996
2012-06-04,35.450001
2012-06-05,36.139998999999996
2012-06-06,37.41
2012-06-07,37.209998999999996
2012-06-08,36.900002
2012-06-11,36.450001
2012-06-12,36.23
2012-06-13,35.880001
2012-06-14,36.32
2012-06-15,35.869999
2012-06-18,35.43
2012-06-19,36.720001
2012-06-20,37.389998999999996
2012-06-21,36.549999
2012-06-22,36.549999
2012-06-25,35.630001
2012-06-26,36.279999
2012-06-27,36.470001
2012-06-28,35.799999
2012-06-29,37.16
2012-07-02,37.049999
2012-07-03,37.209998999999996
2012-07-05,37.27
2012-07-06,36.799999
2012-07-09,36.310001
2012-07-10,35.580002
2012-07-11,35.75
2012-07-12,34.099998
2012-07-13,34.540001000000004
2012-07-16,33.849998
2012-07-17,34.0
2012-07-18,34.73
2012-07-19,35.310001
2012-07-20,34.869999
2012-07-23,34.220001
2012-07-24,33.82
2012-07-25,33.740002000000004
2012-07-26,33.790001000000004
2012-07-27,35.049999
2012-07-30,35.540001000000004
2012-07-31,35.549999
2012-08-01,36.790001000000004
2012-08-02,36.939999
2012-08-03,37.700001
2012-08-06,37.880001
2012-08-07,38.209998999999996
2012-08-08,37.709998999999996
2012-08-09,38.040001000000004
2012-08-10,37.98
2012-08-13,37.84
2012-08-14,37.240002000000004
2012-08-15,37.380001
2012-08-16,37.990002000000004
2012-08-17,37.950001
2012-08-20,37.900002
2012-08-21,37.77
2012-08-22,37.57
2012-08-23,37.369999
2012-08-24,37.560001
2012-08-27,37.540001000000004
2012-08-28,37.970001
2012-08-29,38.009997999999996
2012-08-30,37.779999
2012-08-31,37.93
2012-09-04,38.490002000000004
2012-09-05,38.049999
2012-09-06,39.279999
2012-09-07,39.650002
2012-09-10,39.66
2012-09-11,39.119999
2012-09-12,39.5
2012-09-13,39.860001000000004
2012-09-14,41.5
2012-09-17,41.369999
2012-09-18,41.099998
2012-09-19,41.450001
2012-09-20,40.830002
2012-09-21,40.400002
2012-09-24,40.049999
2012-09-25,39.799999
2012-09-26,39.689999
2012-09-27,40.490002000000004
2012-09-28,40.150002
2012-10-01,39.650002
2012-10-02,39.240002000000004
2012-10-03,38.889998999999996
2012-10-04,38.75
2012-10-05,38.419998
2012-10-08,38.43
2012-10-09,37.93
2012-10-10,37.970001
2012-10-11,37.860001000000004
2012-10-12,38.240002000000004
2012-10-15,38.779999
2012-10-16,39.099998
2012-10-17,39.099998
2012-10-18,39.119999
2012-10-19,39.18
2012-10-22,39.369999
2012-10-23,38.599998
2012-10-24,38.099998
2012-10-25,37.880001
2012-10-26,38.060001
2012-10-31,36.5
2012-11-01,36.169998
2012-11-02,36.48
2012-11-05,35.439999
2012-11-06,35.57
2012-11-07,35.029999
2012-11-08,34.439999
2012-11-09,34.369999
2012-11-12,34.240002000000004
2012-11-13,34.0
2012-11-14,33.900002
2012-11-15,33.82
2012-11-16,34.59
2012-11-19,36.279999
2012-11-20,35.75
2012-11-21,35.779999
2012-11-23,36.27
2012-11-26,35.189999
2012-11-27,35.630001
2012-11-28,36.0
2012-11-29,36.299999
2012-11-30,36.5
2012-12-03,36.459998999999996
2012-12-04,36.529999
2012-12-05,36.740002000000004
2012-12-06,36.810001
2012-12-07,36.450001
2012-12-10,36.639998999999996
2012-12-11,36.75
