Date,KLXI
2016-07-18,28.572701000000002
2016-07-19,28.444799
2016-07-20,28.7689
2016-07-21,28.3937
2016-07-22,27.933201
2016-07-25,27.200001
2016-07-26,27.8395
2016-07-27,28.3766
2016-07-28,27.8395
2016-07-29,27.541
2016-08-01,27.353399
2016-08-02,26.6287
2016-08-03,27.430201
2016-08-04,27.055
2016-08-05,27.6348
2016-08-08,27.7712
2016-08-09,28.001499
2016-08-10,27.5751
2016-08-11,28.871201
2016-08-12,29.067301
2016-08-15,29.749399
2016-08-16,29.6812
2016-08-17,29.902901
2016-08-18,30.371901
2016-08-19,31.3951
2016-08-22,31.540001
2016-08-23,31.488899
2016-08-24,31.505899
2016-08-25,31.5826
2016-08-26,31.812901
2016-08-29,32.111301
2016-08-30,31.778799
2016-08-31,31.8384
2016-09-01,31.5912
2016-09-02,31.744699
2016-09-06,31.2757
2016-09-07,31.224501
2016-09-08,31.113701000000002
2016-09-09,29.8176
2016-09-12,29.8603
2016-09-13,29.092899
2016-09-14,28.641001
2016-09-15,28.871201
2016-09-16,28.1805
2016-09-19,28.342501000000002
2016-09-20,27.7798
2016-09-21,28.018499
2016-09-22,28.692101
2016-09-23,28.692101
2016-09-26,28.837099
2016-09-27,28.896798999999998
2016-09-28,29.945498999999998
2016-09-29,29.433901000000002
2016-09-30,30.0137
2016-10-03,30.2099
2016-10-04,29.442498999999998
2016-10-05,30.371901
2016-10-06,30.388901
2016-10-07,30.064899
2016-10-10,30.3463
2016-10-11,29.203699
2016-10-12,28.9223
2016-10-13,28.743299
2016-10-14,28.427799
2016-10-17,28.7006
2016-10-18,28.7859
2016-10-19,28.802999
2016-10-20,29.0247
2016-10-21,28.7603
2016-10-24,29.5107
2016-10-25,29.178101
2016-10-26,28.7603
2016-10-27,28.828501
2016-10-28,28.854098999999998
2016-10-31,29.3487
2016-11-01,28.871201
2016-11-02,28.692101
2016-11-03,28.3596
2016-11-04,28.4107
2016-11-07,29.092899
2016-11-08,29.382799
2016-11-09,31.9408
2016-11-10,33.415901
2016-11-11,33.722801000000004
2016-11-14,33.466999
2016-11-15,33.0578
2016-11-16,32.657001
2016-11-17,32.9725
2016-11-18,33.492599
2016-11-21,33.569401
2016-11-22,34.174702
2016-11-23,34.729
2016-11-25,34.7631
2016-11-28,33.5779
2016-11-29,32.9725
2016-11-30,33.2453
2016-12-01,34.541401
2016-12-02,35.027401
2016-12-05,35.683997999999995
2016-12-06,36.655998
2016-12-07,37.414902000000005
2016-12-08,38.668301
2016-12-09,39.0093
2016-12-12,39.563598999999996
2016-12-13,39.2481
2016-12-14,38.668301
2016-12-15,39.640301
2016-12-16,38.779099
2016-12-19,38.744999
2016-12-20,39.069
2016-12-21,39.1884
2016-12-22,38.907001
2016-12-23,39.0434
2016-12-27,39.171299
2016-12-28,38.770599
2016-12-29,38.634201000000004
2016-12-30,38.4636
2017-01-03,40.007
2017-01-04,40.7061
2017-01-05,39.640301
2017-01-06,39.026402000000004
2017-01-09,38.429501
2017-01-10,39.631802
2017-01-11,40.782902
2017-01-12,40.382099
2017-01-13,40.450298
2017-01-17,39.742599
2017-01-18,40.075199
2017-01-19,40.5527
2017-01-20,41.055698
2017-01-23,41.243301
2017-01-24,41.7976
2017-01-25,42.1898
2017-01-26,42.377399
2017-01-27,42.368801
2017-01-30,41.908401
2017-01-31,41.771999
2017-02-01,41.465
2017-02-02,41.9851
2017-02-03,42.743999
