Date,CX
2001-02-05,7.979137
2001-02-06,7.998135
2001-02-07,7.865149000000001
2001-02-08,7.770160000000001
2001-02-09,7.758761
2001-02-12,7.941141
2001-02-13,7.9069449999999994
2001-02-14,7.990536
2001-02-15,8.055128999999999
2001-02-16,7.903144999999999
2001-02-20,7.827153999999999
2001-02-21,7.6637710000000006
2001-02-22,7.827153999999999
2001-02-23,7.789157
2001-02-26,8.017133
2001-02-27,7.998135
2001-02-28,8.005734
2001-03-01,8.169116
2001-03-02,8.454085000000001
2001-03-05,8.739055
2001-03-06,8.727656
2001-03-07,8.818846
2001-03-08,8.883439
2001-03-09,8.720057
2001-03-12,8.571873
2001-03-13,8.533877
2001-03-14,8.328699
2001-03-15,8.305902
2001-03-16,8.571873
2001-03-19,8.625067
2001-03-20,8.663063000000001
2001-03-21,8.549075
2001-03-22,8.165317
2001-03-23,8.017133
2001-03-26,8.017133
2001-03-27,8.017133
2001-03-28,7.979137
2001-03-29,7.971538000000001
2001-03-30,8.169116
2001-04-02,8.340098
2001-04-03,8.013333
2001-04-04,8.024732
2001-04-05,8.264106
2001-04-06,8.081726
2001-04-09,8.131121
2001-04-10,8.366695
2001-04-11,8.393292
2001-04-12,8.632667
2001-04-16,8.549075
2001-04-17,8.552875
2001-04-18,8.815046
2001-04-19,8.758053
2001-04-20,8.68966
2001-04-23,8.362896000000001
2001-04-24,8.188114
2001-04-25,8.397092
2001-04-26,8.663063000000001
2001-04-27,8.727656
2001-04-30,8.803647999999999
2001-05-01,8.887239
2001-05-02,9.043022
2001-05-03,9.05822
2001-05-04,9.130412
2001-05-07,8.929034
2001-05-08,8.792249
2001-05-09,8.750454
2001-05-10,9.024024
2001-05-11,8.853043
2001-05-14,8.883439
2001-05-15,8.788449
2001-05-16,8.807447
2001-05-17,9.179807
2001-05-18,9.373586999999999
2001-05-21,9.612960000000001
2001-05-22,9.935925
2001-05-23,10.388077000000001
2001-05-24,10.087909
2001-05-25,10.232292999999999
2001-05-29,10.137303
2001-05-30,10.087909
2001-05-31,10.065111
2001-06-01,9.859933999999999
2001-06-04,9.833337
2001-06-05,9.745946
2001-06-06,9.951124
2001-06-07,10.030915
2001-06-08,10.068911
2001-06-11,10.065111
2001-06-12,9.973921
2001-06-13,10.106907000000001
2001-06-14,10.068911
2001-06-15,9.913128
2001-06-18,9.688952
2001-06-19,9.403983
2001-06-20,9.609160000000001
2001-06-21,9.764944
2001-06-22,9.768744
2001-06-25,9.802939
2001-06-26,10.000519
2001-06-27,10.061312
2001-06-28,9.935925
2001-06-29,10.068911
2001-07-02,10.437471
2001-07-03,10.559058
2001-07-05,10.528661999999999
2001-07-06,10.293087
2001-07-09,10.296886
2001-07-10,10.391876
2001-07-11,10.049913
2001-07-12,9.951124
2001-07-13,9.916927000000001
2001-07-16,9.863733
2001-07-17,9.89033
2001-07-18,9.916927000000001
2001-07-19,10.277888
2001-07-20,10.369079
2001-07-23,10.44887
2001-07-24,10.323483
2001-07-25,10.285487
2001-07-26,10.433672
2001-07-27,10.619850999999999
2001-07-30,10.543859
2001-07-31,10.384277
2001-08-01,10.312085
2001-08-02,10.517261999999999
2001-08-03,10.464068
2001-08-06,10.372878
2001-08-07,10.369079
2001-08-08,10.35388
2001-08-09,10.296886
2001-08-10,10.429872
2001-08-13,10.441271
2001-08-14,10.35388
2001-08-15,10.209496000000001
2001-08-16,10.061312
2001-08-17,9.810539
2001-08-20,9.802939
2001-08-21,9.859933999999999
2001-08-22,9.913128
2001-08-23,9.89033
2001-08-24,9.992919
2001-08-27,9.98912
2001-08-28,9.886531
2001-08-29,9.897929
2001-08-30,9.802939
2001-08-31,9.783942
2001-09-04,9.631958000000001
2001-09-05,9.479975
2001-09-06,9.255799
2001-09-07,9.153210000000001
2001-09-10,9.077217999999998
2001-09-17,8.50728
2001-09-18,8.416089999999999
2001-09-19,8.279305
2001-09-20,7.830953
2001-09-21,7.6941679999999995
2001-09-24,7.827153999999999
2001-09-25,7.789157
2001-09-26,7.770160000000001
2001-09-27,7.5611820000000005
2001-09-28,7.804355999999999
2001-10-01,7.903144999999999
2001-10-02,8.172916
2001-10-03,8.359096000000001
2001-10-04,8.556675
2001-10-05,8.51108
2001-10-08,8.549075
2001-10-09,8.769451
2001-10-10,9.024024
2001-10-11,8.982228
2001-10-12,8.761852000000001
2001-10-15,8.663063000000001
2001-10-16,8.720057
2001-10-17,8.929034
2001-10-18,8.815046
2001-10-19,8.815046
2001-10-22,8.830245
2001-10-23,8.853043
2001-10-24,9.043022
2001-10-25,9.103814999999999
2001-10-26,8.967031
2001-10-29,8.929034
2001-10-30,8.761852000000001
2001-10-31,8.739055
2001-11-01,8.727656
2001-11-02,8.773252000000001
2001-11-05,8.841643
2001-11-06,8.841643
2001-11-07,8.929034
2001-11-08,8.872041000000001
2001-11-09,8.864441000000001
2001-11-12,8.697258999999999
2001-11-13,8.796049
2001-11-14,8.841643
2001-11-15,8.845444
2001-11-16,8.864441000000001
2001-11-19,8.910036
2001-11-20,9.088617
