Date,CNHI
2015-12-21,6.78
2015-12-22,6.89
2015-12-23,7.16
2015-12-24,7.16
2015-12-28,7.07
2015-12-29,7.01
2015-12-30,6.94
2015-12-31,6.84
2016-01-04,6.6
2016-01-05,6.56
2016-01-06,6.43
2016-01-07,6.3
2016-01-08,6.21
2016-01-11,6.29
2016-01-12,6.3
2016-01-13,6.18
2016-01-14,6.29
2016-01-15,5.96
2016-01-19,5.94
2016-01-20,5.88
2016-01-21,6.04
2016-01-22,6.05
2016-01-25,5.76
2016-01-26,6.12
2016-01-27,6.11
2016-01-28,6.13
2016-01-29,6.26
2016-02-01,6.51
2016-02-02,6.15
2016-02-03,6.18
2016-02-04,6.27
2016-02-05,6.56
2016-02-08,6.25
2016-02-09,5.97
2016-02-10,6.28
2016-02-11,5.92
2016-02-12,6.31
2016-02-16,6.42
2016-02-17,6.67
2016-02-18,6.45
2016-02-19,6.3
2016-02-22,6.54
2016-02-23,6.38
2016-02-24,6.26
2016-02-25,6.46
2016-02-26,6.51
2016-02-29,6.63
2016-03-01,6.69
2016-03-02,6.58
2016-03-03,6.78
2016-03-04,6.95
2016-03-07,7.02
2016-03-08,6.78
2016-03-09,6.79
2016-03-10,6.71
2016-03-11,6.97
2016-03-14,7.06
2016-03-15,6.9
2016-03-16,6.89
2016-03-17,6.93
2016-03-18,6.93
2016-03-21,6.96
2016-03-22,6.96
2016-03-23,6.81
2016-03-24,6.78
2016-03-28,6.79
2016-03-29,6.84
2016-03-30,6.94
2016-03-31,6.76
2016-04-01,6.6
2016-04-04,6.47
2016-04-05,6.33
2016-04-06,6.27
2016-04-07,6.07
2016-04-08,6.26
2016-04-11,6.39
2016-04-12,6.36
2016-04-13,6.57
2016-04-14,6.51
2016-04-15,6.51
2016-04-18,6.81
2016-04-19,7.29
2016-04-20,7.45
2016-04-21,7.45
2016-04-22,7.41
2016-04-25,7.18
2016-04-26,7.36
2016-04-27,7.47
2016-04-28,7.45
2016-04-29,7.74
2016-05-02,7.71
2016-05-03,7.31
2016-05-04,7.26
2016-05-05,7.17
2016-05-06,7.09
2016-05-09,6.88
2016-05-10,7.17
2016-05-11,7.14
2016-05-12,7.1
2016-05-13,7.02
2016-05-16,6.98
2016-05-17,6.8
2016-05-18,6.78
2016-05-19,6.73
2016-05-20,6.67
2016-05-23,6.72
2016-05-24,6.91
2016-05-25,7.0
2016-05-26,7.14
2016-05-27,7.02
2016-05-31,7.07
2016-06-01,7.06
2016-06-02,7.11
2016-06-03,7.45
2016-06-06,7.86
2016-06-07,7.77
2016-06-08,7.89
2016-06-09,7.72
2016-06-10,7.34
2016-06-13,7.26
2016-06-14,7.08
2016-06-15,7.2
2016-06-16,7.07
2016-06-17,7.45
2016-06-20,7.48
2016-06-21,7.46
2016-06-22,7.39
2016-06-23,7.73
2016-06-24,7.0
2016-06-27,6.8
2016-06-28,7.05
2016-06-29,7.09
2016-06-30,7.15
2016-07-01,7.23
2016-07-05,6.76
2016-07-06,6.65
2016-07-07,6.36
2016-07-08,6.47
2016-07-11,6.58
2016-07-12,6.78
2016-07-13,6.79
2016-07-14,6.9
2016-07-15,6.92
2016-07-18,6.87
2016-07-19,6.75
2016-07-20,6.83
2016-07-21,6.89
2016-07-22,6.72
2016-07-25,6.52
2016-07-26,6.99
2016-07-27,7.16
2016-07-28,7.19
2016-07-29,7.13
2016-08-01,7.01
2016-08-02,6.81
2016-08-03,6.95
2016-08-04,6.98
2016-08-05,7.07
2016-08-08,7.13
2016-08-09,7.36
2016-08-10,7.52
2016-08-11,7.42
2016-08-12,7.41
2016-08-15,7.46
2016-08-16,7.53
2016-08-17,7.47
2016-08-18,7.61
2016-08-19,7.64
2016-08-22,7.51
2016-08-23,7.59
2016-08-24,7.55
2016-08-25,7.45
2016-08-26,7.42
2016-08-29,7.35
2016-08-30,7.34
2016-08-31,7.32
2016-09-01,7.34
2016-09-02,7.45
2016-09-06,7.38
2016-09-07,7.32
2016-09-08,7.41
2016-09-09,7.25
2016-09-12,7.27
2016-09-13,7.08
2016-09-14,7.15
2016-09-15,7.25
2016-09-16,7.12
2016-09-19,7.12
2016-09-20,7.08
2016-09-21,7.21
2016-09-22,7.37
2016-09-23,7.29
2016-09-26,7.1
2016-09-27,7.04
2016-09-28,7.12
2016-09-29,7.06
2016-09-30,7.22
2016-10-03,7.21
2016-10-04,7.15
2016-10-05,7.35
2016-10-06,7.34
2016-10-07,7.34
2016-10-10,7.42
2016-10-11,7.39
2016-10-12,7.54
2016-10-13,7.39
2016-10-14,7.48
2016-10-17,7.49
2016-10-18,7.67
2016-10-19,7.68
2016-10-20,7.63
2016-10-21,7.65
2016-10-24,7.57
2016-10-25,7.59
2016-10-26,7.6
2016-10-27,7.53
2016-10-28,7.7
2016-10-31,7.78
2016-11-01,7.4
2016-11-02,7.3
2016-11-03,7.21
2016-11-04,7.17
2016-11-07,7.4
2016-11-08,7.44
2016-11-09,7.78
2016-11-10,8.08
2016-11-11,7.94
2016-11-14,7.89
2016-11-15,8.0
2016-11-16,8.04
2016-11-17,7.99
2016-11-18,7.86
2016-11-21,7.98
2016-11-22,8.23
2016-11-23,8.63
2016-11-25,8.56
2016-11-28,8.42
2016-11-29,8.51
2016-11-30,8.53
2016-12-01,8.53
2016-12-02,8.59
2016-12-05,8.93
2016-12-06,9.06
2016-12-07,9.15
2016-12-08,8.96
2016-12-09,8.75
2016-12-12,8.69
2016-12-13,8.75
2016-12-14,8.49
2016-12-15,8.61
2016-12-16,8.61
2016-12-19,8.61
2016-12-20,8.63
2016-12-21,8.69
2016-12-22,8.77
2016-12-23,8.63
2016-12-27,8.63
2016-12-28,8.59
2016-12-29,8.64
2016-12-30,8.69
2017-01-03,8.69
2017-01-04,8.67
2017-01-05,8.94
2017-01-06,8.94
2017-01-09,8.71
2017-01-10,8.92
2017-01-11,8.94
2017-01-12,8.89
2017-01-13,9.07
2017-01-17,8.95
2017-01-18,9.01
2017-01-19,9.04
2017-01-20,9.25
2017-01-23,9.31
2017-01-24,9.46
2017-01-25,9.36
2017-01-26,9.22
2017-01-27,9.3
2017-01-30,9.09
2017-01-31,8.96
2017-02-01,8.91
2017-02-02,9.21
2017-02-03,9.27
2017-02-06,9.51
2017-02-07,9.62
2017-02-08,9.61
2017-02-09,9.58
2017-02-10,9.56
2017-02-13,9.56
2017-02-14,9.54
2017-02-15,9.46
2017-02-16,9.4
2017-02-17,9.43
2017-02-21,9.48
2017-02-22,9.42
2017-02-23,9.25
2017-02-24,9.17
2017-02-27,9.33
2017-02-28,9.24
2017-03-01,9.5
2017-03-02,9.4
2017-03-03,9.52
2017-03-06,9.46
2017-03-07,9.4
2017-03-08,9.47
2017-03-09,9.63
2017-03-10,9.64
2017-03-13,9.66
2017-03-14,9.47
2017-03-15,9.78
2017-03-16,9.87
2017-03-17,9.74
2017-03-20,9.72
2017-03-21,9.46
2017-03-22,9.49
2017-03-23,9.66
2017-03-24,9.69
2017-03-27,9.51
2017-03-28,9.65
2017-03-29,9.66
2017-03-30,9.65
2017-03-31,9.64
2017-04-03,9.5
2017-04-04,9.47
2017-04-05,9.63
2017-04-06,9.81
2017-04-07,9.95
2017-04-10,9.86
2017-04-11,9.86
2017-04-12,9.88
2017-04-13,9.82
2017-04-17,9.92
2017-04-18,9.79
2017-04-19,9.87
2017-04-20,10.06
2017-04-21,10.0
2017-04-24,10.41
2017-04-25,10.66
2017-04-26,10.8
2017-04-27,10.76
2017-04-28,11.1
2017-05-01,11.17
2017-05-02,11.06
2017-05-03,10.95
2017-05-04,11.0
2017-05-05,11.03
2017-05-08,10.85
2017-05-09,10.81
2017-05-10,10.76
2017-05-11,10.73
2017-05-12,10.72
2017-05-15,10.8
2017-05-16,11.0
2017-05-17,10.54
2017-05-18,10.6
2017-05-19,11.18
2017-05-22,11.09
2017-05-23,11.22
2017-05-24,11.25
2017-05-25,11.31
2017-05-26,11.43
2017-05-30,11.18
2017-05-31,11.18
2017-06-01,11.27
2017-06-02,11.22
2017-06-05,11.11
2017-06-06,11.09
2017-06-07,11.05
2017-06-08,11.2
2017-06-09,11.41
2017-06-12,11.25
2017-06-13,11.26
2017-06-14,11.17
2017-06-15,11.51
2017-06-16,11.63
2017-06-19,11.58
2017-06-20,11.55
2017-06-21,11.54
2017-06-22,11.44
2017-06-23,11.38
2017-06-26,11.5
2017-06-27,11.37
2017-06-28,11.61
2017-06-29,11.25
2017-06-30,11.38
2017-07-03,11.57
2017-07-05,11.6
2017-07-06,11.65
2017-07-07,11.62
2017-07-10,11.8
2017-07-11,12.0
2017-07-12,11.98
2017-07-13,11.77
2017-07-14,11.96
2017-07-17,11.91
2017-07-18,11.99
2017-07-19,12.01
2017-07-20,11.86
2017-07-21,11.65
2017-07-24,11.69
2017-07-25,11.59
2017-07-26,11.54
2017-07-27,11.47
2017-07-28,11.45
2017-07-31,11.52
2017-08-01,11.54
2017-08-02,11.53
2017-08-03,11.6
2017-08-04,11.61
2017-08-07,11.73
2017-08-08,11.71
2017-08-09,11.76
2017-08-10,11.52
2017-08-11,11.35
2017-08-14,11.51
2017-08-15,11.42
2017-08-16,11.43
2017-08-17,11.28
2017-08-18,11.22
2017-08-21,11.17
2017-08-22,11.28
2017-08-23,11.19
2017-08-24,10.96
2017-08-25,11.08
2017-08-28,10.99
2017-08-29,11.0
2017-08-30,11.15
2017-08-31,11.36
2017-09-01,11.32
2017-09-05,11.22
2017-09-06,11.26
2017-09-07,11.26
2017-09-08,11.38
2017-09-11,11.53
2017-09-12,11.52
2017-09-13,11.5
2017-09-14,11.57
2017-09-15,11.66
2017-09-18,11.78
2017-09-19,11.95
2017-09-20,11.98
2017-09-21,11.98
2017-09-22,11.98
2017-09-25,11.87
2017-09-26,11.95
2017-09-27,11.94
2017-09-28,11.96
2017-09-29,12.01
2017-10-02,12.19
2017-10-03,12.25
2017-10-04,12.19
2017-10-05,12.01
2017-10-06,11.91
2017-10-09,11.91
2017-10-10,11.95
2017-10-11,11.99
2017-10-12,11.9
2017-10-13,11.87
2017-10-16,11.97
2017-10-17,11.94
2017-10-18,11.98
2017-10-19,11.97
2017-10-20,12.02
2017-10-23,11.98
2017-10-24,12.38
2017-10-25,12.18
2017-10-26,12.14
2017-10-27,12.08
2017-10-30,12.1
2017-10-31,12.7
2017-11-01,13.07
2017-11-02,13.03
2017-11-03,13.02
2017-11-06,13.06
2017-11-07,12.91
2017-11-08,13.02
2017-11-09,12.78
2017-11-10,12.85
2017-11-13,12.86
2017-11-14,12.91
2017-11-15,12.56
2017-11-16,12.66
2017-11-17,12.53
2017-11-20,12.74
2017-11-21,12.96
2017-11-22,13.05
2017-11-24,13.12
2017-11-27,12.86
2017-11-28,12.81
2017-11-29,12.84
2017-11-30,13.0
2017-12-01,12.86
2017-12-04,12.88
2017-12-05,13.05
2017-12-06,13.02
2017-12-07,12.98
2017-12-08,13.06
2017-12-11,13.05
2017-12-12,12.92
2017-12-13,13.18
2017-12-14,13.02
2017-12-15,13.0
2017-12-18,13.3
2017-12-19,13.27
2017-12-20,13.41
2017-12-21,13.49
2017-12-22,13.55
2017-12-26,13.6
2017-12-27,13.56
2017-12-28,13.46
2017-12-29,13.4
2018-01-02,13.55
2018-01-03,13.58
2018-01-04,13.94
2018-01-05,14.05
2018-01-08,14.27
2018-01-09,14.26
2018-01-10,14.22
2018-01-11,14.56
2018-01-12,14.93
2018-01-16,14.72
2018-01-17,14.71
2018-01-18,14.86
2018-01-19,14.94
2018-01-22,15.0
2018-01-23,15.0
2018-01-24,14.87
2018-01-25,15.0
2018-01-26,15.15
2018-01-29,15.07
2018-01-30,14.7
2018-01-31,14.7
2018-02-01,15.5
2018-02-02,15.03
2018-02-05,14.03
2018-02-06,14.33
2018-02-07,14.12
2018-02-08,13.36
2018-02-09,13.55
2018-02-12,13.7
2018-02-13,13.81
2018-02-14,13.95
2018-02-15,14.04
2018-02-16,14.28
2018-02-20,14.23
2018-02-21,14.11
2018-02-22,13.94
2018-02-23,14.09
2018-02-26,14.04
2018-02-27,13.67
2018-02-28,13.45
2018-03-01,13.26
2018-03-02,12.99
2018-03-05,13.18
2018-03-06,13.51
2018-03-07,13.43
2018-03-08,13.56
2018-03-09,13.71
2018-03-12,13.51
2018-03-13,13.29
2018-03-14,13.31
2018-03-15,13.62
2018-03-16,13.52
2018-03-19,13.28
2018-03-20,13.1
2018-03-21,12.95
2018-03-22,12.32
2018-03-23,12.18
2018-03-26,12.35
2018-03-27,12.22
2018-03-28,12.19
2018-03-29,12.4
2018-04-02,12.11
2018-04-03,12.12
2018-04-04,11.9
2018-04-05,12.12
2018-04-06,11.64
2018-04-09,11.63
2018-04-10,12.06
2018-04-11,11.87
2018-04-12,12.2
2018-04-13,12.31
2018-04-16,12.29
2018-04-17,12.59
2018-04-18,12.64
2018-04-19,12.76
2018-04-20,12.53
2018-04-23,12.29
2018-04-24,11.9
2018-04-25,11.9
2018-04-26,11.71
2018-04-27,12.25
2018-04-30,12.25
2018-05-01,12.14
2018-05-02,12.2
2018-05-03,12.4
2018-05-04,12.45
2018-05-07,12.54
2018-05-08,12.44
2018-05-09,12.45
2018-05-10,12.35
2018-05-11,12.48
2018-05-14,12.45
2018-05-15,12.33
2018-05-16,12.16
2018-05-17,12.22
2018-05-18,12.64
2018-05-21,12.88
2018-05-22,12.82
2018-05-23,12.62
2018-05-24,12.59
2018-05-25,12.34
2018-05-29,11.7
2018-05-30,11.81
2018-05-31,11.74
2018-06-01,11.75
2018-06-04,11.66
2018-06-05,11.62
2018-06-06,11.89
2018-06-07,11.77
2018-06-08,11.49
2018-06-11,11.87
2018-06-12,11.88
2018-06-13,11.8
2018-06-14,11.7
2018-06-15,11.52
2018-06-18,11.27
2018-06-19,10.9
2018-06-20,10.75
2018-06-21,10.61
2018-06-22,10.68
2018-06-25,10.55
2018-06-26,10.5
2018-06-27,10.5
2018-06-28,10.45
2018-06-29,10.53
2018-07-02,10.35
2018-07-03,10.34
2018-07-05,10.28
2018-07-06,10.25
2018-07-09,10.46
2018-07-10,10.69
2018-07-11,10.11
2018-07-12,10.27
2018-07-13,10.37
2018-07-16,10.27
2018-07-17,10.32
2018-07-18,10.38
2018-07-19,10.36
2018-07-20,10.27
2018-07-23,10.11
2018-07-24,10.5
2018-07-25,10.64
2018-07-26,11.48
2018-07-27,11.55
2018-07-30,11.58
2018-07-31,11.72
2018-08-01,11.68
2018-08-02,11.74
2018-08-03,11.93
2018-08-06,11.84
2018-08-07,12.08
2018-08-08,11.94
2018-08-09,11.71
2018-08-10,11.42
2018-08-13,11.38
2018-08-14,11.48
2018-08-15,11.27
2018-08-16,11.42
2018-08-17,11.6
2018-08-20,11.72
2018-08-21,11.81
2018-08-22,11.6
2018-08-23,11.56
2018-08-24,11.77
2018-08-27,11.96
2018-08-28,12.13
2018-08-29,12.33
2018-08-30,12.12
2018-08-31,11.99
2018-09-04,11.75
2018-09-05,11.73
2018-09-06,11.68
2018-09-07,11.58
2018-09-10,11.82
2018-09-11,11.74
2018-09-12,11.84
2018-09-13,11.63
2018-09-14,11.57
2018-09-17,11.84
2018-09-18,12.06
2018-09-19,12.21
2018-09-20,12.37
2018-09-21,12.61
2018-09-24,12.5
2018-09-25,12.44
2018-09-26,12.38
2018-09-27,12.25
2018-09-28,12.01
2018-10-01,11.85
2018-10-02,11.89
2018-10-03,12.13
2018-10-04,12.07
2018-10-05,11.86
2018-10-08,11.69
2018-10-09,11.6
2018-10-10,11.26
2018-10-11,11.15
2018-10-12,11.15
