Date,FN
2011-12-13,13.76
2011-12-14,13.76
2011-12-15,13.95
2011-12-16,13.85
2011-12-19,13.33
2011-12-20,13.71
2011-12-21,14.09
2011-12-22,14.63
2011-12-23,15.0
2011-12-27,15.03
2011-12-28,14.11
2011-12-29,13.86
2011-12-30,13.68
2012-01-03,14.85
2012-01-04,14.21
2012-01-05,14.85
2012-01-06,14.81
2012-01-09,15.28
2012-01-10,15.64
2012-01-11,15.75
2012-01-12,16.08
2012-01-13,16.18
2012-01-17,16.32
2012-01-18,16.67
2012-01-19,16.75
2012-01-20,16.709999
2012-01-23,16.65
2012-01-24,17.110001
2012-01-25,17.41
2012-01-26,17.24
2012-01-27,16.91
2012-01-30,16.35
2012-01-31,16.469998999999998
2012-02-01,17.209999
2012-02-02,17.59
2012-02-03,18.16
2012-02-06,17.82
2012-02-07,19.07
2012-02-08,20.49
2012-02-09,19.360001
2012-02-10,18.799999
2012-02-13,19.0
2012-02-14,19.200001
2012-02-15,18.809998999999998
2012-02-16,18.049999
2012-02-17,18.110001
2012-02-21,18.16
2012-02-22,18.120001000000002
2012-02-23,18.6
2012-02-24,18.370001000000002
2012-02-27,18.52
2012-02-28,18.209999
2012-02-29,17.870001000000002
2012-03-01,18.6
2012-03-02,17.870001000000002
2012-03-05,17.209999
2012-03-06,15.89
2012-03-07,16.110001
2012-03-08,16.49
2012-03-09,17.27
2012-03-12,17.879998999999998
2012-03-13,18.82
2012-03-14,18.530001000000002
2012-03-15,19.24
2012-03-16,18.639999
2012-03-19,18.68
2012-03-20,18.110001
2012-03-21,18.09
2012-03-22,17.84
2012-03-23,18.4
2012-03-26,19.42
2012-03-27,18.52
2012-03-28,17.799999
2012-03-29,17.91
2012-03-30,17.709999
2012-04-02,18.07
2012-04-03,17.780001000000002
2012-04-04,17.299999
2012-04-05,16.780001000000002
2012-04-09,16.780001000000002
2012-04-10,16.290001
2012-04-11,16.639999
2012-04-12,16.77
2012-04-13,16.469998999999998
2012-04-16,15.98
2012-04-17,16.73
2012-04-18,16.32
2012-04-19,15.99
2012-04-20,16.120001000000002
2012-04-23,15.29
2012-04-24,15.73
2012-04-25,16.15
2012-04-26,16.799999
2012-04-27,16.790001
2012-04-30,16.82
2012-05-01,16.120001000000002
2012-05-02,15.9
2012-05-03,15.46
2012-05-04,15.01
2012-05-07,15.0
2012-05-08,13.78
2012-05-09,13.74
2012-05-10,12.83
2012-05-11,12.94
2012-05-14,12.51
2012-05-15,13.09
2012-05-16,11.69
2012-05-17,10.75
2012-05-18,10.5
2012-05-21,11.6
2012-05-22,11.76
2012-05-23,11.46
2012-05-24,11.39
2012-05-25,11.44
2012-05-29,11.55
2012-05-30,11.08
2012-05-31,11.66
2012-06-01,11.09
2012-06-04,11.03
2012-06-05,11.71
2012-06-06,12.32
2012-06-07,12.61
2012-06-08,12.8
2012-06-11,12.56
2012-06-12,11.99
2012-06-13,11.56
2012-06-14,11.73
2012-06-15,12.42
2012-06-18,12.22
2012-06-19,12.4
2012-06-20,12.17
2012-06-21,11.71
2012-06-22,12.17
2012-06-25,11.74
2012-06-26,11.55
2012-06-27,11.49
2012-06-28,11.52
2012-06-29,12.55
2012-07-02,12.22
2012-07-03,12.41
2012-07-05,12.86
2012-07-06,12.56
2012-07-09,12.25
2012-07-10,12.16
2012-07-11,12.13
2012-07-12,11.58
2012-07-13,11.36
2012-07-16,11.15
2012-07-17,11.13
2012-07-18,11.53
2012-07-19,11.67
2012-07-20,11.36
2012-07-23,10.98
2012-07-24,11.13
2012-07-25,11.5
2012-07-26,11.97
2012-07-27,12.91
2012-07-30,13.2
2012-07-31,13.28
2012-08-01,12.56
2012-08-02,12.5
2012-08-03,12.6
2012-08-06,12.63
2012-08-07,12.26
2012-08-08,11.82
2012-08-09,11.96
2012-08-10,11.98
2012-08-13,11.86
2012-08-14,11.46
2012-08-15,11.95
2012-08-16,12.7
2012-08-17,13.12
2012-08-20,13.37
2012-08-21,12.79
2012-08-22,12.67
2012-08-23,12.22
2012-08-24,12.1
2012-08-27,12.04
2012-08-28,12.09
2012-08-29,11.94
2012-08-30,11.79
2012-08-31,11.98
2012-09-04,11.95
2012-09-05,11.97
2012-09-06,12.53
2012-09-07,12.31
2012-09-10,12.06
2012-09-11,12.0
2012-09-12,12.01
2012-09-13,12.08
2012-09-14,12.74
2012-09-17,12.62
2012-09-18,12.66
2012-09-19,12.4
2012-09-20,12.18
2012-09-21,11.84
2012-09-24,11.44
2012-09-25,11.81
2012-09-26,11.65
2012-09-27,11.89
2012-09-28,11.59
2012-10-01,11.5
2012-10-02,11.84
2012-10-03,11.44
2012-10-04,11.49
2012-10-05,11.6
2012-10-08,10.97
2012-10-09,10.0
2012-10-10,9.95
2012-10-11,10.17
2012-10-12,10.07
2012-10-15,10.22
2012-10-16,10.27
2012-10-17,10.16
2012-10-18,9.82
2012-10-19,9.35
2012-10-22,9.5
2012-10-23,9.59
2012-10-24,9.5
2012-10-25,9.52
2012-10-26,9.53
2012-10-31,9.63
2012-11-01,10.0
2012-11-02,9.49
2012-11-05,9.7
2012-11-06,12.75
2012-11-07,12.48
2012-11-08,12.0
2012-11-09,11.97
2012-11-12,12.0
2012-11-13,11.81
2012-11-14,11.75
2012-11-15,11.52
2012-11-16,11.12
2012-11-19,11.35
2012-11-20,11.24
2012-11-21,12.0
2012-11-23,12.02
2012-11-26,12.33
2012-11-27,11.98
2012-11-28,12.11
2012-11-29,12.27
2012-11-30,12.42
2012-12-03,12.26
2012-12-04,12.27
2012-12-05,12.04
2012-12-06,12.05
2012-12-07,11.97
2012-12-10,11.86
2012-12-11,11.87
2012-12-12,11.83
2012-12-13,12.01
2012-12-14,11.91
2012-12-17,12.07
2012-12-18,12.46
2012-12-19,12.57
2012-12-20,13.02
2012-12-21,13.06
2012-12-24,13.07
2012-12-26,13.01
2012-12-27,13.06
2012-12-28,12.97
2012-12-31,13.14
2013-01-02,13.54
2013-01-03,13.64
2013-01-04,13.53
2013-01-07,13.19
2013-01-08,12.99
2013-01-09,13.03
2013-01-10,13.0
2013-01-11,12.98
2013-01-14,13.03
2013-01-15,13.04
2013-01-16,13.08
2013-01-17,13.34
2013-01-18,13.62
2013-01-22,13.61
2013-01-23,13.59
2013-01-24,13.91
2013-01-25,14.07
2013-01-28,14.25
2013-01-29,13.46
2013-01-30,13.27
2013-01-31,14.64
2013-02-01,14.43
2013-02-04,14.53
2013-02-05,15.92
2013-02-06,15.97
2013-02-07,15.92
2013-02-08,15.91
2013-02-11,16.0
2013-02-12,15.96
2013-02-13,16.01
2013-02-14,16.120001000000002
2013-02-15,16.440001000000002
2013-02-19,16.450001
2013-02-20,16.129998999999998
2013-02-21,16.02
2013-02-22,16.059998999999998
2013-02-25,15.94
2013-02-26,16.07
2013-02-27,16.610001
2013-02-28,16.41
2013-03-01,16.450001
2013-03-04,16.200001
2013-03-05,16.18
2013-03-06,16.190001000000002
2013-03-07,16.809998999999998
2013-03-08,16.879998999999998
2013-03-11,16.5
2013-03-12,15.85
2013-03-13,14.99
2013-03-14,14.72
2013-03-15,13.82
2013-03-18,14.18
2013-03-19,13.97
2013-03-20,14.0
2013-03-21,14.0
2013-03-22,14.0
2013-03-25,13.89
2013-03-26,14.1
2013-03-27,14.19
2013-03-28,14.61
2013-04-01,14.04
2013-04-02,13.81
2013-04-03,13.33
2013-04-04,13.48
2013-04-05,13.05
2013-04-08,13.45
2013-04-09,13.42
2013-04-10,14.4
2013-04-11,14.06
2013-04-12,13.78
2013-04-15,13.45
2013-04-16,13.52
2013-04-17,13.22
2013-04-18,13.0
2013-04-19,13.02
2013-04-22,13.04
2013-04-23,13.59
2013-04-24,13.62
2013-04-25,13.76
2013-04-26,13.5
2013-04-29,13.91
2013-04-30,13.73
2013-05-01,13.1
2013-05-02,13.59
2013-05-03,13.81
2013-05-06,14.0
2013-05-07,14.29
2013-05-08,14.09
2013-05-09,14.03
2013-05-10,13.9
2013-05-13,13.64
2013-05-14,13.79
2013-05-15,14.11
2013-05-16,14.41
2013-05-17,14.56
2013-05-20,14.57
2013-05-21,14.56
2013-05-22,14.44
2013-05-23,13.76
2013-05-24,14.02
2013-05-28,14.13
2013-05-29,14.24
2013-05-30,14.7
2013-05-31,14.53
2013-06-03,14.6
2013-06-04,14.53
2013-06-05,14.52
2013-06-06,14.59
2013-06-07,14.47
2013-06-10,14.46
2013-06-11,14.46
2013-06-12,14.41
2013-06-13,14.77
2013-06-14,14.72
2013-06-17,14.43
2013-06-18,14.73
2013-06-19,14.61
2013-06-20,14.59
2013-06-21,14.51
2013-06-24,14.08
2013-06-25,14.16
2013-06-26,14.0
2013-06-27,14.14
2013-06-28,14.0
2013-07-01,14.15
2013-07-02,14.13
2013-07-03,14.15
2013-07-05,14.42
2013-07-08,14.3
2013-07-09,14.33
2013-07-10,14.44
2013-07-11,14.58
2013-07-12,14.51
2013-07-15,14.52
2013-07-16,14.47
2013-07-17,14.43
2013-07-18,14.5
2013-07-19,14.45
2013-07-22,14.76
2013-07-23,14.55
2013-07-24,14.53
2013-07-25,14.77
2013-07-26,14.77
2013-07-29,14.5
2013-07-30,14.65
2013-07-31,14.81
2013-08-01,14.93
2013-08-02,14.71
2013-08-05,14.89
2013-08-06,14.75
2013-08-07,14.7
2013-08-08,14.8
2013-08-09,14.7
2013-08-12,14.95
2013-08-13,15.38
2013-08-14,15.53
2013-08-15,15.0
2013-08-16,15.17
2013-08-19,15.16
2013-08-20,15.15
2013-08-21,15.1
2013-08-22,15.26
2013-08-23,15.25
2013-08-26,15.35
2013-08-27,15.11
2013-08-28,14.69
2013-08-29,14.64
2013-08-30,13.96
2013-09-03,13.89
2013-09-04,14.07
2013-09-05,14.18
2013-09-06,14.24
2013-09-09,14.66
2013-09-10,14.9
2013-09-11,14.86
2013-09-12,14.9
2013-09-13,14.61
2013-09-16,14.63
2013-09-17,14.49
2013-09-18,14.57
2013-09-19,14.3
2013-09-20,14.17
2013-09-23,14.86
2013-09-24,14.7
2013-09-25,14.79
2013-09-26,16.33
2013-09-27,16.059998999999998
2013-09-30,16.84
2013-10-01,16.98
2013-10-02,16.9
2013-10-03,16.780001000000002
2013-10-04,16.969998999999998
2013-10-07,16.76
2013-10-08,16.4
2013-10-09,16.360001
2013-10-10,16.540001
2013-10-11,16.25
2013-10-14,16.49
2013-10-15,16.26
2013-10-16,16.68
2013-10-17,16.129998999999998
2013-10-18,16.82
2013-10-21,16.99
2013-10-22,17.35
2013-10-23,17.02
2013-10-24,17.059998999999998
2013-10-25,17.07
2013-10-28,17.059998999999998
2013-10-29,16.84
2013-10-30,16.450001
2013-10-31,16.74
2013-11-01,16.719998999999998
2013-11-04,17.129998999999998
2013-11-05,19.02
2013-11-06,19.0
2013-11-07,18.74
2013-11-08,18.950001
2013-11-11,19.049999
2013-11-12,19.18
2013-11-13,19.309998999999998
2013-11-14,19.969998999999998
2013-11-15,19.6
2013-11-18,20.18
2013-11-19,19.549999
2013-11-20,19.540001
2013-11-21,19.6
2013-11-22,19.559998999999998
2013-11-25,19.48
2013-11-26,19.809998999999998
2013-11-27,19.84
2013-11-29,19.799999
2013-12-02,20.09
2013-12-03,19.610001
2013-12-04,19.65
2013-12-05,19.59
2013-12-06,19.68
2013-12-09,19.52
2013-12-10,19.379998999999998
2013-12-11,19.309998999999998
2013-12-12,19.309998999999998
2013-12-13,19.280001000000002
2013-12-16,19.389999
2013-12-17,19.530001000000002
2013-12-18,19.75
2013-12-19,19.360001
2013-12-20,19.93
2013-12-23,20.02
2013-12-24,20.65
2013-12-26,20.32
2013-12-27,20.35
2013-12-30,20.24
2013-12-31,20.559998999999998
2014-01-02,19.68
2014-01-03,19.549999
2014-01-06,19.0
2014-01-07,18.879998999999998
2014-01-08,18.709999
2014-01-09,18.450001
2014-01-10,18.17
2014-01-13,17.690001000000002
2014-01-14,18.01
2014-01-15,18.1
2014-01-16,18.0
2014-01-17,18.219998999999998
2014-01-21,18.92
2014-01-22,19.110001
2014-01-23,18.690001000000002
2014-01-24,18.129998999999998
2014-01-27,17.99
2014-01-28,18.52
2014-01-29,18.26
2014-01-30,18.559998999999998
2014-01-31,18.469998999999998
2014-02-03,18.42
2014-02-04,17.0
2014-02-05,16.91
2014-02-06,17.280001000000002
2014-02-07,17.4
2014-02-10,17.18
2014-02-11,17.860001
2014-02-12,17.969998999999998
2014-02-13,18.26
2014-02-14,18.74
2014-02-18,18.75
2014-02-19,18.700001
2014-02-20,18.77
2014-02-21,19.01
2014-02-24,18.84
2014-02-25,18.790001
2014-02-26,18.98
2014-02-27,18.969998999999998
2014-02-28,19.42
2014-03-03,19.540001
2014-03-04,20.49
2014-03-05,20.35
2014-03-06,20.17
2014-03-07,20.219998999999998
2014-03-10,20.01
2014-03-11,19.370001000000002
2014-03-12,19.790001
2014-03-13,19.24
2014-03-14,19.700001
2014-03-17,19.889999
2014-03-18,19.83
2014-03-19,20.1
2014-03-20,20.620001000000002
2014-03-21,20.24
2014-03-24,20.08
2014-03-25,19.950001
2014-03-26,19.639999
2014-03-27,20.5
2014-03-28,20.379998999999998
2014-03-31,20.77
2014-04-01,20.49
2014-04-02,21.120001000000002
2014-04-03,21.02
2014-04-04,20.629998999999998
2014-04-07,20.309998999999998
2014-04-08,20.48
2014-04-09,21.129998999999998
2014-04-10,20.559998999999998
2014-04-11,20.27
2014-04-14,20.280001000000002
2014-04-15,20.440001000000002
2014-04-16,20.719998999999998
2014-04-17,21.110001
2014-04-21,21.280001000000002
2014-04-22,21.92
2014-04-23,21.940001000000002
2014-04-24,22.35
2014-04-25,21.780001000000002
2014-04-28,21.030001000000002
2014-04-29,20.950001
2014-04-30,21.6
2014-05-01,21.17
2014-05-02,21.82
2014-05-05,22.059998999999998
2014-05-06,18.99
2014-05-07,18.82
2014-05-08,18.700001
2014-05-09,19.02
2014-05-12,19.700001
2014-05-13,19.51
2014-05-14,18.82
2014-05-15,19.32
2014-05-16,19.440001000000002
