Date,ISBC
2007-01-08,6.143586
2007-01-09,6.127893
2007-01-10,6.139663
2007-01-11,6.18674
2007-01-12,6.202432
2007-01-16,6.167123999999999
2007-01-17,6.092586
2007-01-18,6.076893
2007-01-19,6.112201
2007-01-22,6.1004309999999995
2007-01-23,6.12397
2007-01-24,6.171048000000001
2007-01-25,6.057277
2007-01-26,6.080816
2007-01-29,6.076893
2007-01-30,6.088662
2007-01-31,6.049430999999999
2007-02-01,6.069046
2007-02-02,6.135739
2007-02-05,6.135739
2007-02-06,6.151432
2007-02-07,6.139663
2007-02-08,6.104355
2007-02-09,6.12397
2007-02-12,6.116124
2007-02-13,6.1200470000000005
2007-02-14,6.108278
2007-02-15,6.127893
2007-02-16,6.159278
2007-02-20,6.174971
2007-02-21,6.151432
2007-02-22,6.167123999999999
2007-02-23,6.1475089999999994
2007-02-26,6.155355
2007-02-27,5.990583999999999
2007-02-28,5.9238919999999995
2007-03-01,5.8964300000000005
2007-03-02,5.908199
2007-03-05,5.774814
2007-03-06,5.71989
2007-03-07,5.71989
2007-03-08,5.766967
2007-03-09,5.821891
2007-03-12,5.802275
2007-03-13,5.712044000000001
2007-03-14,5.731659
2007-03-15,5.770891000000001
2007-03-16,5.672813
2007-03-19,5.790506
2007-03-20,5.763044
2007-03-21,5.78266
2007-03-22,5.7395059999999996
2007-03-23,5.727736
2007-03-26,5.65712
2007-03-27,5.610043
2007-03-28,5.586504
2007-03-29,5.625736
2007-03-30,5.664967
2007-04-02,5.602197
2007-04-03,5.598274
2007-04-04,5.590427
2007-04-05,5.515889
2007-04-09,5.453119
2007-04-10,5.500196
2007-04-11,5.488427
2007-04-12,5.4295800000000005
2007-04-13,5.445272
2007-04-16,5.508042
2007-04-17,5.500196
2007-04-18,5.566889
2007-04-19,5.551197
2007-04-20,5.60612
2007-04-23,5.55512
2007-04-24,5.472734
2007-04-25,5.480581
2007-04-26,5.55512
2007-04-27,5.65712
2007-04-30,5.610043
2007-05-01,5.598274
2007-05-02,5.676736
2007-05-03,5.645351
