Date,CCR
2016-07-20,11.14
2016-07-21,10.95
2016-07-22,10.97
2016-07-25,10.98
2016-07-26,13.53
2016-07-27,12.67
2016-07-28,12.52
2016-07-29,12.56
2016-08-01,13.13
2016-08-02,13.26
2016-08-03,14.09
2016-08-04,13.11
2016-08-05,13.05
2016-08-08,12.96
2016-08-09,13.07
2016-08-10,12.58
2016-08-11,12.6
2016-08-12,12.37
2016-08-15,12.75
2016-08-16,12.74
2016-08-17,12.45
2016-08-18,12.72
2016-08-19,12.69
2016-08-22,12.56
2016-08-23,12.75
2016-08-24,12.83
2016-08-25,13.08
2016-08-26,13.1
2016-08-29,13.07
2016-08-30,13.01
2016-08-31,13.12
2016-09-01,13.13
2016-09-02,13.16
2016-09-06,13.75
2016-09-07,14.22
2016-09-08,14.467
2016-09-09,13.52
2016-09-12,13.58
2016-09-13,13.3
2016-09-14,13.99
2016-09-15,14.46
2016-09-16,14.7
2016-09-19,14.67
2016-09-20,15.005
2016-09-21,14.95
2016-09-22,15.06
2016-09-23,15.18
2016-09-26,14.98
2016-09-27,15.15
2016-09-28,15.29
2016-09-29,15.15
2016-09-30,15.5
2016-10-03,16.25
2016-10-04,16.75
2016-10-05,17.48
2016-10-06,17.209999
2016-10-07,17.120001000000002
2016-10-10,16.6
2016-10-11,16.690001000000002
2016-10-12,16.0
2016-10-13,16.25
2016-10-14,16.809998999999998
2016-10-17,16.299999
2016-10-18,16.9
2016-10-19,17.4
2016-10-20,17.65
2016-10-21,17.5
2016-10-24,17.35
2016-10-25,17.65
2016-10-26,17.9
2016-10-27,17.450001
2016-10-28,17.450001
2016-10-31,18.0
2016-11-01,17.5
2016-11-02,17.25
2016-11-03,17.65
2016-11-04,18.0
2016-11-07,18.1
2016-11-08,17.799999
2016-11-09,19.9
2016-11-10,19.700001
2016-11-11,18.65
2016-11-14,20.299999
2016-11-15,20.6
2016-11-16,19.25
2016-11-17,18.549999
2016-11-18,19.450001
2016-11-21,19.25
2016-11-22,19.049999
2016-11-23,19.15
2016-11-25,19.1
2016-11-28,18.700001
2016-11-29,18.799999
2016-11-30,18.950001
2016-12-01,18.4
2016-12-02,19.049999
2016-12-05,19.1
2016-12-06,19.200001
2016-12-07,19.65
2016-12-08,19.4
2016-12-09,18.799999
2016-12-12,17.299999
2016-12-13,17.5
2016-12-14,17.25
2016-12-15,17.15
2016-12-16,17.6
2016-12-19,17.5
2016-12-20,17.85
2016-12-21,17.450001
2016-12-22,18.1
2016-12-23,17.85
2016-12-27,19.4
2016-12-28,18.6
2016-12-29,18.450001
2016-12-30,18.25
2017-01-03,18.85
2017-01-04,18.85
2017-01-05,18.25
2017-01-06,17.85
2017-01-09,17.65
2017-01-10,18.0
2017-01-11,18.0
2017-01-12,18.0
2017-01-13,17.65
2017-01-17,17.799999
2017-01-18,17.75
2017-01-19,17.9
2017-01-20,17.9
2017-01-23,17.85
2017-01-24,18.4
2017-01-25,18.9
2017-01-26,19.25
2017-01-27,19.15
2017-01-30,19.549999
2017-01-31,18.950001
2017-02-01,18.75
2017-02-02,18.4
2017-02-03,18.75
2017-02-06,18.6
2017-02-07,17.799999
2017-02-08,17.299999
2017-02-09,17.0
2017-02-10,16.15
2017-02-13,16.5
2017-02-14,16.65
2017-02-15,16.5
2017-02-16,16.950001
2017-02-17,17.15
2017-02-21,17.75
2017-02-22,17.799999
2017-02-23,17.75
2017-02-24,17.200001
2017-02-27,17.1
2017-02-28,16.700001
2017-03-01,16.700001
2017-03-02,15.8
2017-03-03,15.1
2017-03-06,15.15
2017-03-07,15.15
2017-03-08,15.3
2017-03-09,15.05
2017-03-10,14.65
2017-03-13,15.25
2017-03-14,14.95
2017-03-15,16.15
2017-03-16,15.55
2017-03-17,15.7
2017-03-20,15.7
2017-03-21,15.0
2017-03-22,14.7
2017-03-23,15.8
2017-03-24,15.0
2017-03-27,14.85
2017-03-28,15.3
2017-03-29,16.549999
2017-03-30,16.5
2017-03-31,16.950001
2017-04-03,16.450001
2017-04-04,15.95
2017-04-05,16.200001
2017-04-06,16.75
2017-04-07,16.75
2017-04-10,16.5
2017-04-11,16.799999
2017-04-12,16.299999
2017-04-13,16.25
2017-04-17,15.9
2017-04-18,15.5
2017-04-19,15.15
2017-04-20,15.4
2017-04-21,15.2
2017-04-24,15.45
2017-04-25,15.55
2017-04-26,15.35
2017-04-27,16.15
2017-04-28,16.049999
2017-05-01,16.85
2017-05-02,17.299999
2017-05-03,16.200001
2017-05-04,15.2
2017-05-05,15.6
2017-05-08,15.5
2017-05-09,15.6
2017-05-10,16.25
2017-05-11,16.049999
2017-05-12,15.85
2017-05-15,15.85
2017-05-16,15.85
2017-05-17,15.6
2017-05-18,15.55
2017-05-19,16.0
2017-05-22,16.25
2017-05-23,16.450001
2017-05-24,16.4
2017-05-25,16.299999
2017-05-26,16.15
2017-05-30,15.6
2017-05-31,15.4
2017-06-01,16.15
2017-06-02,16.299999
2017-06-05,16.15
2017-06-06,16.25
2017-06-07,16.0
2017-06-08,16.0
2017-06-09,15.85
2017-06-12,15.65
2017-06-13,16.450001
2017-06-14,16.35
2017-06-15,16.1
2017-06-16,15.85
2017-06-19,15.65
2017-06-20,15.25
2017-06-21,14.8
2017-06-22,15.2
2017-06-23,15.55
2017-06-26,15.55
2017-06-27,15.7
2017-06-28,15.9
2017-06-29,15.55
2017-06-30,14.95
2017-07-03,15.45
2017-07-05,15.5
2017-07-06,15.95
2017-07-07,15.75
2017-07-10,15.75
2017-07-11,15.85
2017-07-12,16.049999
2017-07-13,16.049999
2017-07-14,16.25
2017-07-17,16.0
2017-07-18,16.0
2017-07-19,16.1
2017-07-20,16.15
2017-07-21,16.15
2017-07-24,16.049999
2017-07-25,16.15
2017-07-26,16.1
2017-07-27,16.35
2017-07-28,16.65
2017-07-31,16.5
2017-08-01,16.549999
2017-08-02,16.65
2017-08-03,16.1
2017-08-04,16.15
2017-08-07,16.35
2017-08-08,15.95
2017-08-09,15.9
2017-08-10,16.1
2017-08-11,15.8
2017-08-14,16.1
2017-08-15,16.1
2017-08-16,15.6
2017-08-17,15.7
2017-08-18,15.3
2017-08-21,15.4
2017-08-22,15.3
2017-08-23,15.25
2017-08-24,15.2
2017-08-25,15.5
2017-08-28,15.2
2017-08-29,15.25
2017-08-30,15.1
2017-08-31,15.45
2017-09-01,15.7
2017-09-05,15.15
2017-09-06,15.1
2017-09-07,15.2
2017-09-08,15.0
2017-09-11,15.0
2017-09-12,14.85
2017-09-13,14.7
2017-09-14,14.65
2017-09-15,14.9
2017-09-18,15.05
2017-09-19,15.1
2017-09-20,15.0
2017-09-21,14.85
2017-09-22,14.9
2017-09-25,14.9
2017-09-26,15.1
2017-09-27,14.95
2017-09-28,14.8
2017-09-29,14.8
2017-10-02,14.75
2017-10-03,14.8
2017-10-04,14.85
2017-10-05,14.95
2017-10-06,14.95
2017-10-09,15.0
2017-10-10,15.4
2017-10-11,15.2
2017-10-12,14.95
2017-10-13,15.1
2017-10-16,14.9
2017-10-17,15.1
2017-10-18,15.2
2017-10-19,15.0
2017-10-20,15.1
2017-10-23,15.1
2017-10-24,15.4
2017-10-25,14.9
2017-10-26,14.7
2017-10-27,14.8
2017-10-30,15.0
2017-10-31,14.7
2017-11-01,14.65
2017-11-02,14.5
2017-11-03,14.3
2017-11-06,14.3
2017-11-07,13.9
2017-11-08,13.55
2017-11-09,13.45
2017-11-10,13.4
2017-11-13,13.55
2017-11-14,13.3
2017-11-15,13.5
2017-11-16,13.35
2017-11-17,13.6
2017-11-20,14.35
2017-11-21,14.4
2017-11-22,14.35
2017-11-24,14.25
2017-11-27,14.0
2017-11-28,13.55
2017-11-29,13.65
2017-11-30,14.05
2017-12-01,14.1
2017-12-04,13.7
2017-12-05,13.7
2017-12-06,13.4
2017-12-07,13.9
2017-12-08,14.35
2017-12-11,14.85
2017-12-12,14.7
2017-12-13,14.55
2017-12-14,14.7
2017-12-15,14.6
2017-12-18,14.75
2017-12-19,14.8
2017-12-20,14.8
2017-12-21,14.9
2017-12-22,15.3
2017-12-26,15.2
2017-12-27,15.2
2017-12-28,15.3
2017-12-29,15.65
2018-01-02,15.9
2018-01-03,15.95
2018-01-04,15.95
2018-01-05,16.0
2018-01-08,15.8
2018-01-09,15.7
2018-01-10,15.8
2018-01-11,15.8
2018-01-12,16.0
2018-01-16,15.55
2018-01-17,15.7
2018-01-18,15.7
2018-01-19,15.65
2018-01-22,15.55
2018-01-23,15.7
2018-01-24,16.200001
2018-01-25,16.5
2018-01-26,16.450001
2018-01-29,16.1
2018-01-30,15.95
2018-01-31,15.85
2018-02-01,15.8
2018-02-02,15.5
2018-02-05,15.65
2018-02-06,15.95
2018-02-07,15.331
2018-02-08,15.15
2018-02-09,15.0
2018-02-12,14.562
2018-02-13,14.25
2018-02-14,14.7
2018-02-15,14.9
2018-02-16,14.75
2018-02-20,14.1
2018-02-21,14.85
2018-02-22,15.1
2018-02-23,14.4
2018-02-26,14.2
2018-02-27,14.1
2018-02-28,14.25
2018-03-01,13.9
2018-03-02,14.2
2018-03-05,14.205
2018-03-06,14.8
2018-03-07,14.8
2018-03-08,14.5
2018-03-09,14.5
2018-03-12,14.5
2018-03-13,14.25
2018-03-14,14.6
2018-03-15,14.5
2018-03-16,14.5
2018-03-19,14.55
2018-03-20,14.25
2018-03-21,14.8
2018-03-22,14.35
2018-03-23,14.05
2018-03-26,14.45
2018-03-27,14.15
2018-03-28,13.95
2018-03-29,13.95
2018-04-02,14.15
2018-04-03,14.0
2018-04-04,14.05
2018-04-05,14.5
2018-04-06,14.6
2018-04-09,14.05
2018-04-10,14.5
2018-04-11,14.4
2018-04-12,14.2
2018-04-13,14.45
2018-04-16,14.4
2018-04-17,14.7
2018-04-18,14.75
2018-04-19,14.55
2018-04-20,14.75
2018-04-23,14.8
2018-04-24,14.45
2018-04-25,14.75
2018-04-26,14.9
2018-04-27,14.7
2018-04-30,15.45
2018-05-01,15.15
2018-05-02,15.4
2018-05-03,16.0
2018-05-04,16.15
2018-05-07,15.7
2018-05-08,15.05
2018-05-09,15.098
2018-05-10,14.85
2018-05-11,15.3
2018-05-14,15.5
2018-05-15,15.6
2018-05-16,15.65
2018-05-17,15.9
2018-05-18,15.9
2018-05-21,15.75
2018-05-22,15.4
2018-05-23,15.6
2018-05-24,15.45
2018-05-25,15.65
2018-05-29,15.85
2018-05-30,15.65
2018-05-31,16.0
2018-06-01,16.299999
2018-06-04,16.35
2018-06-05,16.0
2018-06-06,16.1
2018-06-07,16.1
2018-06-08,16.0
2018-06-11,16.25
2018-06-12,16.1
2018-06-13,16.0
2018-06-14,16.25
2018-06-15,16.0
2018-06-18,16.0
2018-06-19,15.875
2018-06-20,15.35
2018-06-21,15.4
2018-06-22,15.4
2018-06-25,15.172
2018-06-26,15.35
2018-06-27,15.1
2018-06-28,15.0
2018-06-29,15.05
2018-07-02,14.8
2018-07-03,15.0
2018-07-05,14.9
2018-07-06,15.1
2018-07-09,15.05
2018-07-10,15.0
2018-07-11,14.95
2018-07-12,15.0
2018-07-13,15.15
2018-07-16,15.05
2018-07-17,15.31
2018-07-18,15.3
2018-07-19,15.25
2018-07-20,15.1
2018-07-23,15.1
2018-07-24,15.2
2018-07-25,15.5
2018-07-26,15.95
2018-07-27,15.9
2018-07-30,16.200001
2018-07-31,16.5
2018-08-01,16.299999
2018-08-02,16.950001
2018-08-03,17.65
2018-08-06,18.25
2018-08-07,17.700001
2018-08-08,17.6
2018-08-09,17.299999
2018-08-10,17.4
2018-08-13,17.0
2018-08-14,16.9
2018-08-15,16.6
2018-08-16,16.799999
2018-08-17,17.0
2018-08-20,17.1
2018-08-21,17.5
2018-08-22,18.0
2018-08-23,18.0
2018-08-24,18.0
2018-08-27,18.200001
2018-08-28,18.6
2018-08-29,18.700001
2018-08-30,18.799999
2018-08-31,18.4
2018-09-04,18.785
2018-09-05,18.9
2018-09-06,18.700001
2018-09-07,18.200001
2018-09-10,18.200001
2018-09-11,17.25
2018-09-12,18.0
2018-09-13,18.0
2018-09-14,18.0
2018-09-17,17.5
2018-09-18,17.950001
2018-09-19,17.700001
2018-09-20,17.950001
2018-09-21,17.950001
2018-09-24,17.950001
2018-09-25,17.85
2018-09-26,17.9
2018-09-27,17.85
2018-09-28,17.950001
2018-10-01,18.16
2018-10-02,18.5
2018-10-03,19.17
2018-10-04,18.950001
2018-10-05,19.15
2018-10-08,17.799999
2018-10-09,18.889999
2018-10-10,18.530001000000002
2018-10-11,18.610001
2018-10-12,18.129998999999998
2018-10-15,18.85
2018-10-16,19.09
2018-10-17,19.139999
2018-10-18,18.26
2018-10-19,18.74
2018-10-22,18.91
2018-10-23,19.309998999999998
2018-10-24,19.07
2018-10-25,19.120001000000002
2018-10-26,19.639999
2018-10-29,18.799999
2018-10-30,19.02
2018-10-31,20.0
2018-11-01,20.200001
2018-11-02,20.33
2018-11-05,20.66
2018-11-06,19.9
2018-11-07,19.6
2018-11-08,19.27
2018-11-09,18.82
2018-11-12,18.76
2018-11-13,18.549999
2018-11-14,18.219998999999998
2018-11-15,18.5
2018-11-16,18.93
2018-11-19,18.51
2018-11-20,17.549999
2018-11-21,18.309998999999998
2018-11-23,17.790001
2018-11-26,16.92
2018-11-27,17.370001000000002
2018-11-28,17.629998999999998
2018-11-29,17.93
2018-11-30,17.549999
2018-12-03,17.700001
2018-12-04,17.139999
2018-12-06,17.18
2018-12-07,17.639999
2018-12-10,17.110001
2018-12-11,17.07
2018-12-12,17.200001
2018-12-13,16.969998999999998
2018-12-14,17.459999
2018-12-17,16.33
2018-12-18,15.85
2018-12-19,16.110001
2018-12-20,15.18
2018-12-21,15.14
2018-12-24,15.06
2018-12-26,15.28
2018-12-27,16.049999
2018-12-28,16.34
2018-12-31,16.41
2019-01-02,17.24
2019-01-03,16.620001000000002
2019-01-04,16.67
2019-01-07,17.01
2019-01-08,17.25
2019-01-09,17.65
2019-01-10,17.469998999999998
2019-01-11,17.25
2019-01-14,17.34
2019-01-15,17.18
2019-01-16,17.07
2019-01-17,17.25
2019-01-18,17.360001
2019-01-22,17.6
2019-01-23,17.66
2019-01-24,17.99
2019-01-25,17.950001
2019-01-28,18.299999
2019-01-29,18.1
2019-01-30,18.48
2019-01-31,18.58
2019-02-01,18.690001000000002
2019-02-04,19.17
2019-02-05,19.01
2019-02-06,18.389999
2019-02-07,17.450001
2019-02-08,17.379998999999998
2019-02-11,17.65
2019-02-12,17.48
2019-02-13,17.690001000000002
2019-02-14,17.950001
2019-02-15,18.040001
2019-02-19,18.280001000000002
2019-02-20,18.200001
2019-02-21,18.49
2019-02-22,18.559998999999998
2019-02-25,18.85
2019-02-26,18.870001000000002
2019-02-27,18.35
2019-02-28,18.549999
2019-03-01,18.040001
2019-03-04,18.200001
2019-03-05,18.08
2019-03-06,17.799999
2019-03-07,17.51
2019-03-08,17.709999
2019-03-11,17.799999
2019-03-12,17.870001000000002
2019-03-13,17.879998999999998
2019-03-14,17.549999
2019-03-15,17.450001
2019-03-18,17.84
2019-03-19,17.67
2019-03-20,17.25
2019-03-21,17.77
2019-03-22,17.440001000000002
2019-03-25,17.360001
2019-03-26,17.450001
2019-03-27,17.35
2019-03-28,17.440001000000002
2019-03-29,17.67
2019-04-01,17.6
2019-04-02,17.559998999999998
2019-04-03,17.440001000000002
2019-04-04,17.6
2019-04-05,17.709999
2019-04-08,17.66
2019-04-09,17.700001
2019-04-10,17.6
2019-04-11,17.620001000000002
2019-04-12,17.879998999999998
2019-04-15,18.01
2019-04-16,17.9
2019-04-17,17.799999
2019-04-18,17.549999
2019-04-22,17.5
2019-04-23,17.66
2019-04-24,17.530001000000002
2019-04-25,17.51
2019-04-26,17.6
2019-04-29,17.6
2019-04-30,17.780001000000002
2019-05-01,17.719998999999998
2019-05-02,17.719998999999998
2019-05-03,18.01
2019-05-06,17.82
2019-05-07,17.48
2019-05-08,17.16
2019-05-09,16.799999
2019-05-10,17.559998999999998
2019-05-13,17.309998999999998
2019-05-14,17.200001
2019-05-15,17.15
2019-05-16,17.08
2019-05-17,16.76
2019-05-20,16.879998999999998
2019-05-21,16.91
2019-05-22,16.65
2019-05-23,16.5
2019-05-24,16.388
2019-05-28,16.33
2019-05-29,16.110001
2019-05-30,16.049999
2019-05-31,15.82
2019-06-03,15.6
2019-06-04,16.02
2019-06-05,15.98
2019-06-06,15.64
2019-06-07,15.86
2019-06-10,15.97
2019-06-11,15.8
2019-06-12,15.63
2019-06-13,15.86
2019-06-14,15.74
2019-06-17,15.62
2019-06-18,15.52
2019-06-19,15.72
2019-06-20,15.94
2019-06-21,16.049999
2019-06-24,16.1
2019-06-25,15.63
2019-06-26,15.97
2019-06-27,15.95
2019-06-28,16.67
2019-07-01,16.15
2019-07-02,16.15
2019-07-03,16.08
2019-07-05,16.0
2019-07-08,16.219998999999998
2019-07-09,16.24
2019-07-10,16.65
2019-07-11,16.57
2019-07-12,16.25
2019-07-15,15.95
2019-07-16,15.95
2019-07-17,16.09
2019-07-18,15.77
2019-07-19,15.6
2019-07-22,15.68
2019-07-23,15.57
2019-07-24,15.46
2019-07-25,15.681
2019-07-26,15.72
2019-07-29,15.7
2019-07-30,16.08
2019-07-31,16.040001
2019-08-01,16.09
2019-08-02,15.8
2019-08-05,15.41
2019-08-06,15.43
2019-08-07,13.7
2019-08-08,13.5
2019-08-09,12.88
2019-08-12,12.9
2019-08-13,12.9
2019-08-14,12.86
2019-08-15,12.94
2019-08-16,13.26
2019-08-19,13.34
2019-08-20,13.575
2019-08-21,13.49
2019-08-22,13.16
2019-08-23,12.91
2019-08-26,12.9
2019-08-27,12.51
2019-08-28,12.55
2019-08-29,13.31
2019-08-30,13.42
2019-09-03,13.2
2019-09-04,13.35
2019-09-05,13.15
2019-09-06,13.05
2019-09-09,13.44
2019-09-10,13.29
2019-09-11,13.41
2019-09-12,13.16
2019-09-13,13.26
2019-09-16,13.13
2019-09-17,13.45
2019-09-18,13.2
2019-09-19,13.21
2019-09-20,13.13
2019-09-23,13.05
2019-09-24,13.11
2019-09-25,13.06
2019-09-26,13.17
2019-09-27,13.35
2019-09-30,13.5
2019-10-01,13.0
2019-10-02,13.19
2019-10-03,12.96
2019-10-04,13.02
2019-10-07,13.1
2019-10-08,12.65
2019-10-09,12.77
2019-10-10,12.61
2019-10-11,12.3
2019-10-14,12.43
2019-10-15,12.55
2019-10-16,12.3
2019-10-17,12.53
2019-10-18,12.477
2019-10-21,12.46
2019-10-22,12.51
2019-10-23,12.56
2019-10-24,12.45
2019-10-25,12.4
2019-10-28,12.08
2019-10-29,10.38
2019-10-30,10.5
2019-10-31,10.75
2019-11-01,11.17
2019-11-04,12.13
2019-11-05,12.55
2019-11-06,12.0
2019-11-07,11.17
2019-11-08,11.01
2019-11-11,10.529
2019-11-12,10.35
2019-11-13,10.15
2019-11-14,10.12
2019-11-15,9.77
2019-11-18,9.0
2019-11-19,8.48
2019-11-20,8.09
2019-11-21,8.5
2019-11-22,8.64
2019-11-25,8.96
2019-11-26,8.95
2019-11-27,8.61
2019-11-29,8.78
2019-12-02,8.42
2019-12-03,8.51
2019-12-04,8.73
2019-12-05,8.84
2019-12-06,9.0
2019-12-09,8.92
2019-12-10,9.4
2019-12-11,9.31
2019-12-12,9.5
2019-12-13,9.35
2019-12-16,9.69
2019-12-17,10.15
2019-12-18,10.57
2019-12-19,10.78
2019-12-20,10.65
2019-12-23,10.86
2019-12-24,10.66
2019-12-26,10.15
2019-12-27,10.0
2019-12-30,9.57
2019-12-31,9.4
2020-01-02,9.87
2020-01-03,10.05
2020-01-06,10.61
2020-01-07,10.17
2020-01-08,10.09
2020-01-09,10.37
2020-01-10,10.1
2020-01-13,10.13
2020-01-14,10.4
2020-01-15,10.33
2020-01-16,10.42
2020-01-17,10.49
2020-01-21,10.08
2020-01-22,9.87
2020-01-23,9.86
2020-01-24,10.0
2020-01-27,10.16
2020-01-28,10.28
2020-01-29,10.6
2020-01-30,10.53
2020-01-31,10.47
2020-02-03,10.53
2020-02-04,11.09
2020-02-05,11.7
2020-02-06,11.72
2020-02-07,10.53
2020-02-10,9.72
2020-02-11,8.9
2020-02-12,8.66
2020-02-13,8.22
2020-02-14,7.7
2020-02-18,8.21
2020-02-19,8.19
2020-02-20,7.9
2020-02-21,7.62
2020-02-24,7.88
2020-02-25,7.79
2020-02-26,7.77
2020-02-27,7.37
2020-02-28,7.29
2020-03-02,8.07
2020-03-03,8.182
2020-03-04,8.16
2020-03-05,8.34
2020-03-06,7.9
2020-03-09,6.61
2020-03-10,7.29
2020-03-11,6.63
2020-03-12,5.57
2020-03-13,5.71
2020-03-16,6.14
2020-03-17,6.19
2020-03-18,5.0
2020-03-19,5.0
2020-03-20,5.18
2020-03-23,4.84
2020-03-24,5.04
2020-03-25,5.93
2020-03-26,6.44
2020-03-27,5.91
2020-03-30,5.89
2020-03-31,5.7
2020-04-01,5.1
2020-04-02,5.52
2020-04-03,5.43
2020-04-06,5.59
2020-04-07,5.42
2020-04-08,5.1
2020-04-09,5.27
2020-04-13,5.22
2020-04-14,5.35
2020-04-15,4.93
2020-04-16,4.89
2020-04-17,5.2
2020-04-20,5.1
2020-04-21,5.17
2020-04-22,5.12
2020-04-23,5.226
2020-04-24,5.57
2020-04-27,4.99
2020-04-28,4.98
2020-04-29,5.08
2020-04-30,5.461
2020-05-01,5.02
2020-05-04,5.28
2020-05-05,5.05
2020-05-06,4.82
2020-05-07,4.58
2020-05-08,4.88
