Date,PLL
2020-04-07,5.14
2020-04-08,5.2
2020-04-09,5.02
2020-04-13,5.28
2020-04-14,5.4
2020-04-15,5.0
2020-04-16,5.194
2020-04-17,5.2
2020-04-20,5.268
2020-04-21,5.1
2020-04-22,5.24
2020-04-23,5.15
2020-04-24,5.068
2020-04-27,6.39
2020-04-28,6.36
2020-04-29,6.3
2020-04-30,6.29
2020-05-01,6.888
2020-05-04,6.199
2020-05-05,5.85
2020-05-06,6.11
2020-05-07,6.45
2020-05-08,6.58
