Date,FNB
1988-06-06,9.939548
1988-06-07,9.939548
1988-06-08,9.939548
1988-06-09,9.939548
1988-06-10,9.939548
1988-06-13,9.939548
1988-06-14,9.939548
1988-06-15,9.939548
1988-06-16,9.939548
1988-06-17,9.939548
1988-06-20,9.939548
1988-06-21,9.939548
1988-06-22,9.939548
1988-06-23,9.939548
1988-06-24,10.231888
1988-06-27,10.231888
1988-06-28,10.231888
1988-06-29,10.231888
1988-06-30,10.231888
1988-07-01,10.231888
1988-07-05,10.231888
1988-07-06,10.231888
1988-07-07,10.231888
1988-07-08,10.085718
1988-07-11,10.085718
1988-07-12,10.085718
1988-07-13,10.085718
1988-07-14,9.939548
1988-07-15,9.939548
1988-07-18,9.939548
1988-07-19,9.647208000000001
1988-07-20,9.647208000000001
1988-07-21,9.647208000000001
1988-07-22,9.647208000000001
1988-07-25,9.647208000000001
1988-07-26,9.647208000000001
1988-07-27,9.793378
1988-07-28,9.793378
1988-07-29,9.793378
1988-08-01,9.793378
1988-08-02,9.793378
1988-08-03,9.793378
1988-08-04,9.793378
1988-08-05,9.793378
1988-08-08,9.793378
1988-08-09,9.793378
1988-08-10,9.647208000000001
1988-08-11,9.647208000000001
1988-08-12,9.354869
1988-08-15,9.354869
1988-08-16,9.354869
1988-08-17,9.354869
1988-08-18,9.354869
1988-08-19,9.354869
1988-08-22,9.354869
1988-08-23,9.354869
1988-08-24,9.354869
1988-08-25,9.062529
1988-08-26,9.062529
1988-08-29,9.062529
1988-08-30,9.062529
1988-08-31,9.062529
1988-09-01,9.062529
1988-09-02,9.062529
1988-09-06,9.062529
1988-09-07,9.062529
1988-09-08,9.062529
1988-09-09,9.062529
1988-09-12,9.062529
1988-09-13,9.062529
1988-09-14,9.062529
1988-09-15,9.062529
1988-09-16,9.062529
1988-09-19,9.062529
1988-09-20,9.062529
1988-09-21,9.062529
1988-09-22,9.062529
1988-09-23,9.062529
1988-09-26,9.062529
1988-09-27,9.062529
1988-09-28,9.062529
1988-09-29,9.062529
1988-09-30,9.062529
1988-10-03,9.062529
1988-10-04,9.062529
1988-10-05,9.062529
1988-10-06,9.062529
1988-10-07,9.062529
1988-10-10,9.062529
1988-10-11,9.062529
1988-10-12,9.062529
1988-10-13,9.062529
1988-10-14,9.062529
1988-10-17,9.062529
1988-10-18,9.062529
1988-10-19,9.062529
1988-10-20,9.062529
1988-10-21,9.062529
1988-10-24,9.062529
1988-10-25,9.062529
1988-10-26,9.062529
1988-10-27,9.062529
1988-10-28,9.062529
1988-10-31,9.062529
1988-11-01,9.062529
1988-11-02,9.062529
1988-11-03,9.062529
1988-11-04,9.062529
1988-11-07,9.062529
1988-11-08,9.062529
1988-11-09,9.062529
1988-11-10,9.062529
1988-11-11,9.062529
1988-11-14,9.062529
1988-11-15,9.062529
1988-11-16,9.062529
1988-11-17,9.062529
1988-11-18,9.062529
1988-11-21,9.062529
1988-11-22,9.062529
1988-11-23,9.062529
1988-11-25,9.062529
1988-11-28,9.062529
1988-11-29,9.062529
1988-11-30,9.062529
1988-12-01,9.062529
1988-12-02,9.062529
1988-12-05,9.062529
1988-12-06,9.062529
1988-12-07,9.062529
1988-12-08,9.208699000000001
1988-12-09,9.208699000000001
1988-12-12,9.208699000000001
1988-12-13,9.208699000000001
1988-12-14,9.208699000000001
1988-12-15,9.208699000000001
1988-12-16,9.208699000000001
1988-12-19,9.208699000000001
1988-12-20,9.208699000000001
1988-12-21,9.208699000000001
1988-12-22,9.208699000000001
1988-12-23,9.208699000000001
1988-12-27,9.208699000000001
1988-12-28,9.208699000000001
1988-12-29,9.208699000000001
1988-12-30,9.208699000000001
1989-01-03,9.208699000000001
1989-01-04,9.208699000000001
1989-01-05,9.062529
1989-01-06,9.208699000000001
1989-01-09,9.208699000000001
1989-01-10,9.208699000000001
1989-01-11,9.208699000000001
1989-01-12,9.208699000000001
1989-01-13,9.062529
1989-01-16,9.062529
1989-01-17,8.770189
1989-01-18,8.916359
1989-01-19,8.916359
1989-01-20,8.916359
1989-01-23,8.916359
1989-01-24,8.916359
1989-01-25,8.916359
1989-01-26,8.916359
1989-01-27,8.916359
1989-01-30,8.916359
1989-01-31,8.916359
1989-02-01,8.916359
1989-02-02,8.916359
1989-02-03,8.916359
1989-02-06,8.916359
1989-02-07,8.916359
1989-02-08,8.916359
1989-02-09,8.916359
1989-02-10,8.916359
1989-02-13,8.916359
1989-02-14,8.916359
1989-02-15,8.916359
1989-02-16,8.916359
1989-02-17,8.916359
1989-02-21,8.916359
1989-02-22,8.916359
1989-02-23,8.916359
1989-02-24,8.770189
1989-02-27,8.770189
1989-02-28,8.770189
1989-03-01,8.770189
1989-03-02,8.770189
1989-03-03,8.770189
1989-03-06,8.770189
1989-03-07,8.770189
1989-03-08,8.770189
1989-03-09,8.770189
1989-03-10,8.770189
1989-03-13,8.770189
1989-03-14,8.770189
1989-03-15,8.770189
1989-03-16,8.770189
1989-03-17,8.770189
1989-03-20,8.770189
1989-03-21,8.770189
1989-03-22,8.770189
1989-03-23,8.770189
1989-03-27,8.770189
1989-03-28,8.770189
1989-03-29,8.770189
1989-03-30,8.770189
1989-03-31,9.062529
1989-04-03,9.062529
1989-04-04,9.062529
1989-04-05,9.062529
1989-04-06,9.062529
1989-04-07,9.062529
1989-04-10,9.062529
1989-04-11,9.062529
1989-04-12,9.062529
1989-04-13,9.062529
1989-04-14,9.062529
1989-04-17,9.062529
1989-04-18,9.062529
1989-04-19,9.062529
1989-04-20,9.354869
1989-04-21,9.354869
1989-04-24,9.354869
1989-04-25,9.208699000000001
1989-04-26,9.208699000000001
1989-04-27,9.062529
1989-04-28,9.062529
1989-05-01,9.062529
1989-05-02,9.062529
1989-05-03,9.062529
1989-05-04,8.770189
1989-05-05,8.770189
1989-05-08,8.770189
1989-05-09,8.770189
1989-05-10,8.770189
1989-05-11,8.770189
1989-05-12,8.770189
1989-05-15,8.770189
1989-05-16,8.770189
1989-05-17,8.770189
1989-05-18,8.770189
1989-05-19,8.770189
1989-05-22,8.770189
1989-05-23,8.770189
1989-05-24,8.770189
1989-05-25,8.770189
1989-05-26,8.770189
1989-05-30,8.770189
1989-05-31,8.770189
1989-06-01,8.770189
1989-06-02,8.770189
1989-06-05,8.770189
1989-06-06,8.770189
1989-06-07,8.770189
1989-06-08,8.62402
1989-06-09,8.62402
1989-06-12,8.62402
1989-06-13,8.62402
1989-06-14,8.62402
