Date,GME
2003-01-03,4.935
2003-01-06,4.94
2003-01-07,5.05
2003-01-08,5.075
2003-01-09,5.3
2003-01-10,5.19
2003-01-13,5.275
2003-01-14,4.95
2003-01-15,4.77
2003-01-16,4.775
2003-01-17,4.775
2003-01-21,4.825
2003-01-22,4.95
2003-01-23,4.875
2003-01-24,4.705
2003-01-27,4.5
2003-01-28,4.495
2003-01-29,4.5
2003-01-30,4.435
2003-01-31,4.25
2003-02-03,4.13
2003-02-04,4.245
2003-02-05,4.125
2003-02-06,4.0
2003-02-07,3.96
2003-02-10,3.86
2003-02-11,3.795
2003-02-12,4.0
2003-02-13,3.96
2003-02-14,4.115
2003-02-18,5.1
2003-02-19,5.2
2003-02-20,5.095
2003-02-21,5.3
2003-02-24,5.175
2003-02-25,5.155
2003-02-26,5.08
2003-02-27,5.13
2003-02-28,5.25
2003-03-03,5.39
2003-03-04,5.2
2003-03-05,5.25
2003-03-06,5.4
2003-03-07,5.46
2003-03-10,5.3
2003-03-11,5.36
2003-03-12,5.5
2003-03-13,5.77
2003-03-14,6.05
2003-03-17,6.075
2003-03-18,6.05
2003-03-19,6.065
2003-03-20,5.9
2003-03-21,6.06
2003-03-24,5.885
2003-03-25,5.95
2003-03-26,6.0
2003-03-27,6.0
2003-03-28,6.02
2003-03-31,6.0
2003-04-01,6.005
2003-04-02,6.09
2003-04-03,5.99
2003-04-04,6.44
2003-04-07,6.475
2003-04-08,6.4
2003-04-09,6.28
2003-04-10,6.165
2003-04-11,6.21
2003-04-14,6.375
2003-04-15,6.275
2003-04-16,6.315
2003-04-17,6.19
2003-04-21,6.3
2003-04-22,6.35
2003-04-23,6.5
2003-04-24,6.2
2003-04-25,6.04
2003-04-28,6.14
2003-04-29,6.34
2003-04-30,5.975
2003-05-01,5.7
2003-05-02,5.63
2003-05-05,5.985
2003-05-06,5.87
2003-05-07,6.64
2003-05-08,6.525
2003-05-09,6.645
2003-05-12,6.855
2003-05-13,6.515
2003-05-14,6.675
2003-05-15,6.495
2003-05-16,6.5
2003-05-19,6.215
2003-05-20,6.04
2003-05-21,6.175
2003-05-22,5.775
2003-05-23,5.875
2003-05-27,6.025
2003-05-28,6.235
2003-05-29,6.235
2003-05-30,6.265
2003-06-02,6.32
2003-06-03,6.31
2003-06-04,6.3
2003-06-05,6.425
2003-06-06,6.45
2003-06-09,6.375
2003-06-10,6.375
2003-06-11,6.375
2003-06-12,6.355
2003-06-13,6.375
2003-06-16,6.595
2003-06-17,6.94
2003-06-18,6.935
2003-06-19,6.77
2003-06-20,6.79
2003-06-23,6.55
2003-06-24,6.69
2003-06-25,6.6
2003-06-26,6.47
2003-06-27,6.275
2003-06-30,6.46
2003-07-01,6.595
2003-07-02,6.8
2003-07-03,6.65
2003-07-07,6.885
2003-07-08,7.295
2003-07-09,7.425
2003-07-10,7.15
2003-07-11,7.025
2003-07-14,7.2
2003-07-15,7.06
2003-07-16,6.81
2003-07-17,6.75
2003-07-18,6.775
2003-07-21,6.6
2003-07-22,6.86
2003-07-23,6.63
2003-07-24,6.725
2003-07-25,6.75
2003-07-28,7.05
2003-07-29,7.125
2003-07-30,7.075
2003-07-31,6.8
2003-08-01,6.765
2003-08-04,6.875
2003-08-05,6.7
2003-08-06,6.55
2003-08-07,6.57
2003-08-08,6.36
2003-08-11,6.33
2003-08-12,6.375
2003-08-13,6.425
2003-08-14,6.55
2003-08-15,6.6
2003-08-18,6.5
2003-08-19,7.16
2003-08-20,7.385
2003-08-21,7.82
2003-08-22,8.14
2003-08-25,8.25
2003-08-26,7.975
2003-08-27,8.2
2003-08-28,8.25
2003-08-29,8.315
2003-09-02,8.65
2003-09-03,8.885
2003-09-04,8.99
2003-09-05,9.0
2003-09-08,8.92
2003-09-09,8.85
2003-09-10,8.62
2003-09-11,8.495
2003-09-12,8.405
2003-09-15,8.6
2003-09-16,8.425
2003-09-17,8.635
2003-09-18,8.575
2003-09-19,8.575
2003-09-22,8.39
2003-09-23,8.575
2003-09-24,8.19
2003-09-25,8.0
2003-09-26,8.125
2003-09-29,8.15
2003-09-30,7.95
2003-10-01,8.125
2003-10-02,8.29
2003-10-03,8.34
2003-10-06,8.625
2003-10-07,8.625
2003-10-08,8.54
2003-10-09,8.75
2003-10-10,8.71
2003-10-13,9.215
2003-10-14,9.425
2003-10-15,9.46
2003-10-16,9.36
2003-10-17,9.125
2003-10-20,9.025
2003-10-21,9.005
2003-10-22,8.775
2003-10-23,8.505
2003-10-24,8.035
2003-10-27,8.34
2003-10-28,8.675
2003-10-29,8.5
2003-10-30,8.5
2003-10-31,8.41
2003-11-03,7.81
2003-11-04,7.935
2003-11-05,8.35
2003-11-06,8.45
2003-11-07,8.4
2003-11-10,8.325
2003-11-11,8.45
2003-11-12,8.635
2003-11-13,8.35
2003-11-14,8.085
2003-11-17,8.0
2003-11-18,7.575
2003-11-19,7.705
2003-11-20,8.11
2003-11-21,8.085
2003-11-24,8.235
2003-11-25,8.065
2003-11-26,8.08
2003-11-28,8.075
2003-12-01,7.995
2003-12-02,7.625
2003-12-03,7.65
2003-12-04,7.43
2003-12-05,7.35
2003-12-08,7.335
2003-12-09,7.15
2003-12-10,7.23
2003-12-11,7.65
2003-12-12,7.57
2003-12-15,7.205
2003-12-16,7.47
2003-12-17,7.35
2003-12-18,7.575
2003-12-19,7.695
2003-12-22,7.52
2003-12-23,7.865
2003-12-24,7.495
2003-12-26,7.53
2003-12-29,7.7
2003-12-30,7.765
2003-12-31,7.705
2004-01-02,7.565
2004-01-05,8.03
2004-01-06,9.0
2004-01-07,8.525
2004-01-08,9.285
2004-01-09,8.985
2004-01-12,8.98
2004-01-13,8.91
2004-01-14,8.79
2004-01-15,8.7
2004-01-16,8.75
2004-01-20,8.7
2004-01-21,8.73
2004-01-22,8.605
2004-01-23,8.495
2004-01-26,8.57
2004-01-27,8.525
2004-01-28,8.275
2004-01-29,8.25
2004-01-30,8.3
2004-02-02,8.175
2004-02-03,8.145
2004-02-04,8.16
2004-02-05,8.25
2004-02-06,8.71
2004-02-09,8.4
2004-02-10,8.6
2004-02-11,8.75
2004-02-12,8.75
2004-02-13,8.59
2004-02-17,9.155
2004-02-18,9.025
2004-02-19,9.03
2004-02-20,9.0
2004-02-23,8.905
2004-02-24,9.315
2004-02-25,9.325
2004-02-26,9.24
2004-02-27,9.325
2004-03-01,9.28
2004-03-02,9.075
2004-03-03,9.145
2004-03-04,9.005
2004-03-05,9.05
2004-03-08,8.9
2004-03-09,8.865
2004-03-10,8.535
2004-03-11,8.43
2004-03-12,8.95
2004-03-15,8.79
2004-03-16,8.585
2004-03-17,8.435
2004-03-18,8.365
2004-03-19,8.535
2004-03-22,8.255
2004-03-23,8.5
2004-03-24,8.495
2004-03-25,8.625
2004-03-26,8.74
2004-03-29,9.065
2004-03-30,8.98
2004-03-31,9.01
2004-04-01,8.965
2004-04-02,9.18
2004-04-05,9.23
2004-04-06,9.2
2004-04-07,9.16
2004-04-08,9.21
2004-04-12,9.225
2004-04-13,8.975
2004-04-14,8.955
2004-04-15,9.145
2004-04-16,9.11
2004-04-19,9.135
2004-04-20,8.995
2004-04-21,9.245
2004-04-22,9.27
2004-04-23,9.075
2004-04-26,9.08
2004-04-27,9.14
2004-04-28,8.995
2004-04-29,8.875
2004-04-30,8.805
2004-05-03,8.885
2004-05-04,9.09
2004-05-05,9.04
2004-05-06,9.025
2004-05-07,8.8
2004-05-10,8.6
2004-05-11,8.75
2004-05-12,8.67
2004-05-13,8.625
2004-05-14,8.535
2004-05-17,8.265
2004-05-18,7.875
2004-05-19,7.75
2004-05-20,7.665
2004-05-21,7.7
2004-05-24,7.695
2004-05-25,7.7
2004-05-26,7.85
2004-05-27,7.865
2004-05-28,7.81
2004-06-01,7.76
2004-06-02,7.78
2004-06-03,7.65
2004-06-04,7.795
2004-06-07,7.975
2004-06-08,7.975
2004-06-09,8.035
2004-06-10,7.91
2004-06-14,7.705
2004-06-15,7.7
2004-06-16,7.89
2004-06-17,7.755
2004-06-18,7.515
2004-06-21,7.5
2004-06-22,7.27
2004-06-23,7.42
2004-06-24,7.365
2004-06-25,7.55
2004-06-28,7.505
2004-06-29,7.45
2004-06-30,7.61
2004-07-01,7.4
2004-07-02,7.43
2004-07-06,7.375
2004-07-07,7.29
2004-07-08,7.35
2004-07-09,7.4
2004-07-12,7.5
2004-07-13,7.57
2004-07-14,7.575
2004-07-15,7.545
2004-07-16,7.525
2004-07-19,7.4
2004-07-20,7.59
2004-07-21,7.76
2004-07-22,7.675
2004-07-23,7.28
2004-07-26,7.285
2004-07-27,7.645
2004-07-28,7.555
2004-07-29,7.695
2004-07-30,7.7
2004-08-02,7.84
2004-08-03,7.65
2004-08-04,7.6
2004-08-05,7.475
2004-08-06,7.5
2004-08-09,7.435
2004-08-10,7.545
2004-08-11,7.52
2004-08-12,7.455
2004-08-13,7.5
2004-08-16,7.9
2004-08-17,8.025
2004-08-18,8.37
2004-08-19,8.575
2004-08-20,8.5
2004-08-23,8.365
2004-08-24,8.48
2004-08-25,8.5
2004-08-26,8.435
2004-08-27,8.495
2004-08-30,8.555
2004-08-31,8.38
2004-09-01,8.47
2004-09-02,8.65
2004-09-03,8.63
2004-09-07,8.665
2004-09-08,8.52
2004-09-09,8.63
2004-09-10,8.62
2004-09-13,8.665
2004-09-14,8.725
2004-09-15,8.765
2004-09-16,8.89
2004-09-17,9.375
2004-09-20,9.05
2004-09-21,9.25
2004-09-22,9.1
2004-09-23,8.925
2004-09-24,9.125
2004-09-27,8.96
2004-09-28,8.89
2004-09-29,9.085
2004-09-30,9.255
2004-10-01,9.46
2004-10-04,9.975
2004-10-05,10.115
2004-10-06,9.945
2004-10-07,9.46
2004-10-08,9.36
2004-10-11,9.56
2004-10-12,9.6
2004-10-13,9.425
2004-10-14,9.225
2004-10-15,9.545
2004-10-18,9.55
2004-10-19,9.465
2004-10-20,9.57
2004-10-21,9.74
2004-10-22,9.635
2004-10-25,9.6
2004-10-26,9.725
2004-10-27,10.005
2004-10-28,9.95
2004-10-29,9.795
2004-11-01,9.905
2004-11-02,10.03
2004-11-03,9.98
2004-11-04,10.15
2004-11-05,10.765
2004-11-08,11.425
2004-11-09,10.995
2004-11-10,10.7
2004-11-11,10.695
2004-11-12,11.75
2004-11-15,11.575
2004-11-16,11.155
2004-11-17,11.0
2004-11-18,10.95
2004-11-19,10.27
2004-11-22,9.895
2004-11-23,10.3
2004-11-24,10.74
2004-11-26,10.85
2004-11-29,10.675
2004-11-30,10.545
2004-12-01,10.55
2004-12-02,10.53
2004-12-03,10.5
2004-12-06,10.52
2004-12-07,10.55
2004-12-08,10.71
2004-12-09,10.71
2004-12-10,10.825
2004-12-13,10.75
2004-12-14,10.615
2004-12-15,10.63
2004-12-16,10.735
2004-12-17,10.575
2004-12-20,10.51
2004-12-21,10.6
2004-12-22,10.965
2004-12-23,10.73
2004-12-27,10.66
2004-12-28,11.125
2004-12-29,11.165
2004-12-30,11.23
2004-12-31,11.18
2005-01-03,10.765
2005-01-04,10.65
2005-01-05,10.64
2005-01-06,10.575
2005-01-07,9.775
2005-01-10,9.7
2005-01-11,9.575
2005-01-12,9.52
2005-01-13,9.49
2005-01-14,9.525
2005-01-18,9.66
2005-01-19,9.68
2005-01-20,9.585
2005-01-21,9.55
2005-01-24,9.34
2005-01-25,9.345
2005-01-26,9.56
2005-01-27,9.62
2005-01-28,9.4
2005-01-31,9.545
2005-02-01,9.635
2005-02-02,10.02
2005-02-03,9.805
2005-02-04,9.83
2005-02-07,9.75
2005-02-08,9.75
2005-02-09,9.56
2005-02-10,9.46
2005-02-11,9.575
2005-02-14,9.625
2005-02-15,9.845
2005-02-16,9.85
2005-02-17,9.88
2005-02-18,9.765
2005-02-22,9.355
2005-02-23,9.42
2005-02-24,9.3
2005-02-25,9.615
2005-02-28,9.705
2005-03-01,10.135
2005-03-02,10.14
2005-03-03,10.175
2005-03-04,10.345
2005-03-07,10.405
2005-03-08,10.265
2005-03-09,10.13
2005-03-10,10.15
2005-03-11,10.145
2005-03-14,9.83
2005-03-15,10.595
2005-03-16,10.4
2005-03-17,10.515
2005-03-18,10.51
2005-03-21,10.305
2005-03-22,9.75
2005-03-23,10.975
2005-03-24,11.275
2005-03-28,11.71
2005-03-29,11.285
2005-03-30,11.36
2005-03-31,11.08
2005-04-01,10.885
2005-04-04,10.89
2005-04-05,11.055
2005-04-06,10.965
2005-04-07,10.995
2005-04-08,10.89
2005-04-11,10.755
2005-04-12,10.975
2005-04-13,10.76
2005-04-14,10.455
2005-04-15,10.805
2005-04-18,11.855
2005-04-19,12.05
2005-04-20,11.71
2005-04-21,11.96
2005-04-22,11.825
2005-04-25,12.18
2005-04-26,12.29
2005-04-27,12.235
2005-04-28,12.265
2005-04-29,12.305
2005-05-02,12.82
2005-05-03,12.75
2005-05-04,12.575
2005-05-05,12.9
2005-05-06,12.915
2005-05-09,12.875
2005-05-10,12.83
2005-05-11,12.865
2005-05-12,12.9
2005-05-13,12.745
2005-05-16,12.835
2005-05-17,13.1
2005-05-18,13.585
2005-05-19,14.01
2005-05-20,14.01
2005-05-23,14.27
2005-05-24,14.875
2005-05-25,14.295
2005-05-26,14.735
2005-05-27,14.935
2005-05-31,14.58
2005-06-01,15.02
2005-06-02,15.05
2005-06-03,15.54
2005-06-06,16.264999
2005-06-07,16.014999
2005-06-08,15.6
2005-06-09,16.145
2005-06-10,16.385
2005-06-13,16.299999
2005-06-14,16.190001000000002
2005-06-15,16.76
2005-06-16,16.495001000000002
2005-06-17,16.535
2005-06-20,16.195
2005-06-21,16.025
2005-06-22,16.25
2005-06-23,16.25
2005-06-24,16.049999
2005-06-27,15.79
2005-06-28,16.209999
2005-06-29,16.235001
2005-06-30,16.355
2005-07-01,16.405001000000002
2005-07-05,16.545
2005-07-06,16.815001000000002
2005-07-07,17.110001
2005-07-08,17.58
2005-07-11,17.735001
2005-07-12,17.85
2005-07-13,17.74
2005-07-14,17.684998999999998
2005-07-15,17.594998999999998
2005-07-18,17.49
2005-07-19,17.49
2005-07-20,17.639999
2005-07-21,17.51
2005-07-22,17.219998999999998
2005-07-25,17.09
2005-07-26,17.025
2005-07-27,17.48
2005-07-28,17.674999
2005-07-29,17.174999
2005-08-01,17.055
2005-08-02,17.35
2005-08-03,17.155001000000002
2005-08-04,16.735001
2005-08-05,16.1
2005-08-08,16.105
2005-08-09,16.450001
2005-08-10,16.469998999999998
2005-08-11,16.25
2005-08-12,15.7
2005-08-15,15.775
2005-08-16,15.035
2005-08-17,14.725
2005-08-18,16.17
2005-08-19,16.49
2005-08-22,17.125
2005-08-23,17.440001000000002
2005-08-24,17.25
2005-08-25,17.225
2005-08-26,17.004998999999998
2005-08-29,16.875
2005-08-30,16.66
2005-08-31,16.875
2005-09-01,16.75
2005-09-02,16.915001
2005-09-06,17.860001
2005-09-07,18.115
2005-09-08,18.004998999999998
2005-09-09,18.07
2005-09-12,18.18
2005-09-13,18.120001000000002
2005-09-14,18.35
2005-09-15,17.92
2005-09-16,18.01
2005-09-19,17.99
2005-09-20,17.655001000000002
2005-09-21,16.559998999999998
2005-09-22,16.700001
2005-09-23,16.9
2005-09-26,16.645
2005-09-27,16.360001
2005-09-28,16.424999
2005-09-29,16.049999
2005-09-30,15.735
2005-10-03,15.485
2005-10-04,15.74
2005-10-05,16.004998999999998
2005-10-06,15.5
2005-10-07,15.35
2005-10-10,15.62
2005-10-11,15.45
2005-10-12,15.375
2005-10-13,15.33
2005-10-14,15.475
2005-10-17,15.775
2005-10-18,16.42
2005-10-19,16.98
2005-10-20,17.02
2005-10-21,17.045
2005-10-24,17.355
2005-10-25,17.834999
2005-10-26,16.940001000000002
2005-10-27,16.52
2005-10-28,17.24
2005-10-31,17.74
2005-11-01,17.799999
2005-11-02,18.125
2005-11-03,18.495001000000002
2005-11-04,18.190001000000002
2005-11-07,18.6
2005-11-08,18.195
2005-11-09,18.48
2005-11-10,18.389999
2005-11-11,17.955
2005-11-14,18.055
2005-11-15,17.77
2005-11-16,17.725
2005-11-17,17.860001
2005-11-18,18.135
2005-11-21,18.9
2005-11-22,18.290001
2005-11-23,17.73
2005-11-25,18.27
2005-11-28,17.59
2005-11-29,17.495001000000002
2005-11-30,16.82
2005-12-01,16.805
2005-12-02,17.6
2005-12-05,17.440001000000002
2005-12-06,17.5
2005-12-07,17.17
2005-12-08,17.325001
2005-12-09,16.975
2005-12-12,17.075001
2005-12-13,16.455
2005-12-14,16.459999
2005-12-15,15.805
2005-12-16,15.77
2005-12-19,15.435
2005-12-20,15.225
2005-12-21,15.395
2005-12-22,15.27
2005-12-23,15.315
2005-12-27,15.435
2005-12-28,15.76
2005-12-29,15.88
2005-12-30,15.91
2006-01-03,16.155001000000002
2006-01-04,16.725
2006-01-05,18.655001000000002
2006-01-06,19.26
2006-01-09,19.165001
2006-01-10,19.35
2006-01-11,19.59
2006-01-12,19.27
2006-01-13,19.17
2006-01-17,19.135
2006-01-18,19.030001000000002
2006-01-19,19.344998999999998
2006-01-20,19.059998999999998
2006-01-23,19.049999
2006-01-24,19.049999
2006-01-25,19.155001000000002
2006-01-26,19.360001
2006-01-27,19.57
2006-01-30,19.775
2006-01-31,20.155001000000002
2006-02-01,21.094998999999998
2006-02-02,21.030001000000002
2006-02-03,21.285
2006-02-06,21.549999
2006-02-07,20.945
2006-02-08,20.875
2006-02-09,20.23
2006-02-10,20.24
2006-02-13,20.094998999999998
2006-02-14,20.264999
2006-02-15,20.315001000000002
2006-02-16,20.85
2006-02-17,20.575001
2006-02-21,20.254998999999998
2006-02-22,20.52
2006-02-23,19.98
2006-02-24,20.025
2006-02-27,20.120001000000002
2006-02-28,20.014999
2006-03-01,20.49
2006-03-02,20.15
2006-03-03,20.5
2006-03-06,20.395
2006-03-07,19.969998999999998
2006-03-08,19.375
2006-03-09,19.125
2006-03-10,19.4
2006-03-13,19.559998999999998
2006-03-14,20.219998999999998
2006-03-15,19.895
2006-03-16,20.049999
2006-03-17,20.549999
2006-03-20,20.700001
2006-03-21,22.5
2006-03-22,22.719998999999998
2006-03-23,22.59
2006-03-24,23.405001000000002
2006-03-27,23.440001000000002
2006-03-28,23.174999
2006-03-29,23.5
2006-03-30,23.5
2006-03-31,23.57
2006-04-03,23.23
2006-04-04,24.02
2006-04-05,24.334999
2006-04-06,24.495001000000002
2006-04-07,24.485001
2006-04-10,24.33
2006-04-11,23.49
2006-04-12,23.555
2006-04-13,23.43
2006-04-17,23.299999
2006-04-18,23.389999
2006-04-19,23.535
2006-04-20,23.76
2006-04-21,23.495001000000002
2006-04-24,23.379998999999998
2006-04-25,23.4
2006-04-26,23.690001000000002
2006-04-27,23.674999
2006-04-28,23.6
2006-05-01,23.799999
2006-05-02,24.01
2006-05-03,23.985001
2006-05-04,23.709999
2006-05-05,24.110001
2006-05-08,23.735001
2006-05-09,23.780001000000002
2006-05-10,23.205
2006-05-11,22.455
2006-05-12,21.975
2006-05-15,21.719998999999998
2006-05-16,22.15
2006-05-17,22.299999
2006-05-18,22.690001000000002
2006-05-19,22.485001
2006-05-22,21.665001
2006-05-23,21.620001000000002
2006-05-24,21.025
2006-05-25,21.735001
2006-05-26,21.790001
2006-05-30,21.09
2006-05-31,21.469998999999998
2006-06-01,21.965
2006-06-02,21.715
2006-06-05,20.485001
2006-06-06,20.84
2006-06-07,20.625
2006-06-08,20.475
2006-06-09,20.700001
2006-06-12,20.049999
2006-06-13,19.754998999999998
2006-06-14,20.190001000000002
2006-06-15,20.625
2006-06-16,19.715
2006-06-19,18.959999
2006-06-20,18.34
2006-06-21,19.209999
2006-06-22,18.405001000000002
2006-06-23,18.834999
2006-06-26,18.565001000000002
2006-06-27,18.389999
2006-06-28,18.57
2006-06-29,19.58
2006-06-30,21.0
2006-07-03,19.885
2006-07-05,19.42
2006-07-06,19.605
2006-07-07,19.040001
2006-07-10,18.504998999999998
2006-07-11,18.66
2006-07-12,18.455
2006-07-13,19.67
2006-07-14,19.469998999999998
2006-07-17,18.834999
2006-07-18,19.719998999999998
2006-07-19,20.459999
2006-07-20,19.434998999999998
2006-07-21,18.934998999999998
2006-07-24,19.540001
2006-07-25,20.135
2006-07-26,20.43
2006-07-27,20.424999
2006-07-28,21.110001
2006-07-31,20.805
2006-08-01,20.235001
2006-08-02,21.455
2006-08-03,22.205
2006-08-04,22.15
2006-08-07,22.35
2006-08-08,22.174999
2006-08-09,21.895
2006-08-10,22.280001000000002
2006-08-11,23.225
2006-08-14,23.055
2006-08-15,23.155001000000002
2006-08-16,23.5
2006-08-17,22.605
2006-08-18,22.215
2006-08-21,21.535
2006-08-22,21.805
2006-08-23,21.82
2006-08-24,21.115
2006-08-25,20.93
2006-08-28,21.285
2006-08-29,21.555
2006-08-30,21.799999
2006-08-31,21.84
2006-09-01,21.629998999999998
2006-09-05,22.09
2006-09-06,21.83
2006-09-07,21.844998999999998
2006-09-08,22.375
2006-09-11,22.799999
2006-09-12,23.639999
2006-09-13,23.975
2006-09-14,23.59
2006-09-15,23.825001
2006-09-18,24.075001
2006-09-19,23.985001
2006-09-20,24.184998999999998
2006-09-21,24.424999
2006-09-22,23.565001000000002
2006-09-25,23.99
2006-09-26,24.125
2006-09-27,23.605
2006-09-28,23.32
2006-09-29,23.139999
2006-10-02,23.055
2006-10-03,23.66
2006-10-04,23.99
2006-10-05,24.115
2006-10-06,23.805
2006-10-09,24.025
2006-10-10,23.995001000000002
2006-10-11,24.525
2006-10-12,25.135
2006-10-13,25.860001
2006-10-16,25.879998999999998
2006-10-17,25.575001
2006-10-18,25.49
2006-10-19,25.635
2006-10-20,25.625
2006-10-23,26.045
2006-10-24,25.450001
2006-10-25,24.84
2006-10-26,25.780001000000002
2006-10-27,25.82
2006-10-30,25.445
2006-10-31,25.530001000000002
2006-11-01,25.045
2006-11-02,25.15
2006-11-03,26.76
2006-11-06,26.629998999999998
2006-11-07,26.52
2006-11-08,26.635
2006-11-09,25.995001000000002
2006-11-10,26.145
2006-11-13,26.145
2006-11-14,26.549999
2006-11-15,26.365
2006-11-16,26.135
2006-11-17,25.870001000000002
2006-11-20,25.58
2006-11-21,26.5
2006-11-22,27.67
2006-11-24,28.325001
2006-11-27,27.504998999999998
2006-11-28,27.200001
2006-11-29,27.6
2006-11-30,28.025
2006-12-01,27.790001
2006-12-04,28.135
2006-12-05,28.375
2006-12-06,28.735001
2006-12-07,28.6
2006-12-08,28.895
2006-12-11,28.615
2006-12-12,28.200001
2006-12-13,28.139999
2006-12-14,28.495001000000002
2006-12-15,28.299999
2006-12-18,27.73
2006-12-19,27.525
2006-12-20,27.58
2006-12-21,27.745001000000002
2006-12-22,27.625
2006-12-26,27.51
2006-12-27,27.855
2006-12-28,27.895
2006-12-29,27.555
2007-01-03,27.450001
2007-01-04,27.705
2007-01-05,27.745001000000002
2007-01-08,27.25
2007-01-09,28.174999
2007-01-10,28.32
