Date,BAP
1997-06-11,19.905504
1997-06-12,20.342987
1997-06-13,20.452358
1997-06-16,20.78047
1997-06-17,20.78047
1997-06-18,20.452358
1997-06-19,20.452358
1997-06-20,20.452358
1997-06-23,20.233616
1997-06-24,19.741447
1997-06-25,19.577391
1997-06-26,18.702423
1997-06-27,19.139908
1997-06-30,19.249279
1997-07-01,19.249279
1997-07-02,19.358648000000002
1997-07-03,19.577391
1997-07-07,19.358648000000002
1997-07-08,19.249279
1997-07-09,19.905504
1997-07-10,19.577391
1997-07-11,19.139908
1997-07-14,17.991512
1997-07-15,16.843119
1997-07-16,17.882141
1997-07-17,17.882141
1997-07-18,17.389973
1997-07-21,16.733747
1997-07-22,17.335287
1997-07-23,17.280602
1997-07-24,17.116545000000002
1997-07-25,17.225916
1997-07-28,17.171229999999998
1997-07-29,16.679062
1997-07-30,17.225916
1997-07-31,16.843119
1997-08-01,16.624376
1997-08-04,17.280602
1997-08-05,17.335287
1997-08-06,17.608715
1997-08-07,17.827456
1997-08-08,17.991512
1997-08-11,18.210255
1997-08-12,18.319626
1997-08-13,18.26494
1997-08-14,18.374311
1997-08-15,18.155569
1997-08-18,17.991512
1997-08-19,17.991512
1997-08-20,17.936826999999997
1997-08-21,17.718086
1997-08-22,17.608715
1997-08-25,17.991512
1997-08-26,17.882141
1997-08-27,18.26494
1997-08-28,18.319626
1997-08-29,18.428997
1997-09-02,19.030537
1997-09-03,18.702423
1997-09-04,18.702423
1997-09-05,18.757109
1997-09-08,18.811794
1997-09-09,19.194592999999998
1997-09-10,19.303963
1997-09-11,18.374311
1997-09-12,17.280602
1997-09-15,16.897804
1997-09-16,17.171229999999998
1997-09-17,17.280602
1997-09-18,16.843119
1997-09-19,16.733747
1997-09-22,17.116545000000002
1997-09-23,16.843119
1997-09-24,16.405634
1997-09-25,16.35095
1997-09-26,16.515005
1997-09-29,16.515005
1997-09-30,16.624376
1997-10-01,16.95249
1997-10-02,17.007175
1997-10-03,17.007175
1997-10-06,16.95249
1997-10-07,17.280602
1997-10-08,17.061860999999997
1997-10-09,16.95249
1997-10-10,16.843119
1997-10-13,17.061860999999997
1997-10-14,17.225916
1997-10-15,17.061860999999997
1997-10-16,16.679062
1997-10-17,16.679062
1997-10-20,16.405634
1997-10-21,16.843119
1997-10-22,16.733747
1997-10-23,16.405634
1997-10-24,16.296265
1997-10-27,14.710385999999998
1997-10-28,15.640038
1997-10-29,15.093183999999999
1997-10-30,14.983813
1997-10-31,15.694723999999999
1997-11-03,16.35095
1997-11-04,16.569691
1997-11-05,16.95249
1997-11-06,16.95249
1997-11-07,16.46032
1997-11-10,16.733747
1997-11-11,16.569691
1997-11-12,15.749410000000001
1997-11-13,15.311926000000001
1997-11-14,15.038499
1997-11-17,15.475982
1997-11-18,15.25724
1997-11-19,15.147869
1997-11-20,15.749410000000001
1997-11-21,15.85878
1997-11-24,15.694723999999999
1997-11-25,15.421297000000001
1997-11-26,15.475982
1997-11-28,15.968151
1997-12-01,15.913464999999999
1997-12-02,16.241579
1997-12-03,16.077522000000002
