Date,NVTRQ
2016-07-22,6.62
2016-07-25,6.5
2016-07-26,6.3
2016-07-27,6.39
2016-07-28,6.57
2016-07-29,6.61
2016-08-01,6.44
2016-08-02,6.32
2016-08-03,6.29
2016-08-04,6.27
2016-08-05,6.22
2016-08-08,6.49
2016-08-09,6.83
2016-08-10,6.64
2016-08-11,7.23
2016-08-12,6.97
2016-08-15,7.23
2016-08-16,7.04
2016-08-17,7.92
2016-08-18,7.71
2016-08-19,7.23
2016-08-22,7.35
2016-08-23,7.01
2016-08-24,7.02
2016-08-25,6.88
2016-08-26,6.79
2016-08-29,6.93
2016-08-30,6.84
2016-08-31,6.85
2016-09-01,6.85
2016-09-02,6.94
2016-09-06,6.84
2016-09-07,6.89
2016-09-08,7.09
2016-09-09,6.84
2016-09-12,6.67
2016-09-13,6.5
2016-09-14,6.41
2016-09-15,6.3
2016-09-16,6.67
2016-09-19,6.61
2016-09-20,6.96
2016-09-21,6.97
2016-09-22,6.85
2016-09-23,6.93
2016-09-26,6.92
2016-09-27,6.9
2016-09-28,6.81
2016-09-29,6.62
2016-09-30,6.92
2016-10-03,6.59
2016-10-04,6.66
2016-10-05,6.66
2016-10-06,6.57
2016-10-07,6.53
2016-10-10,6.58
2016-10-11,6.54
2016-10-12,6.59
2016-10-13,6.44
2016-10-14,6.29
2016-10-17,6.3
2016-10-18,6.33
2016-10-19,6.29
2016-10-20,6.16
2016-10-21,5.97
2016-10-24,5.77
2016-10-25,5.4
2016-10-26,5.52
2016-10-27,5.55
2016-10-28,5.43
2016-10-31,5.37
2016-11-01,5.31
2016-11-02,5.05
2016-11-03,4.925
2016-11-04,5.04
2016-11-07,5.13
2016-11-08,4.98
2016-11-09,5.07
2016-11-10,4.92
2016-11-11,4.85
2016-11-14,4.74
2016-11-15,4.88
2016-11-16,4.95
2016-11-17,5.48
2016-11-18,5.72
2016-11-21,5.65
2016-11-22,5.52
2016-11-23,5.79
2016-11-25,5.85
2016-11-28,5.88
2016-11-29,5.87
2016-11-30,5.74
2016-12-01,5.8
2016-12-02,5.88
2016-12-05,6.01
2016-12-06,5.97
2016-12-07,5.86
2016-12-08,5.65
2016-12-09,5.57
2016-12-12,5.84
2016-12-13,5.71
2016-12-14,5.51
2016-12-15,5.18
2016-12-16,5.33
2016-12-19,5.31
2016-12-20,5.22
2016-12-21,5.15
2016-12-22,5.04
2016-12-23,5.03
2016-12-27,5.01
2016-12-28,5.03
2016-12-29,5.06
2016-12-30,5.03
2017-01-03,5.01
2017-01-04,5.47
2017-01-05,5.48
2017-01-06,5.58
2017-01-09,5.44
2017-01-10,5.85
2017-01-11,6.29
2017-01-12,6.4
2017-01-13,6.29
2017-01-17,6.45
2017-01-18,6.3
2017-01-19,6.28
2017-01-20,6.31
2017-01-23,6.11
2017-01-24,6.37
2017-01-25,6.55
2017-01-26,6.61
2017-01-27,7.0
2017-01-30,7.67
2017-01-31,7.78
2017-02-01,7.83
2017-02-02,7.77
2017-02-03,7.94
2017-02-06,8.02
2017-02-07,7.55
2017-02-08,7.495
2017-02-09,7.61
2017-02-10,7.61
2017-02-13,7.3
2017-02-14,7.43
2017-02-15,7.44
2017-02-16,7.51
2017-02-17,7.85
2017-02-21,7.85
2017-02-22,7.89
2017-02-23,7.66
2017-02-24,7.66
2017-02-27,7.76
2017-02-28,7.42
2017-03-01,7.54
2017-03-02,7.51
2017-03-03,7.34
2017-03-06,7.51
2017-03-07,7.01
2017-03-08,6.3
2017-03-09,6.12
2017-03-10,6.46
2017-03-13,6.34
2017-03-14,5.94
2017-03-15,6.06
2017-03-16,6.46
2017-03-17,6.35
2017-03-20,6.29
2017-03-21,6.33
2017-03-22,6.3
2017-03-23,6.15
2017-03-24,6.43
2017-03-27,6.79
2017-03-28,7.02
2017-03-29,6.95
2017-03-30,6.9
2017-03-31,6.83
2017-04-03,6.68
2017-04-04,6.55
2017-04-05,6.51
2017-04-06,6.45
2017-04-07,6.36
2017-04-10,6.48
2017-04-11,6.53
2017-04-12,6.61
2017-04-13,6.69
2017-04-17,7.02
2017-04-18,7.06
2017-04-19,7.1
2017-04-20,7.71
2017-04-21,7.52
2017-04-24,7.47
2017-04-25,7.65
2017-04-26,7.72
2017-04-27,7.87
2017-04-28,8.18
2017-05-01,8.19
2017-05-02,7.98
2017-05-03,7.93
2017-05-04,7.96
2017-05-05,7.94
2017-05-08,8.13
2017-05-09,7.95
2017-05-10,8.49
2017-05-11,8.86
2017-05-12,8.65
2017-05-15,8.9
2017-05-16,9.11
2017-05-17,9.0
2017-05-18,9.25
2017-05-19,9.4
2017-05-22,9.71
2017-05-23,9.85
2017-05-24,9.99
2017-05-25,10.09
2017-05-26,10.81
2017-05-30,10.08
2017-05-31,9.64
2017-06-01,9.79
2017-06-02,9.925
2017-06-05,9.97
2017-06-06,10.29
2017-06-07,10.58
2017-06-08,11.2
2017-06-09,11.56
2017-06-12,11.19
2017-06-13,11.5
2017-06-14,11.72
2017-06-15,12.0
2017-06-16,12.81
2017-06-19,13.43
2017-06-20,13.89
2017-06-21,13.81
2017-06-22,13.48
2017-06-23,12.87
2017-06-26,12.87
2017-06-27,12.5
2017-06-28,12.99
2017-06-29,13.58
2017-06-30,13.28
2017-07-03,13.12
2017-07-05,12.86
2017-07-06,12.71
2017-07-07,13.0
2017-07-10,12.73
2017-07-11,13.0
2017-07-12,12.61
2017-07-13,12.9
2017-07-14,12.71
2017-07-17,12.45
2017-07-18,12.37
2017-07-19,12.27
2017-07-20,12.37
2017-07-21,12.2
2017-07-24,12.1
2017-07-25,11.92
2017-07-26,11.82
2017-07-27,11.77
2017-07-28,11.87
2017-07-31,11.66
2017-08-01,11.76
2017-08-02,11.55
2017-08-03,11.52
2017-08-04,12.08
2017-08-07,12.17
2017-08-08,12.03
2017-08-09,11.61
2017-08-10,11.0
2017-08-11,11.65
2017-08-14,11.96
2017-08-15,11.73
2017-08-16,11.92
2017-08-17,11.69
2017-08-18,11.41
2017-08-21,11.13
2017-08-22,11.22
2017-08-23,10.81
2017-08-24,10.99
2017-08-25,10.91
2017-08-28,10.61
2017-08-29,10.81
2017-08-30,10.76
2017-08-31,10.79
2017-09-01,10.84
2017-09-05,10.56
2017-09-06,10.29
2017-09-07,10.41
2017-09-08,10.61
2017-09-11,10.61
2017-09-12,10.93
2017-09-13,11.6
2017-09-14,11.79
2017-09-15,11.99
2017-09-18,12.12
2017-09-19,11.87
2017-09-20,11.98
2017-09-21,12.01
2017-09-22,12.08
2017-09-25,12.83
2017-09-26,13.22
2017-09-27,13.23
2017-09-28,13.09
2017-09-29,13.26
2017-10-02,13.21
2017-10-03,13.12
2017-10-04,13.05
2017-10-05,13.29
2017-10-06,13.44
2017-10-09,14.0
2017-10-10,13.87
2017-10-11,14.06
2017-10-12,13.91
2017-10-13,13.96
2017-10-16,13.96
2017-10-17,13.91
2017-10-18,14.52
2017-10-19,14.04
2017-10-20,13.76
2017-10-23,13.3899
2017-10-24,13.36
2017-10-25,13.26
2017-10-26,12.94
2017-10-27,13.56
2017-10-30,13.68
2017-10-31,14.01
2017-11-01,13.8
2017-11-02,10.06
2017-11-03,10.29
2017-11-06,9.96
2017-11-07,8.955
2017-11-08,8.17
2017-11-09,7.9201
2017-11-10,8.25
2017-11-13,8.4599
2017-11-14,8.28
2017-11-15,8.03
2017-11-16,8.2
2017-11-17,8.53
2017-11-20,8.61
2017-11-21,9.0
2017-11-22,8.76
2017-11-24,8.69
2017-11-27,9.179
2017-11-28,9.22
2017-11-29,9.16
2017-11-30,8.9
2017-12-01,9.06
2017-12-04,8.86
2017-12-05,9.14
2017-12-06,9.01
2017-12-07,9.04
2017-12-08,9.06
2017-12-11,9.0
2017-12-12,8.92
2017-12-13,8.95
2017-12-14,8.97
2017-12-15,8.85
2017-12-18,8.58
2017-12-19,8.46
2017-12-20,8.3
2017-12-21,7.91
2017-12-22,7.73
2017-12-26,7.72
2017-12-27,7.78
2017-12-28,8.0
2017-12-29,7.76
2018-01-02,7.94
2018-01-03,7.93
2018-01-04,7.85
2018-01-05,7.86
2018-01-08,9.65
2018-01-09,9.9
2018-01-10,9.79
2018-01-11,9.645
2018-01-12,9.43
2018-01-16,8.83
2018-01-17,8.65
2018-01-18,8.805
2018-01-19,9.01
2018-01-22,8.72
2018-01-23,8.76
2018-01-24,8.58
2018-01-25,8.69
2018-01-26,8.66
2018-01-29,8.37
2018-01-30,8.2
2018-01-31,8.12
2018-02-01,8.83
2018-02-02,8.92
2018-02-05,8.81
2018-02-06,9.03
2018-02-07,9.45
2018-02-08,9.05
2018-02-09,8.96
2018-02-12,8.86
2018-02-13,8.91
2018-02-14,10.26
2018-02-15,10.74
2018-02-16,10.05
2018-02-20,10.24
2018-02-21,10.06
2018-02-22,10.05
2018-02-23,10.2
2018-02-26,10.45
2018-02-27,10.59
2018-02-28,10.67
2018-03-01,10.61
2018-03-02,10.81
2018-03-05,10.81
2018-03-06,10.58
2018-03-07,10.52
2018-03-08,11.23
2018-03-09,11.36
2018-03-12,11.74
2018-03-13,11.84
2018-03-14,11.92
2018-03-15,11.69
2018-03-16,12.3
2018-03-19,12.82
2018-03-20,12.87
2018-03-21,12.99
2018-03-22,12.89
2018-03-23,12.41
2018-03-26,13.17
2018-03-27,13.09
2018-03-28,13.32
2018-03-29,13.02
2018-04-02,12.83
2018-04-03,12.71
2018-04-04,12.86
2018-04-05,13.47
2018-04-06,13.05
2018-04-09,13.47
2018-04-10,13.53
2018-04-11,13.09
2018-04-12,13.65
2018-04-13,13.39
2018-04-16,13.76
2018-04-17,13.66
2018-04-18,13.97
2018-04-19,13.89
2018-04-20,13.75
2018-04-23,13.48
2018-04-24,13.45
2018-04-25,12.88
2018-04-26,13.03
2018-04-27,13.11
2018-04-30,12.88
2018-05-01,13.14
2018-05-02,13.13
2018-05-03,15.03
2018-05-04,16.059998999999998
2018-05-07,16.790001
2018-05-08,16.5
2018-05-09,16.299999
2018-05-10,16.48
2018-05-11,16.73
2018-05-14,16.889999
2018-05-15,17.08
2018-05-16,16.870001000000002
2018-05-17,17.43
2018-05-18,16.92
2018-05-21,16.49
2018-05-22,16.389999
2018-05-23,16.620001000000002
2018-05-24,16.959999
2018-05-25,16.790001
2018-05-29,16.43
2018-05-30,16.940001000000002
2018-05-31,16.85
2018-06-01,17.709999
2018-06-04,18.43
2018-06-05,18.75
2018-06-06,19.25
2018-06-07,19.25
2018-06-08,19.959999
2018-06-11,20.67
2018-06-12,21.52
2018-06-13,21.68
2018-06-14,22.799999
2018-06-15,22.02
2018-06-18,22.15
2018-06-19,22.25
2018-06-20,23.0
2018-06-21,22.709999
2018-06-22,23.01
2018-06-25,21.42
2018-06-26,21.74
2018-06-27,21.030001000000002
2018-06-28,20.59
2018-06-29,20.530001000000002
2018-07-02,17.379998999999998
2018-07-03,18.094998999999998
2018-07-05,17.530001000000002
2018-07-06,18.09
2018-07-09,17.360001
2018-07-10,17.08
2018-07-11,16.85
2018-07-12,17.5
2018-07-13,16.23
2018-07-16,16.1
2018-07-17,16.24
2018-07-18,15.07
2018-07-19,16.27
2018-07-20,16.02
2018-07-23,15.71
2018-07-24,15.3
2018-07-25,16.4
2018-07-26,15.85
2018-07-27,15.36
2018-07-30,15.17
2018-07-31,15.68
2018-08-01,16.280001000000002
2018-08-02,16.4
2018-08-03,15.41
2018-08-06,15.41
2018-08-07,15.36
2018-08-08,17.52
2018-08-09,17.24
2018-08-10,18.139999
2018-08-13,17.77
2018-08-14,17.85
2018-08-15,18.93
2018-08-16,19.77
2018-08-17,20.85
2018-08-20,20.809998999999998
2018-08-21,21.459999
2018-08-22,20.68
2018-08-23,21.059998999999998
2018-08-24,21.18
2018-08-27,21.6
2018-08-28,22.25
2018-08-29,22.690001000000002
2018-08-30,23.040001
2018-08-31,23.34
2018-09-04,22.549999
2018-09-05,22.379998999999998
2018-09-06,22.83
2018-09-07,21.99
2018-09-10,22.620001000000002
2018-09-11,22.26
2018-09-12,22.57
2018-09-13,22.690001000000002
2018-09-14,22.889999
2018-09-17,21.51
2018-09-18,20.83
2018-09-19,20.65
2018-09-20,22.360001
2018-09-21,22.469998999999998
2018-09-24,22.120001000000002
2018-09-25,22.620001000000002
2018-09-26,22.27
2018-09-27,22.07
2018-09-28,21.98
2018-10-01,24.1
2018-10-02,23.68
2018-10-03,23.969998999999998
2018-10-04,24.33
2018-10-05,24.32
2018-10-08,23.690001000000002
2018-10-09,23.190001000000002
2018-10-10,22.65
2018-10-11,21.32
2018-10-12,21.75
2018-10-15,21.18
2018-10-16,21.93
2018-10-17,22.33
2018-10-18,22.02
2018-10-19,20.790001
2018-10-22,20.75
2018-10-23,20.35
2018-10-24,18.780001000000002
2018-10-25,19.35
2018-10-26,19.08
2018-10-29,19.24
2018-10-30,19.950001
2018-10-31,20.01
2018-11-01,21.370001000000002
2018-11-02,21.389999
2018-11-05,20.889999
2018-11-06,20.02
2018-11-07,19.1
2018-11-08,19.139999
2018-11-09,18.379998999999998
2018-11-12,17.450001
2018-11-13,17.43
2018-11-14,17.76
2018-11-15,18.17
2018-11-16,18.440001000000002
2018-11-19,16.84
2018-11-20,16.889999
2018-11-21,17.219998999999998
2018-11-23,17.5
2018-11-26,17.4
2018-11-27,17.360001
2018-11-28,19.02
2018-11-29,19.08
2018-11-30,19.969998999999998
2018-12-03,20.58
2018-12-04,18.959999
2018-12-06,18.559998999999998
2018-12-07,17.92
2018-12-10,17.99
2018-12-11,17.85
2018-12-12,17.5
2018-12-13,17.4
2018-12-14,16.65
2018-12-17,16.27
2018-12-18,16.290001
2018-12-19,15.09
2018-12-20,14.2
2018-12-21,13.71
2018-12-24,13.47
2018-12-26,15.21
2018-12-27,15.15
2018-12-28,15.83
2018-12-31,16.34
2019-01-02,16.950001
2019-01-03,14.88
2019-01-04,15.86
2019-01-07,15.41
2019-01-08,15.9
2019-01-09,15.63
2019-01-10,15.74
2019-01-11,15.5
2019-01-14,14.45
2019-01-15,14.97
2019-01-16,14.75
2019-01-17,14.56
2019-01-18,14.01
2019-01-22,14.26
2019-01-23,13.92
2019-01-24,14.12
2019-01-25,14.58
2019-01-28,14.39
2019-01-29,13.95
2019-01-30,14.18
2019-01-31,14.0
2019-02-01,13.44
2019-02-04,13.31
2019-02-05,12.99
2019-02-06,13.18
2019-02-07,13.17
2019-02-08,13.08
2019-02-11,13.3
2019-02-12,13.54
2019-02-13,13.56
2019-02-14,13.94
2019-02-15,14.0
2019-02-19,14.25
2019-02-20,14.22
2019-02-21,13.86
2019-02-22,13.99
2019-02-25,13.83
2019-02-26,13.42
2019-02-27,12.76
2019-02-28,12.57
2019-03-01,12.77
2019-03-04,12.89
2019-03-05,12.0
2019-03-06,11.51
2019-03-07,12.05
2019-03-08,11.88
2019-03-11,12.3
2019-03-12,12.39
2019-03-13,12.54
2019-03-14,12.48
2019-03-15,12.47
2019-03-18,12.71
2019-03-19,12.35
2019-03-20,12.54
2019-03-21,12.62
2019-03-22,11.64
2019-03-25,12.42
2019-03-26,11.59
2019-03-27,11.32
2019-03-28,11.17
2019-03-29,11.01
2019-04-01,10.36
2019-04-02,11.11
2019-04-03,10.52
2019-04-04,10.37
2019-04-05,10.52
2019-04-08,10.47
2019-04-09,10.51
2019-04-10,10.54
2019-04-11,10.28
2019-04-12,10.52
2019-04-15,10.67
2019-04-16,10.61
2019-04-17,9.86
2019-04-18,9.71
2019-04-22,9.77
2019-04-23,9.87
2019-04-24,9.62
2019-04-25,9.34
2019-04-26,9.37
2019-04-29,9.42
2019-04-30,9.44
2019-05-01,9.39
2019-05-02,6.13
2019-05-03,6.14
2019-05-06,6.05
2019-05-07,5.96
2019-05-08,5.93
2019-05-09,5.95
2019-05-10,5.6
2019-05-13,5.27
2019-05-14,5.38
2019-05-15,5.09
2019-05-16,4.69
2019-05-17,4.51
2019-05-20,4.41
2019-05-21,4.27
2019-05-22,4.2
2019-05-23,3.93
2019-05-24,3.97
2019-05-28,4.0
2019-05-29,3.86
2019-05-30,3.88
2019-05-31,3.79
2019-06-03,3.87
2019-06-04,4.12
2019-06-05,3.76
2019-06-06,3.7
2019-06-07,3.63
2019-06-10,3.81
2019-06-11,3.96
2019-06-12,3.66
2019-06-13,3.95
2019-06-14,3.71
2019-06-17,3.93
2019-06-18,3.76
2019-06-19,3.8
2019-06-20,3.77
2019-06-21,3.6
2019-06-24,3.4
2019-06-25,3.24
2019-06-26,3.17
2019-06-27,3.26
2019-06-28,3.35
2019-07-01,3.11
2019-07-02,2.96
2019-07-03,2.9
2019-07-05,2.87
2019-07-08,2.66
2019-07-09,2.83
2019-07-10,2.8
2019-07-11,2.78
2019-07-12,2.71
2019-07-15,2.64
2019-07-16,2.53
2019-07-17,2.57
2019-07-18,2.28
2019-07-19,2.12
2019-07-22,2.03
2019-07-23,2.06
2019-07-24,2.61
2019-07-25,2.25
2019-07-26,2.12
2019-07-29,2.01
2019-07-30,2.15
2019-07-31,2.12
2019-08-01,2.02
2019-08-02,1.81
2019-08-05,1.72
2019-08-06,1.93
2019-08-07,1.94
2019-08-08,1.96
2019-08-09,1.83
2019-08-12,1.82
2019-08-13,1.7
2019-08-14,1.6
2019-08-15,1.55
2019-08-16,1.64
2019-08-19,1.53
2019-08-20,1.45
2019-08-21,1.45
2019-08-22,1.35
2019-08-23,1.32
2019-08-26,1.43
2019-08-27,2.09
2019-08-28,1.98
2019-08-29,2.29
2019-08-30,1.95
2019-09-03,2.07
2019-09-04,2.01
2019-09-05,1.97
2019-09-06,1.96
2019-09-09,1.87
2019-09-10,1.77
2019-09-11,1.83
2019-09-12,1.56
2019-09-13,1.42
2019-09-16,1.48
2019-09-17,1.45
2019-09-18,1.51
2019-09-19,1.44
2019-09-20,1.53
2019-09-23,1.54
2019-09-24,1.43
2019-09-25,1.275
2019-09-26,1.25
2019-09-27,1.315
2019-09-30,1.36
2019-10-01,1.38
2019-10-02,1.35
2019-10-03,1.37
2019-10-04,1.35
2019-10-07,1.35
2019-10-08,1.34
2019-10-09,1.34
2019-10-10,1.27
2019-10-11,1.44
2019-10-14,1.4
2019-10-15,1.455
2019-10-16,1.58
2019-10-17,1.49
2019-10-18,1.79
2019-10-21,1.85
2019-10-22,1.71
2019-10-23,1.68
2019-10-24,1.57
2019-10-25,1.5
2019-10-28,1.38
2019-10-29,1.41
2019-10-30,1.35
2019-10-31,1.32
2019-11-01,1.47
2019-11-04,1.45
2019-11-05,1.4
2019-11-06,1.35
2019-11-07,1.35
2019-11-08,1.31
2019-11-11,1.315
2019-11-12,1.39
2019-11-13,0.2253
2019-11-14,0.235
2019-11-15,0.1756
2019-11-18,0.1795
2019-11-19,0.22
2019-11-20,0.1692
2019-11-21,0.13
2019-11-22,0.2001
2019-11-25,0.187
2019-11-26,0.17
2019-11-27,0.126
2019-11-29,0.13
2019-12-02,0.14129
2019-12-03,0.1576
2019-12-04,0.155
2019-12-05,0.155
2019-12-06,0.14
2019-12-09,0.146
2019-12-10,0.14
2019-12-11,0.12995
2019-12-12,0.133
2019-12-13,0.132
2019-12-16,0.126
2019-12-17,0.11
2019-12-18,0.11
2019-12-19,0.11
2019-12-20,0.105
2019-12-23,0.095
2019-12-24,0.09445
2019-12-26,0.087
2019-12-27,0.11
2019-12-30,0.0974
2019-12-31,0.095
2020-01-02,0.1149
2020-01-03,0.1098
2020-01-06,0.1
2020-01-07,0.1
2020-01-08,0.094
2020-01-09,0.105
2020-01-10,0.12
2020-01-13,0.1199
2020-01-14,0.129
2020-01-15,0.16
2020-01-16,0.17
2020-01-17,0.18
2020-01-21,0.205
2020-01-22,0.24
2020-01-23,0.24
2020-01-24,0.21
2020-01-27,0.212
2020-01-28,0.22
2020-01-29,0.22
2020-01-30,0.12
2020-01-31,0.155
2020-02-03,0.1385
2020-02-04,0.166
2020-02-05,0.215
2020-02-06,0.17
2020-02-07,0.1599
2020-02-10,0.165
2020-02-11,0.16
2020-02-12,0.17
2020-02-13,0.134
2020-02-14,0.15
2020-02-18,0.1499
2020-02-19,0.1299
2020-02-20,0.11
2020-02-21,0.11388
2020-02-24,0.105
2020-02-25,0.0973
2020-02-26,0.1048
2020-02-27,0.095
2020-02-28,0.09
2020-03-02,0.1333
2020-03-03,0.052329999999999995
2020-03-04,0.049
2020-03-05,0.04
2020-03-06,0.05
2020-03-09,0.0485
2020-03-10,0.03
2020-03-11,0.02495
2020-03-12,0.0105
2020-03-13,0.02
2020-03-16,0.03
2020-03-17,0.025
2020-03-18,0.01
2020-03-19,0.0145
2020-03-20,0.0139
2020-03-23,0.014
2020-03-24,0.0125
2020-03-25,0.014
2020-03-26,0.015
2020-03-27,0.015
2020-03-30,0.01
2020-03-31,0.015
2020-04-01,0.02
2020-04-02,0.01212
2020-04-03,0.0146
2020-04-06,0.016
2020-04-07,0.011
2020-04-08,0.015
2020-04-09,0.0135
2020-04-13,0.016
2020-04-14,0.0136
2020-04-15,0.0151
2020-04-16,0.014
2020-04-17,0.013
2020-04-20,0.017
2020-04-21,0.0112
2020-04-22,0.012
2020-04-23,0.017
2020-04-24,0.016
2020-04-27,0.015
2020-04-28,0.013
2020-04-29,0.014
2020-04-30,0.011
2020-05-01,0.013
2020-05-04,0.018
2020-05-05,0.01
2020-05-06,0.01445
2020-05-07,0.015
2020-05-08,0.0135
