Date,SWI
2019-05-29,17.92
2019-05-30,17.780001000000002
2019-05-31,17.5
2019-06-03,16.950001
2019-06-04,17.290001
2019-06-05,17.27
2019-06-06,17.469998999999998
2019-06-07,17.780001000000002
2019-06-10,18.610001
2019-06-11,18.290001
2019-06-12,18.219998999999998
2019-06-13,18.219998999999998
2019-06-14,18.02
2019-06-17,18.26
2019-06-18,18.040001
2019-06-19,18.43
2019-06-20,18.870001000000002
2019-06-21,18.77
2019-06-24,18.59
2019-06-25,18.530001000000002
2019-06-26,17.85
2019-06-27,18.27
2019-06-28,18.34
2019-07-01,18.0
2019-07-02,18.360001
2019-07-03,18.42
2019-07-05,18.68
2019-07-08,18.469998999999998
2019-07-09,18.91
2019-07-10,18.790001
2019-07-11,19.059998999999998
2019-07-12,18.91
2019-07-15,19.35
2019-07-16,18.950001
2019-07-17,18.959999
2019-07-18,18.93
2019-07-19,18.15
2019-07-22,17.84
2019-07-23,17.889999
2019-07-24,18.01
2019-07-25,17.92
2019-07-26,18.08
2019-07-29,17.76
2019-07-30,17.92
2019-07-31,17.92
2019-08-01,17.9
2019-08-02,17.700001
2019-08-05,17.15
2019-08-06,16.84
2019-08-07,16.98
2019-08-08,17.6
2019-08-09,17.43
2019-08-12,17.049999
2019-08-13,17.24
2019-08-14,16.879998999999998
2019-08-15,16.93
2019-08-16,17.23
2019-08-19,17.07
2019-08-20,17.0
2019-08-21,17.450001
2019-08-22,17.33
2019-08-23,17.27
2019-08-26,17.129998999999998
2019-08-27,16.92
2019-08-28,16.870001000000002
2019-08-29,17.190001000000002
2019-08-30,17.02
2019-09-03,16.85
2019-09-04,16.98
2019-09-05,17.52
2019-09-06,17.440001000000002
2019-09-09,17.639999
2019-09-10,18.360001
2019-09-11,18.68
2019-09-12,18.82
2019-09-13,18.77
2019-09-16,19.1
2019-09-17,19.139999
2019-09-18,19.25
2019-09-19,19.209999
2019-09-20,19.0
2019-09-23,18.389999
2019-09-24,18.450001
2019-09-25,18.84
2019-09-26,19.110001
2019-09-27,18.860001
2019-09-30,18.450001
2019-10-01,18.639999
2019-10-02,17.959999
2019-10-03,18.299999
2019-10-04,18.57
2019-10-07,18.6
2019-10-08,18.110001
2019-10-09,18.25
2019-10-10,18.18
2019-10-11,18.639999
2019-10-14,18.76
2019-10-15,19.0
2019-10-16,18.73
2019-10-17,18.98
2019-10-18,18.799999
2019-10-21,19.030001000000002
2019-10-22,18.84
2019-10-23,18.959999
2019-10-24,19.559998999999998
2019-10-25,19.74
2019-10-28,19.809998999999998
2019-10-29,20.049999
2019-10-30,20.42
2019-10-31,18.950001
2019-11-01,18.969998999999998
2019-11-04,18.76
2019-11-05,19.120001000000002
2019-11-06,19.24
2019-11-07,19.42
2019-11-08,19.43
2019-11-11,19.360001
2019-11-12,18.969998999999998
2019-11-13,18.620001000000002
2019-11-14,18.92
2019-11-15,19.23
2019-11-18,19.209999
2019-11-19,19.18
2019-11-20,19.129998999999998
2019-11-21,19.09
2019-11-22,19.02
2019-11-25,19.25
2019-11-26,19.17
2019-11-27,19.17
2019-11-29,19.34
2019-12-02,18.889999
2019-12-03,18.93
2019-12-04,18.82
2019-12-05,18.43
2019-12-06,18.6
2019-12-09,18.219998999999998
2019-12-10,18.18
2019-12-11,18.33
2019-12-12,17.440001000000002
2019-12-13,17.83
2019-12-16,18.200001
2019-12-17,18.040001
2019-12-18,18.5
2019-12-19,18.51
2019-12-20,18.27
2019-12-23,18.290001
2019-12-24,18.49
2019-12-26,18.469998999999998
2019-12-27,18.48
2019-12-30,18.5
2019-12-31,18.549999
2020-01-02,18.85
2020-01-03,18.49
2020-01-06,18.42
2020-01-07,18.450001
2020-01-08,18.68
2020-01-09,18.98
2020-01-10,18.299999
2020-01-13,18.41
2020-01-14,18.43
2020-01-15,18.43
2020-01-16,18.59
2020-01-17,18.889999
2020-01-21,18.860001
2020-01-22,19.059998999999998
2020-01-23,18.809998999999998
2020-01-24,18.83
2020-01-27,18.530001000000002
2020-01-28,18.82
2020-01-29,18.84
2020-01-30,19.139999
2020-01-31,18.92
2020-02-03,20.280001000000002
2020-02-04,21.1
2020-02-05,19.389999
2020-02-06,19.09
2020-02-07,18.77
2020-02-10,18.65
2020-02-11,19.01
2020-02-12,19.18
2020-02-13,18.66
2020-02-14,18.57
2020-02-18,18.549999
2020-02-19,18.59
2020-02-20,18.559998999999998
2020-02-21,18.059998999999998
2020-02-24,17.92
2020-02-25,17.26
2020-02-26,17.690001000000002
2020-02-27,17.360001
2020-02-28,18.219998999999998
2020-03-02,18.48
2020-03-03,18.01
2020-03-04,18.18
2020-03-05,17.52
2020-03-06,17.5
2020-03-09,16.139999
2020-03-10,16.799999
2020-03-11,16.709999
2020-03-12,14.65
2020-03-13,15.84
2020-03-16,13.36
2020-03-17,13.65
2020-03-18,12.58
2020-03-19,12.8
2020-03-20,12.74
2020-03-23,12.5
2020-03-24,14.6
2020-03-25,14.86
2020-03-26,15.41
2020-03-27,15.28
2020-03-30,15.34
2020-03-31,15.67
2020-04-01,15.53
2020-04-02,15.73
2020-04-03,14.32
2020-04-06,16.23
2020-04-07,16.530001000000002
2020-04-08,16.5
2020-04-09,17.07
2020-04-13,16.76
2020-04-14,16.6
2020-04-15,16.42
2020-04-16,16.290001
2020-04-17,16.98
2020-04-20,16.34
2020-04-21,15.6
2020-04-22,15.72
2020-04-23,15.72
2020-04-24,15.45
2020-04-27,16.18
2020-04-28,16.17
2020-04-29,17.18
2020-04-30,16.98
2020-05-01,17.200001
2020-05-04,16.9
2020-05-05,17.25
2020-05-06,17.09
2020-05-07,17.77
2020-05-08,17.0
