Date,SNAP
2017-06-30,17.77
2017-07-03,17.59
2017-07-05,17.32
2017-07-06,17.309998999999998
2017-07-07,17.18
2017-07-10,16.99
2017-07-11,15.47
2017-07-12,15.24
2017-07-13,15.69
2017-07-14,15.27
2017-07-17,15.13
2017-07-18,14.73
2017-07-19,14.97
2017-07-20,14.89
2017-07-21,14.48
2017-07-24,14.08
2017-07-25,13.89
2017-07-26,13.4
2017-07-27,14.0
2017-07-28,13.81
2017-07-31,13.67
2017-08-01,13.1
2017-08-02,12.65
2017-08-03,12.93
2017-08-04,13.52
2017-08-07,13.39
2017-08-08,13.02
2017-08-09,13.56
2017-08-10,13.77
2017-08-11,11.83
2017-08-14,12.6
2017-08-15,12.74
2017-08-16,13.12
2017-08-17,13.35
2017-08-18,14.01
2017-08-21,13.58
2017-08-22,14.53
2017-08-23,15.09
2017-08-24,14.53
2017-08-25,14.78
2017-08-28,15.19
2017-08-29,14.99
2017-08-30,14.96
2017-08-31,14.51
2017-09-01,14.27
2017-09-05,14.49
2017-09-06,14.5
2017-09-07,15.15
2017-09-08,15.34
2017-09-11,15.27
2017-09-12,15.13
2017-09-13,15.03
2017-09-14,14.91
2017-09-15,15.25
2017-09-18,14.92
2017-09-19,14.72
2017-09-20,14.16
2017-09-21,13.77
2017-09-22,13.7
2017-09-25,13.22
2017-09-26,13.91
2017-09-27,14.12
2017-09-28,14.45
2017-09-29,14.54
2017-10-02,14.88
2017-10-03,14.64
2017-10-04,14.53
2017-10-05,14.48
2017-10-06,14.79
2017-10-09,14.71
2017-10-10,14.34
2017-10-11,15.98
2017-10-12,16.549999
2017-10-13,16.5
2017-10-16,16.07
2017-10-17,16.09
2017-10-18,15.75
2017-10-19,15.25
2017-10-20,15.56
2017-10-23,14.97
2017-10-24,14.59
2017-10-25,14.16
2017-10-26,14.39
2017-10-27,15.44
2017-10-30,15.68
2017-10-31,15.34
2017-11-01,14.51
2017-11-02,14.55
2017-11-03,15.27
2017-11-06,14.83
2017-11-07,15.12
2017-11-08,12.91
2017-11-09,12.38
2017-11-10,12.76
2017-11-13,12.4
2017-11-14,12.57
2017-11-15,12.46
2017-11-16,12.56
2017-11-17,12.99
2017-11-20,12.41
2017-11-21,12.34
2017-11-22,12.62
2017-11-24,12.97
2017-11-27,13.06
2017-11-28,13.61
2017-11-29,13.7
2017-11-30,13.78
2017-12-01,13.87
2017-12-04,13.57
2017-12-05,14.94
2017-12-06,14.6
2017-12-07,14.7
2017-12-08,15.07
2017-12-11,16.219998999999998
2017-12-12,15.93
2017-12-13,15.96
2017-12-14,16.040001
2017-12-15,15.75
2017-12-18,16.1
2017-12-19,15.77
2017-12-20,15.5
2017-12-21,15.37
2017-12-22,15.15
2017-12-26,15.01
2017-12-27,14.84
2017-12-28,14.85
2017-12-29,14.61
2018-01-02,14.95
2018-01-03,15.31
2018-01-04,14.59
2018-01-05,14.5
2018-01-08,14.06
2018-01-09,14.1
2018-01-10,14.65
2018-01-11,14.6
2018-01-12,14.11
2018-01-16,13.5
2018-01-17,13.52
2018-01-18,14.01
2018-01-19,14.04
2018-01-22,14.17
2018-01-23,14.25
2018-01-24,14.44
2018-01-25,13.71
2018-01-26,13.56
2018-01-29,13.47
2018-01-30,13.26
2018-01-31,13.52
2018-02-01,13.92
2018-02-02,13.71
2018-02-05,13.85
2018-02-06,14.06
2018-02-07,20.75
2018-02-08,19.389999
2018-02-09,18.799999
2018-02-12,18.629998999999998
2018-02-13,18.58
2018-02-14,19.559998999999998
2018-02-15,19.75
2018-02-16,20.42
2018-02-20,18.93
2018-02-21,18.639999
2018-02-22,17.51
2018-02-23,17.450001
2018-02-26,17.09
2018-02-27,16.32
2018-02-28,17.32
2018-03-01,17.209999
2018-03-02,18.01
2018-03-05,18.25
2018-03-06,18.01
2018-03-07,18.02
2018-03-08,17.65
2018-03-09,17.879998999999998
2018-03-12,18.110001
2018-03-13,17.51
2018-03-14,17.85
2018-03-15,17.200001
2018-03-16,17.01
2018-03-19,16.42
2018-03-20,16.0
2018-03-21,16.57
2018-03-22,16.57
2018-03-23,16.360001
2018-03-26,16.25
2018-03-27,16.200001
2018-03-28,15.95
2018-03-29,15.87
2018-04-02,14.46
2018-04-03,14.08
2018-04-04,14.59
2018-04-05,14.39
2018-04-06,14.25
2018-04-09,14.15
2018-04-10,14.48
2018-04-11,14.8
2018-04-12,14.92
2018-04-13,14.88
2018-04-16,14.58
2018-04-17,14.88
2018-04-18,14.65
2018-04-19,14.84
2018-04-20,15.2
2018-04-23,15.54
2018-04-24,15.63
2018-04-25,14.54
2018-04-26,14.7
2018-04-27,14.23
2018-04-30,14.33
2018-05-01,14.13
2018-05-02,11.03
2018-05-03,10.97
2018-05-04,10.79
2018-05-07,10.74
2018-05-08,10.97
2018-05-09,11.01
2018-05-10,11.01
2018-05-11,11.04
2018-05-14,10.98
2018-05-15,10.65
2018-05-16,10.58
2018-05-17,10.57
2018-05-18,10.58
2018-05-21,10.71
2018-05-22,10.74
2018-05-23,10.65
2018-05-24,10.6
2018-05-25,10.71
2018-05-29,10.55
2018-05-30,10.97
2018-05-31,11.39
2018-06-01,11.63
2018-06-04,12.32
2018-06-05,12.93
2018-06-06,13.13
2018-06-07,12.73
2018-06-08,13.08
2018-06-11,13.17
2018-06-12,13.42
2018-06-13,13.62
2018-06-14,13.87
2018-06-15,14.02
2018-06-18,14.05
2018-06-19,13.31
2018-06-20,12.8
2018-06-21,13.24
2018-06-22,13.2
2018-06-25,13.1
2018-06-26,13.0
2018-06-27,12.82
2018-06-28,13.4
2018-06-29,13.09
2018-07-02,13.15
2018-07-03,13.15
2018-07-05,13.21
2018-07-06,13.53
2018-07-09,13.65
2018-07-10,13.31
2018-07-11,13.4
2018-07-12,13.65
2018-07-13,13.36
2018-07-16,13.07
2018-07-17,13.42
2018-07-18,13.35
2018-07-19,13.43
2018-07-20,13.27
2018-07-23,13.39
2018-07-24,13.14
2018-07-25,13.39
2018-07-26,13.37
2018-07-27,12.83
2018-07-30,12.27
2018-07-31,12.5
2018-08-01,12.38
2018-08-02,12.7
2018-08-03,12.73
2018-08-06,13.05
2018-08-07,13.12
2018-08-08,12.23
2018-08-09,12.31
2018-08-10,12.31
2018-08-13,12.57
2018-08-14,12.34
2018-08-15,12.18
2018-08-16,12.17
2018-08-17,11.89
2018-08-20,11.73
2018-08-21,11.44
2018-08-22,11.44
2018-08-23,11.4
2018-08-24,11.63
2018-08-27,11.81
2018-08-28,11.29
2018-08-29,11.17
2018-08-30,11.08
2018-08-31,10.9
2018-09-04,10.59
2018-09-05,10.11
2018-09-06,9.8
2018-09-07,9.93
2018-09-10,9.74
2018-09-11,9.89
2018-09-12,9.2
2018-09-13,9.35
2018-09-14,9.29
2018-09-17,9.18
2018-09-18,9.13
2018-09-19,9.16
2018-09-20,9.21
2018-09-21,9.14
2018-09-24,8.95
2018-09-25,9.05
2018-09-26,8.99
2018-09-27,8.8
2018-09-28,8.48
2018-10-01,8.36
2018-10-02,8.18
2018-10-03,8.23
2018-10-04,7.8
2018-10-05,7.77
2018-10-08,7.48
2018-10-09,7.0
2018-10-10,6.59
2018-10-11,6.81
2018-10-12,7.18
2018-10-15,7.4
2018-10-16,7.25
2018-10-17,7.06
2018-10-18,6.81
2018-10-19,6.81
2018-10-22,6.84
2018-10-23,6.82
2018-10-24,6.59
2018-10-25,6.99
2018-10-26,6.28
2018-10-29,5.99
2018-10-30,6.43
2018-10-31,6.61
2018-11-01,7.2
2018-11-02,6.82
2018-11-05,6.9
2018-11-06,7.09
2018-11-07,7.2
2018-11-08,7.02
2018-11-09,6.79
2018-11-12,6.65
2018-11-13,6.71
2018-11-14,6.48
2018-11-15,6.82
2018-11-16,6.49
2018-11-19,6.05
2018-11-20,6.09
2018-11-21,6.35
2018-11-23,6.2
2018-11-26,6.5
2018-11-27,6.4
2018-11-28,6.51
2018-11-29,6.4
2018-11-30,6.51
2018-12-03,6.36
2018-12-04,6.21
2018-12-06,5.97
2018-12-07,5.8
2018-12-10,5.67
2018-12-11,5.75
2018-12-12,5.91
2018-12-13,5.86
2018-12-14,5.92
2018-12-17,5.58
2018-12-18,5.65
2018-12-19,5.41
2018-12-20,5.07
2018-12-21,4.99
2018-12-24,5.18
2018-12-26,5.42
2018-12-27,5.35
2018-12-28,5.71
2018-12-31,5.51
2019-01-02,5.79
2019-01-03,5.68
2019-01-04,5.95
2019-01-07,6.21
2019-01-08,6.4
2019-01-09,6.28
2019-01-10,6.22
2019-01-11,6.28
2019-01-14,6.31
2019-01-15,6.54
2019-01-16,5.64
2019-01-17,5.74
2019-01-18,6.18
2019-01-22,5.93
2019-01-23,5.99
2019-01-24,6.17
2019-01-25,6.4
2019-01-28,6.34
2019-01-29,6.43
2019-01-30,6.57
2019-01-31,6.68
2019-02-01,6.91
2019-02-04,6.93
2019-02-05,7.04
2019-02-06,8.59
2019-02-07,8.57
2019-02-08,9.1
2019-02-11,8.99
2019-02-12,8.8
2019-02-13,9.07
2019-02-14,9.19
2019-02-15,9.12
2019-02-19,9.28
2019-02-20,9.24
2019-02-21,9.39
2019-02-22,9.71
2019-02-25,10.12
2019-02-26,10.08
2019-02-27,9.81
2019-02-28,9.8
2019-03-01,9.8
2019-03-04,9.92
2019-03-05,10.08
2019-03-06,9.87
2019-03-07,9.49
2019-03-08,9.48
2019-03-11,9.96
2019-03-12,9.88
2019-03-13,10.05
2019-03-14,11.28
2019-03-15,11.16
2019-03-18,10.94
2019-03-19,10.63
2019-03-20,10.94
2019-03-21,11.01
2019-03-22,10.73
2019-03-25,10.72
2019-03-26,10.76
2019-03-27,10.64
2019-03-28,10.79
2019-03-29,11.02
2019-04-01,11.36
2019-04-02,11.22
2019-04-03,11.16
2019-04-04,11.28
2019-04-05,11.84
2019-04-08,12.27
2019-04-09,12.35
2019-04-10,12.02
2019-04-11,11.9
2019-04-12,11.97
2019-04-15,11.85
2019-04-16,11.69
2019-04-17,11.75
2019-04-18,11.67
2019-04-22,11.53
2019-04-23,11.99
2019-04-24,11.26
2019-04-25,10.79
2019-04-26,10.91
2019-04-29,11.22
2019-04-30,11.14
2019-05-01,11.2
2019-05-02,11.24
2019-05-03,11.8
2019-05-06,11.77
2019-05-07,11.17
2019-05-08,10.82
2019-05-09,10.98
2019-05-10,10.49
2019-05-13,10.11
2019-05-14,10.49
2019-05-15,10.66
2019-05-16,11.42
2019-05-17,11.49
2019-05-20,11.19
2019-05-21,11.54
2019-05-22,11.31
2019-05-23,11.12
2019-05-24,11.56
2019-05-28,11.57
2019-05-29,11.68
2019-05-30,11.99
2019-05-31,11.89
2019-06-03,11.69
2019-06-04,12.95
2019-06-05,12.94
2019-06-06,13.82
2019-06-07,13.87
2019-06-10,13.77
2019-06-11,13.54
2019-06-12,13.75
2019-06-13,14.11
2019-06-14,13.96
2019-06-17,13.55
2019-06-18,14.86
2019-06-19,14.67
2019-06-20,14.84
2019-06-21,14.56
2019-06-24,14.76
2019-06-25,14.53
2019-06-26,14.71
2019-06-27,14.58
2019-06-28,14.3
2019-07-01,14.35
2019-07-02,14.1
2019-07-03,14.76
2019-07-05,15.23
2019-07-08,15.14
2019-07-09,15.25
2019-07-10,15.26
2019-07-11,15.57
2019-07-12,15.61
2019-07-15,15.5
2019-07-16,15.0
2019-07-17,14.93
2019-07-18,14.55
2019-07-19,14.02
2019-07-22,14.15
2019-07-23,14.83
2019-07-24,17.610001
2019-07-25,17.690001000000002
2019-07-26,17.889999
2019-07-29,17.5
2019-07-30,16.93
2019-07-31,16.799999
2019-08-01,16.68
2019-08-02,17.030001000000002
2019-08-05,16.459999
2019-08-06,16.290001
2019-08-07,15.91
2019-08-08,16.76
2019-08-09,16.98
2019-08-12,16.809998999999998
2019-08-13,17.0
2019-08-14,16.360001
2019-08-15,15.99
2019-08-16,15.98
2019-08-19,16.16
2019-08-20,16.08
2019-08-21,16.139999
2019-08-22,16.08
2019-08-23,15.55
2019-08-26,16.110001
2019-08-27,15.51
2019-08-28,15.55
2019-08-29,15.78
2019-08-30,15.83
2019-09-03,15.93
2019-09-04,15.8
2019-09-05,15.87
2019-09-06,16.620001000000002
2019-09-09,15.31
2019-09-10,15.02
2019-09-11,15.31
2019-09-12,15.77
2019-09-13,16.0
2019-09-16,15.76
2019-09-17,16.83
2019-09-18,16.9
2019-09-19,16.879998999999998
2019-09-20,17.040001
2019-09-23,17.120001000000002
2019-09-24,17.040001
2019-09-25,17.110001
2019-09-26,17.0
2019-09-27,16.02
2019-09-30,15.8
2019-10-01,15.52
2019-10-02,14.8
2019-10-03,14.3
2019-10-04,14.52
2019-10-07,14.47
2019-10-08,14.15
2019-10-09,14.21
2019-10-10,14.08
2019-10-11,14.16
2019-10-14,13.76
2019-10-15,14.09
2019-10-16,13.67
2019-10-17,13.78
2019-10-18,13.52
2019-10-21,14.58
2019-10-22,14.0
2019-10-23,13.18
2019-10-24,13.52
2019-10-25,13.96
2019-10-28,14.68
2019-10-29,14.64
2019-10-30,14.86
2019-10-31,15.06
2019-11-01,15.18
2019-11-04,15.35
2019-11-05,14.83
2019-11-06,14.41
2019-11-07,14.16
2019-11-08,14.19
2019-11-11,14.39
2019-11-12,14.38
2019-11-13,14.47
2019-11-14,14.37
2019-11-15,13.94
2019-11-18,14.69
2019-11-19,15.16
2019-11-20,15.31
2019-11-21,15.08
2019-11-22,15.26
2019-11-25,15.5
2019-11-26,15.46
2019-11-27,15.35
2019-11-29,15.25
2019-12-02,14.6
2019-12-03,14.92
2019-12-04,15.0
2019-12-05,14.68
2019-12-06,14.74
2019-12-09,14.23
2019-12-10,14.09
2019-12-11,14.23
2019-12-12,14.45
2019-12-13,15.09
2019-12-16,15.11
2019-12-17,15.1
2019-12-18,15.11
2019-12-19,15.46
2019-12-20,15.55
2019-12-23,15.49
2019-12-24,15.61
2019-12-26,15.97
2019-12-27,16.030001000000002
2019-12-30,15.89
2019-12-31,16.33
2020-01-02,16.780001000000002
2020-01-03,16.75
2020-01-06,16.780001000000002
2020-01-07,17.030001000000002
2020-01-08,16.67
2020-01-09,17.360001
2020-01-10,17.41
2020-01-13,18.0
2020-01-14,17.99
2020-01-15,18.190001000000002
2020-01-16,18.25
2020-01-17,19.110001
2020-01-21,19.0
2020-01-22,19.1
2020-01-23,19.25
2020-01-24,19.049999
2020-01-27,18.620001000000002
2020-01-28,18.99
2020-01-29,19.139999
2020-01-30,18.879998999999998
2020-01-31,18.379998999999998
2020-02-03,18.23
2020-02-04,18.98
2020-02-05,16.190001000000002
2020-02-06,17.0
2020-02-07,17.129998999999998
2020-02-10,17.6
2020-02-11,17.610001
2020-02-12,17.4
2020-02-13,17.59
2020-02-14,17.559998999999998
2020-02-18,17.17
2020-02-19,17.200001
2020-02-20,16.92
2020-02-21,16.700001
2020-02-24,16.15
2020-02-25,15.89
2020-02-26,15.67
2020-02-27,14.66
2020-02-28,14.17
2020-03-02,14.39
2020-03-03,13.55
2020-03-04,13.63
2020-03-05,13.85
2020-03-06,13.0
2020-03-09,11.45
2020-03-10,11.99
2020-03-11,10.81
2020-03-12,10.42
2020-03-13,11.35
2020-03-16,9.06
2020-03-17,8.91
2020-03-18,8.37
2020-03-19,9.47
2020-03-20,10.09
2020-03-23,10.65
2020-03-24,11.0
2020-03-25,11.23
2020-03-26,11.95
2020-03-27,12.18
2020-03-30,11.85
2020-03-31,11.89
2020-04-01,11.21
2020-04-02,11.27
2020-04-03,11.06
2020-04-06,12.16
2020-04-07,12.1
2020-04-08,13.22
2020-04-09,13.61
2020-04-13,13.54
2020-04-14,13.78
2020-04-15,13.58
2020-04-16,13.02
2020-04-17,12.98
2020-04-20,12.92
2020-04-21,12.44
2020-04-22,17.01
2020-04-23,16.059998999999998
2020-04-24,16.0
2020-04-27,16.91
2020-04-28,16.41
2020-04-29,17.83
2020-04-30,17.610001
2020-05-01,16.790001
2020-05-04,17.1
2020-05-05,17.51
2020-05-06,17.33
2020-05-07,18.15
2020-05-08,18.23
