Date,CZR
2012-08-10,8.12
2012-08-13,8.09
2012-08-14,8.0
2012-08-15,8.13
2012-08-16,8.11
2012-08-17,8.15
2012-08-20,8.24
2012-08-21,8.22
2012-08-22,8.21
2012-08-23,8.25
2012-08-24,8.04
2012-08-27,7.8
2012-08-28,7.32
2012-08-29,7.32
2012-08-30,7.32
2012-08-31,7.18
2012-09-04,6.68
2012-09-05,6.48
2012-09-06,7.02
2012-09-07,7.22
2012-09-10,7.1
2012-09-11,7.13
2012-09-12,7.26
2012-09-13,7.35
2012-09-14,7.57
2012-09-17,7.44
2012-09-18,7.23
2012-09-19,7.07
2012-09-20,6.99
2012-09-21,6.87
2012-09-24,6.85
2012-09-25,6.67
2012-09-26,6.75
2012-09-27,6.89
2012-09-28,6.8
2012-10-01,6.61
2012-10-02,6.32
2012-10-03,6.23
2012-10-04,6.32
2012-10-05,6.58
2012-10-08,6.47
2012-10-09,6.37
2012-10-10,6.28
2012-10-11,6.11
2012-10-12,6.12
2012-10-15,6.54
2012-10-16,6.47
2012-10-17,6.67
2012-10-18,6.71
2012-10-19,6.39
2012-10-22,6.43
2012-10-23,6.3
2012-10-24,6.03
2012-10-25,6.04
2012-10-26,5.85
2012-10-31,5.79
2012-11-01,5.86
2012-11-02,5.79
2012-11-05,5.46
2012-11-06,5.44
2012-11-07,5.26
2012-11-08,5.04
2012-11-09,5.14
2012-11-12,5.21
2012-11-13,5.14
2012-11-14,4.54
2012-11-15,4.93
2012-11-16,4.82
2012-11-19,5.43
2012-11-20,5.12
2012-11-21,5.53
2012-11-23,5.67
2012-11-26,5.84
2012-11-27,5.82
2012-11-28,5.8
2012-11-29,5.89
2012-11-30,6.1
2012-12-03,6.7
2012-12-04,6.61
2012-12-05,6.3
2012-12-06,7.31
2012-12-07,7.32
2012-12-10,7.62
2012-12-11,8.0
2012-12-12,7.99
2012-12-13,7.79
2012-12-14,7.77
2012-12-17,7.69
2012-12-18,7.67
2012-12-19,7.7
2012-12-20,7.61
2012-12-21,7.68
2012-12-24,7.47
2012-12-26,7.34
2012-12-27,6.72
2012-12-28,6.73
2012-12-31,6.92
2013-01-02,7.4
2013-01-03,7.55
2013-01-04,7.6
2013-01-07,7.45
2013-01-08,7.4
2013-01-09,7.3
2013-01-10,7.08
2013-01-11,7.09
2013-01-14,7.33
2013-01-15,7.26
2013-01-16,7.23
2013-01-17,7.53
2013-01-18,7.16
2013-01-22,7.66
2013-01-23,7.84
2013-01-24,7.91
2013-01-25,8.11
2013-01-28,7.88
2013-01-29,7.49
2013-01-30,7.85
2013-01-31,8.05
2013-02-01,7.81
2013-02-04,8.71
2013-02-05,8.4
2013-02-06,8.49
2013-02-07,10.07
2013-02-08,13.91
2013-02-11,12.59
2013-02-12,12.41
2013-02-13,11.24
2013-02-14,11.24
2013-02-15,10.74
2013-02-19,11.22
2013-02-20,10.84
2013-02-21,11.18
2013-02-22,11.59
2013-02-25,11.71
2013-02-26,12.13
2013-02-27,12.18
2013-02-28,12.5
2013-03-01,12.51
2013-03-04,13.0
2013-03-05,13.2
2013-03-06,13.19
2013-03-07,13.45
2013-03-08,13.47
2013-03-11,13.9
2013-03-12,14.34
2013-03-13,15.6
2013-03-14,15.99
2013-03-15,16.93
2013-03-18,17.549999
2013-03-19,17.540001
2013-03-20,17.639999
2013-03-21,16.99
2013-03-22,16.379998999999998
2013-03-25,16.280001000000002
2013-03-26,16.26
2013-03-27,16.139999
2013-03-28,15.86
2013-04-01,15.51
2013-04-02,15.42
2013-04-03,14.92
2013-04-04,14.9
2013-04-05,14.85
2013-04-08,14.9
2013-04-09,14.63
2013-04-10,14.83
2013-04-11,14.88
2013-04-12,14.9
2013-04-15,13.95
2013-04-16,13.65
2013-04-17,13.1
2013-04-18,12.25
2013-04-19,12.28
2013-04-22,12.49
2013-04-23,15.9
2013-04-24,16.43
2013-04-25,16.950001
2013-04-26,16.360001
2013-04-29,15.81
2013-04-30,15.91
2013-05-01,15.2
2013-05-02,15.17
2013-05-03,15.31
2013-05-06,15.76
2013-05-07,15.35
2013-05-08,15.1
2013-05-09,15.19
2013-05-10,15.02
2013-05-13,16.02
2013-05-14,16.73
2013-05-15,16.120001000000002
2013-05-16,15.45
2013-05-17,15.67
2013-05-20,15.7
2013-05-21,15.23
2013-05-22,14.9
2013-05-23,14.61
2013-05-24,14.22
2013-05-28,14.44
2013-05-29,14.76
2013-05-30,14.49
2013-05-31,14.49
2013-06-03,14.21
2013-06-04,14.09
2013-06-05,13.25
2013-06-06,13.52
2013-06-07,13.97
2013-06-10,13.99
2013-06-11,13.65
2013-06-12,13.53
2013-06-13,13.62
2013-06-14,13.37
2013-06-17,13.75
2013-06-18,13.63
2013-06-19,13.15
2013-06-20,12.47
2013-06-21,12.46
2013-06-24,12.25
2013-06-25,12.87
2013-06-26,12.79
2013-06-27,13.45
2013-06-28,13.7
2013-07-01,13.98
2013-07-02,13.86
2013-07-03,13.69
2013-07-05,13.91
2013-07-08,14.0
2013-07-09,14.13
2013-07-10,15.94
2013-07-11,16.01
2013-07-12,16.0
2013-07-15,16.370001000000002
2013-07-16,16.290001
2013-07-17,16.25
2013-07-18,16.51
2013-07-19,16.01
2013-07-22,16.120001000000002
2013-07-23,15.64
2013-07-24,15.18
2013-07-25,15.33
2013-07-26,15.48
2013-07-29,15.58
2013-07-30,16.85
2013-07-31,16.059998999999998
2013-08-01,16.469998999999998
2013-08-02,16.34
2013-08-05,16.459999
2013-08-06,16.32
2013-08-07,16.32
2013-08-08,17.610001
2013-08-09,18.360001
2013-08-12,18.799999
2013-08-13,18.42
2013-08-14,18.25
2013-08-15,17.889999
2013-08-16,17.65
2013-08-19,17.719998999999998
2013-08-20,17.85
2013-08-21,18.49
2013-08-22,19.42
2013-08-23,19.5
2013-08-26,20.610001
2013-08-27,19.68
2013-08-28,20.629998999999998
2013-08-29,21.84
2013-08-30,21.469998999999998
2013-09-03,21.049999
2013-09-04,21.84
2013-09-05,22.32
2013-09-06,22.709999
2013-09-09,24.25
2013-09-10,25.469998999999998
2013-09-11,25.5
2013-09-12,24.879998999999998
2013-09-13,24.559998999999998
2013-09-16,24.98
2013-09-17,25.93
2013-09-18,23.389999
2013-09-19,23.57
2013-09-20,22.67
2013-09-23,22.530001000000002
2013-09-24,22.629998999999998
2013-09-25,20.92
2013-09-26,19.84
2013-09-27,19.709999
2013-09-30,19.68
2013-10-01,20.09
2013-10-02,20.66
2013-10-03,20.67
2013-10-04,21.549999
2013-10-07,21.26
2013-10-08,21.200001
2013-10-09,21.09
2013-10-10,21.34
2013-10-11,21.959999
2013-10-14,22.389999
2013-10-15,19.91
2013-10-16,20.4
2013-10-17,20.09
2013-10-18,18.700001
2013-10-21,17.809998999999998
2013-10-22,17.610001
2013-10-23,17.969998999999998
2013-10-24,18.969998999999998
2013-10-25,19.030001000000002
2013-10-28,18.559998999999998
2013-10-29,18.4
2013-10-30,17.4
2013-10-31,17.43
2013-11-01,16.74
2013-11-04,17.049999
2013-11-05,17.530001000000002
2013-11-06,17.639999
2013-11-07,17.02
2013-11-08,18.15
2013-11-11,18.049999
2013-11-12,18.709999
2013-11-13,19.629998999999998
2013-11-14,19.5
2013-11-15,19.870001000000002
2013-11-18,19.209999
2013-11-19,18.01
2013-11-20,17.309998999999998
2013-11-21,17.93
2013-11-22,17.91
2013-11-25,18.43
2013-11-26,20.18
2013-11-27,20.110001
2013-11-29,20.440001000000002
2013-12-02,21.01
2013-12-03,19.84
2013-12-04,19.799999
2013-12-05,19.209999
2013-12-06,19.5
2013-12-09,19.4
2013-12-10,19.450001
2013-12-11,19.639999
2013-12-12,20.02
2013-12-13,20.16
2013-12-16,20.26
2013-12-17,19.629998999999998
2013-12-18,20.24
2013-12-19,20.35
2013-12-20,20.26
2013-12-23,20.25
2013-12-24,20.549999
2013-12-26,21.110001
2013-12-27,21.030001000000002
2013-12-30,21.690001000000002
2013-12-31,21.540001
2014-01-02,22.040001
2014-01-03,22.709999
2014-01-06,22.280001000000002
2014-01-07,22.5
2014-01-08,22.93
2014-01-09,23.030001000000002
2014-01-10,23.42
2014-01-13,22.889999
2014-01-14,22.620001000000002
2014-01-15,22.08
2014-01-16,22.76
2014-01-17,22.57
2014-01-21,22.799999
2014-01-22,22.700001
2014-01-23,22.459999
2014-01-24,21.440001000000002
2014-01-27,21.450001
2014-01-28,21.15
2014-01-29,20.950001
2014-01-30,21.450001
2014-01-31,22.01
2014-02-03,20.969998999999998
2014-02-04,21.65
2014-02-05,21.73
2014-02-06,22.16
2014-02-07,22.639999
2014-02-10,21.809998999999998
2014-02-11,21.99
2014-02-12,22.02
2014-02-13,22.709999
2014-02-14,22.780001000000002
2014-02-18,22.959999
2014-02-19,22.65
2014-02-20,23.030001000000002
2014-02-21,23.5
2014-02-24,24.68
2014-02-25,25.360001
2014-02-26,25.459999
2014-02-27,25.940001000000002
2014-02-28,25.959999
2014-03-03,25.59
2014-03-04,26.469998999999998
2014-03-05,25.24
2014-03-06,25.700001
2014-03-07,25.76
2014-03-10,25.540001
2014-03-11,25.57
2014-03-12,24.1
2014-03-13,23.549999
2014-03-14,23.67
2014-03-17,23.91
2014-03-18,24.870001000000002
2014-03-19,24.41
2014-03-20,23.969998999999998
2014-03-21,22.940001000000002
2014-03-24,22.9
2014-03-25,22.9
2014-03-26,22.02
2014-03-27,21.08
2014-03-28,19.52
2014-03-31,19.01
2014-04-01,19.290001
2014-04-02,19.059998999999998
2014-04-03,18.530001000000002
2014-04-04,17.75
2014-04-07,17.23
2014-04-08,17.75
2014-04-09,19.43
2014-04-10,18.870001000000002
2014-04-11,18.73
2014-04-14,17.76
2014-04-15,18.059998999999998
2014-04-16,18.110001
2014-04-17,18.01
2014-04-21,18.08
2014-04-22,18.74
2014-04-23,18.799999
2014-04-24,18.469998999999998
2014-04-25,17.75
2014-04-28,17.57
2014-04-29,18.030001000000002
2014-04-30,18.469998999999998
2014-05-01,18.290001
2014-05-02,18.34
2014-05-05,19.139999
2014-05-06,18.559998999999998
2014-05-07,21.18
2014-05-08,19.75
2014-05-09,19.76
2014-05-12,20.0
2014-05-13,20.09
2014-05-14,19.860001
2014-05-15,19.6
2014-05-16,19.01
2014-05-19,18.91
2014-05-20,18.25
2014-05-21,18.209999
2014-05-22,18.26
2014-05-23,18.43
2014-05-27,18.950001
2014-05-28,18.700001
2014-05-29,18.65
2014-05-30,18.23
2014-06-02,18.139999
2014-06-03,18.17
2014-06-04,18.190001000000002
2014-06-05,18.469998999999998
2014-06-06,17.91
2014-06-09,18.26
2014-06-10,18.139999
2014-06-11,18.01
2014-06-12,17.6
2014-06-13,18.049999
2014-06-16,18.33
2014-06-17,18.049999
2014-06-18,18.34
2014-06-19,18.610001
2014-06-20,18.32
2014-06-23,17.84
2014-06-24,18.0
2014-06-25,17.68
2014-06-26,17.719998999999998
2014-06-27,17.67
2014-06-30,18.08
2014-07-01,18.129998999999998
2014-07-02,18.15
2014-07-03,18.299999
2014-07-07,17.92
2014-07-08,17.620001000000002
2014-07-09,17.35
2014-07-10,17.1
2014-07-11,16.9
2014-07-14,16.709999
2014-07-15,16.530001000000002
2014-07-16,16.309998999999998
2014-07-17,17.1
2014-07-18,17.440001000000002
2014-07-21,17.0
2014-07-22,17.120001000000002
2014-07-23,16.98
2014-07-24,16.84
2014-07-25,16.719998999999998
2014-07-28,16.370001000000002
2014-07-29,16.26
2014-07-30,16.459999
2014-07-31,16.0
2014-08-01,15.31
2014-08-04,14.05
2014-08-05,12.71
2014-08-06,13.8
2014-08-07,13.28
2014-08-08,13.36
2014-08-11,13.67
2014-08-12,12.78
2014-08-13,13.33
2014-08-14,13.75
2014-08-15,13.56
2014-08-18,13.74
2014-08-19,13.91
2014-08-20,13.5
2014-08-21,13.43
2014-08-22,13.56
2014-08-25,13.6
2014-08-26,13.7
2014-08-27,13.38
2014-08-28,13.44
2014-08-29,13.44
2014-09-02,13.26
2014-09-03,13.03
2014-09-04,12.44
2014-09-05,12.05
2014-09-08,12.75
2014-09-09,12.26
2014-09-10,12.43
2014-09-11,12.65
2014-09-12,12.51
2014-09-15,12.4
2014-09-16,12.61
2014-09-17,13.04
2014-09-18,13.8
2014-09-19,14.19
2014-09-22,14.11
2014-09-23,13.6
2014-09-24,13.62
2014-09-25,13.2
2014-09-26,13.4
2014-09-29,13.17
2014-09-30,12.58
2014-10-01,12.32
2014-10-02,12.08
2014-10-03,11.98
2014-10-06,11.65
2014-10-07,11.4
2014-10-08,11.25
2014-10-09,11.06
2014-10-10,9.14
2014-10-13,8.59
2014-10-14,9.39
2014-10-15,10.04
2014-10-16,10.39
2014-10-17,11.71
2014-10-20,11.41
2014-10-21,12.44
2014-10-22,11.57
2014-10-23,11.73
2014-10-24,12.07
2014-10-27,11.56
2014-10-28,11.73
2014-10-29,11.73
2014-10-30,12.0
2014-10-31,12.19
2014-11-03,12.19
2014-11-04,11.63
2014-11-05,11.56
2014-11-06,11.45
2014-11-07,12.1
2014-11-10,11.54
2014-11-11,11.14
2014-11-12,13.67
2014-11-13,16.51
2014-11-14,16.5
2014-11-17,15.78
2014-11-18,15.32
2014-11-19,14.37
2014-11-20,15.14
2014-11-21,16.02
2014-11-24,16.129998999999998
2014-11-25,16.309998999999998
2014-11-26,17.129998999999998
2014-11-28,16.959999
2014-12-01,15.98
2014-12-02,16.24
2014-12-03,16.139999
2014-12-04,15.68
2014-12-05,15.86
2014-12-08,15.18
2014-12-09,15.62
2014-12-10,14.59
2014-12-11,14.86
2014-12-12,12.83
2014-12-15,12.29
2014-12-16,12.16
2014-12-17,12.69
2014-12-18,13.17
2014-12-19,13.49
2014-12-22,15.0
2014-12-23,15.24
2014-12-24,15.44
2014-12-26,15.46
2014-12-29,15.45
2014-12-30,16.16
2014-12-31,15.69
2015-01-02,15.44
2015-01-05,14.28
2015-01-06,13.31
2015-01-07,13.2
2015-01-08,14.08
2015-01-09,13.83
2015-01-12,13.25
2015-01-13,12.63
2015-01-14,12.71
2015-01-15,11.9
2015-01-16,11.83
2015-01-20,11.43
2015-01-21,11.39
2015-01-22,11.59
2015-01-23,11.66
2015-01-26,12.0
2015-01-27,11.67
2015-01-28,11.71
2015-01-29,11.71
2015-01-30,10.89
2015-02-02,10.85
2015-02-03,11.28
2015-02-04,11.29
2015-02-05,11.51
2015-02-06,11.07
2015-02-09,10.93
2015-02-10,10.84
2015-02-11,10.53
2015-02-12,10.6
2015-02-13,10.79
2015-02-17,10.79
2015-02-18,10.86
2015-02-19,10.93
2015-02-20,10.94
2015-02-23,10.84
2015-02-24,10.8
2015-02-25,11.54
2015-02-26,10.79
2015-02-27,10.6
2015-03-02,11.02
2015-03-03,10.58
2015-03-04,10.36
2015-03-05,10.16
2015-03-06,9.63
2015-03-09,9.88
2015-03-10,9.62
2015-03-11,9.61
2015-03-12,9.74
2015-03-13,9.55
2015-03-16,9.62
2015-03-17,9.39
2015-03-18,9.26
2015-03-19,9.44
2015-03-20,9.44
2015-03-23,9.66
2015-03-24,9.88
2015-03-25,9.4
2015-03-26,9.55
2015-03-27,9.7
2015-03-30,10.02
2015-03-31,10.53
2015-04-01,10.83
2015-04-02,10.91
2015-04-06,11.09
2015-04-07,10.91
2015-04-08,11.12
2015-04-09,11.27
2015-04-10,11.32
2015-04-13,11.64
2015-04-14,11.71
2015-04-15,12.39
2015-04-16,12.21
2015-04-17,12.05
2015-04-20,10.0
2015-04-21,9.92
2015-04-22,9.68
2015-04-23,9.65
2015-04-24,9.83
2015-04-27,9.47
2015-04-28,9.43
2015-04-29,9.37
2015-04-30,9.49
2015-05-01,9.32
2015-05-04,9.3
2015-05-05,9.41
2015-05-06,9.31
2015-05-07,10.0
2015-05-08,10.19
2015-05-11,10.21
2015-05-12,10.31
2015-05-13,10.67
2015-05-14,10.4
2015-05-15,10.27
2015-05-18,9.99
2015-05-19,9.97
2015-05-20,9.96
2015-05-21,10.01
2015-05-22,9.98
2015-05-26,9.93
2015-05-27,9.84
2015-05-28,9.8
2015-05-29,9.36
2015-06-01,7.86
2015-06-02,7.6
2015-06-03,7.88
2015-06-04,7.16
2015-06-05,6.41
2015-06-08,6.26
2015-06-09,6.52
2015-06-10,6.9
2015-06-11,6.91
2015-06-12,6.97
2015-06-15,6.87
2015-06-16,6.6
2015-06-17,6.49
2015-06-18,6.5
2015-06-19,6.59
2015-06-22,6.52
2015-06-23,6.48
2015-06-24,6.25
2015-06-25,6.21
2015-06-26,6.34
2015-06-29,6.12
2015-06-30,6.12
2015-07-01,6.26
2015-07-02,6.23
2015-07-06,6.15
2015-07-07,6.28
2015-07-08,6.09
2015-07-09,6.33
2015-07-10,6.45
2015-07-13,6.79
2015-07-14,6.89
2015-07-15,6.65
2015-07-16,6.85
2015-07-17,6.81
2015-07-20,6.55
2015-07-21,8.02
2015-07-22,4.76
2015-07-23,5.14
2015-07-24,4.84
2015-07-27,4.92
2015-07-28,5.05
2015-07-29,5.09
2015-07-30,5.19
2015-07-31,5.21
2015-08-03,5.4
2015-08-04,5.34
2015-08-05,5.86
2015-08-06,6.48
2015-08-07,6.86
2015-08-10,7.62
2015-08-11,7.4
2015-08-12,7.8
2015-08-13,7.61
2015-08-14,7.36
2015-08-17,7.5
2015-08-18,7.35
2015-08-19,6.93
2015-08-20,6.87
2015-08-21,8.02
2015-08-24,8.98
2015-08-25,8.47
2015-08-26,8.46
2015-08-27,8.71
2015-08-28,9.17
2015-08-31,9.55
2015-09-01,9.04
2015-09-02,8.97
2015-09-03,9.19
2015-09-04,9.31
2015-09-08,9.6
2015-09-09,9.46
2015-09-10,9.41
2015-09-11,9.38
2015-09-14,9.6
2015-09-15,9.74
2015-09-16,9.52
2015-09-17,9.4
2015-09-18,9.2
2015-09-21,8.97
2015-09-22,8.68
2015-09-23,8.04
2015-09-24,7.51
2015-09-25,7.17
2015-09-28,6.85
2015-09-29,6.69
2015-09-30,5.89
2015-10-01,6.78
2015-10-02,7.3
2015-10-05,7.55
2015-10-06,7.45
2015-10-07,7.82
2015-10-08,7.95
2015-10-09,8.0
2015-10-12,7.71
2015-10-13,7.71
2015-10-14,7.92
2015-10-15,8.06
2015-10-16,8.05
2015-10-19,8.0
2015-10-20,7.99
2015-10-21,7.67
2015-10-22,7.93
2015-10-23,8.03
2015-10-26,7.97
2015-10-27,8.0
2015-10-28,8.03
2015-10-29,8.08
2015-10-30,8.05
2015-11-02,9.03
2015-11-03,8.87
2015-11-04,8.8
2015-11-05,8.84
2015-11-06,8.74
2015-11-09,8.59
2015-11-10,7.84
2015-11-11,7.95
2015-11-12,7.67
2015-11-13,7.94
2015-11-16,7.57
2015-11-17,6.95
2015-11-18,6.94
2015-11-19,7.43
2015-11-20,7.29
2015-11-23,7.39
2015-11-24,7.66
2015-11-25,7.99
2015-11-27,8.09
2015-11-30,8.47
2015-12-01,8.25
2015-12-02,8.68
2015-12-03,7.96
2015-12-04,7.85
2015-12-07,7.14
2015-12-08,7.26
2015-12-09,7.76
2015-12-10,8.14
2015-12-11,7.84
2015-12-14,7.56
2015-12-15,7.32
2015-12-16,7.64
2015-12-17,7.68
2015-12-18,7.59
2015-12-21,7.71
2015-12-22,8.0
2015-12-23,8.13
2015-12-24,8.32
2015-12-28,7.89
2015-12-29,8.25
2015-12-30,8.01
2015-12-31,7.89
2016-01-04,7.74
2016-01-05,7.91
2016-01-06,7.33
2016-01-07,6.55
2016-01-08,6.71
2016-01-11,6.24
2016-01-12,6.62
2016-01-13,6.14
2016-01-14,6.33
2016-01-15,6.54
2016-01-19,6.49
2016-01-20,6.27
2016-01-21,6.5
2016-01-22,6.67
2016-01-25,6.13
2016-01-26,6.45
2016-01-27,6.41
2016-01-28,6.48
2016-01-29,6.93
2016-02-01,6.68
2016-02-02,6.55
2016-02-03,6.48
2016-02-04,6.4
2016-02-05,6.39
2016-02-08,6.16
2016-02-09,6.05
2016-02-10,6.04
2016-02-11,6.24
2016-02-12,6.03
2016-02-16,6.5
2016-02-17,7.49
2016-02-18,7.33
2016-02-19,7.28
2016-02-22,7.73
2016-02-23,7.52
2016-02-24,7.75
2016-02-25,8.2
2016-02-26,9.05
2016-02-29,9.04
2016-03-01,9.21
2016-03-02,9.21
2016-03-03,8.95
2016-03-04,8.8
2016-03-07,8.75
2016-03-08,7.53
2016-03-09,7.85
2016-03-10,7.27
2016-03-11,7.45
2016-03-14,7.08
2016-03-15,7.2
2016-03-16,6.23
2016-03-17,6.56
2016-03-18,6.57
2016-03-21,6.3
2016-03-22,6.38
2016-03-23,6.27
2016-03-24,6.22
2016-03-28,6.4
2016-03-29,6.49
2016-03-30,6.57
2016-03-31,6.8
2016-04-01,6.59
2016-04-04,6.4
2016-04-05,6.3
2016-04-06,6.37
2016-04-07,6.57
2016-04-08,6.78
2016-04-11,6.78
2016-04-12,6.85
2016-04-13,7.02
2016-04-14,7.17
2016-04-15,7.25
2016-04-18,7.33
2016-04-19,7.52
2016-04-20,7.44
2016-04-21,7.47
2016-04-22,7.37
2016-04-25,7.09
2016-04-26,7.28
2016-04-27,7.2
2016-04-28,7.08
2016-04-29,6.83
2016-05-02,7.09
2016-05-03,6.87
2016-05-04,6.75
2016-05-05,6.74
2016-05-06,6.77
2016-05-09,6.9
2016-05-10,7.18
2016-05-11,7.16
2016-05-12,7.14
2016-05-13,6.94
2016-05-16,7.47
2016-05-17,7.29
2016-05-18,6.87
2016-05-19,6.71
2016-05-20,6.85
2016-05-23,6.92
2016-05-24,7.01
2016-05-25,7.07
2016-05-26,7.04
2016-05-27,7.38
2016-05-31,7.33
2016-06-01,7.75
2016-06-02,7.99
2016-06-03,8.11
2016-06-06,8.28
2016-06-07,8.68
2016-06-08,8.19
2016-06-09,8.35
2016-06-10,8.32
2016-06-13,8.08
2016-06-14,7.85
2016-06-15,8.59
2016-06-16,8.31
2016-06-17,8.58
2016-06-20,8.33
2016-06-21,8.45
2016-06-22,8.38
2016-06-23,8.67
2016-06-24,8.3
2016-06-27,7.73
2016-06-28,7.91
2016-06-29,8.13
2016-06-30,7.69
2016-07-01,6.98
2016-07-05,6.65
2016-07-06,6.76
2016-07-07,6.77
2016-07-08,6.85
2016-07-11,6.98
2016-07-12,7.07
2016-07-13,6.96
2016-07-14,6.94
2016-07-15,7.0
2016-07-18,6.98
2016-07-19,6.77
2016-07-20,6.97
2016-07-21,6.87
2016-07-22,6.99
2016-07-25,6.96
2016-07-26,7.14
2016-07-27,7.09
2016-07-28,7.04
2016-07-29,6.9
2016-08-01,7.36
2016-08-02,7.94
2016-08-03,7.29
2016-08-04,7.47
2016-08-05,7.41
2016-08-08,7.44
2016-08-09,7.5
2016-08-10,7.41
2016-08-11,7.48
2016-08-12,7.43
2016-08-15,7.45
2016-08-16,7.3
2016-08-17,7.76
2016-08-18,7.75
2016-08-19,7.72
2016-08-22,7.67
2016-08-23,7.66
2016-08-24,7.6
2016-08-25,7.56
2016-08-26,7.53
2016-08-29,6.35
2016-08-30,6.34
2016-08-31,6.32
2016-09-01,6.23
2016-09-02,6.15
2016-09-06,6.17
2016-09-07,6.49
2016-09-08,6.68
2016-09-09,6.32
2016-09-12,6.67
2016-09-13,6.63
2016-09-14,6.77
2016-09-15,6.85
2016-09-16,6.8
2016-09-19,6.78
2016-09-20,6.67
2016-09-21,8.1
2016-09-22,9.78
2016-09-23,9.54
2016-09-26,9.46
2016-09-27,7.67
2016-09-28,7.61
2016-09-29,7.4
2016-09-30,7.45
2016-10-03,7.58
2016-10-04,7.64
2016-10-05,7.7
2016-10-06,7.68
2016-10-07,7.69
2016-10-10,7.65
2016-10-11,7.5
2016-10-12,7.6
2016-10-13,7.45
2016-10-14,7.5
2016-10-17,7.55
2016-10-18,7.3
2016-10-19,7.45
2016-10-20,7.3
2016-10-21,7.2
2016-10-24,7.35
2016-10-25,7.25
2016-10-26,7.15
2016-10-27,7.15
2016-10-28,7.1
2016-10-31,7.1
2016-11-01,7.1
2016-11-02,7.05
2016-11-03,6.85
2016-11-04,6.8
2016-11-07,6.9
2016-11-08,6.95
2016-11-09,7.25
2016-11-10,7.15
2016-11-11,7.25
2016-11-14,7.15
2016-11-15,7.0
2016-11-16,7.0
2016-11-17,6.9
2016-11-18,7.1
2016-11-21,7.25
2016-11-22,7.35
2016-11-23,7.4
2016-11-25,7.55
2016-11-28,7.55
2016-11-29,7.35
2016-11-30,7.5
2016-12-01,7.55
2016-12-02,7.8
2016-12-05,8.15
2016-12-06,8.25
2016-12-07,8.2
2016-12-08,8.1
2016-12-09,8.25
2016-12-12,8.2
2016-12-13,8.25
2016-12-14,8.05
2016-12-15,7.6
2016-12-16,7.5
2016-12-19,7.3
2016-12-20,7.4
2016-12-21,7.45
2016-12-22,7.15
2016-12-23,7.85
2016-12-27,8.2
2016-12-28,8.05
2016-12-29,8.3
2016-12-30,8.5
2017-01-03,8.3
2017-01-04,8.4
2017-01-05,8.55
2017-01-06,8.9
2017-01-09,9.15
2017-01-10,8.8
2017-01-11,8.65
2017-01-12,8.65
