Date,SYNA
2004-09-16,13.2
2004-09-17,13.613334
2004-09-20,13.586667000000002
2004-09-21,13.993332999999998
2004-09-22,13.64
2004-09-23,13.46
2004-09-24,13.166667000000002
2004-09-27,12.733334
2004-09-28,12.726666
2004-09-29,13.386666
2004-09-30,13.44
2004-10-01,14.44
2004-10-04,15.62
2004-10-05,15.533334
2004-10-06,16.26
2004-10-07,15.58
2004-10-08,15.213332999999999
2004-10-11,15.533334
2004-10-12,15.266666
2004-10-13,15.96
2004-10-14,16.860001
2004-10-15,16.633333
2004-10-18,16.353333
2004-10-19,16.620001000000002
2004-10-20,16.693333
2004-10-21,17.873333
2004-10-22,19.933332
2004-10-25,19.42
2004-10-26,19.813334
2004-10-27,21.48
2004-10-28,21.026667
2004-10-29,21.093334
2004-11-01,22.533333
2004-11-02,22.606667
2004-11-03,22.566668
2004-11-04,23.453332999999997
2004-11-05,23.16
2004-11-08,22.926666
2004-11-09,22.639999
2004-11-10,22.746666
2004-11-11,22.620001000000002
2004-11-12,23.393333
2004-11-15,24.02
2004-11-16,23.200001
2004-11-17,23.073334
2004-11-18,22.58
2004-11-19,21.446667
2004-11-22,23.360001
2004-11-23,25.18
2004-11-24,25.799999
2004-11-26,25.486666
2004-11-29,25.113332999999997
2004-11-30,25.6
2004-12-01,24.059998999999998
2004-12-02,23.213333
2004-12-03,23.120001000000002
2004-12-06,23.613332999999997
2004-12-07,21.633333
2004-12-08,21.5
2004-12-09,21.466667
2004-12-10,22.120001000000002
2004-12-13,22.453332999999997
2004-12-14,22.493334
2004-12-15,22.58
2004-12-16,22.1
2004-12-17,21.846666
2004-12-20,20.313334
2004-12-21,20.68
2004-12-22,20.379998999999998
2004-12-23,20.826666
2004-12-27,20.386667000000003
2004-12-28,20.92
2004-12-29,20.853333
2004-12-30,20.706667000000003
2004-12-31,20.386667000000003
2005-01-03,19.639999
2005-01-04,19.799999
2005-01-05,19.333334
2005-01-06,18.653334
2005-01-07,17.733334
2005-01-10,19.233334
2005-01-11,18.620001000000002
2005-01-12,19.653334
2005-01-13,19.799999
2005-01-14,19.206667000000003
2005-01-18,20.173334
2005-01-19,20.0
2005-01-20,20.153334
2005-01-21,24.540001
2005-01-24,23.98
2005-01-25,24.686666
2005-01-26,24.440001000000002
2005-01-27,24.92
2005-01-28,24.213333
2005-01-31,24.713333
2005-02-01,25.293332999999997
2005-02-02,24.953332999999997
2005-02-03,23.986666
2005-02-04,26.353333000000003
2005-02-07,22.200001
2005-02-08,22.206667000000003
2005-02-09,17.253334
2005-02-10,15.12
2005-02-11,15.0
2005-02-14,15.433333
2005-02-15,15.333332999999998
2005-02-16,15.26
2005-02-17,14.866667000000001
2005-02-18,14.673333
2005-02-22,13.873332999999999
2005-02-23,14.246667
2005-02-24,14.006667000000002
2005-02-25,16.219998999999998
2005-02-28,15.926666
2005-03-01,15.513333
2005-03-02,15.366667000000001
2005-03-03,15.053332999999999
2005-03-04,15.133332999999999
2005-03-07,14.966666
2005-03-08,14.493332999999998
2005-03-09,14.286667000000001
2005-03-10,14.073334
2005-03-11,14.673333
2005-03-14,15.626667000000001
2005-03-15,15.273334
2005-03-16,15.48
2005-03-17,15.206667000000001
2005-03-18,15.173333
2005-03-21,15.233334
2005-03-22,15.54
2005-03-23,15.24
2005-03-24,15.9
2005-03-28,16.013334
2005-03-29,15.373332999999999
2005-03-30,15.926666
2005-03-31,15.466666
2005-04-01,15.4
2005-04-04,15.38
2005-04-05,15.246667
2005-04-06,15.113334
2005-04-07,15.18
2005-04-08,15.08
2005-04-11,15.16
2005-04-12,15.1
2005-04-13,14.673333
2005-04-14,13.553332999999999
2005-04-15,12.813334
2005-04-18,13.0
2005-04-19,13.56
2005-04-20,13.366667000000001
2005-04-21,14.3
2005-04-22,12.26
2005-04-25,12.426666
2005-04-26,12.413333
2005-04-27,12.493333
2005-04-28,12.213333
2005-04-29,12.086667
2005-05-02,12.26
2005-05-03,12.226666
2005-05-04,12.273334
2005-05-05,12.266666
2005-05-06,12.2
2005-05-09,12.32
2005-05-10,12.06
2005-05-11,12.14
2005-05-12,12.0
2005-05-13,12.166667
2005-05-16,12.413333
2005-05-17,12.733334
2005-05-18,13.2
2005-05-19,13.246667
2005-05-20,12.92
2005-05-23,13.04
2005-05-24,13.16
2005-05-25,13.026667
2005-05-26,13.213332999999999
2005-05-27,13.126667000000001
2005-05-31,12.82
2005-06-01,13.126667000000001
2005-06-02,13.126667000000001
2005-06-03,13.133332999999999
2005-06-06,13.226666
2005-06-07,13.533334
2005-06-08,13.806666
2005-06-09,13.933333
2005-06-10,13.62
2005-06-13,13.446667000000001
2005-06-14,13.053333
2005-06-15,13.133332999999999
2005-06-16,13.08
2005-06-17,13.046667
2005-06-20,12.993333
2005-06-21,13.18
2005-06-22,13.74
2005-06-23,14.066667
2005-06-24,14.213332999999999
2005-06-27,14.073334
2005-06-28,14.313334
2005-06-29,14.166667000000002
2005-06-30,14.24
2005-07-01,14.066667
2005-07-05,14.153334
2005-07-06,14.106667000000002
2005-07-07,14.2
2005-07-08,14.12
2005-07-11,14.073334
2005-07-12,13.88
2005-07-13,13.593333
2005-07-14,13.686666
2005-07-15,13.393332999999998
2005-07-18,13.633332999999999
2005-07-19,14.2
2005-07-20,14.233334
2005-07-21,14.053332999999999
2005-07-22,14.173333
2005-07-25,14.52
2005-07-26,14.333332999999998
2005-07-27,14.233334
2005-07-28,14.013333
2005-07-29,10.566667
2005-08-01,10.56
2005-08-02,10.666667
2005-08-03,10.593333
2005-08-04,10.673333
2005-08-05,10.56
2005-08-08,10.18
2005-08-09,10.26
2005-08-10,10.033334
2005-08-11,10.66
2005-08-12,10.96
2005-08-15,11.073334
2005-08-16,11.166667
2005-08-17,11.293333
2005-08-18,11.173333
2005-08-19,11.0
2005-08-22,10.92
2005-08-23,11.02
2005-08-24,10.94
2005-08-25,10.753333
2005-08-26,10.786667
2005-08-29,10.76
2005-08-30,10.82
2005-08-31,11.0
2005-09-01,10.813334
2005-09-02,10.866667
2005-09-06,11.473333
2005-09-07,12.233334
2005-09-08,11.993333
2005-09-09,11.793333
2005-09-12,11.713333
2005-09-13,11.473333
2005-09-14,12.053333
2005-09-15,12.173333
2005-09-16,12.566667
2005-09-19,12.44
2005-09-20,12.72
2005-09-21,12.38
2005-09-22,12.193334
2005-09-23,12.08
2005-09-26,12.186666
2005-09-27,12.313334
2005-09-28,12.206667
2005-09-29,12.386666
2005-09-30,12.533334
2005-10-03,12.426666
2005-10-04,12.333333
2005-10-05,12.093333
2005-10-06,11.96
2005-10-07,12.246667
2005-10-10,12.513333
2005-10-11,12.56
2005-10-12,12.386666
2005-10-13,12.226666
2005-10-14,12.513333
2005-10-17,12.86
2005-10-18,13.04
2005-10-19,13.373332999999999
2005-10-20,13.8
2005-10-21,12.886666
2005-10-24,13.533334
2005-10-25,13.566667
2005-10-26,13.913332999999998
2005-10-27,14.926666
2005-10-28,15.246667
2005-10-31,15.486667
2005-11-01,15.893332999999998
2005-11-02,16.306667
2005-11-03,16.426666
2005-11-04,16.526667
2005-11-07,16.673334
2005-11-08,16.666666
2005-11-09,17.073334
2005-11-10,17.360001
2005-11-11,17.253334
2005-11-14,17.033333
2005-11-15,15.54
2005-11-16,15.913332999999998
2005-11-17,16.466667
2005-11-18,16.966667
2005-11-21,17.066668
2005-11-22,17.246666
2005-11-23,17.833334
2005-11-25,17.799999
2005-11-28,17.540001
2005-11-29,17.280001000000002
2005-11-30,17.933332
2005-12-01,17.98
2005-12-02,17.813334
2005-12-05,17.459999
2005-12-06,17.280001000000002
2005-12-07,17.866667
2005-12-08,17.173334
2005-12-09,17.286667
2005-12-12,17.280001000000002
2005-12-13,17.559998999999998
2005-12-14,17.233334
2005-12-15,17.246666
2005-12-16,17.093334
2005-12-19,16.953332999999997
2005-12-20,16.553333
2005-12-21,16.546667000000003
2005-12-22,16.426666
2005-12-23,16.4
2005-12-27,16.266666
2005-12-28,16.673334
2005-12-29,16.753334
2005-12-30,16.48
2006-01-03,16.733334
2006-01-04,16.84
2006-01-05,17.173334
2006-01-06,17.413334
2006-01-09,18.68
2006-01-10,19.4
2006-01-11,19.5
2006-01-12,19.746666
2006-01-13,19.793332999999997
2006-01-17,20.473333
2006-01-18,19.666666
2006-01-19,20.559998999999998
2006-01-20,16.84
2006-01-23,17.473333
2006-01-24,17.860001
2006-01-25,18.453332999999997
2006-01-26,19.139999
2006-01-27,18.886667000000003
2006-01-30,18.68
2006-01-31,18.346666
2006-02-01,18.826666
2006-02-02,18.58
2006-02-03,19.326666
2006-02-06,19.066668
2006-02-07,18.533333
2006-02-08,18.646667
2006-02-09,17.746666
2006-02-10,16.74
2006-02-13,16.646667
2006-02-14,16.9
2006-02-15,16.666666
2006-02-16,16.913334
2006-02-17,16.700001
2006-02-21,16.253334
2006-02-22,16.153334
2006-02-23,15.946667000000001
2006-02-24,15.893332999999998
2006-02-27,16.026667
2006-02-28,15.66
2006-03-01,15.886666
2006-03-02,16.0
2006-03-03,16.0
2006-03-06,16.08
2006-03-07,16.273332999999997
2006-03-08,16.946667
2006-03-09,16.620001000000002
2006-03-10,16.526667
2006-03-13,16.566668
2006-03-14,16.746666
2006-03-15,16.973333
2006-03-16,16.139999
2006-03-17,15.293332999999999
2006-03-20,14.9
2006-03-21,14.986667
2006-03-22,14.98
2006-03-23,15.006667000000002
2006-03-24,14.933333
2006-03-27,14.726666
2006-03-28,14.586667000000002
2006-03-29,14.633332999999999
2006-03-30,14.666667000000002
2006-03-31,14.66
2006-04-03,14.853333
2006-04-04,14.6
2006-04-05,14.653334
2006-04-06,14.72
2006-04-07,15.633332999999999
2006-04-10,16.133333
2006-04-11,16.813334
2006-04-12,16.84
2006-04-13,16.933332
2006-04-17,17.186666
2006-04-18,17.573334
2006-04-19,17.0
2006-04-20,16.926666
2006-04-21,16.726667000000003
2006-04-24,17.620001000000002
2006-04-25,17.746666
2006-04-26,17.9
2006-04-27,17.726667000000003
2006-04-28,17.48
2006-05-01,17.086666
2006-05-02,17.02
2006-05-03,17.353333
2006-05-04,17.653334
2006-05-05,17.593334
2006-05-08,17.666666
2006-05-09,17.76
2006-05-10,17.446667
2006-05-11,16.753334
2006-05-12,16.280001000000002
2006-05-15,16.166666
2006-05-16,16.34
2006-05-17,16.373333
2006-05-18,16.626667
2006-05-19,16.98
2006-05-22,16.746666
2006-05-23,16.66
2006-05-24,16.246666
2006-05-25,16.806667
2006-05-26,16.413334
2006-05-30,15.82
2006-05-31,15.78
2006-06-01,16.299999
2006-06-02,15.946667000000001
2006-06-05,15.126667000000001
2006-06-06,15.073334
2006-06-07,15.026667000000002
2006-06-08,14.526667000000002
2006-06-09,14.786667000000001
2006-06-12,13.853333
2006-06-13,13.4
2006-06-14,13.613334
2006-06-15,14.346666
2006-06-16,13.686666
2006-06-19,13.46
2006-06-20,13.246667
2006-06-21,14.246667
2006-06-22,14.486667
2006-06-23,14.526667000000002
2006-06-26,14.773334
2006-06-27,14.366667000000001
2006-06-28,14.073334
2006-06-29,14.54
2006-06-30,14.266666
2006-07-03,14.42
2006-07-05,13.813334
2006-07-06,13.866667000000001
2006-07-07,13.553332999999999
2006-07-10,13.36
2006-07-11,13.526667000000002
2006-07-12,13.0
2006-07-13,12.68
2006-07-14,12.546667
2006-07-17,13.006667
2006-07-18,13.106667
2006-07-19,13.3
2006-07-20,13.246667
2006-07-21,13.053333
2006-07-24,13.853333
2006-07-25,14.02
2006-07-26,14.433333
2006-07-27,14.066667
2006-07-28,14.04
2006-07-31,14.013333
2006-08-01,13.806666
2006-08-02,14.246667
2006-08-03,14.226666
2006-08-04,14.633332999999999
2006-08-07,14.366667000000001
2006-08-08,13.98
2006-08-09,14.04
2006-08-10,14.146667
2006-08-11,14.073334
2006-08-14,14.393332999999998
2006-08-15,15.1
2006-08-16,15.54
2006-08-17,15.6
2006-08-18,15.713332999999999
2006-08-21,15.246667
