Date,VOD
1990-03-28,4.475511
1990-03-29,4.436678
1990-03-30,4.446386
1990-04-02,4.407553
1990-04-03,4.562885
1990-04-04,4.494927
1990-04-05,4.485219
1990-04-06,4.465803
1990-04-09,4.475511
1990-04-10,4.436678
1990-04-11,4.436678
1990-04-12,4.446386
1990-04-16,4.417261
1990-04-17,4.36872
1990-04-18,4.407553
1990-04-19,4.281345
1990-04-20,4.174555000000001
1990-04-23,4.155138
1990-04-24,4.14543
1990-04-25,4.1260129999999995
1990-04-26,4.019222
1990-04-27,3.9318480000000005
1990-04-30,3.9027230000000004
1990-05-01,4.058055
1990-05-02,4.155138
1990-05-03,4.213387
1990-05-04,4.252221
1990-05-07,4.349303
1990-05-08,4.42697
1990-05-09,4.349303
1990-05-10,4.310471
1990-05-11,4.3784279999999995
1990-05-14,4.397844999999999
1990-05-15,4.582301999999999
1990-05-16,4.630843
1990-05-17,4.854133
1990-05-18,4.795884
1990-05-21,4.825008
1990-05-22,4.87355
1990-05-23,4.87355
1990-05-24,4.892966
1990-05-25,4.892966
1990-05-29,5.067715
1990-05-30,5.174506
1990-05-31,4.912383
1990-06-01,5.009466000000001
1990-06-04,5.048299
1990-06-05,4.9512160000000005
1990-06-06,4.863842
1990-06-07,4.892966
1990-06-08,4.805592
1990-06-11,4.825008
1990-06-12,4.8347169999999995
1990-06-13,4.931799
1990-06-14,4.757051000000001
1990-06-15,4.689093
1990-06-18,4.640552
1990-06-19,4.757051000000001
1990-06-20,4.757051000000001
1990-06-21,4.757051000000001
1990-06-22,4.718217
1990-06-25,4.689093
1990-06-26,4.669676
1990-06-27,4.630843
1990-06-28,4.747343
1990-06-29,4.87355
1990-07-02,5.135673000000001
1990-07-03,5.0871319999999995
1990-07-05,4.990049
1990-07-06,5.116257
1990-07-09,5.067715
1990-07-10,4.999757
1990-07-11,5.067715
1990-07-12,5.184215
1990-07-13,5.174506
1990-07-16,5.135673000000001
1990-07-17,5.09684
1990-07-18,4.9609239999999994
1990-07-19,4.990049
1990-07-20,4.912383
1990-07-23,4.776467
1990-07-24,4.795884
1990-07-25,4.786175
1990-07-26,4.708508999999999
1990-07-27,4.679385
1990-07-30,4.7667589999999995
1990-07-31,4.8153
1990-08-01,4.87355
1990-08-02,4.582301999999999
1990-08-03,4.504636
1990-08-06,4.252221
1990-08-07,4.349303
1990-08-08,4.359012
1990-08-09,4.359012
1990-08-10,4.349303
1990-08-13,4.42697
1990-08-14,4.465803
1990-08-15,4.485219
1990-08-16,4.349303
1990-08-17,4.193971
1990-08-20,4.1260129999999995
1990-08-21,3.999806
1990-08-22,3.999806
1990-08-23,3.825057
1990-08-24,3.86389
1990-08-27,4.135722
1990-08-28,4.019222
1990-08-29,4.1260129999999995
1990-08-30,4.1163050000000005
1990-08-31,4.242513
1990-09-04,4.213387
1990-09-05,4.184263
1990-09-06,4.009514
1990-09-07,3.9027230000000004
1990-09-10,3.815349
1990-09-11,3.825057
1990-09-12,3.795932
1990-09-13,3.7182660000000003
1990-09-14,3.5726419999999997
1990-09-17,3.427018
1990-09-18,3.456143
1990-09-19,3.436726
1990-09-20,3.397893
1990-09-21,3.3784769999999997
1990-09-24,3.310519
1990-09-25,3.3784769999999997
1990-09-26,3.436726
1990-09-27,3.41731
1990-09-28,3.397893
1990-10-01,3.6503080000000003
1990-10-02,3.737683
1990-10-03,3.7279739999999997
1990-10-04,3.766807
1990-10-05,4.077472
1990-10-08,4.135722
1990-10-09,3.8735980000000003
1990-10-10,3.92214
1990-10-11,3.86389
1990-10-12,3.786224
1990-10-15,3.8056400000000004
1990-10-16,3.6503080000000003
1990-10-17,3.6211830000000003
1990-10-18,3.766807
1990-10-19,3.86389
1990-10-22,3.893015
1990-10-23,4.038639
1990-10-24,4.174555000000001
1990-10-25,4.135722
1990-10-26,3.999806
1990-10-29,3.9124309999999998
1990-10-30,3.990098
1990-10-31,4.019222
1990-11-01,3.9027230000000004
1990-11-02,3.999806
1990-11-05,4.019222
1990-11-06,3.999806
1990-11-07,3.834765
1990-11-08,3.815349
1990-11-09,3.9027230000000004
1990-11-12,4.077472
1990-11-13,4.193971
1990-11-14,4.232804
1990-11-15,4.36872
1990-11-16,4.271637
1990-11-19,4.261929
1990-11-20,4.1163050000000005
1990-11-21,4.1163050000000005
1990-11-23,4.193971
1990-11-26,4.184263
1990-11-27,4.232804
1990-11-28,4.193971
1990-11-29,4.038639
1990-11-30,3.844474
1990-12-03,3.86389
1990-12-04,3.883307
1990-12-05,3.844474
1990-12-06,3.883307
1990-12-07,3.883307
1990-12-10,3.86389
1990-12-11,3.834765
1990-12-12,3.7182660000000003
1990-12-13,3.786224
1990-12-14,3.8735980000000003
1990-12-17,3.844474
1990-12-18,3.9803889999999997
1990-12-19,3.9609730000000005
1990-12-20,3.9609730000000005
1990-12-21,3.883307
1990-12-24,3.941556
1990-12-26,3.941556
1990-12-27,3.883307
1990-12-28,3.883307
1990-12-31,3.86389
1991-01-02,3.844474
1991-01-03,3.8541819999999998
1991-01-04,3.8735980000000003
1991-01-07,3.8056400000000004
1991-01-08,3.825057
1991-01-09,3.883307
1991-01-10,3.8541819999999998
1991-01-11,3.9609730000000005
1991-01-14,3.9027230000000004
1991-01-15,3.941556
1991-01-16,3.9609730000000005
1991-01-17,4.193971
1991-01-18,4.193971
1991-01-21,4.252221
1991-01-22,4.252221
1991-01-23,4.310471
1991-01-24,4.3784279999999995
1991-01-25,4.446386
1991-01-28,4.397844999999999
1991-01-29,4.271637
1991-01-30,4.281345
1991-01-31,4.300762000000001
1991-02-01,4.329887
1991-02-04,4.388136
1991-02-05,4.3784279999999995
1991-02-06,4.504636
1991-02-07,4.475511
1991-02-08,4.485219
1991-02-11,4.611427
1991-02-12,4.630843
1991-02-13,4.659968
1991-02-14,4.6988010000000004
1991-02-15,4.7667589999999995
1991-02-19,4.659968
1991-02-20,4.582301999999999
1991-02-21,4.776467
1991-02-22,4.863842
1991-02-25,4.9609239999999994
1991-02-26,4.9512160000000005
1991-02-27,5.048299
1991-02-28,5.1453809999999995
