Date,BIP
2009-05-04,7.678571000000001
2009-05-05,7.142857000000001
2009-05-06,7.8630949999999995
2009-05-07,7.75
2009-05-08,8.053572
2009-05-11,7.994047999999999
2009-05-12,7.7083330000000005
2009-05-13,7.446428999999999
2009-05-14,7.732142999999999
2009-05-15,8.136905
2009-05-18,8.154762
2009-05-19,8.214286
2009-05-20,8.113095
2009-05-21,8.214286
2009-05-22,8.125
2009-05-26,8.285714
2009-05-27,7.821428999999999
2009-05-28,7.470238
2009-05-29,7.434524000000001
2009-06-01,7.4166669999999995
2009-06-02,7.321428999999999
2009-06-03,7.142857000000001
2009-06-04,7.410714
2009-06-05,7.392857000000001
2009-06-08,7.3333330000000005
2009-06-09,7.351191
2009-06-10,7.154762
2009-06-11,7.142857000000001
2009-06-12,7.2916669999999995
2009-06-15,7.244047999999999
2009-06-16,7.2619050000000005
2009-06-17,7.2083330000000005
2009-06-18,7.077381
2009-06-19,7.095238
2009-06-22,7.095238
2009-06-23,7.107142999999999
2009-06-24,7.089286
2009-06-25,7.142857000000001
2009-06-26,7.142857000000001
2009-06-29,7.101191
2009-06-30,7.339286
2009-07-01,7.410714
2009-07-02,7.4880949999999995
2009-07-06,7.142857000000001
2009-07-07,7.202381
2009-07-08,7.196428999999999
2009-07-09,7.184524000000001
2009-07-10,7.172619
2009-07-13,6.880952000000001
2009-07-14,6.970238
2009-07-15,7.1130949999999995
2009-07-16,7.101191
2009-07-17,7.1130949999999995
2009-07-20,7.410714
2009-07-21,7.422619
2009-07-22,7.75
2009-07-23,7.648809
2009-07-24,7.75
2009-07-27,8.029762
2009-07-28,7.630952000000001
2009-07-29,7.7380949999999995
2009-07-30,7.7619050000000005
2009-07-31,7.922619
2009-08-03,7.8869050000000005
2009-08-04,7.7916669999999995
2009-08-05,7.7083330000000005
2009-08-06,7.678571000000001
2009-08-07,7.5119050000000005
2009-08-10,7.607142999999999
2009-08-11,7.654762
2009-08-12,8.184524
2009-08-13,8.630953
2009-08-14,8.648809
2009-08-17,8.476191
2009-08-18,8.625
2009-08-19,8.964286
2009-08-20,9.119047
2009-08-21,9.220238
2009-08-24,9.226191
2009-08-25,8.934524
2009-08-26,9.160714
2009-08-27,9.071428
2009-08-28,9.023809
2009-08-31,9.047619000000001
2009-09-01,8.940476
2009-09-02,8.970238
2009-09-03,8.922619000000001
2009-09-04,8.916667
2009-09-08,8.958333
2009-09-09,9.005953
2009-09-10,9.744047
2009-09-11,9.833333
2009-09-14,10.023809
2009-09-15,9.970238
2009-09-16,10.023809
2009-09-17,9.916667
2009-09-18,10.113095
2009-09-21,10.261905
2009-09-22,10.392858
2009-09-23,10.898809
2009-09-24,10.684524
2009-09-25,10.208333
2009-09-28,10.125
2009-09-29,9.821428
2009-09-30,9.797619000000001
2009-10-01,9.583333
2009-10-02,9.523809
2009-10-05,9.684524
2009-10-06,9.821428
2009-10-07,9.857142
2009-10-08,10.125
2009-10-09,10.220238
2009-10-12,10.607142
2009-10-13,10.482142
2009-10-14,10.601191
2009-10-15,10.791667
2009-10-16,10.773809
2009-10-19,10.964286
2009-10-20,10.773809
2009-10-21,10.744047
2009-10-22,10.690476
2009-10-23,10.529762
2009-10-26,10.511905
2009-10-27,10.541667
2009-10-28,9.821428
2009-10-29,9.821428
2009-10-30,8.630953
2009-11-02,8.690476
2009-11-03,8.761905
2009-11-04,8.75
2009-11-05,8.761905
2009-11-06,8.744047
2009-11-09,9.017858
2009-11-10,9.071428
2009-11-11,9.089286
2009-11-12,9.047619000000001
2009-11-13,9.053572
2009-11-16,9.583333
2009-11-17,9.488095
2009-11-18,9.535714
2009-11-19,9.309524
2009-11-20,9.422619000000001
2009-11-23,9.541667
2009-11-24,9.494047
2009-11-25,9.369047
2009-11-27,9.238095
2009-11-30,9.166667
2009-12-01,9.333333
2009-12-02,9.273809
2009-12-03,9.273809
2009-12-04,9.279762
2009-12-07,9.315476
2009-12-08,9.178572
2009-12-09,9.160714
2009-12-10,9.166667
2009-12-11,9.190476
2009-12-14,9.220238
2009-12-15,9.202380999999999
2009-12-16,9.214286
2009-12-17,9.410714
2009-12-18,9.357142
2009-12-21,9.559524
2009-12-22,9.565476
2009-12-23,9.666667
2009-12-24,9.607142
2009-12-28,10.053572
2009-12-29,9.964286
2009-12-30,10.011905
2009-12-31,9.982142
2010-01-04,9.952380999999999
2010-01-05,10.083333
2010-01-06,10.119047
2010-01-07,10.107142
2010-01-08,10.059524
2010-01-11,10.113095
2010-01-12,10.035714
2010-01-13,10.113095
2010-01-14,10.089286
2010-01-15,9.916667
2010-01-19,10.148809
2010-01-20,10.041667
2010-01-21,9.845238
2010-01-22,9.702380999999999
2010-01-25,9.619047
2010-01-26,9.636905
2010-01-27,9.625
2010-01-28,9.607142
2010-01-29,9.511905
2010-02-01,9.619047
2010-02-02,9.696428
2010-02-03,9.678572
2010-02-04,9.541667
2010-02-05,9.577380999999999
2010-02-08,9.833333
2010-02-09,9.886905
2010-02-10,9.898809
2010-02-11,9.952380999999999
2010-02-12,9.910714
2010-02-16,10.083333
2010-02-17,10.071428
2010-02-18,10.095238
2010-02-19,10.119047
2010-02-22,10.178572
2010-02-23,10.077380999999999
2010-02-24,9.898809
2010-02-25,9.892858
2010-02-26,9.791667
2010-03-01,9.940476
2010-03-02,10.041667
2010-03-03,10.059524
2010-03-04,10.142858
2010-03-05,10.119047
2010-03-08,10.25
2010-03-09,10.267858
2010-03-10,10.255953
2010-03-11,10.267858
2010-03-12,10.351191
2010-03-15,10.398809
2010-03-16,10.571428
2010-03-17,10.744047
2010-03-18,10.738095
2010-03-19,10.75
2010-03-22,10.946428
2010-03-23,10.892858
2010-03-24,10.738095
2010-03-25,10.613095
2010-03-26,10.386905
2010-03-29,10.232142
2010-03-30,10.279762
2010-03-31,10.470238
2010-04-01,10.714286
2010-04-05,10.779762
2010-04-06,10.827380999999999
2010-04-07,10.613095
2010-04-08,10.470238
2010-04-09,10.577380999999999
2010-04-12,10.595238
2010-04-13,10.75
2010-04-14,10.922619000000001
2010-04-15,10.821428
2010-04-16,10.488095
2010-04-19,10.523809
2010-04-20,10.755953
2010-04-21,10.720238
2010-04-22,10.726191
2010-04-23,10.696428
2010-04-26,10.708333
2010-04-27,10.547619000000001
2010-04-28,10.458333
2010-04-29,10.714286
2010-04-30,10.505953
2010-05-03,10.535714
2010-05-04,10.345238
2010-05-05,10.178572
2010-05-06,9.732142
2010-05-07,9.839286
2010-05-10,10.238095
2010-05-11,10.386905
2010-05-12,10.357142
2010-05-13,10.351191
2010-05-14,10.148809
2010-05-17,9.994047
2010-05-18,9.821428
2010-05-19,9.613095
2010-05-20,9.125
2010-05-21,9.261905
2010-05-24,9.238095
2010-05-25,9.083333
2010-05-26,9.005953
2010-05-27,9.25
2010-05-28,9.315476
2010-06-01,9.220238
