Date,RH
2014-03-17,66.470001
2014-03-18,65.900002
2014-03-19,64.440002
2014-03-20,64.779999
2014-03-21,64.349998
2014-03-24,63.060001
2014-03-25,62.650002
2014-03-26,63.459998999999996
2014-03-27,63.810001
2014-03-28,71.93
2014-03-31,73.589996
2014-04-01,75.160004
2014-04-02,73.019997
2014-04-03,71.489998
2014-04-04,71.230003
2014-04-07,67.540001
2014-04-08,67.91999799999999
2014-04-09,68.83000200000001
2014-04-10,65.720001
2014-04-11,66.870003
2014-04-14,65.129997
2014-04-15,63.720001
2014-04-16,65.370003
2014-04-17,63.669998
2014-04-21,62.650002
2014-04-22,63.5
2014-04-23,62.57
2014-04-24,62.619999
2014-04-25,61.75
2014-04-28,59.950001
2014-04-29,60.549999
2014-04-30,62.389998999999996
2014-05-01,63.669998
2014-05-02,63.349998
2014-05-05,64.589996
2014-05-06,62.810001
2014-05-07,61.700001
2014-05-08,61.299999
2014-05-09,62.009997999999996
2014-05-12,64.730003
2014-05-13,64.25
2014-05-14,63.009997999999996
2014-05-15,62.299999
2014-05-16,64.589996
2014-05-19,63.610001000000004
2014-05-20,62.84
2014-05-21,62.540001000000004
2014-05-22,65.739998
2014-05-23,66.720001
2014-05-27,66.150002
2014-05-28,66.08000200000001
2014-05-29,65.959999
2014-05-30,66.480003
2014-06-02,64.089996
2014-06-03,66.220001
2014-06-04,67.300003
2014-06-05,66.93
2014-06-06,68.239998
2014-06-09,70.050003
2014-06-10,69.389999
2014-06-11,71.349998
2014-06-12,80.400002
2014-06-13,80.720001
2014-06-16,83.519997
2014-06-17,86.25
2014-06-18,85.989998
2014-06-19,88.510002
2014-06-20,90.199997
2014-06-23,89.58000200000001
2014-06-24,87.059998
2014-06-25,89.300003
2014-06-26,91.239998
2014-06-27,92.370003
2014-06-30,93.050003
2014-07-01,91.25
2014-07-02,88.709999
2014-07-03,89.91999799999999
2014-07-07,86.839996
2014-07-08,87.33000200000001
2014-07-09,86.559998
2014-07-10,84.779999
2014-07-11,85.18
2014-07-14,85.25
2014-07-15,84.620003
2014-07-16,86.730003
2014-07-17,82.769997
2014-07-18,85.269997
2014-07-21,84.510002
2014-07-22,85.360001
2014-07-23,87.809998
2014-07-24,87.279999
2014-07-25,84.279999
2014-07-28,84.730003
2014-07-29,84.809998
2014-07-30,84.010002
2014-07-31,81.790001
2014-08-01,82.139999
2014-08-04,82.860001
2014-08-05,81.879997
2014-08-06,81.900002
2014-08-07,81.650002
2014-08-08,83.449997
2014-08-11,84.33000200000001
2014-08-12,82.75
2014-08-13,83.459999
2014-08-14,84.940002
2014-08-15,82.699997
2014-08-18,83.91999799999999
2014-08-19,87.230003
2014-08-20,87.550003
2014-08-21,86.870003
2014-08-22,88.459999
2014-08-25,88.0
2014-08-26,88.389999
2014-08-27,87.66999799999999
2014-08-28,84.550003
2014-08-29,83.870003
2014-09-02,82.940002
2014-09-03,82.010002
2014-09-04,80.739998
2014-09-05,81.709999
2014-09-08,81.300003
2014-09-09,82.010002
2014-09-10,82.050003
2014-09-11,79.989998
2014-09-12,80.650002
2014-09-15,77.050003
2014-09-16,77.82
2014-09-17,77.959999
2014-09-18,77.58000200000001
2014-09-19,77.57
2014-09-22,77.400002
2014-09-23,79.75
2014-09-24,81.760002
2014-09-25,80.25
2014-09-26,80.309998
2014-09-29,80.760002
2014-09-30,79.550003
2014-10-01,77.720001
2014-10-02,79.300003
2014-10-03,82.0
2014-10-06,81.5
2014-10-07,79.809998
2014-10-08,82.32
2014-10-09,80.800003
2014-10-10,77.599998
2014-10-13,73.309998
2014-10-14,72.629997
2014-10-15,74.980003
2014-10-16,76.41999799999999
2014-10-17,74.540001
2014-10-20,75.730003
2014-10-21,78.059998
2014-10-22,75.339996
2014-10-23,76.769997
2014-10-24,77.449997
2014-10-27,76.889999
2014-10-28,78.260002
2014-10-29,76.940002
2014-10-30,77.68
2014-10-31,80.32
2014-11-03,80.209999
2014-11-04,78.360001
2014-11-05,78.290001
2014-11-06,78.0
2014-11-07,77.599998
2014-11-10,77.870003
2014-11-11,79.230003
2014-11-12,82.07
2014-11-13,82.029999
2014-11-14,82.730003
2014-11-17,82.989998
2014-11-18,81.300003
2014-11-19,81.879997
2014-11-20,87.480003
2014-11-21,84.739998
2014-11-24,85.400002
2014-11-25,84.510002
2014-11-26,83.739998
2014-11-28,84.470001
2014-12-01,82.93
2014-12-02,84.139999
2014-12-03,84.25
2014-12-04,82.980003
2014-12-05,85.18
2014-12-08,86.279999
2014-12-09,86.400002
2014-12-10,86.18
2014-12-11,93.989998
2014-12-12,93.589996
2014-12-15,95.0
2014-12-16,95.089996
2014-12-17,96.57
2014-12-18,99.07
2014-12-19,96.400002
2014-12-22,95.949997
2014-12-23,97.129997
2014-12-24,96.970001
2014-12-26,96.0
2014-12-29,97.940002
2014-12-30,96.760002
2014-12-31,96.010002
2015-01-02,95.139999
2015-01-05,95.290001
2015-01-06,91.910004
2015-01-07,93.690002
2015-01-08,94.849998
2015-01-09,93.620003
2015-01-12,94.139999
2015-01-13,93.449997
