Date,IM
2019-07-17,
2019-07-18,2431.48999
2019-07-19,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-09,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-16,
2019-09-17,
2019-09-18,2515.840088
2019-09-19,
2019-09-20,
2019-09-23,
2019-09-24,2512.949951
2019-09-25,2509.360107
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-01,
2019-10-02,2454.909912
2019-10-03,
2019-10-04,
2019-10-07,
2019-10-08,
2019-10-09,2478.76001
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,2549.350098
2019-10-17,
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-21,
2020-01-22,
2020-01-23,2687.8701170000004
2020-01-24,2664.580078
2020-01-27,2604.610107
2020-01-28,2642.27002
2020-01-29,2663.6298829999996
2020-01-30,2641.949951
2020-01-31,2593.360107
2020-02-03,
2020-02-04,2658.189941
2020-02-05,2639.330078
2020-02-06,2623.199951
2020-02-07,2616.550049
2020-02-10,2609.25
2020-02-11,2659.580078
2020-02-12,2668.01001
2020-02-13,2641.610107
2020-02-14,2643.550049
